id,family,answer,baseline_prediction,v341_prediction,v336_prediction,baseline_correct,v341_correct,v336_integrated_correct,baseline_truncated,v341_truncated,v341_delta_vs_baseline,v336_delta_vs_baseline,bucket,v336_rule_class,v336_candidate_count,v336_conflict_count,v336_reason
69aa57b3,equation_transform,4472,4472,4472,4472,True,True,True,False,False,0,0,neutral,,,,
e3890bf7,equation_transform,{@%],(^@{,(^@{,(^@{,False,False,False,False,False,0,0,neutral,,,,
d204b9cc,equation_transform,231,231,231,231,True,True,True,False,False,0,0,neutral,,,,
7a79ac09,bit_manipulation,11111111,11111111,11111111,11111111,True,True,True,False,False,0,0,neutral,,,,
d29e19a4,equation_transform,?|,|''>,|''>,|''>,False,False,False,False,False,0,0,neutral,,,,
b06625c4,equation_transform,^&/,"""$ $]""","""$$]""","""$ $]""",False,False,False,False,False,0,0,neutral,,,,
84030b0b,equation_transform,24,24,24,24,True,True,True,False,False,0,0,neutral,,,,
3a67aa26,bit_manipulation,00101110,00101110,00101110,00101110,True,True,True,False,False,0,0,neutral,,,,
710cf035,bit_manipulation,10000011,10000011,10000011,10000011,True,True,True,False,False,0,0,neutral,,,,
52be4988,equation_transform,'!,&&&`,&&&`,&&&`,False,False,False,False,False,0,0,neutral,,,,
b8722d19,bit_manipulation,00100100,11110100,11110100,11110100,False,False,False,False,False,0,0,neutral,,,,
99d6a3b5,equation_transform,?()<,(<)),(<)),?()<,False,False,True,False,False,0,1,v336_solver_salvage_not_learned_by_v341,symbolic_cryptarithm_single_operator_digits_mul,1,0,accepted_no_loss_solver_candidate
2d3547af,equation_transform,))^),\${,\${,\$\\,False,False,False,False,False,0,0,neutral,,,,
8c9fcc6b,bit_manipulation,11110111,11110111,11110111,11110111,True,True,True,False,False,0,0,neutral,,,,
28b0ff48,equation_transform,'],|^^^,|^^^,|^^^,False,False,False,False,False,0,0,neutral,,,,
3fa49035,equation_transform,696,696,696,696,True,True,True,False,False,0,0,neutral,,,,
61557701,equation_transform,|&,'{),'{),'{),False,False,False,False,False,0,0,neutral,,,,
8c0f9291,bit_manipulation,00001111,00001111,00001111,00001111,True,True,True,False,False,0,0,neutral,,,,
d6e6f8b5,bit_manipulation,11100001,11100001,11100001,11100001,True,True,True,False,False,0,0,neutral,,,,
3a90fdf6,bit_manipulation,10100000,10100000,10100000,10100000,True,True,True,False,False,0,0,neutral,,,,
56343b77,equation_transform,711,711,711,711,True,True,True,False,False,0,0,neutral,,,,
08df5363,bit_manipulation,01011100,01011100,01011100,01011100,True,True,True,False,False,0,0,neutral,,,,
d50746e7,bit_manipulation,01000010,01000010,01000010,01000010,True,True,True,False,False,0,0,neutral,,,,
2facfaa4,bit_manipulation,00111110,00111110,00111110,00111110,True,True,True,False,False,0,0,neutral,,,,
7ac90433,equation_transform,-23,-23,-23,-23,True,True,True,False,False,0,0,neutral,,,,
8abcff0f,bit_manipulation,11110111,11110111,11110111,11110111,True,True,True,False,False,0,0,neutral,,,,
02902eb3,equation_transform,>/,!!$>,!!$>,!!$>,False,False,False,False,False,0,0,neutral,,,,
ddc5aefe,bit_manipulation,00000001,00000001,00000001,00000001,True,True,True,False,False,0,0,neutral,,,,
0d90736f,equation_transform,:,::)[,::)[,::)[,False,False,False,False,False,0,0,neutral,,,,
294453b5,equation_transform,&(,##!),##!),##!),False,False,False,False,False,0,0,neutral,,,,
75ecd32c,bit_manipulation,11100011,11100011,11100011,11100011,True,True,True,False,False,0,0,neutral,,,,
12e0ac8c,bit_manipulation,10101001,10101001,10101001,10101001,True,True,True,False,False,0,0,neutral,,,,
386b6d03,equation_transform,671,18,18,18,False,False,False,False,False,0,0,neutral,,,,
2ead53dc,bit_manipulation,00000101,00000101,00000101,00000101,True,True,True,False,False,0,0,neutral,,,,
57f6878e,equation_transform,%{{,|@(!,|@(!,|@(!,False,False,False,False,False,0,0,neutral,,,,
05ca617c,bit_manipulation,11011011,01011011,01011011,01011011,False,False,False,False,False,0,0,neutral,,,,
6890870d,bit_manipulation,01110000,01110000,01110000,01110000,True,True,True,False,False,0,0,neutral,,,,
1c566511,bit_manipulation,01010010,01010010,01010010,01010010,True,True,True,False,False,0,0,neutral,,,,
bc83b0a1,equation_transform,(/&{,(/&{,(/&{,(/&{,True,True,True,False,False,0,0,neutral,,,,
a361a1b7,equation_transform,:46,46,46,46,False,False,False,False,False,0,0,neutral,,,,
d911e8e1,equation_transform,:\:,@}<',@}<',@}<',False,False,False,False,False,0,0,neutral,,,,
4353cd0b,bit_manipulation,00100001,00100001,00100001,00100001,True,True,True,False,False,0,0,neutral,,,,
7688e06e,equation_transform,-55,55,55,-55,False,False,True,False,False,0,1,v336_solver_salvage_not_learned_by_v341,v274_guarded_numeric_minus_signed_opposite_sign_guarded,1,0,accepted_no_loss_solver_candidate
30ba0cf4,bit_manipulation,01101101,01101101,01101101,01101101,True,True,True,False,False,0,0,neutral,,,,
dbd0e3c9,equation_transform,5631,5631,5631,5631,True,True,True,False,False,0,0,neutral,,,,
8fbd2477,bit_manipulation,01011010,01011010,01011010,01011010,True,True,True,False,False,0,0,neutral,,,,
ba61b815,bit_manipulation,00001101,00001101,00001101,00001101,True,True,True,False,False,0,0,neutral,,,,
2e2d60b2,equation_transform,07,07,07,07,True,True,True,False,False,0,0,neutral,,,,
5f9f0ed7,equation_transform,}/!},|!@[,|!@[,|!@[,False,False,False,False,False,0,0,neutral,,,,
333d93ec,equation_transform,7,7,7,7,True,True,True,False,False,0,0,neutral,,,,
74fff108,equation_transform,49,49,49,49,True,True,True,False,False,0,0,neutral,,,,
c43b5a13,equation_transform,)|,$):$,$):$,$):$,False,False,False,False,False,0,0,neutral,,,,
b0206bb7,equation_transform,]$!,$){,$){},$){,False,False,False,False,False,0,0,neutral,,,,
638f93ca,equation_transform,@,$]<$,$]<$,$<]$,False,False,False,False,False,0,0,neutral,,,,
5b9964c7,bit_manipulation,00011011,00011011,00011011,00011011,True,True,True,False,False,0,0,neutral,,,,
a6f7139f,bit_manipulation,11000000,11000000,11000000,11000000,True,True,True,False,False,0,0,neutral,,,,
b2fb65cf,bit_manipulation,11000011,11000011,11000011,11000011,True,True,True,False,False,0,0,neutral,,,,
4bfd095a,equation_transform,{<<<,@/[@,@/[@,@/[@,False,False,False,False,False,0,0,neutral,,,,
7a422e17,equation_transform,%'!,"#`""","#`""","#`""",False,False,False,False,False,0,0,neutral,,,,
7192535b,bit_manipulation,00000010,00001010,00001010,00001010,False,False,False,False,False,0,0,neutral,,,,
5b2523e6,equation_transform,&&,><\$,><\$,><\$,False,False,False,False,False,0,0,neutral,,,,
dbb611da,bit_manipulation,00000001,00000001,00000001,00000001,True,True,True,False,False,0,0,neutral,,,,
0fe53bac,equation_transform,"(""",^?(|,^?(|,^?(|,False,False,False,False,False,0,0,neutral,,,,
07ceed47,bit_manipulation,10000101,10000101,10000101,10000101,True,True,True,False,False,0,0,neutral,,,,
274def88,equation_transform,92,-92,-92,92,False,False,True,False,False,0,1,v336_solver_salvage_not_learned_by_v341,v274_guarded_numeric_minus_signed_opposite_sign_guarded,1,0,accepted_no_loss_solver_candidate
7aa4fdf0,bit_manipulation,00000001,00000001,00000001,00000001,True,True,True,False,False,0,0,neutral,,,,
03a3437f,equation_transform,-!,'}>/,'}/>,'}>/,False,False,False,False,False,0,0,neutral,,,,
f2014638,bit_manipulation,10011010,10011010,10011010,10011010,True,True,True,False,False,0,0,neutral,,,,
a8ea0e29,bit_manipulation,00000000,00000000,00000000,00000000,True,True,True,False,False,0,0,neutral,,,,
30ac5c8e,equation_transform,)#?,@\}?,@\}?,@\}?,False,False,False,False,False,0,0,neutral,,,,
3cfc5f9c,bit_manipulation,01110111,01110111,01110111,01110111,True,True,True,False,False,0,0,neutral,,,,
08d8d7e1,equation_transform,88,88,88,88,True,True,True,False,False,0,0,neutral,,,,
ff121f08,equation_transform,#<,!%<<,!%<<,!%<<,False,False,False,False,False,0,0,neutral,,,,
114a7439,bit_manipulation,01110001,01110001,01110001,01110001,True,True,True,False,False,0,0,neutral,,,,
343095d3,bit_manipulation,01010100,01010100,01010100,01010100,True,True,True,False,False,0,0,neutral,,,,
a4dd4cce,bit_manipulation,10110010,10110010,10110010,10110010,True,True,True,False,False,0,0,neutral,,,,
6b11c05f,bit_manipulation,00100010,00100010,00100010,00100010,True,True,True,False,False,0,0,neutral,,,,
42cb233d,equation_transform,881,881,881,881,True,True,True,False,False,0,0,neutral,,,,
ec8b4875,equation_transform,"|""]",|@<!,|@<!,|@<!,False,False,False,False,False,0,0,neutral,,,,
e3fbc768,equation_transform,'(^),{%??,{%??,%??,False,False,False,False,False,0,0,neutral,,,,
6cc5dafb,equation_transform,)(,^&>),^&>),^&>),False,False,False,False,False,0,0,neutral,,,,
d5a03a2e,equation_transform,>>,""")&&",""")&&",""")&&",False,False,False,False,False,0,0,neutral,,,,
eea91b82,bit_manipulation,00101111,00101111,00101111,00101111,True,True,True,False,False,0,0,neutral,,,,
4736daab,bit_manipulation,01000111,01000111,01000111,01000111,True,True,True,False,False,0,0,neutral,,,,
8bebef83,equation_transform,3388,3388,3388,3388,True,True,True,False,False,0,0,neutral,,,,
efc2b69d,bit_manipulation,10111100,10111100,10111100,10111100,True,True,True,False,False,0,0,neutral,,,,
a794d193,bit_manipulation,01011101,01011101,01011101,01011101,True,True,True,False,False,0,0,neutral,,,,
0f7ddd75,bit_manipulation,11110110,11110110,11110110,11110110,True,True,True,False,False,0,0,neutral,,,,
27cec7a9,equation_transform,3341,3341,3341,3341,True,True,True,False,False,0,0,neutral,,,,
a6704625,bit_manipulation,00001101,00011111,00011111,00011111,False,False,False,False,False,0,0,neutral,,,,
d117113e,bit_manipulation,00000000,00000000,00000000,00000000,True,True,True,False,False,0,0,neutral,,,,
4aeed935,equation_transform,1455,1455,1455,1455,True,True,True,False,False,0,0,neutral,,,,
6f7a9048,bit_manipulation,00101000,00101000,00101000,00101000,True,True,True,False,False,0,0,neutral,,,,
8740ed31,bit_manipulation,01101000,01101000,01111000,01111000,True,False,False,False,False,-1,-1,v341_loss_vs_baseline,,,,
fb623471,equation_transform,-21,21,21,21,False,False,False,False,False,0,0,neutral,,,,
88b43464,equation_transform,5311,5311,5311,5311,True,True,True,False,False,0,0,neutral,,,,
209c43f0,equation_transform,101,101,101,101,True,True,True,False,False,0,0,neutral,,,,
8ac52d78,bit_manipulation,00010000,00010000,00010000,00010000,True,True,True,False,False,0,0,neutral,,,,
f507b7f1,bit_manipulation,11001100,11011100,11011100,11011100,False,False,False,False,False,0,0,neutral,,,,
d129b085,equation_transform,##$,!>``,!>``,!>``,False,False,False,False,False,0,0,neutral,,,,
368f20dd,bit_manipulation,10000101,10000101,10000101,10000101,True,True,True,False,False,0,0,neutral,,,,
e582df31,equation_transform,}@,"""']@","""']@","""']@",False,False,False,False,False,0,0,neutral,,,,
a77be9fa,equation_transform,"[""",{>$[,{>$[,{>$[,False,False,False,False,False,0,0,neutral,,,,
5a19f71a,bit_manipulation,11100010,11100010,11100010,11100010,True,True,True,False,False,0,0,neutral,,,,
78d02fc5,bit_manipulation,11001001,11001011,11001011,11001011,False,False,False,False,False,0,0,neutral,,,,
4166067c,bit_manipulation,01110110,01110110,01110110,01110110,True,True,True,False,False,0,0,neutral,,,,
49fb46e8,bit_manipulation,01001110,01001110,01001110,01001110,True,True,True,False,False,0,0,neutral,,,,
779bb1f3,bit_manipulation,10000001,10000001,10000001,10000001,True,True,True,False,False,0,0,neutral,,,,
e2b02e13,bit_manipulation,01111110,01111110,01111110,01111110,True,True,True,False,False,0,0,neutral,,,,
f8d6abd1,equation_transform,5543,5543,5543,5543,True,True,True,False,False,0,0,neutral,,,,
21245d76,bit_manipulation,01111111,01111111,01111111,01111111,True,True,True,False,False,0,0,neutral,,,,
4ed6b56f,equation_transform,"(""/""",!:`(,!:`(,!:`(,False,False,False,False,False,0,0,neutral,,,,
e0eba119,bit_manipulation,00010010,00010010,00010010,00010010,True,True,True,False,False,0,0,neutral,,,,
55014a7a,bit_manipulation,01010000,01010000,01010000,01010000,True,True,True,False,False,0,0,neutral,,,,
0fe06e8c,bit_manipulation,10010010,10010010,10010010,10010010,True,True,True,False,False,0,0,neutral,,,,
f8fc43d2,bit_manipulation,11100100,11100100,11100100,11100100,True,True,True,False,False,0,0,neutral,,,,
208d7838,equation_transform,[:,[&<>,[&<>,[&<>,False,False,False,False,False,0,0,neutral,,,,
58c099d2,equation_transform,-)\,^!#\,^!#\,^!#\,False,False,False,False,False,0,0,neutral,,,,
d40ce15d,bit_manipulation,00010000,00010000,00010000,00010000,True,True,True,False,False,0,0,neutral,,,,
3cb3fd89,equation_transform,[[&],]$$),]$$),]$$),False,False,False,False,False,0,0,neutral,,,,
c711f9dd,bit_manipulation,11000000,11000000,11000000,11000000,True,True,True,False,False,0,0,neutral,,,,
a26065d4,equation_transform,<',<&<#,<&<#,<&<#,False,False,False,False,False,0,0,neutral,,,,
55d834d1,bit_manipulation,00111111,10111111,10111111,10111111,False,False,False,False,False,0,0,neutral,,,,
194695e8,equation_transform,%,!\{<,!\{<,!\{<,False,False,False,False,False,0,0,neutral,,,,
4ef88f92,bit_manipulation,01010111,01010011,01010011,01011111,False,False,False,False,False,0,0,neutral,,,,
5d77eff6,bit_manipulation,00011100,00011100,00011100,00011100,True,True,True,False,False,0,0,neutral,,,,
1a7c8520,bit_manipulation,01100000,01100110,01100110,01100110,False,False,False,False,False,0,0,neutral,,,,
1c671acc,bit_manipulation,11111101,11111101,11111101,11111101,True,True,True,False,False,0,0,neutral,,,,
528ec0d8,equation_transform,-39,39,39,39,False,False,False,False,False,0,0,neutral,,,,
4bb8c6cd,equation_transform,]}\!,]}\!,]}\!,]}\!,True,True,True,False,False,0,0,neutral,,,,
57712d01,equation_transform,-/<,$/'{,$/'{,$/'{,False,False,False,False,False,0,0,neutral,,,,
d98d85c0,equation_transform,?(&@,(@@?,(@@?,(@@?,False,False,False,False,False,0,0,neutral,,,,
b62f2e75,bit_manipulation,00111111,00111111,00111111,00111111,True,True,True,False,False,0,0,neutral,,,,
7ed40e8a,equation_transform,180,180,180,180,True,True,True,False,False,0,0,neutral,,,,
491b8ea5,equation_transform,)!,@|]!,@|]!,@|]!,False,False,False,False,False,0,0,neutral,,,,
eb1a62f7,equation_transform,>!>},){>),){>),){>),False,False,False,False,False,0,0,neutral,,,,
0bb591e6,equation_transform,%?<,"""$%%""","""$%%""","""$%%""",False,False,False,False,False,0,0,neutral,,,,
c869b4f6,bit_manipulation,10010001,10010001,10010001,10010001,True,True,True,False,False,0,0,neutral,,,,
3c424916,equation_transform,9351,9351,9351,9351,True,True,True,False,False,0,0,neutral,,,,
575f9709,bit_manipulation,01111111,01111111,01111111,01111111,True,True,True,False,False,0,0,neutral,,,,
691608b9,bit_manipulation,00101000,00101000,00101000,00101000,True,True,True,False,False,0,0,neutral,,,,
72336119,equation_transform,3316,3316,3316,3316,True,True,True,False,False,0,0,neutral,,,,
202af98d,bit_manipulation,11111101,11111111,11111111,11111111,False,False,False,False,False,0,0,neutral,,,,
3ace787f,bit_manipulation,11111011,11111111,11111111,11111111,False,False,False,False,False,0,0,neutral,,,,
9a19fc2d,equation_transform,#>[,!&)#,!&)#,!&)#,False,False,False,False,False,0,0,neutral,,,,
dc7f150a,bit_manipulation,11001011,11001011,11001011,11001011,True,True,True,False,False,0,0,neutral,,,,
12e947ca,bit_manipulation,00111110,00111110,00111110,00111110,True,True,True,False,False,0,0,neutral,,,,
2a5d4790,bit_manipulation,11111111,11111111,11111111,11111111,True,True,True,False,False,0,0,neutral,,,,
59bee375,bit_manipulation,10010101,10010101,2,10010101,True,False,True,False,True,-1,0,v341_loss_vs_baseline,,,,
528b694b,equation_transform,"""'",>]],>]],>]]),False,False,False,False,False,0,0,neutral,,,,
d3b20e29,equation_transform,3922,3922,3922,3922,True,True,True,False,False,0,0,neutral,,,,
d1bd7478,equation_transform,30,3,3,30,False,False,True,False,False,0,1,v336_solver_salvage_not_learned_by_v341,v274_guarded_numeric_colon_absdiff_unreverse_same_len,1,0,accepted_no_loss_solver_candidate
21519be7,equation_transform,35,35,35,35,True,True,True,False,False,0,0,neutral,,,,
fe6d3aa3,bit_manipulation,10100010,10100010,10100010,10100010,True,True,True,False,False,0,0,neutral,,,,
01248b76,bit_manipulation,11000101,11000101,11000101,11000101,True,True,True,False,False,0,0,neutral,,,,
0dfd7674,bit_manipulation,01001110,01001110,01001110,01001110,True,True,True,False,False,0,0,neutral,,,,
7306613b,equation_transform,251,251,251,251,True,True,True,False,False,0,0,neutral,,,,
8243c91e,bit_manipulation,01000101,01000101,01000101,01000101,True,True,True,False,False,0,0,neutral,,,,
fba40625,equation_transform,'>&,{>?#,{>?#,{>?#,False,False,False,False,False,0,0,neutral,,,,
9aa8dc92,equation_transform,/#</,/#</,/#</,/#</,True,True,True,False,False,0,0,neutral,,,,
ef2fe526,bit_manipulation,01011010,01011010,01011010,01011010,True,True,True,False,False,0,0,neutral,,,,
c5b058d6,equation_transform,134,35,35,134,False,False,True,False,False,0,1,v336_solver_salvage_not_learned_by_v341,v274_guarded_numeric_add_direct_over_model_add_variant,1,0,accepted_no_loss_solver_candidate
b4342b90,equation_transform,66,66,66,66,True,True,True,False,False,0,0,neutral,,,,
837a6ae7,equation_transform,<>\>,"<:{""","<:{""","<:{""",False,False,False,False,False,0,0,neutral,,,,
9d3e7f1a,bit_manipulation,01101010,01101010,01101010,01101010,True,True,True,False,False,0,0,neutral,,,,
00fdc0be,bit_manipulation,11111111,11111111,11111111,11111111,True,True,True,False,False,0,0,neutral,,,,
3a7dd604,bit_manipulation,01001010,01001011,01001011,01001011,False,False,False,False,False,0,0,neutral,,,,
d0e1010b,equation_transform,!&&},|&$|,|&$|,|&$|,False,False,False,False,False,0,0,neutral,,,,
3feeabea,bit_manipulation,10010010,10010010,10010010,10010010,True,True,True,False,False,0,0,neutral,,,,
34c563c5,equation_transform,04`,04`,04`,04`,True,True,True,False,False,0,0,neutral,,,,
5a0d5d2a,equation_transform,341,55,55,55,False,False,False,False,False,0,0,neutral,,,,
5a9fcf68,equation_transform,4443,4,4,4,False,False,False,False,False,0,0,neutral,,,,
6e56b39a,equation_transform,-/#,&#!,&#!,&#!,False,False,False,False,False,0,0,neutral,,,,
4ada9150,bit_manipulation,01111011,01111111,01111111,01111011,False,False,True,False,False,0,1,v336_reference_correct_without_solver_trace,,,,
a5f1991c,equation_transform,/|',!&&&,!?&&,!&&&,False,False,False,False,False,0,0,neutral,,,,
455b6b61,bit_manipulation,00111011,00111011,00111011,00111011,True,True,True,False,False,0,0,neutral,,,,
1d08947a,bit_manipulation,10010100,10010100,10010100,10010100,True,True,True,False,False,0,0,neutral,,,,
d26f22c3,bit_manipulation,11101100,11101100,11101100,11101100,True,True,True,False,False,0,0,neutral,,,,
c7aae192,equation_transform,">""(","\""]","\""]","\""]",False,False,False,False,False,0,0,neutral,,,,
a6192d29,bit_manipulation,00001000,01111110,01111110,01111110,False,False,False,False,False,0,0,neutral,,,,
e4cc7639,equation_transform,113,16,16,16,False,False,False,False,False,0,0,neutral,,,,
eeb60061,bit_manipulation,00000101,00000101,00000101,00000101,True,True,True,False,False,0,0,neutral,,,,
844f826c,equation_transform,"/""",`@>``,`*``,`@>`,False,False,False,False,False,0,0,neutral,,,,
048cc279,bit_manipulation,01010000,01111000,01111000,01111000,False,False,False,False,False,0,0,neutral,,,,
20052c2f,bit_manipulation,01100110,01100110,01100110,01100110,True,True,True,False,False,0,0,neutral,,,,
89dfa4c2,bit_manipulation,00111010,00111010,00111010,00111010,True,True,True,False,False,0,0,neutral,,,,
53329505,bit_manipulation,11011111,11011111,11011111,11011111,True,True,True,False,False,0,0,neutral,,,,
ced947c8,bit_manipulation,01001011,01001011,01001011,01001011,True,True,True,False,False,0,0,neutral,,,,
0440e6ab,bit_manipulation,01100000,01100000,01100000,01100000,True,True,True,False,False,0,0,neutral,,,,
e641791f,bit_manipulation,00010001,00010001,00010001,00010001,True,True,True,False,False,0,0,neutral,,,,
bcdf9198,bit_manipulation,11111111,11111111,11111111,11111111,True,True,True,False,False,0,0,neutral,,,,
b69391b8,equation_transform,66,66,66,66,True,True,True,False,False,0,0,neutral,,,,
8193e7e0,equation_transform,??{`,#?&`,#?&`,#?&`,False,False,False,False,False,0,0,neutral,,,,
20cdbdb1,bit_manipulation,11100001,11100001,11100001,11100001,True,True,True,False,False,0,0,neutral,,,,
48ae04f6,bit_manipulation,00000010,00000010,00000010,00000010,True,True,True,False,False,0,0,neutral,,,,
3595c82c,bit_manipulation,10011011,10011011,10011011,10011011,True,True,True,False,False,0,0,neutral,,,,
5bcb572e,equation_transform,-!#,"""{!""","""""{!","""{!",False,False,False,False,False,0,0,neutral,,,,
8c1529e1,equation_transform,-52,-52,-52,-52,True,True,True,False,False,0,0,neutral,,,,
cdec898a,equation_transform,<?/,>}][?,>}][?,>}][?,False,False,False,False,False,0,0,neutral,,,,
bca238ee,bit_manipulation,00000000,00000000,00000000,00000000,True,True,True,False,False,0,0,neutral,,,,
5dffe751,bit_manipulation,01100000,01100000,01100000,01100000,True,True,True,False,False,0,0,neutral,,,,
44398869,equation_transform,5913,5913,5913,5913,True,True,True,False,False,0,0,neutral,,,,
