id,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,changed,already_known_v414,status,reason,scope,support_rows,program_count,program_label
8193e7e0,??{`,#?&`,False,,False,False,False,abstain,no_edit_transducer_program,,,,
5bcb572e,-!#,"""{!""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
8c1529e1,-52,-52,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
cdec898a,<?/,>}][?,False,,False,False,False,abstain,no_edit_transducer_program,,,,
44398869,5913,5913,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
edf364da,$(%,::{[,False,,False,False,False,abstain,no_edit_transducer_program,,,,
339149c9,3,3,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
c7844441,:/$^,:/$^,True,,False,False,False,abstain,no_edit_transducer_program,,,,
21261dc6,-25,-25,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
4dbec546,611,611,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
0e009c6d,`?\!,@?`?,False,,False,False,False,abstain,no_edit_transducer_program,,,,
b4b73143,>\:,>!!/,False,,False,False,False,abstain,no_edit_transducer_program,,,,
861cb154,2271,10,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
90feb0c5,:<],?>>>,False,,False,False,False,abstain,no_edit_transducer_program,,,,
c541eb82,-01,-01,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
b9f1d959,:>,"$""\[""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
ca5db1c0,^,"\boxed({""'|})",False,,False,False,False,abstain,no_edit_transducer_program,,,,
9f1ff166,[,"""]'/",False,,False,False,False,abstain,no_edit_transducer_program,,,,
432b1110,%[:?,\{<?,False,\{<?,False,False,False,candidate,unique_edit_transducer,all_punct_examples,4,1,"all_punct_examples|gaps=('', '', '', '', '', '')|actions=0:copy/1:copy/2:del/3:copy/4:copy"
f333b67f,100,100,True,,False,False,False,abstain,not_punctuation_len5_query,,,,
f7d26b8d,/@,[}}\,False,,False,False,False,abstain,no_edit_transducer_program,,,,
8e56a42e,%/<>,%/<>,True,,False,False,False,abstain,no_edit_transducer_program,,,,
20f0fac9,2976,65,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
26e48e98,){|,"""%]%{""",False,,False,False,False,abstain,no_edit_transducer_program,,,,
5501c054,[#>#,!##^,False,,False,False,False,abstain,no_edit_transducer_program,,,,
ea6d926a,87,37,False,,False,False,False,abstain,not_punctuation_len5_query,,,,
