id,expected,reference_answer,current_answer,reference_correct,current_correct,type
21245d76,01111111,01111111,01110110,True,False,bit_manipulation
e0eba119,00010010,00010010,00010010,True,True,bit_manipulation
55014a7a,01010000,01010000,01010000,True,True,bit_manipulation
0fe06e8c,10010010,10010010,10010010,True,True,bit_manipulation
f8fc43d2,11100100,11100100,11100100,True,True,bit_manipulation
d40ce15d,00010000,00010000,00010000,True,True,bit_manipulation
c711f9dd,11000000,11000000,11000000,True,True,bit_manipulation
55d834d1,00111111,10111111,00111111,False,True,bit_manipulation
4ef88f92,01010111,01011111,01010110,False,False,bit_manipulation
5d77eff6,00011100,00011100,00011000,True,False,bit_manipulation
1a7c8520,01100000,01100110,00100000,False,False,bit_manipulation
1c671acc,11111101,11111101,11111101,True,True,bit_manipulation
b62f2e75,00111111,00111111,00111111,True,True,bit_manipulation
c869b4f6,10010001,10010001,10010001,True,True,bit_manipulation
575f9709,01111111,01111111,01111111,True,True,bit_manipulation
691608b9,00101000,00101000,00101000,True,True,bit_manipulation
202af98d,11111101,11111111,01000100,False,False,bit_manipulation
3ace787f,11111011,11111111,11111010,False,False,bit_manipulation
dc7f150a,11001011,11001011,11001011,True,True,bit_manipulation
12e947ca,00111110,00111110,00111110,True,True,bit_manipulation
2a5d4790,11111111,11111111,11111111,True,True,bit_manipulation
59bee375,10010101,10010101,10010101,True,True,bit_manipulation
fe6d3aa3,10100010,10100010,10100010,True,True,bit_manipulation
01248b76,11000101,11000101,11000101,True,True,bit_manipulation
0dfd7674,01001110,01001110,01001110,True,True,bit_manipulation
8243c91e,01000101,01000101,00000001,True,False,bit_manipulation
ef2fe526,01011010,01011011,01011010,False,True,bit_manipulation
9d3e7f1a,01101010,01101010,01101010,True,True,bit_manipulation
00fdc0be,11111111,11111111,11111111,True,True,bit_manipulation
3a7dd604,01001010,01001011,01001011,False,False,bit_manipulation
3feeabea,10010010,10010010,10010010,True,True,bit_manipulation
4ada9150,01111011,01111011,01111011,True,True,bit_manipulation
455b6b61,00111011,00111011,00111011,True,True,bit_manipulation
1d08947a,10010100,10010100,10010100,True,True,bit_manipulation
d26f22c3,11101100,11101100,11101000,True,False,bit_manipulation
a6192d29,00001000,01111110,00000000,False,False,bit_manipulation
eeb60061,00000101,00000101,00000101,True,True,bit_manipulation
048cc279,01010000,01111000,10100000,False,False,bit_manipulation
20052c2f,01100110,01100110,01100110,True,True,bit_manipulation
89dfa4c2,00111010,00111010,00111010,True,True,bit_manipulation
53329505,11011111,11011111,11011111,True,True,bit_manipulation
ced947c8,01001011,01001011,01001011,True,True,bit_manipulation
0440e6ab,01100000,01100000,01100000,True,True,bit_manipulation
e641791f,00010001,00010001,00010001,True,True,bit_manipulation
bcdf9198,11111111,11111111,11111111,True,True,bit_manipulation
20cdbdb1,11100001,11100001,11100001,True,True,bit_manipulation
48ae04f6,00000010,00000010,00000010,True,True,bit_manipulation
3595c82c,10011011,10011011,10011011,True,True,bit_manipulation
bca238ee,00000000,00000000,00000000,True,True,bit_manipulation
5dffe751,01100000,01100000,01100000,True,True,bit_manipulation
06120e47,11110010,11111110,11110001,False,False,bit_manipulation
1f7407ed,00101101,00101101,00101100,True,False,bit_manipulation
46dd0f22,01010000,01010000,01010000,True,True,bit_manipulation
d6e5cd59,01101111,01101111,01101111,True,True,bit_manipulation
e1f3ffbb,11111010,11111011,11111011,False,False,bit_manipulation
4c327b55,11011100,11011110,11011100,False,True,bit_manipulation
0f2dec86,10111000,10111000,10111000,True,True,bit_manipulation
e36a0065,01110110,01110110,01110110,True,True,bit_manipulation
70bc42af,10101010,10101010,10101010,True,True,bit_manipulation
0c2407ef,11000011,11000011,11000011,True,True,bit_manipulation
939273d7,11100110,11100110,11100010,True,False,bit_manipulation
8082a958,00000000,00000000,00000000,True,True,bit_manipulation
fd48ee2f,10110100,10110100,10110100,True,True,bit_manipulation
4eb990f6,00000001,00000001,00000001,True,True,bit_manipulation
85af23eb,00001111,00001111,00001111,True,True,bit_manipulation
d2ac699b,10001011,10001011,10001011,True,True,bit_manipulation
3a148f6a,00100111,00100111,00100110,True,False,bit_manipulation
5374b4ba,10101100,10101100,10101100,True,True,bit_manipulation
16e73f0e,00000001,00000001,00000001,True,True,bit_manipulation
87007054,10111111,10111111,10111111,True,True,bit_manipulation
b8aa3072,00000011,00001111,00000111,False,False,bit_manipulation
82ae858c,11001101,11111101,11100001,False,False,bit_manipulation
1282c5c5,00001110,00001110,00001000,True,False,bit_manipulation
5ba26f21,01011100,01111110,00000000,False,False,bit_manipulation
a00fe76a,10111011,10111011,10111011,True,True,bit_manipulation
0e3962f6,11111110,11111110,11111110,True,True,bit_manipulation
0290f51a,10101111,10101111,10101111,True,True,bit_manipulation
c30a782a,01000110,01000110,01000110,True,True,bit_manipulation
3d24aef4,10100101,10100101,10100101,True,True,bit_manipulation
