id,answer,baseline_prediction,tong_prediction,baseline_correct,tong_correct,tong_gain_vs_baseline,tong_loss_vs_baseline,parse_status,tong_status,query,trace_sha256,trace_chars,prompt_sha256
69aa57b3,4472,4472,4472,True,True,False,False,ok,ok,72+44,8dcb255a8709b5ff1d91f98f6d5a1eef0bfccb91a370dc39dfc7cf7052f830d8,10373,97cc6a9c0be6a81ff57cf6ef8c3b9d120abc4d00be639f5d1980b3c75d7e12be
e3890bf7,{@%],(^@{,,False,False,False,False,ok,no_trace,(^*{@,,0,147bc60ae2b846a5c5aa095ec4dfe5f3f2e5a186db93bf19facadbf426e81dd4
d204b9cc,231,231,231,True,True,False,False,ok,ok,75)57,6be93ab76788c3c589a791bfb797b8111a85d1d03d550e9313391c99b54a9178,10200,035155af33f7c8d1f61e83b360aba13f9d909a68b8134285ae1cdd06abcd5d81
d29e19a4,?|,|''>,,False,False,False,False,ok,no_trace,|'$>',,0,29660ce2ff791de8b2ec4a405b1bd3ffa3ec1a045aaec88d03535d0f60d7fee9
b06625c4,^&/,"""$ $]""",,False,False,False,False,ok,no_trace,"""$*$]",,0,40a71268d9e36de7d6026e3dc6c35e9cb0de805458dc96be40913ac221e98c1e
84030b0b,24,24,24,True,True,False,False,ok,ok,36)12,4f4770074e1555db346210200d4135ea7b110cc15436dd4cc904414b13b0e2f4,11452,a311d06cbf470a497ff0aa9e27fe7f1d3c4a4ece88b30351610fc879b3787190
52be4988,'!,&&&`,,False,False,False,False,ok,no_trace,&&+&`,,0,56b9e24e3774f51ed97c8953cfb2501300ecb2d06230b36a59c62252a2b871c9
99d6a3b5,?()<,(<)),,False,False,False,False,ok,no_trace,(<%)),,0,7ae99507388e34f73332ba7e63886312c5ca3a59c70dcb90e3d73e80c1648614
2d3547af,))^),\$\\,,False,False,False,False,ok,no_trace,\$&\\,,0,8931754a2622aa8355f116b358f1e4379aa1c9e11fa4ba0818b4f964840bd7bb
28b0ff48,'],|^^^,,False,False,False,False,ok,no_trace,|^-^^,,0,846d6d0f885e958bfc030e1525a11753b7c9209dd05a8649c31e8e672e1dad3f
3fa49035,696,696,696,True,True,False,False,ok,ok,24>29,6278287662ac087f9cb2694607e96f132698e7ada82feeeb8a0213351adb69ad,10133,53f69711b2172c90242a002a395fb776be6e5f8fdc34e84b63e8a73c73602100
61557701,|&,'{),,False,False,False,False,ok,no_trace,'{+{),,0,feb998e81727feadb8314656f1f9ff6c033e6404a7224d0c5e56cb1e9fb693dd
56343b77,711,711,711,True,True,False,False,ok,ok,17+74,717619fb511821afde52236e25848315ad5ecd0cdacd058226043251bc351283,10249,9994c653c115f5ca97d6ec0b9a1a2b1423e49c0de8adcffd67ee7c184f595528
7ac90433,-23,-23,-23,True,True,False,False,ok,ok,48-25,c59d1bd1135a95ac1501058bc87efbac7b4da8cdb3cc4ed56d158b7def5e8764,11122,f15745eb93236b50b3999c8251f88b9c52fe3ef0c3681e1b8900c4a5bc4fdbc0
02902eb3,>/,!!$>,,False,False,False,False,ok,no_trace,!!+$>,,0,e3f52f89d2647b82a1bae556f3977a513456a55e22df68b7d37a6efca85c9a2a
0d90736f,:,::)[,,False,False,False,False,ok,no_trace,::-)[,,0,3b6f97a9460cf09b3dca5d52d34a6dfa7965db500517d716e92c9910ddbdc25b
294453b5,&(,##!),,False,False,False,False,ok,no_trace,##-!),,0,37372d95493f2afdd0f9fd938b0c866ce5186dd7fe5136e95e4a1574fb5525c7
386b6d03,671,18,18,False,False,False,False,ok,ok,79'97,50af2ca56519e318c577c03eb9e03bb15213bc63528e4fa954b3913c8fc89832,10794,25d0ab9d7969618ec7242fd6051070a78fa403625cda758762971b7e3263705f
57f6878e,%{{,|@(!,,False,False,False,False,ok,no_trace,|@<:(,,0,e3331fbd1759a280ddad68ab6c493145a28a3afa2e48194efb0f86b63e9c2154
bc83b0a1,(/&{,(/&{,,True,False,False,False,ok,no_trace,(/*&{,,0,282326df85c2f16ca4fb382de0a5a2d0cd522f01f84bf9aee53e73c77f802c41
a361a1b7,:46,46,46,False,False,False,False,ok,ok,53:99,ff2c0946434fcc6f1b0cad6e5649f8c017b5edf715b111810a190fddeada7170,11055,1ff616d600bb6c5e2ef6207cc3e60de9a87ee0f2ae19fdc9e984504f07c163ac
d911e8e1,:\:,@}<',,False,False,False,False,ok,no_trace,@})<',,0,3d1e29656ac0f1c77a0de25ab5190033248f09517620197620d8cc5aeb885c7c
7688e06e,-55,55,55,False,False,False,False,ok,ok,63-19,a9ee479ddab5fcec644b2678ffe5b33aae2716096ae6d94f85aad6e7ccffe112,11715,a2d6dbbcc8efcb4cb31bafee1dfcf78502fe85fc12f7a3115d0bc9e9a069eb5e
dbd0e3c9,5631,5631,5631,True,True,False,False,ok,ok,56*31,4a77b25a7e522da6b63f07bfeea8796ce0470c503a74260a3617487779a39145,10540,863ffd4d0e603d16a07b72e859fe14474da8d56e89197de95bd91a6ee0199bc9
2e2d60b2,07,07,07,True,True,False,False,ok,ok,85+11,1a0c70e34db1c943a33d0dff59790d3ee08bfac9f827375cdaf02c10ee12094f,10367,6f0d76f93168f090a59f90da9ceb801135486867dd7c1e87b0679e2512264e8a
5f9f0ed7,}/!},|!@[,,False,False,False,False,ok,no_trace,|!*@[,,0,7de87a091edc7861a3f55244f2b15541f935e4a6bdee6a6131a81d2e42cad296
333d93ec,7,7,7,True,True,False,False,ok,ok,44-73,6d9457ffb57c6990107bf28643463dc3399231d89554de3b9332e5b53040a0f8,11330,5e269157d0e4c9562439ac150dd6acefd23c74d7f7ca481fb2842c6ff3848d2d
74fff108,49,49,49,True,True,False,False,ok,ok,65^16,d865d3d036d365430f9af3cc904bae2f68dca9cd04ac98adead4934202ce55e7,10314,40e8546e55afff9c29030c1aff59f3f547ee40e5c9087f4ec02a1048540858d4
c43b5a13,)|,$):$,,False,False,False,False,ok,no_trace,$)+:$,,0,117c515232b5a282512d647a79103cbbb3e422602eca0558cfe7bcfb23465b18
b0206bb7,]$!,$){,,False,False,False,False,ok,no_trace,${*)},,0,56ab98945adb0cf1f57fcee6021cf9943f77c50ad8a9137b2a43825f8434bd43
638f93ca,@,$<]$,,False,False,False,False,ok,no_trace,$<-]$,,0,710c810f31f0056e534977b58cd7840e5a10e11ee48478e1e822000959b1e1d9
4bfd095a,{<<<,@/[@,,False,False,False,False,ok,no_trace,@/*[@,,0,5c2f2acff7e910fa036cfe76698c56dc33741561335e770b4e5e1fe7a3373c49
7a422e17,%'!,"#`""",,False,False,False,False,ok,no_trace,"#`@{""",,0,3377dc442fab1afc7a26095d4ded6cab12e7cfacdd3405a11b8d70d508246a6e
5b2523e6,&&,><\$,,False,False,False,False,ok,no_trace,><-\$,,0,2b61559e66286db557592bd046c02ba008480f9705bd362a03f3661047ea230f
0fe53bac,"(""",^?(|,,False,False,False,False,ok,no_trace,^?+(|,,0,6754bfb193534e328772b23accbba76005e5cc7f7829c04688c5f8481e26da46
274def88,92,-92,-92,False,False,False,False,ok,ok,85-92,3de5823ee1f10eb1b061a5f0327a04d484251e2dcf6c753650bbcb0e4591609c,10986,bfd1ec7458b1a2430faf220a15ecc688fbde6a639de40a2bd42b5b0f15d2f268
03a3437f,-!,'}>/,,False,False,False,False,ok,no_trace,'}-/>,,0,b48c72c27b7f1ccffc6e8269c873a2946bf1e8e95cb85948680f10cf69f39471
30ac5c8e,)#?,@\}?,,False,False,False,False,ok,no_trace,@\+}?,,0,81ee2ee020da69ef79503b81bbbe3ffcc0b74c7273b82cdd2bd1ee2abd11ee5b
08d8d7e1,88,88,88,True,True,False,False,ok,ok,65+23,707c73ae6cead498be7c537c5c0951e99d48fe2f7ea051a0fb5565f276af8bc2,10460,ed25dbde6dfc6aa31de27455cc4be208be74e04f89e5d743ba029f096353d6f2
ff121f08,#<,!%<<,,False,False,False,False,ok,no_trace,!%+<<,,0,73c59ced59ac2d764bbce3bf28aba5647749e35f35a633514766463276b9bb3d
42cb233d,881,881,881,True,True,False,False,ok,ok,59+29,b2586b7a5fe947f7a9e9803bc13b4a5bdee62819339e14c4f89cca7e7ed8e870,10204,a326f894434a54b469559074a98d4e72da5248d9bea055db50f730c927e8e38d
ec8b4875,"|""]",|@<!,,False,False,False,False,ok,no_trace,|@*<!,,0,3fff3a403a3b0f1581fdf190752b97ff7061df7e1020d0749b5e6def111cd10c
e3fbc768,'(^),%??,,False,False,False,False,ok,no_trace,{%/??,,0,1e5adebde46750bd5eeffea18fb28cb0b15b7fd2fb5c341b3648472263c77a3f
6cc5dafb,)(,^&>),,False,False,False,False,ok,no_trace,^&!>),,0,10aac2b7254afa3be192bc1f6b0728c16776bac8ce8e00bfd467ee3d321c64d9
d5a03a2e,>>,""")&&",,False,False,False,False,ok,no_trace,""""")&&",,0,9a83698d31f1861f92bf7a3a393f43dce124f10ae1fe612c2ebebe8769f6d99f
8bebef83,3388,3388,3388,True,True,False,False,ok,ok,44{77,41d58867ab51f47b443df551e4a64ee74ad0d4a61d2bafdb8fe400ec07397862,10504,28efdecc1d204d0583a3db514356323ee06dfb8986cfcbafda49f20ed39efb19
27cec7a9,3341,3341,3341,True,True,False,False,ok,ok,33:41,e2e69cadb69bf721ce88b9d8f1fc8ef5cc0b1a2cf43aaadde8c966b9778572da,10715,e47786e00b493c956b1206cc51e4dafb64e10783f4caa2dd913886217fb1eece
4aeed935,1455,1455,1455,True,True,False,False,ok,ok,55*14,452f71c87c1bbf4c9e77a1105efbe53fcad7c02ba1074efcc37e84ee3cf57dea,10371,265d0ebffa2297989ebc0bd2b3841b80a0869df27089dc3d5cffd488f6ad88fd
fb623471,-21,21,21,False,False,False,False,ok,ok,08-29,cbb687424f880535b65ccf788dbb9e2202422bd289f49f27190a81f31c1a5290,10439,8b5262bda0492b7d94b9bd3dc7cbcfd366e74b2047756ed1e76f970f7c7d55dd
88b43464,5311,5311,5311,True,True,False,False,ok,ok,11+53,439a943ad56b45c305fabbc91061272312bf380966d204eac10105ac7b3900f0,10253,3e9978691837398a2d16a3779314dc4b66943d49c188422ef372afa26220e52d
209c43f0,101,101,101,True,True,False,False,ok,ok,18^84,720d544376e755b389d05cdcebecf0102feacbf9edb13686ab7b1a9161a4096c,10262,37449bc23ccad5e10c17f01a32adace8ae16beef92529d560a22e0284e27f1e0
d129b085,##$,!>``,,False,False,False,False,ok,no_trace,"!>+`""",,0,26bbd21fa139674e64d76fd1e4ee6732228d8707e22002394a939322f32a0d7f
e582df31,}@,"""']@",,False,False,False,False,ok,no_trace,"""'?]@",,0,4c2222fdb80010a227481b6eea5bd2655570a7b21dbd26ac08716d97137c489a
a77be9fa,"[""",{>$[,,False,False,False,False,ok,no_trace,{>|$[,,0,0fc558d928e120786d37b2a4e4b87dc816c0db8c24b2cbb7bed6aa075b7616c7
f8d6abd1,5543,5543,5543,True,True,False,False,ok,ok,63:88,85058fd4c60de589698e4b1177e91be34c9c666aa296ec073f68c55c5c1febe5,10470,c5d30fa8e16ad2ac2c8e42d63a644698d67772f5598485260d5114072c71b26b
4ed6b56f,"(""/""",!:`(,,False,False,False,False,ok,no_trace,!:*`(,,0,90ac9ae0d51f1397ec71ac87ffd7c0a8231a6440901ed0b46bb29a530eb7e85e
208d7838,[:,[&<>,,False,False,False,False,ok,no_trace,[&-<>,,0,6d5009ee5f78028d8f570ba76b451657c269a8d8ccf04751079d49638d21b7f0
58c099d2,-)\,^!#\,,False,False,False,False,ok,no_trace,^!-#\,,0,12d3b1dab43a4b612a6a585cd6dbf6c0955bb3ae1f2a8f904d1cc660f4f847b0
3cb3fd89,[[&],]$$),,False,False,False,False,ok,no_trace,]$*$),,0,3f31a0a6d77dc3392e574ae3953d29d302f0fab887f43bb80890975dba95b72c
a26065d4,<',<&<#,,False,False,False,False,ok,no_trace,<&+<#,,0,54ccffeba62a8e945b36d380474282018c9c0b6643731909a5d00df4f7caf039
194695e8,%,!\{<,,False,False,False,False,ok,no_trace,!\-{<,,0,635d9481dd11534350166819a83c76a3e90debcf1729473e8050d36e9ba7bf8d
528ec0d8,-39,39,39,False,False,False,False,ok,ok,11-50,36648d013240d76e62d44cd83c4ab0bcde694c9f1d187750204bafe133c4b513,10938,05f11f89fe0cdf0ec9aee8bd4b9582b0ce5f976db907bda9b4ef25f6d7dbf9ab
4bb8c6cd,]}\!,]}\!,,True,False,False,False,ok,no_trace,]}*\!,,0,9f79492b8d107dfcd62262c48242c708d2df7b527bb80f9ac0d6a9a670ddfaeb
57712d01,-/<,$/'{,,False,False,False,False,ok,no_trace,$/-'{,,0,a858e3edcbb4e7a5d8b3ef5d9efc91a104451cea71af885a797b7e1deeabb3e8
d98d85c0,?(&@,(@@?,,False,False,False,False,ok,no_trace,(@+@?,,0,f627e25eba2b5a50ac9244cf9a05317f0b9f5816486d308317f978e978bf7e1c
7ed40e8a,180,180,180,True,True,False,False,ok,ok,99&82,cdc28dcd78a987016226236ae132fa0dda4d72f16101dd8ad2e2a7aa7f003749,10178,b332e45d89e65e98a3cd9aafcedfc485f237e8f3e8f234501252ad4b14846782
491b8ea5,)!,@|]!,,False,False,False,False,ok,no_trace,@|-]!,,0,6ff2141b50e6156472ee6e19cac05ead78dc996c5667ce83ad27011af6d892aa
eb1a62f7,>!>},){>),,False,False,False,False,ok,no_trace,)}*>),,0,3e179b8c9efb9ed5968757f927203fb6848e3d0b402fd3648028c9b73ecd923b
0bb591e6,%?<,"""$%%""",,False,False,False,False,ok,no_trace,"""$+%%",,0,b2d41b10ce8baa473e29b7ab1722eb607f285c38db2c8d7091f0e59a42e4c7a1
3c424916,9351,9351,9351,True,True,False,False,ok,ok,82*55,d4c9bcc71f832f3de3336471c6036ca819a2c6ac57460623abcf98fe2e2ff304,10624,9f5af49d59327aed2f8cdd3b8048c2e6e6a277c2d74a03b312f79bb499753505
72336119,3316,3316,3316,True,True,False,False,ok,ok,85>39,db48789fc2cfbe15d7acc2482ac868772fee012a5f08de1d594f52fc9ba4a21e,10499,0009f428ed6b06f37c6df87b0e3777c0316ba7c3624bd15225ab980ccfd4d17d
9a19fc2d,#>[,!&)#,,False,False,False,False,ok,no_trace,!&+)#,,0,2d751b77cbc25fa7b6aa83469807c8eab9ed52a2c9ba747c1076f3b643305ed1
528b694b,"""'",>]]),,False,False,False,False,ok,no_trace,>]<]),,0,43a68f2e7c61b5b9c09468f0e366eb941c6e7980485687f329c8dc52c8812cd6
d3b20e29,3922,3922,3922,True,True,False,False,ok,ok,22+39,bc239cda9c6aa4d7e9ef532861c218ceb35dbb96f4dc200aa94952054704cfec,10643,bbc335f66a143cb4d001025aa94bc6f2517a29ddb12dac8f6390d4e2f0524251
d1bd7478,30,03,3,False,False,False,False,ok,ok,37:67,4c8ebbd43253d5bd86d154b79aa97b780dc09915f19fc8a83ab3df27e144a719,10785,e7374a3ef805930cf63524d606b7b72b3d754925b4868a736bf88a955dabc1eb
21519be7,35,35,35,True,True,False,False,ok,ok,82@52,2bb0916b0e9917bab5b75bc978f7337df1f57ab790832e6c7fad7611e6fad923,10199,7259558b1cd6d6b5d0e8af3621bbaf9771c7faa783fd21cebedfd0c8479f9a9e
7306613b,251,251,251,True,True,False,False,ok,ok,79+65,f59548b8c6f0c0c5539b57e131b2255ab66ee38be535f162a76f5279df590e2b,10710,b056dda6840dfc813866b42c3aa4fb44b15a8eb0a19ca40369235ded4e51d7b2
fba40625,'>&,{>?#,,False,False,False,False,ok,no_trace,{>'?#,,0,1a6bd7a5e86edbcb4eafaa45ec4867160f9160899be31e79e27df91615c04413
9aa8dc92,/#</,/#</,,True,False,False,False,ok,no_trace,/#+</,,0,0b4ab0a7bc62cfc340690a45bceecf935ef0c1a0fc599a7efe5a98c0b5233b73
c5b058d6,134,35,35,False,False,False,False,ok,ok,94)40,e7bf91d01f97e4e695f463103e445f6359dbab8059f0995b9225b6c77803d378,10344,41715ae5a08fc17c47f92173edf3fbee18abc1de081725eb26c7a19b3cad4b19
b4342b90,66,66,66,True,True,False,False,ok,ok,40\25,006cfc0d625d9addeefc2af4ea824b88ec7a69b0d6a5a7380510c888baee7169,10404,2a15a6cb6c8a459ccb41016f525c7de69e373269a47a0a17974c7c11286bbabf
837a6ae7,<>\>,"<:{""",,False,False,False,False,ok,no_trace,"<{*:""",,0,3a3e1821fdb081597ff7662fa067fc4d0c35ac86170208c88a655d2c31a4dbb8
d0e1010b,!&&},|&$|,,False,False,False,False,ok,no_trace,|&*$|,,0,a85b33dedf092a93b4da101c578e9c926edd7af111acdbcdb0dc2031dd193447
34c563c5,04`,04`,04`,True,True,False,False,ok,ok,45`41,ef729f44c8425f6d41dc19b59c1f454806852a49d596d603985a73f3a7460a01,10407,8395ed9fbfa51e509f7c715a057a1976d6bf4095c760113f1eb3f35fc891e287
5a0d5d2a,341,55,55,False,False,False,False,ok,ok,39+94,630737d94fa2ac404ab3f7c11db49f07b70ea3cd28b2dbda60e8f41badefa68e,10899,ecf1b542850ad52596d973da7ef6009c2cf1b846a2582428f3e456b66ae99dc2
5a9fcf68,4443,4,4,False,False,False,False,ok,ok,24@28,3643fdf86f10f11dce4f06af3cb077f2450d1ce2a7339832d93dbb63d0b6f996,11321,3e84d73ad75127b4f6c50f038132449d1b0d7b8adf2d9fb30f6b39ddaf114ca8
6e56b39a,-/#,&#!,,False,False,False,False,ok,no_trace,&#-!],,0,6274675ff4681ecf39b9b29826417f672c2ca45fdac7e1be871e68ab1edf36bc
a5f1991c,/|',!&&&,,False,False,False,False,ok,no_trace,!?/&&,,0,4aa1ce57745d44eb042ce02869126d8bf5a409069f5de1e63176c3bb70a1831c
c7aae192,">""(","\""]",,False,False,False,False,ok,no_trace,"\""*}}",,0,7cef1f335ea5a06e3202f9b8692e26c845faad145252ac9f101135b25c650bd7
e4cc7639,113,16,16,False,False,False,False,ok,ok,48*64,d0350d7d3159a317714f7b7154dbac5a96e09e41b09a4223a5eba293a00d4f6d,11283,de24f8c1aec107215b18186431654570a3c0c21a8537ac1e99241423ab780dfc
844f826c,"/""",`@>`,,False,False,False,False,ok,no_trace,@*>,,0,473d1ecd10b1cc0f83efb9e01e3e0b1ae7a7839a38786c7825650e8395a94fb0
b69391b8,66,66,66,True,True,False,False,ok,ok,52'14,e84300da016d45cd143f0bbf165cf9f1bccf9bac4629cec7c841d4df6130e9cd,10186,9c0af28b7820a7cae5beb8b840bf5d804db838bf9a78e217f976ce0c9a2a861a
8193e7e0,??{`,#?&`,,False,False,False,False,ok,no_trace,#?*&`,,0,b728c80882e7d23bb8ccc6f8fe310d77f94ef6f199b3dd87180a20cbd165cca8
5bcb572e,-!#,"""{!",,False,False,False,False,ok,no_trace,"""{-{!",,0,eb8b58276a5b245bbe7d06774fcdd6a51432cf2c74c2a50935a71d5579c2c351
8c1529e1,-52,-52,-52,True,True,False,False,ok,ok,65-18,4d586332d7ec2936c0e908e12ef0e2a6ec63fb16494e5838ce80035380884d98,10471,6133001574bc7bd4abaa7f9c17bda7b970f4a6503fc4bd0f17576caf9a3fcbd1
cdec898a,<?/,>}][?,,False,False,False,False,ok,no_trace,>}+]?,,0,19761cef64c670a892da3fd6b0701eee8f1672eb2fff80f4d5424b315f43ed14
44398869,5913,5913,5913,True,True,False,False,ok,ok,54^17,216aaaa67cf3de72b093c1889896d63c3adf3b9794516bd942c01bff49829f28,11227,58c47c605806ded9632c6c02f7729b0bc82c8599f8dccd74f4078fb297756a66
edf364da,$(%,::{[,,False,False,False,False,ok,no_trace,::*{[,,0,6203f080217b7a313c57ed2b923c1869fc5eeda85b66f999c9ec0908a9a41f2a
339149c9,3,3,3,True,True,False,False,ok,ok,32-62,fb02a6abe5a16ca891d885587b63cc9b9de397ce69c20a6884382ae65a3d9edd,11244,f8a618bd0bfea7b3bdf772c9e178d646754c90a5e90d402f4fbc2ff81bb922da
c7844441,:/$^,:/$^,,True,False,False,False,ok,no_trace,:/[$^,,0,63d3fd9df99a79aa22bcddebe7878d4b3de9963af29010eb0f578b6d991f334a
21261dc6,-25,-25,-25,True,True,False,False,ok,ok,02-27,eca01474abcd6642d09ac831362fbbb3258e6cd3b1bb7c4e292721d50187adab,10841,e97392bdb698dd7276fc6e8711a3812ffbfe79fef6de8312e3fb3fdc601c3824
