id,family,answer,integrated_prediction,baseline_prediction,parse_status,subtype,query,query_shape,example_count,example_preview,route_hint
d911e8e1,equation_transform,:\:,@}<',@}<',ok,equation_symbolic_punct,@})<',PPPPP,3,"[[""\""#)@&"", "":#:""], [""}'(''"", ""\\'\""}""], ["":>$:}"", ""$}""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
5f9f0ed7,equation_transform,}/!},|!@[,|!@[,ok,equation_symbolic_punct,|!*@[,PPPPP,5,"[[""@/*`/"", ""}`]`""], [""@]+}/"", ""}|""], [""/]-[|"", ""->>""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
c43b5a13,equation_transform,)|,$):$,$):$,ok,equation_symbolic_punct,$)+:$,PPPPP,3,"[[""/:+<{"", ""|<""], [""|&-/|"", ""{|""], [""$(+){"", ""|{""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
b0206bb7,equation_transform,]$!,$){,$){,ok,equation_symbolic_punct,${*)},PPPPP,5,"[[""){+&#"", ""//""], [""!/*&@"", ""/{@}""], [""{)-&!"", ""-/#""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
638f93ca,equation_transform,@,$]<$,$]<$,ok,equation_symbolic_punct,$<-]$,PPPPP,4,"[[""#>*??"", ""/<@""], [""$<*<'"", ""?<?'""], [""$$*]`"", ""?]<?""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
4bfd095a,equation_transform,{<<<,@/[@,@/[@,ok,equation_symbolic_punct,@/*[@,PPPPP,4,"[[""{%*))"", "")){""], ["")/*/\"""", ""[^^{""], ["")\""-\\["", ""-\\\\""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
7a422e17,equation_transform,%'!,"#`""","#`""",ok,equation_symbolic_punct,"#`@{""",PPPPP,4,"[[""\"":@%#"", ""%&{""], [""'}+''"", ""&'\""""], [""'{-%!"", ""}""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
5b2523e6,equation_transform,&&,><\$,><\$,ok,equation_symbolic_punct,><-\$,PPPPP,4,"[[""?>+')"", "":<""], [""!&*$<"", ""&'\\:""], [""&\\+\\&"", ""><""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
0fe53bac,equation_transform,"(""",^?(|,^?(|,ok,equation_symbolic_punct,^?+(|,PPPPP,4,"[[""(@+!|"", ""@\""""], [""}(-^}"", ""}}""], [""?\""+):"", ""()@""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
03a3437f,equation_transform,-!,'}>/,'}>/,ok,equation_symbolic_punct,'}-/>,PPPPP,3,"[[""/>-|/"", ""':""], [""'>+/!"", ""'>/!""], [""}!-'`"", "">'""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
30ac5c8e,equation_transform,)#?,@\}?,@\}?,ok,equation_symbolic_punct,@\+}?,PPPPP,5,"[[""&}-@)"", ""-\\@""], ["":/*/}"", ""#/&?""], [""}&*#\"""", ""#&\\}""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
ff121f08,equation_transform,#<,!%<<,!%<<,ok,equation_symbolic_punct,!%+<<,PPPPP,5,"[[""%`+^<"", ""+<%""], [""#!(!<"", ""%#@""], [""`^(%^"", ""%[`>""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
ec8b4875,equation_transform,"|""]",|@<!,|@<!,ok,equation_symbolic_punct,|@*<!,PPPPP,3,"[[""%?*:?"", ""?\""::""], [""\""<*<%"", ""<]]?""], [""@:-::"", ""-\""""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
e3fbc768,equation_transform,'(^),{%??,{%??,ok,equation_symbolic_punct,{%/??,PPPPP,3,"[[""??/:^"", ""){)?""], ["":'`^)"", ""[""], [""{!`)("", ""%""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
6cc5dafb,equation_transform,)(,^&>),^&>),ok,equation_symbolic_punct,^&!>),PPPPP,4,"[["">&-'&"", ""#%""], ["")#\\^("", ""##']""], [""))-&^"", ""\"")""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
d5a03a2e,equation_transform,>>,""")&&",""")&&",ok,equation_symbolic_punct,""""")&&",PPPPP,4,"[[""?{+&%"", ""@/^""], [""!?)>^"", ""&""], [""@{`&/"", ""?!{""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
d129b085,equation_transform,##$,!>``,!>``,ok,equation_symbolic_punct,"!>+`""",PPPPP,4,"[[""@\\+!\"""", ""`$$""], [""#\\+>!"", ""\\@""], [""<@*>\"""", ""@#`]""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
e582df31,equation_transform,}@,"""']@","""']@",ok,equation_symbolic_punct,"""'?]@",PPPPP,3,"[[""}#[\""'"", "":@}'""], [""]]!^\"""", ""#\""""], [""]/?}]"", ""?@#""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
a77be9fa,equation_transform,"[""",{>$[,{>$[,ok,equation_symbolic_punct,{>|$[,PPPPP,3,"[[""(^&$\"""", ""[}\\""], [""\\^!^["", ""{[}""], [""\""$|:^"", ""^\\""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
4ed6b56f,equation_transform,"(""/""",!:`(,!:`(,ok,equation_symbolic_punct,!:*`(,PPPPP,4,"[[""`'+:'"", ""(`]""], [""]:*}>"", ""!\""(/""], ["":}*:'"", "":/(/""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
208d7838,equation_transform,[:,[&<>,[&<>,ok,equation_symbolic_punct,[&-<>,PPPPP,5,"[[""#}+{%"", ""}$$""], [""%#*%["", ""&:[[""], [""}%-&["", ""[$""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
58c099d2,equation_transform,-)\,^!#\,^!#\,ok,equation_symbolic_punct,^!-#\,PPPPP,3,"[[""`|+\\&"", ""&]""], [""`]+|^"", ""&|""], [""#&-]&"", ""-)!""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
3cb3fd89,equation_transform,[[&],]$$),]$$),ok,equation_symbolic_punct,]$*$),PPPPP,4,"[[""@)-@\\"", ""-)""], [""[$*$$"", ""[|{\\""], [""$]+!\\"", ""|$|""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
a26065d4,equation_transform,<',<&<#,<&<#,ok,equation_symbolic_punct,<&+<#,PPPPP,5,"[[""[|+<$"", ""[&""], [""<#-'#"", ""'""], [""<&-<$"", ""<""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
194695e8,equation_transform,%,!\{<,!\{<,ok,equation_symbolic_punct,!\-{<,PPPPP,3,"[[""{|*<\\"", ""{%!|""], [""]|*!]"", ""{<|%""], [""]$-<%"", ""|!""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
57712d01,equation_transform,-/<,$/'{,$/'{,ok,equation_symbolic_punct,$/-'{,PPPPP,5,"[[""$'+``"", ""\""`(""], [""{<*/("", ""\""\""/(""], [""!<-``"", ""-?""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
d98d85c0,equation_transform,?(&@,(@@?,(@@?,ok,equation_symbolic_punct,(@+@?,PPPPP,3,"[[""(#-`>"", ""''""], [""|'-'#"", ""||""], [""@&+'>"", ""'&&&""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
491b8ea5,equation_transform,)!,@|]!,@|]!,ok,equation_symbolic_punct,@|-]!,PPPPP,3,"[[""!^+){"", ""|}""], [""]/*||"", ""]/||""], [""]@-|]"", ""!)""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
eb1a62f7,equation_transform,>!>},){>),){>),ok,equation_symbolic_punct,)}*>),PPPPP,3,"[["")^-{!"", ""-(@""], ["">)+}@"", ""}}{""], [""%%+?^"", "")@{""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
0bb591e6,equation_transform,%?<,"""$%%""","""$%%""",ok,equation_symbolic_punct,"""$+%%",PPPPP,4,"[["")(-)("", ""\""""], [""&(-(("", ""<""], [""$(-(%"", "")<""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
9a19fc2d,equation_transform,#>[,!&)#,!&)#,ok,equation_symbolic_punct,!&+)#,PPPPP,5,"[[""{{->#"", ""{#""], [""[!-)["", ""!{""], [""}/+&{"", ""&'""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
528b694b,equation_transform,"""'",>]],>]],ok,equation_symbolic_punct,>]<]),PPPPP,4,"[[""@>+^\\"", ""@@^>""], [""]@<@\\"", ""<')""], [""'>+^$"", ""@]{)""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
fba40625,equation_transform,'>&,{>?#,{>?#,ok,equation_symbolic_punct,{>'?#,PPPPP,4,"[[""?>/)]"", ""?>)]""], [""#?'{%"", ""{?""], ["">{'#^"", ""'&&""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
837a6ae7,equation_transform,<>\>,"<:{""","<:{""",ok,equation_symbolic_punct,"<{*:""",PPPPP,5,"[["":@-&#"", ""<:""], [""&>-:<"", ""-<:""], [""&#+{{"", ""@<\""""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
d0e1010b,equation_transform,!&&},|&$|,|&$|,ok,equation_symbolic_punct,|&*$|,PPPPP,4,"[[""''+^>"", ""!^&""], ["">^+>!"", ""!%^""], [""'#*>|"", "">}&$""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
5a0d5d2a,equation_transform,341,55,55,ok,equation_numeric_operator,39+94,DDPDD,3,"[[""27-65"", ""61""], [""47*42"", ""7771""], [""81-09"", ""-27""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
5a9fcf68,equation_transform,4443,4,4,ok,equation_numeric_operator,24@28,DDPDD,3,"[[""36?55"", ""8?""], [""97?14"", ""83?""], [""23?74"", ""51?""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
6e56b39a,equation_transform,-/#,&#!,&#!,ok,equation_symbolic_punct,&#-!],PPPPP,4,"[["")>-]]"", ""-#/""], [""]&-%^"", ""-]>""], [""[!-])"", ""-]/""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
a5f1991c,equation_transform,/|',!&&&,!&&&,ok,equation_symbolic_punct,!?/&&,PPPPP,5,"[[""'>\""&'"", ""'>&'""], [""&?/?}"", ""'?""], [""@'[!'"", ""''!""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
c7aae192,equation_transform,">""(","\""]","\""]",ok,equation_symbolic_punct,"\""*}}",PPPPP,2,"[[""#{-{#"", "">}""], [""{>*(#"", ""{`{\\""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
e4cc7639,equation_transform,113,16,16,ok,equation_numeric_operator,48*64,DDPDD,5,"[[""62[83"", ""5146""], [""99[39"", ""3861""], [""14[53"", ""742""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
844f826c,equation_transform,"/""",`@>``,`@>``,ok,equation_symbolic_punct,@*>,PPP,5,"[["">#$@\"""", "">#@\""""], ["">`$@>"", "">`@>""], ["")/*#`"", "">)""]]",symbolic_punctuation_short_query_residual
8193e7e0,equation_transform,??{`,#?&`,#?&`,ok,equation_symbolic_punct,#?*&`,PPPPP,4,"[[""'{*#/"", ""#!''""], [""]-#"", ""]{""], [""&!*]!"", ""?&!!""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
5bcb572e,equation_transform,-!#,"""{!""","""{!""",ok,equation_symbolic_punct,"""{-{!",PPPPP,3,"[["")!*]("", ""/{!!""], [""\""(+\""{"", ""){{""], [""])-(["", ""({""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
cdec898a,equation_transform,<?/,>}][?,>}][?,ok,equation_symbolic_punct,>}+]?,PPPPP,4,"[["")>-}]"", ""-<%""], [""%`-/`"", ""/""], [""`>+%/"", "")?""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
edf364da,equation_transform,$(%,::{[,::{[,ok,equation_symbolic_punct,::*{[,PPPPP,3,"[[""[!+$!"", ""{:$""], [""??*!{"", ""{:[?""], [""{|+?]"", ""][""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
0e009c6d,equation_transform,`?\!,@?`?,@?`?,ok,equation_symbolic_punct,@?'`?,PPPPP,4,"[["">@'>>"", "")?>""], [""\\%*\\`"", ""#!""], [""\\>'@\\"", ""\\!?>""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
b4b73143,equation_transform,>\:,>!!/,>!!/,ok,equation_symbolic_punct,>!%!/,PPPPP,3,"[[""?{%[\"""", ""?\\!{""], ["":!*\""{"", ""?##""], [""/#*{#"", ""#/""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
861cb154,equation_transform,2271,10,10,ok,equation_numeric_operator,14!24,DDPDD,3,"[[""69(06"", ""63(""], [""77`94"", ""621""], [""76(36"", ""4(""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
90feb0c5,equation_transform,:<],?>>>,?>>>,ok,equation_symbolic_punct,?>'>>,PPPPP,3,"[[""\\}+)`"", ""\\})`""], ["":>'>}"", "":``""], [""])+)\\"", ""]))\\""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
b9f1d959,equation_transform,:>,"$""\[""","$""\[""",ok,equation_symbolic_punct,"$\+""[",PPPPP,5,"[["":>+(("", ""[&[""], [""{{-(:"", ""`\\""], ["">[-:("", ""-\\>""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
ca5db1c0,equation_transform,^,"\boxed({""'|})","\boxed({""'|})",ok,equation_symbolic_punct,"(""-'|",PPPPP,3,"[[""^%-\""`"", ""\""|""], [""\""@*?`"", ""?\""^""], [""%@*`)"", ""\""%\""""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
9f1ff166,equation_transform,[,"""]'/","""]'/",ok,equation_symbolic_punct,"""]-'/",PPPPP,4,"[[""}#-'>"", "">\""""], [""?\""-#'"", ""/""], [""\""'*']"", ""'\""}\""""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
432b1110,equation_transform,%[:?,\{<?,\{<?,ok,equation_symbolic_punct,\{*<?,PPPPP,4,"[[""]{+/]"", ""]{/]""], [""/[+%\\"", ""/[%\\""], [""@[+{@"", ""@[{@""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
f7d26b8d,equation_transform,/@,[}}\,[}}\,ok,equation_symbolic_punct,[}-}\,PPPPP,5,"[[""%[-]%"", ""}\\""], [""\\}-%`"", ""-\\}""], [""/[+}["", ""[`@""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
20f0fac9,equation_transform,2976,65,65,ok,equation_numeric_operator,31%96,DDPDD,4,"[[""78]18"", ""6""], [""95]24"", ""23""], [""52*94"", ""145""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
26e48e98,equation_transform,){|,"""%]%{""","""%]%{""",ok,equation_symbolic_punct,"""])%{",PPPPP,5,"[[""%]`]<"", ""]\""<%""], [""\""#/|<"", ""{\""%""], [""]@)@|"", ""@""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
5501c054,equation_transform,[#>#,!##^,!##^,ok,equation_symbolic_punct,!#$#^,PPPPP,5,"[[""'){^'"", ""#[""], [""\""!{#^"", ""^>""], [""[#}\\\"""", ""#>""]]",symbolic_punctuation_transducer_or_cryptarithm_residual
ea6d926a,equation_transform,87,37,37,ok,equation_numeric_operator,25+62,DDPDD,4,"[[""15-77"", ""62""], [""78*32"", ""2002""], [""41-05"", ""8""]]",expand_numeric_operator_dsl_only_if_unique_no_loss
