id,status,prediction,answer,baseline_prediction,verified_by_weak_label,incorrect_by_weak_label,promotable_after_class_gate,solver_mode,query,example_count,answer_vote_count,total_solution_votes,mapping,operator_mapping,proof
5f9f0ed7,abstain,,}/!},|!@[,False,False,False,cryptarithm_solver,|!*@[,5,,,{},{},no_candidate
c43b5a13,abstain,,)|,$):$,False,False,False,cryptarithm_solver,$)+:$,3,,,{},{},no_candidate
b0206bb7,abstain,,]$!,$){,False,False,False,constraint_gate,${*)},5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=$
638f93ca,abstain,,@,$<]$,False,False,False,cryptarithm_solver,$<-]$,4,,,{},{},no_candidate
4bfd095a,abstain,,{<<<,@/[@,False,False,False,constraint_gate,@/*[@,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=@
7a422e17,abstain,,%'!,"#`""",False,False,False,cryptarithm_solver,"#`@{""",4,,,{},{},no_candidate
5b2523e6,abstain,,&&,><\$,False,False,False,cryptarithm_solver,><-\$,4,,,{},{},no_candidate
0fe53bac,candidate,}:(,"(""",^?(|,False,True,False,cryptarithm_nonunique_digit,^?+(|,4,1,1,"{""!"": 0, ""\"""": 8, ""("": 2, "")"": 0, ""-"": 4, "":"": 3, ""?"": 6, ""@"": 4, ""^"": 0, ""|"": 2, ""}"": 1}","{""+"": ""mul"", ""-"": ""abs_diff""}",unique_digits=False unique_answers=1 top_votes=1 total=1
274def88,abstain,,92,-92,False,False,False,constraint_gate,85-92,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=5
03a3437f,abstain,,-!,'}>/,False,False,False,cryptarithm_solver,'}-/>,3,,,{},{},no_candidate
30ac5c8e,abstain,,)#?,@\}?,False,False,False,constraint_gate,@\+}?,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=?
ff121f08,abstain,,#<,!%<<,False,False,False,parse_gate,!%+<<,5,,,{},{},example_lhs_not_len5
ec8b4875,abstain,,"|""]",|@<!,False,False,False,constraint_gate,|@*<!,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=!|
e3fbc768,abstain,,'(^),%??,False,False,False,constraint_gate,{%/??,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=%
6cc5dafb,abstain,,)(,^&>),False,False,False,cryptarithm_solver,^&!>),4,,,{},{},no_candidate
d5a03a2e,abstain,,>>,""")&&",False,False,False,constraint_gate,""""")&&",4,,,{},{},"query_symbols_not_observed_in_arithmetic_examples="""
fb623471,abstain,,-21,21,False,False,False,constraint_gate,08-29,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=029
d129b085,abstain,,##$,!>``,False,False,False,constraint_gate,"!>+`""",4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=`
e582df31,abstain,,}@,"""']@",False,False,False,constraint_gate,"""'?]@",3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=@
a77be9fa,abstain,,"[""",{>$[,False,False,False,constraint_gate,{>|$[,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=>{
4ed6b56f,abstain,,"(""/""",!:`(,False,False,False,constraint_gate,!:*`(,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=!
208d7838,abstain,,[:,[&<>,False,False,False,constraint_gate,[&-<>,5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=>
58c099d2,abstain,,-)\,^!#\,False,False,False,constraint_gate,^!-#\,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=!
3cb3fd89,abstain,,[[&],]$$),False,False,False,cryptarithm_solver,]$*$),4,,,{},{},no_candidate
a26065d4,abstain,,<',<&<#,False,False,False,cryptarithm_solver,<&+<#,5,,,{},{},no_candidate
194695e8,candidate,{<,%,!\{<,False,True,False,cryptarithm_unique_digit,!\-{<,3,1,1,"{""!"": 3, ""$"": 7, ""%"": 0, ""<"": 8, ""\\"": 6, ""]"": 5, ""{"": 1, ""|"": 2}","{""*"": ""mul"", ""-"": ""abs_diff""}",unique_digits=True unique_answers=1 top_votes=1 total=1
528ec0d8,abstain,,-39,39,False,False,False,constraint_gate,11-50,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=05
57712d01,abstain,,-/<,$/'{,False,False,False,cryptarithm_solver,$/-'{,5,,,{},{},no_candidate
d98d85c0,abstain,,?(&@,(@@?,False,False,False,constraint_gate,(@+@?,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=?
491b8ea5,abstain,,)!,@|]!,False,False,False,cryptarithm_solver,@|-]!,3,,,{},{},no_candidate
eb1a62f7,abstain,,>!>},){>),False,False,False,cryptarithm_solver,)}*>),3,,,{},{},no_candidate
0bb591e6,abstain,,%?<,"""$%%""",False,False,False,constraint_gate,"""$+%%",4,,,{},{},"query_symbols_not_observed_in_arithmetic_examples="""
9a19fc2d,abstain,,#>[,!&)#,False,False,False,cryptarithm_solver,!&+)#,5,,,{},{},no_candidate
528b694b,candidate,@>@,"""'",>]]),False,True,False,cryptarithm_nonunique_digit,>]<]),4,1,2,"{""\"""": 3, ""$"": 9, ""'"": 0, "")"": 2, ""<"": 1, "">"": 2, ""@"": 1, ""\\"": 1, ""]"": 9, ""^"": 1, ""{"": 0}","{""+"": ""rev_concat"", ""<"": ""add""}",unique_digits=False unique_answers=2 top_votes=1 total=2
d1bd7478,abstain,,30,03,False,False,False,constraint_gate,37:67,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=36
fba40625,abstain,,'>&,{>?#,False,False,False,cryptarithm_solver,{>'?#,4,,,{},{},no_candidate
c5b058d6,abstain,,134,35,False,False,False,constraint_gate,94)40,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=09
837a6ae7,abstain,,<>\>,"<:{""",False,False,False,cryptarithm_solver,"<{*:""",5,,,{},{},no_candidate
d0e1010b,abstain,,!&&},|&$|,False,False,False,constraint_gate,|&*$|,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=$&
5a0d5d2a,abstain,,341,55,False,False,False,constraint_gate,39+94,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=3
5a9fcf68,abstain,,4443,4,False,False,False,constraint_gate,24@28,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=8
6e56b39a,abstain,,-/#,&#!,False,False,False,constraint_gate,&#-!],4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=#
a5f1991c,candidate,@,/|',!&&&,False,True,False,cryptarithm_unique_digit,!?/&&,5,1,2,"{""!"": 2, ""&"": 3, ""'"": 1, ""?"": 4, ""@"": 9, ""}"": 8}","{""/"": ""abs_diff"", ""["": ""add""}",unique_digits=True unique_answers=2 top_votes=1 total=2
c7aae192,abstain,,">""(","\""]",False,False,False,constraint_gate,"\""*}}",2,,,{},{},"query_symbols_not_observed_in_arithmetic_examples=""\}"
e4cc7639,abstain,,113,16,False,False,False,cryptarithm_solver,48*64,5,,,{},{},no_candidate
844f826c,abstain,,"/""",`@>`,False,False,False,parse_gate,@*>,5,,,{},{},query_not_len5
8193e7e0,abstain,,??{`,#?&`,False,False,False,parse_gate,#?*&`,4,,,{},{},example_lhs_not_len5
5bcb572e,abstain,,-!#,"""{!",False,False,False,cryptarithm_solver,"""{-{!",3,,,{},{},no_candidate
cdec898a,abstain,,<?/,>}][?,False,False,False,constraint_gate,>}+]?,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=?
edf364da,abstain,,$(%,::{[,False,False,False,constraint_gate,::*{[,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=:
0e009c6d,abstain,,`?\!,@?`?,False,False,False,constraint_gate,@?'`?,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=?
b4b73143,abstain,,>\:,>!!/,False,False,False,constraint_gate,>!%!/,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=>
861cb154,abstain,,2271,10,False,False,False,constraint_gate,14!24,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=12
90feb0c5,abstain,,:<],?>>>,False,False,False,constraint_gate,?>'>>,3,,,{},{},query_symbols_not_observed_in_arithmetic_examples=?
b9f1d959,abstain,,:>,"$""\[""",False,False,False,constraint_gate,"$\+""[",5,,,{},{},query_symbols_not_observed_in_arithmetic_examples=$
ca5db1c0,abstain,,^,"(""'|",False,False,False,constraint_gate,"(""-'|",3,,,{},{},query_symbols_not_observed_in_arithmetic_examples='(|
9f1ff166,abstain,,[,"""]'/",False,False,False,cryptarithm_solver,"""]-'/",4,,,{},{},no_candidate
432b1110,abstain,,%[:?,\{<?,False,False,False,constraint_gate,\{*<?,4,,,{},{},no_arithmetic_examples_for_query_operator
f7d26b8d,abstain,,/@,[}}\,False,False,False,cryptarithm_solver,[}-}\,5,,,{},{},no_candidate
20f0fac9,abstain,,2976,65,False,False,False,constraint_gate,31%96,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=36
26e48e98,abstain,,){|,"""%]%{""",False,False,False,cryptarithm_solver,"""])%{",5,,,{},{},no_candidate
5501c054,abstain,,[#>#,!##^,False,False,False,cryptarithm_solver,!#$#^,5,,,{},{},no_candidate
ea6d926a,abstain,,87,37,False,False,False,constraint_gate,25+62,4,,,{},{},query_symbols_not_observed_in_arithmetic_examples=6
