id,family,source,status,prediction,answer,baseline_prediction,baseline_correct,candidate_correct,reason,proof
9f2fae58,equation_transform,v412_equation_vsa_ranked,abstain,,7272,7272,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
f9799a68,equation_transform,v412_equation_vsa_ranked,abstain,,&:/?,:^?\,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
c24074a8,equation_transform,v412_equation_vsa_ranked,abstain,,&/,]]]%,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
bc7618a7,bit_manipulation,v412_bit_lut_k123,abstain,,00001100,00001100,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [23], ""consistent_counts"": [51], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -4}"
893ffb06,equation_transform,v412_equation_vsa_ranked,abstain,,-@',@``:,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
cf4c04c0,equation_transform,v412_equation_vsa_ranked,abstain,,-[,@|#|,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
8e411cc7,equation_transform,v412_equation_vsa_ranked,abstain,,]]],$&&,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
892d73b5,bit_manipulation,v412_bit_lut_k123,abstain,,00010101,00010101,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [30], ""consistent_counts"": [51], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -8}"
41e6cbfc,equation_transform,v412_equation_vsa_ranked,candidate,9318,9318,9318,True,True,v412_vsa_ranked_unique_prediction,v412_symbolic_position_template:end1|end0|end4|end3=>9318@18; v412_symbolic_position_template:end1|end0|end4|start1=>9318@18; v412_symbolic_position_template:end1|end0|start0|end3=>9318@18; v412_symbolic_position_template:end1|end0|start0|start1=>9318@18; v412_symbolic_position_template:end1|start4|end4|end3=>9318@18
dea42835,equation_transform,v412_equation_vsa_ranked,abstain,,['[/,['[/,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
48c25e0e,equation_transform,v412_equation_vsa_ranked,abstain,,53,32,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
e6d2a064,bit_manipulation,v412_bit_lut_k123,abstain,,11100011,11100010,False,False,ambiguous_lut_prediction_bit_4,"{""accepted_counts"": [3, 2, 39, 2, 7], ""consistent_counts"": [26, 8, 92, 9, 12], ""reason"": ""ambiguous_lut_prediction_bit_4"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 12}"
a1d2bb0c,bit_manipulation,v412_bit_lut_k123,candidate,00100000,00100010,00100010,True,False,v412_lut_unique_or_top_consensus,"b0:LUT1(1,); b1:LUT1(2,); b2:LUT1(3,); b3:LUT1(4,); b4:LUT1(5,); b5:LUT2(0, 6); b6:LUT2(0, 2); b7:LUT1(2,)"
4e4fb429,bit_manipulation,v412_bit_lut_k123,abstain,,10111110,10111110,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [15], ""consistent_counts"": [16], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 6}"
7ef4d5d6,equation_transform,v412_equation_vsa_ranked,abstain,,>42,>42,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
3ee36e0a,equation_transform,v412_equation_vsa_ranked,abstain,,-51,-51,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
39c237c7,equation_transform,v412_equation_vsa_ranked,abstain,,{]``,{]``,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
963e85bb,equation_transform,v412_equation_vsa_ranked,abstain,,76,76,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
a98d4d53,equation_transform,v412_equation_vsa_ranked,abstain,,-),!$$[,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
0e70c867,bit_manipulation,v412_bit_lut_k123,abstain,,01000000,01001100,False,False,ambiguous_lut_prediction_bit_1,"{""accepted_counts"": [8, 22], ""consistent_counts"": [16, 33], ""reason"": ""ambiguous_lut_prediction_bit_1"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 12}"
59733f94,equation_transform,v412_equation_vsa_ranked,abstain,,/,$/>/,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
b1bc3731,equation_transform,v412_equation_vsa_ranked,candidate,"""523",63,63,True,False,v412_vsa_ranked_unique_prediction,"v412_symbolic_transducer:""->,)->,0->"",1->,2->,4->2,5->7,6->6,7->5,8->8=>""523@78; v412_symbolic_transducer:""->,)->,0->"",1->7,2->,4->2,5->,6->6,7->5,8->8=>""523@78; v412_symbolic_transducer:""->,)->,0->"",1->7,2->,4->2,5->6,6->,7->5,8->8=>""523@78; v412_symbolic_transducer:""->,)->6,0->"",1->7,2->,4->2,5->,6->,7->5,8->8=>""523@84; v412_symbolic_transducer:""->,)->7,0->"",1->,2->,4->2,5->,6->6,7->5,8->8=>""523@84"
54b895c1,bit_manipulation,v412_bit_lut_k123,abstain,,10111011,10111011,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [10], ""consistent_counts"": [15], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 6}"
ed24e7af,bit_manipulation,v412_bit_lut_k123,abstain,,00001001,00001001,True,False,ambiguous_lut_prediction_bit_7,"{""accepted_counts"": [16, 79, 79, 25, 26, 38, 22, 25], ""consistent_counts"": [29, 92, 92, 30, 29, 41, 29, 30], ""reason"": ""ambiguous_lut_prediction_bit_7"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
3cd80c64,bit_manipulation,v412_bit_lut_k123,abstain,,01100100,01100100,True,False,ambiguous_lut_prediction_bit_1,"{""accepted_counts"": [39, 10], ""consistent_counts"": [92, 37], ""reason"": ""ambiguous_lut_prediction_bit_1"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -4}"
a1523a63,equation_transform,v412_equation_vsa_ranked,abstain,,87,87,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
f2b23d11,bit_manipulation,v412_bit_lut_k123,abstain,,10000000,10000000,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [23], ""consistent_counts"": [33], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 6}"
5cbe919f,bit_manipulation,v412_bit_lut_k123,abstain,,00000000,00000000,True,False,ambiguous_lut_prediction_bit_4,"{""accepted_counts"": [62, 62, 62, 62, 23], ""consistent_counts"": [92, 92, 92, 92, 35], ""reason"": ""ambiguous_lut_prediction_bit_4"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 8}"
3383d4ec,equation_transform,v412_equation_vsa_ranked,abstain,,66,66,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
9dae880f,equation_transform,v412_equation_vsa_ranked,abstain,,))[,:<`\,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
b43d9cd5,bit_manipulation,v412_bit_lut_k123,abstain,,11100100,11100100,True,False,ambiguous_lut_prediction_bit_2,"{""accepted_counts"": [9, 15, 24], ""consistent_counts"": [29, 31, 54], ""reason"": ""ambiguous_lut_prediction_bit_2"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -4}"
64890e18,bit_manipulation,v412_bit_lut_k123,abstain,,00001100,00001100,True,False,ambiguous_lut_prediction_bit_4,"{""accepted_counts"": [17, 8, 6, 15, 4], ""consistent_counts"": [40, 30, 29, 35, 9], ""reason"": ""ambiguous_lut_prediction_bit_4"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 8}"
d6187157,bit_manipulation,v412_bit_lut_k123,abstain,,01001000,01001000,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [31], ""consistent_counts"": [38], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -4}"
de91def4,bit_manipulation,v412_bit_lut_k123,abstain,,10000111,10000111,True,False,ambiguous_lut_prediction_bit_5,"{""accepted_counts"": [25, 74, 74, 74, 74, 29], ""consistent_counts"": [29, 92, 92, 92, 92, 35], ""reason"": ""ambiguous_lut_prediction_bit_5"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -6}"
2af7134e,equation_transform,v412_equation_vsa_ranked,abstain,,20,20,True,False,no_consistent_vsa_program,"{""program_count"": 2, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
ae6be599,equation_transform,v412_equation_vsa_ranked,abstain,,#`,$?]$,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
b26d8818,equation_transform,v412_equation_vsa_ranked,abstain,,5983,5983,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
8494aad3,equation_transform,v412_equation_vsa_ranked,abstain,,"""`#&","])<""",False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
8df3daad,equation_transform,v412_equation_vsa_ranked,candidate,4511,34,34,True,False,v412_vsa_ranked_unique_prediction,v412_symbolic_position_template:end4|end3|end1|end0=>4511@24; v412_symbolic_position_template:end4|end3|end1|start4=>4511@24; v412_symbolic_position_template:end4|end3|start3|end0=>4511@24; v412_symbolic_position_template:end4|end3|start3|start4=>4511@24; v412_symbolic_position_template:end4|start1|end1|end0=>4511@24
791056ce,equation_transform,v412_equation_vsa_ranked,abstain,,4922,4922,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
29e458d6,bit_manipulation,v412_bit_lut_k123,abstain,,00010010,00010010,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [7], ""consistent_counts"": [9], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 4}"
3c12aeb9,equation_transform,v412_equation_vsa_ranked,abstain,,321,321,True,False,no_consistent_vsa_program,"{""program_count"": 3, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
69aa57b3,equation_transform,v412_equation_vsa_ranked,abstain,,4472,4472,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
e3890bf7,equation_transform,v412_equation_vsa_ranked,abstain,,{@%],(^@{,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
d204b9cc,equation_transform,v412_equation_vsa_ranked,abstain,,231,231,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
7a79ac09,bit_manipulation,v412_bit_lut_k123,abstain,,11111111,11111111,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [17], ""consistent_counts"": [30], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -6}"
d29e19a4,equation_transform,v412_equation_vsa_ranked,abstain,,?|,|''>,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
b06625c4,equation_transform,v412_equation_vsa_ranked,abstain,,^&/,"""$ $]""",False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
84030b0b,equation_transform,v412_equation_vsa_ranked,abstain,,24,24,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
3a67aa26,bit_manipulation,v412_bit_lut_k123,abstain,,00101110,00101110,True,False,ambiguous_lut_prediction_bit_3,"{""accepted_counts"": [9, 7, 10, 30], ""consistent_counts"": [10, 8, 11, 37], ""reason"": ""ambiguous_lut_prediction_bit_3"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 2}"
710cf035,bit_manipulation,v412_bit_lut_k123,abstain,,10000011,10000011,True,False,ambiguous_lut_prediction_bit_1,"{""accepted_counts"": [26, 20], ""consistent_counts"": [29, 31], ""reason"": ""ambiguous_lut_prediction_bit_1"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
52be4988,equation_transform,v412_equation_vsa_ranked,abstain,,'!,&&&`,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
b8722d19,bit_manipulation,v412_bit_lut_k123,abstain,,00100100,11110100,False,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [22], ""consistent_counts"": [35], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -4}"
99d6a3b5,equation_transform,v412_equation_vsa_ranked,abstain,,?()<,(<)),False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
2d3547af,equation_transform,v412_equation_vsa_ranked,abstain,,))^),\${,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
8c9fcc6b,bit_manipulation,v412_bit_lut_k123,abstain,,11110111,11110111,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [20], ""consistent_counts"": [31], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -6}"
28b0ff48,equation_transform,v412_equation_vsa_ranked,abstain,,'],|^^^,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
3fa49035,equation_transform,v412_equation_vsa_ranked,abstain,,696,696,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
61557701,equation_transform,v412_equation_vsa_ranked,abstain,,|&,'{),False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
8c0f9291,bit_manipulation,v412_bit_lut_k123,candidate,00001111,00001111,00001111,True,True,v412_lut_unique_or_top_consensus,"b0:LUT2(1, 4); b1:LUT2(2, 5); b2:LUT2(3, 6); b3:LUT2(4, 7); b4:LUT2(0, 5); b5:LUT1(0,)|LUT1(1,)|LUT1(2,)|LUT1(3,)|LUT1(4,); b6:LUT2(2, 7); b7:LUT1(0,)|LUT1(1,)|LUT1(2,)|LUT1(3,)|LUT1(4,)"
d6e6f8b5,bit_manipulation,v412_bit_lut_k123,abstain,,11100001,11100001,True,False,ambiguous_lut_prediction_bit_2,"{""accepted_counts"": [26, 22, 28], ""consistent_counts"": [29, 29, 38], ""reason"": ""ambiguous_lut_prediction_bit_2"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
3a90fdf6,bit_manipulation,v412_bit_lut_k123,abstain,,10100000,10100000,True,False,ambiguous_lut_prediction_bit_2,"{""accepted_counts"": [64, 25, 12], ""consistent_counts"": [92, 33, 16], ""reason"": ""ambiguous_lut_prediction_bit_2"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 2}"
56343b77,equation_transform,v412_equation_vsa_ranked,abstain,,711,711,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
08df5363,bit_manipulation,v412_bit_lut_k123,abstain,,01011100,01011100,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [11], ""consistent_counts"": [21], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 4}"
d50746e7,bit_manipulation,v412_bit_lut_k123,abstain,,01000010,01000010,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [10], ""consistent_counts"": [12], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 6}"
2facfaa4,bit_manipulation,v412_bit_lut_k123,abstain,,00111110,00111110,True,False,ambiguous_lut_prediction_bit_1,"{""accepted_counts"": [29, 40], ""consistent_counts"": [29, 42], ""reason"": ""ambiguous_lut_prediction_bit_1"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -4}"
7ac90433,equation_transform,v412_equation_vsa_ranked,candidate,23,-23,-23,True,False,v412_vsa_ranked_unique_prediction,v412_numeric_vsa:same_op:rev_sub_ab:revop=0:revres=1=>23@56; v412_numeric_vsa:all_ops:rev_sub_ab:revop=0:revres=1=>23@61
8abcff0f,bit_manipulation,v412_bit_lut_k123,abstain,,11110111,11110111,True,False,ambiguous_lut_prediction_bit_4,"{""accepted_counts"": [18, 22, 18, 23, 20], ""consistent_counts"": [29, 30, 29, 29, 36], ""reason"": ""ambiguous_lut_prediction_bit_4"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
02902eb3,equation_transform,v412_equation_vsa_ranked,abstain,,>/,!!$>,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
ddc5aefe,bit_manipulation,v412_bit_lut_k123,abstain,,00000001,00000001,True,False,ambiguous_lut_prediction_bit_0,"{""accepted_counts"": [9], ""consistent_counts"": [20], ""reason"": ""ambiguous_lut_prediction_bit_0"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 22}"
0d90736f,equation_transform,v412_equation_vsa_ranked,abstain,,:,::)[,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
294453b5,equation_transform,v412_equation_vsa_ranked,abstain,,&(,##!),False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
75ecd32c,bit_manipulation,v412_bit_lut_k123,abstain,,11100011,11100011,True,False,ambiguous_lut_prediction_bit_2,"{""accepted_counts"": [22, 22, 23], ""consistent_counts"": [29, 29, 30], ""reason"": ""ambiguous_lut_prediction_bit_2"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
12e0ac8c,bit_manipulation,v412_bit_lut_k123,abstain,,10101001,10101001,True,False,ambiguous_lut_prediction_bit_1,"{""accepted_counts"": [6, 20], ""consistent_counts"": [7, 22], ""reason"": ""ambiguous_lut_prediction_bit_1"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 0}"
386b6d03,equation_transform,v412_equation_vsa_ranked,abstain,,671,18,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
2ead53dc,bit_manipulation,v412_bit_lut_k123,abstain,,00000101,00000101,True,False,ambiguous_lut_prediction_bit_4,"{""accepted_counts"": [65, 65, 65, 65, 13], ""consistent_counts"": [92, 92, 92, 92, 34], ""reason"": ""ambiguous_lut_prediction_bit_4"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -8}"
57f6878e,equation_transform,v412_equation_vsa_ranked,abstain,,%{{,|@(!,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
05ca617c,bit_manipulation,v412_bit_lut_k123,abstain,,11011011,01011011,False,False,ambiguous_lut_prediction_bit_2,"{""accepted_counts"": [1, 9, 21], ""consistent_counts"": [14, 15, 38], ""reason"": ""ambiguous_lut_prediction_bit_2"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": 8}"
6890870d,bit_manipulation,v412_bit_lut_k123,abstain,,01110000,01110000,True,False,ambiguous_lut_prediction_bit_1,"{""accepted_counts"": [18, 16], ""consistent_counts"": [29, 32], ""reason"": ""ambiguous_lut_prediction_bit_1"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -8}"
1c566511,bit_manipulation,v412_bit_lut_k123,abstain,,01010010,01010010,True,False,ambiguous_lut_prediction_bit_2,"{""accepted_counts"": [7, 7, 29], ""consistent_counts"": [7, 8, 31], ""reason"": ""ambiguous_lut_prediction_bit_2"", ""status"": ""abstain"", ""top_predictions"": [0, 1], ""top_score"": -10}"
bc83b0a1,equation_transform,v412_equation_vsa_ranked,abstain,,(/&{,(/&{,True,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
a361a1b7,equation_transform,v412_equation_vsa_ranked,abstain,,:46,46,False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
d911e8e1,equation_transform,v412_equation_vsa_ranked,abstain,,:\:,@}<',False,False,no_consistent_vsa_program,"{""program_count"": 0, ""reason"": ""no_consistent_vsa_program"", ""status"": ""abstain""}"
