id,subtype,answer,current_prediction,query,examples_count,query_len,answer_len,prediction_len,query_charset,answer_charset,query_symbols,example_input_symbols,example_output_symbols,query_symbols_seen_in_example_inputs,answer_chars_subset_query,answer_chars_subset_example_outputs,answer_is_subsequence_of_query,answer_is_substring_of_query,answer_reverse_is_substring_of_query,edit_distance_query_answer,v324_candidate_rows,v324_incorrect_candidates,v324_abstain_rows,cluster_key,priority_reason
28b0ff48,equation_symbolic_punct,'],|^^^,|^-^^,3,5,2,4,-^|,'],-^|,"""#'(*+-/?^|","""'(/]|",True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
294453b5,equation_symbolic_punct,&(,##!),##-!),3,5,2,4,!#)-,&(,!#)-,!&)*-:>@`,!&(`,False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
491b8ea5,equation_symbolic_punct,)!,@|]!,@|-]!,3,5,2,4,!-@]|,!),!-@]|,!)*+-/@]^{|,!)/]|},True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
528b694b,equation_symbolic_punct,"""'",>]],>]<]),4,5,2,3,)<>],"""'",)<>],$')+<>@\]^,"""')<>@]^{",True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
52be4988,equation_symbolic_punct,'!,&&&`,&&+&`,5,5,2,4,&+`,!',&+`,&'*+-/<?[\`|,!&'-/<\`|,True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
5b2523e6,equation_symbolic_punct,&&,><\$,><-\$,4,5,2,4,$-<>\,&,$-<>\,!$&')*+:<>?\,&':<>\,False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
844f826c,equation_symbolic_punct,"/""",`@>``,@*>,5,3,2,5,*>@,"""/",*>@,"""#$)*-/>@^`","""#)/>@]`",True,False,True,False,False,False,3,0,0,21,equation_symbolic_punct|alen=2|qlen=3|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
a26065d4,equation_symbolic_punct,<',<&<#,<&+<#,5,5,2,4,#&+<,'<,#&+<,#$&'+-<[]`|,#$&'<@[,True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
a98d4d53,equation_symbolic_punct,-),!$$[,!$-$[,3,5,2,4,!$-[,)-,!$-[,$)*+-/:[|,#$)-/[|,False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
c24074a8,equation_symbolic_punct,&/,]]]%,]]`]%,5,5,2,4,%]`,&/,%]`,#&()/<>?]|},#%&()/<?]|},False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
d29e19a4,equation_symbolic_punct,?|,|''>,|'$>',4,5,2,4,$'>|,?|,$'>|,$&+>?\]|},#&:?\]^|},False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
d5a03a2e,equation_symbolic_punct,>>,""")&&",""""")&&",4,5,2,4,"""&)",>,"""&)",!%&)+/>?@^`{,!&/>?@^{,False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
e3bf0c2c,equation_symbolic_punct,"""`",@`',@`}'',5,5,2,3,'@`},"""`",'@`},"""&'()/@[\`}","""&'@[\^`",True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
e582df31,equation_symbolic_punct,}@,"""']@","""'?]@",3,5,2,4,"""'?@]",@},"""'?@]","!""#'/?[]^}","""#':?@}",False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
f7d26b8d,equation_symbolic_punct,/@,[}}\,[}-}\,5,5,2,4,-[\},/@,-[\},$%*+-/[\]`},$-/@[\]`},True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
ff121f08,equation_symbolic_punct,#<,!%<<,!%+<<,5,5,2,4,!%+<,#<,!%+<,!#%(+<>\^`,#%+/<>@[^`,True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=2|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
6e56b39a,equation_symbolic_punct,-/#,&#!,&#-!],4,5,3,3,!#&-],#-/,!#&-],!%&)-/>[]^,#-/>[],False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
893ffb06,equation_symbolic_punct,-@',@``:,@`-`:,4,5,3,4,-:@`,'-@,-:@`,!')*+-:@{|},')-:@`{|},False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
8e411cc7,equation_symbolic_punct,]]],$&&,$&!&},4,5,3,3,!$&},],!$&},"!""#$(-:]^}",$&(/<],False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
9a19fc2d,equation_symbolic_punct,#>[,!&)#,!&+)#,5,5,3,4,!#&)+,#>[,!#&)+,!#&')+-/>[{},!#&'>[{,True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
9dae880f,equation_symbolic_punct,))[,:<`\,:<}`\,5,5,3,4,:<\`},)[,:<\`},"""#$':>[\`|}","""#):<[\",False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
cdec898a,equation_symbolic_punct,<?/,>}][?,>}+]?,4,5,3,5,+>?]},/<?,+>?]},%)+-/<>]`},%)-/<?},False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
d129b085,equation_symbolic_punct,##$,!>``,"!>+`""",4,5,3,4,"!""+>`",#$,"!""+>`","!""#*+<>@\]",#$>@\]`,False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
d911e8e1,equation_symbolic_punct,:\:,@}<',@})<',3,5,3,4,')<@},:\,')<@},"""#$&'():>@}","""#$':\}",False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
fba40625,equation_symbolic_punct,'>&,{>?#,{>'?#,4,5,3,4,#'>?{,&'>,#'>?{,#%')/>?]^`{,#&')>?]{,True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=3|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
09d5ee68,equation_symbolic_punct,!?'!,|:>>,|:*>>,4,5,4,4,*:>|,!'?,*:>|,!$&'*+-:<>?|,!$&'-:<>?|,True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
2d3547af,equation_symbolic_punct,))^),\${,\$&\\,4,5,4,3,$&\,)^,$&\,!#$&()/<>\`},$()/<\^},True,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
432b1110,equation_symbolic_punct,%[:?,\{<?,\{*<?,4,5,4,4,*<?\{,%:?[,*<?\{,%+/@[\]{,%/@[\]{,False,False,False,False,False,False,4,3,3,18,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=0|ans_subseq_q=0,v324_had_candidate_but_failed
4ed6b56f,equation_symbolic_punct,"(""/""",!:`(,!:*`(,4,5,4,4,!(*:`,"""(/",!(*:`,'(*+-:>]`},"!""'(/:]`",False,False,True,False,False,False,5,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
5501c054,equation_symbolic_punct,[#>#,!##^,!#$#^,5,5,4,4,!#$^,#>[,!#$^,"!""#&')[\^{}","!""#>[^",False,False,True,False,False,False,3,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
99d6a3b5,equation_symbolic_punct,?()<,(<)),(<%)),4,5,4,4,%()<,()<?,%()<,!#%)<?[`,!#()<?[^`{,False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
d0e1010b,equation_symbolic_punct,!&&},|&$|,|&*$|,4,5,4,4,$&*|,!&},$&*|,!#%'*+>^|,!#$%&>^},False,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=0|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
f9a33aa1,equation_symbolic_punct,/((`,@($/,@(\$/,4,5,4,4,$(/@\,(/`,$(/@\,$%&'(/@\`},#$%'(/`},True,False,True,False,False,False,4,0,0,21,equation_symbolic_punct|alen=4|qlen=5|qops_seen=1|ans_subset_q=0|ans_subset_out=1|ans_subseq_q=0,answer_chars_seen_in_outputs
