id,family,correct,completion_tokens,raw_chars,exact_boxed_only,starts_boxed,contains_boxed,contains_deduce_trace,contains_output_bit_columns,contains_matching_output,contains_final_answer_phrase
52be4988,equation_transform,False,702,1488,False,False,True,False,False,False,False
b8722d19,bit_manipulation,False,6122,8533,False,False,True,True,True,True,False
99d6a3b5,equation_transform,False,606,1296,False,False,True,False,False,False,False
2d3547af,equation_transform,False,596,1285,False,False,True,False,False,False,False
8c9fcc6b,bit_manipulation,True,6422,8699,False,False,True,True,True,True,False
28b0ff48,equation_transform,False,479,1060,False,False,True,False,False,False,False
3fa49035,equation_transform,True,5549,10091,False,False,True,False,False,False,False
61557701,equation_transform,False,587,1274,False,False,True,False,False,False,False
8c0f9291,bit_manipulation,True,6948,9232,False,False,True,True,True,True,False
d6e6f8b5,bit_manipulation,True,7350,9531,False,False,True,True,True,True,False
3a90fdf6,bit_manipulation,True,7117,8931,False,False,True,True,True,True,False
56343b77,equation_transform,True,5517,10207,False,False,True,False,False,False,False
08df5363,bit_manipulation,True,6630,8470,False,False,True,True,True,True,False
d50746e7,bit_manipulation,True,6341,8306,False,False,True,True,True,True,False
2facfaa4,bit_manipulation,True,6264,8216,False,False,True,True,True,True,False
7ac90433,equation_transform,True,6117,11080,False,False,True,False,False,False,False
8abcff0f,bit_manipulation,True,7083,8968,False,False,True,True,True,True,False
02902eb3,equation_transform,False,494,1072,False,False,True,False,False,False,False
ddc5aefe,bit_manipulation,True,6205,8436,False,False,True,True,True,True,False
0d90736f,equation_transform,False,706,1496,False,False,True,False,False,False,False
294453b5,equation_transform,False,482,1060,False,False,True,False,False,False,False
75ecd32c,bit_manipulation,True,6914,8724,False,False,True,True,True,True,False
12e0ac8c,bit_manipulation,True,7291,9441,False,False,True,True,True,True,False
386b6d03,equation_transform,False,5844,10752,False,False,True,False,False,False,False
2ead53dc,bit_manipulation,True,6563,8316,False,False,True,True,True,True,False
57f6878e,equation_transform,False,688,1478,False,False,True,False,False,False,False
05ca617c,bit_manipulation,False,6645,8701,False,False,True,True,True,True,False
6890870d,bit_manipulation,True,6764,8614,False,False,True,True,True,True,False
1c566511,bit_manipulation,True,6902,8694,False,False,True,True,True,True,False
bc83b0a1,equation_transform,True,713,1461,False,False,True,False,False,False,False
a361a1b7,equation_transform,False,6166,11013,False,False,True,False,False,False,False
d911e8e1,equation_transform,False,481,1060,False,False,True,False,False,False,False
4353cd0b,bit_manipulation,True,6127,8195,False,False,True,True,True,True,False
7688e06e,equation_transform,False,6635,11593,False,False,True,False,False,False,False
30ba0cf4,bit_manipulation,True,6340,8154,False,False,True,True,True,True,False
dbd0e3c9,equation_transform,True,5798,10498,False,False,True,False,False,False,False
8fbd2477,bit_manipulation,True,6718,8559,False,False,True,True,True,True,False
ba61b815,bit_manipulation,True,6737,8874,False,False,True,True,True,True,False
2e2d60b2,equation_transform,True,5681,10325,False,False,True,False,False,False,False
5f9f0ed7,equation_transform,False,718,1508,False,False,True,False,False,False,False
333d93ec,equation_transform,True,6340,11288,False,False,True,False,False,False,False
74fff108,equation_transform,True,5592,10272,False,False,True,False,False,False,False
c43b5a13,equation_transform,False,477,1056,False,False,True,False,False,False,False
b0206bb7,equation_transform,False,709,1502,False,False,True,False,False,False,False
638f93ca,equation_transform,False,601,1288,False,False,True,False,False,False,False
5b9964c7,bit_manipulation,True,6238,8173,False,False,True,True,True,True,False
a6f7139f,bit_manipulation,True,6744,8805,False,False,True,True,True,True,False
b2fb65cf,bit_manipulation,True,6909,9256,False,False,True,True,True,True,False
4bfd095a,equation_transform,False,603,1292,False,False,True,False,False,False,False
7a422e17,equation_transform,False,588,1275,False,False,True,False,False,False,False
7192535b,bit_manipulation,False,6986,9218,False,False,True,True,True,True,False
5b2523e6,equation_transform,False,591,1276,False,False,True,False,False,False,False
dbb611da,bit_manipulation,True,6937,9187,False,False,True,True,True,True,False
0fe53bac,equation_transform,False,585,1272,False,False,True,False,False,False,False
07ceed47,bit_manipulation,True,6562,8652,False,False,True,True,True,True,False
274def88,equation_transform,False,5986,10944,False,False,True,False,False,False,False
7aa4fdf0,bit_manipulation,True,6863,8902,False,False,True,True,True,True,False
03a3437f,equation_transform,False,484,1067,False,False,True,False,False,False,False
f2014638,bit_manipulation,True,6599,8404,False,False,True,True,True,True,False
a8ea0e29,bit_manipulation,True,7234,8953,False,False,True,True,True,True,False
30ac5c8e,equation_transform,False,726,1512,False,False,True,False,False,False,False
3cfc5f9c,bit_manipulation,True,6355,8385,False,False,True,True,True,True,False
08d8d7e1,equation_transform,True,5771,10418,False,False,True,False,False,False,False
ff121f08,equation_transform,False,711,1500,False,False,True,False,False,False,False
114a7439,bit_manipulation,True,5939,7791,False,False,True,True,True,True,False
343095d3,bit_manipulation,True,7102,9074,False,False,True,True,True,True,False
a4dd4cce,bit_manipulation,True,6467,8400,False,False,True,True,True,True,False
6b11c05f,bit_manipulation,True,6746,9020,False,False,True,True,True,True,False
42cb233d,equation_transform,True,5494,10162,False,False,True,False,False,False,False
ec8b4875,equation_transform,False,495,1072,False,False,True,False,False,False,False
e3fbc768,equation_transform,False,475,1056,False,False,True,False,False,False,False
6cc5dafb,equation_transform,False,593,1276,False,False,True,False,False,False,False
d5a03a2e,equation_transform,False,581,1265,False,False,True,False,False,False,False
eea91b82,bit_manipulation,True,7350,9465,False,False,True,True,True,True,False
4736daab,bit_manipulation,True,6598,8475,False,False,True,True,True,True,False
8bebef83,equation_transform,True,5857,10462,False,False,True,False,False,False,False
efc2b69d,bit_manipulation,True,6086,7896,False,False,True,True,True,True,False
a794d193,bit_manipulation,True,6641,8710,False,False,True,True,True,True,False
0f7ddd75,bit_manipulation,True,7083,8994,False,False,True,True,True,True,False
27cec7a9,equation_transform,True,5877,10673,False,False,True,False,False,False,False
a6704625,bit_manipulation,False,7210,9646,False,False,True,True,True,True,False
d117113e,bit_manipulation,True,6587,8516,False,False,True,True,True,True,False
4aeed935,equation_transform,True,5608,10329,False,False,True,False,False,False,False
6f7a9048,bit_manipulation,True,7277,9367,False,False,True,True,True,True,False
8740ed31,bit_manipulation,False,6290,8474,False,False,True,True,True,True,False
fb623471,equation_transform,False,5601,10397,False,False,True,False,False,False,False
88b43464,equation_transform,True,5597,10211,False,False,True,False,False,False,False
209c43f0,equation_transform,True,5651,10220,False,False,True,False,False,False,False
8ac52d78,bit_manipulation,True,6398,8293,False,False,True,True,True,True,False
f507b7f1,bit_manipulation,False,6550,8821,False,False,True,True,True,True,False
d129b085,equation_transform,False,605,1288,False,False,True,False,False,False,False
368f20dd,bit_manipulation,True,6726,8624,False,False,True,True,True,True,False
e582df31,equation_transform,False,489,1068,False,False,True,False,False,False,False
a77be9fa,equation_transform,False,488,1064,False,False,True,False,False,False,False
5a19f71a,bit_manipulation,True,6378,8202,False,False,True,True,True,True,False
78d02fc5,bit_manipulation,False,7019,9441,False,False,True,True,True,True,False
4166067c,bit_manipulation,True,6373,8290,False,False,True,True,True,True,False
49fb46e8,bit_manipulation,True,6074,7999,False,False,True,True,True,True,False
779bb1f3,bit_manipulation,True,6565,8830,False,False,True,True,True,True,False
e2b02e13,bit_manipulation,True,6840,8710,False,False,True,True,True,True,False
f8d6abd1,equation_transform,True,5837,10428,False,False,True,False,False,False,False
21245d76,bit_manipulation,True,6545,8693,False,False,True,True,True,True,False
4ed6b56f,equation_transform,False,602,1288,False,False,True,False,False,False,False
e0eba119,bit_manipulation,True,6333,8501,False,False,True,True,True,True,False
55014a7a,bit_manipulation,True,6761,8868,False,False,True,True,True,True,False
0fe06e8c,bit_manipulation,True,7216,9245,False,False,True,True,True,True,False
f8fc43d2,bit_manipulation,True,6530,8404,False,False,True,True,True,True,False
208d7838,equation_transform,False,708,1500,False,False,True,False,False,False,False
58c099d2,equation_transform,False,487,1060,False,False,True,False,False,False,False
d40ce15d,bit_manipulation,True,6656,8744,False,False,True,True,True,True,False
3cb3fd89,equation_transform,False,599,1288,False,False,True,False,False,False,False
c711f9dd,bit_manipulation,True,6670,8542,False,False,True,True,True,True,False
a26065d4,equation_transform,False,697,1476,False,False,True,False,False,False,False
55d834d1,bit_manipulation,False,6285,8601,False,False,True,True,True,True,False
194695e8,equation_transform,False,495,1072,False,False,True,False,False,False,False
4ef88f92,bit_manipulation,True,7260,9520,False,False,True,True,True,True,False
5d77eff6,bit_manipulation,True,7357,9499,False,False,True,True,True,True,False
1a7c8520,bit_manipulation,False,6343,8571,False,False,True,True,True,True,False
1c671acc,bit_manipulation,True,6807,8690,False,False,True,True,True,True,False
528ec0d8,equation_transform,False,6031,10896,False,False,True,False,False,False,False
4bb8c6cd,equation_transform,True,696,1439,False,False,True,False,False,False,False
57712d01,equation_transform,False,700,1496,False,False,True,False,False,False,False
d98d85c0,equation_transform,False,487,1064,False,False,True,False,False,False,False
b62f2e75,bit_manipulation,True,6305,8163,False,False,True,True,True,True,False
7ed40e8a,equation_transform,True,5518,10136,False,False,True,False,False,False,False
491b8ea5,equation_transform,False,493,1067,False,False,True,False,False,False,False
eb1a62f7,equation_transform,False,487,1066,False,False,True,False,False,False,False
0bb591e6,equation_transform,False,572,1262,False,False,True,False,False,False,False
c869b4f6,bit_manipulation,True,6646,8532,False,False,True,True,True,True,False
3c424916,equation_transform,True,5914,10582,False,False,True,False,False,False,False
575f9709,bit_manipulation,True,6721,8573,False,False,True,True,True,True,False
691608b9,bit_manipulation,True,6753,8518,False,False,True,True,True,True,False
72336119,equation_transform,True,5859,10457,False,False,True,False,False,False,False
202af98d,bit_manipulation,False,6832,9456,False,False,True,True,True,True,False
3ace787f,bit_manipulation,False,6748,8831,False,False,True,True,True,True,False
9a19fc2d,equation_transform,False,694,1484,False,False,True,False,False,False,False
dc7f150a,bit_manipulation,True,6174,8038,False,False,True,True,True,True,False
12e947ca,bit_manipulation,True,7155,9021,False,False,True,True,True,True,False
2a5d4790,bit_manipulation,True,6519,8383,False,False,True,True,True,True,False
59bee375,bit_manipulation,False,6592,9039,False,False,True,True,True,True,False
528b694b,equation_transform,False,598,1283,False,False,True,False,False,False,False
d3b20e29,equation_transform,True,5823,10601,False,False,True,False,False,False,False
d1bd7478,equation_transform,False,5729,10743,False,False,True,False,False,False,False
21519be7,equation_transform,True,5565,10157,False,False,True,False,False,False,False
fe6d3aa3,bit_manipulation,True,6963,8936,False,False,True,True,True,True,False
01248b76,bit_manipulation,True,6497,8408,False,False,True,True,True,True,False
0dfd7674,bit_manipulation,True,7075,8954,False,False,True,True,True,True,False
7306613b,equation_transform,True,5990,10668,False,False,True,False,False,False,False
8243c91e,bit_manipulation,True,7032,9153,False,False,True,True,True,True,False
fba40625,equation_transform,False,605,1291,False,False,True,False,False,False,False
9aa8dc92,equation_transform,True,486,1019,False,False,True,False,False,False,False
ef2fe526,bit_manipulation,True,6944,9040,False,False,True,True,True,True,False
c5b058d6,equation_transform,False,5589,10302,False,False,True,False,False,False,False
b4342b90,equation_transform,True,5787,10362,False,False,True,False,False,False,False
837a6ae7,equation_transform,False,699,1491,False,False,True,False,False,False,False
9d3e7f1a,bit_manipulation,True,6636,8534,False,False,True,True,True,True,False
00fdc0be,bit_manipulation,True,6825,8870,False,False,True,True,True,True,False
3a7dd604,bit_manipulation,False,6334,8778,False,False,True,True,True,True,False
d0e1010b,equation_transform,False,611,1292,False,False,True,False,False,False,False
3feeabea,bit_manipulation,True,6674,8655,False,False,True,True,True,True,False
34c563c5,equation_transform,True,5594,10365,False,False,True,False,False,False,False
5a0d5d2a,equation_transform,False,5852,10808,False,False,True,False,False,False,False
5a9fcf68,equation_transform,False,6168,11279,False,False,True,False,False,False,False
6e56b39a,equation_transform,False,602,1282,False,False,True,False,False,False,False
4ada9150,bit_manipulation,False,7002,8849,False,False,True,True,True,True,False
a5f1991c,equation_transform,False,719,1510,False,False,True,False,False,False,False
455b6b61,bit_manipulation,True,6714,8587,False,False,True,True,True,True,False
1d08947a,bit_manipulation,True,6157,7958,False,False,True,True,True,True,False
d26f22c3,bit_manipulation,True,6291,8479,False,False,True,True,True,True,False
c7aae192,equation_transform,False,481,1062,False,False,True,False,False,False,False
a6192d29,bit_manipulation,False,7135,9701,False,False,True,True,True,True,False
e4cc7639,equation_transform,False,6331,11241,False,False,True,False,False,False,False
eeb60061,bit_manipulation,True,6706,8522,False,False,True,True,True,True,False
844f826c,equation_transform,False,725,1517,False,False,True,False,False,False,False
048cc279,bit_manipulation,False,6470,8763,False,False,True,True,True,True,False
20052c2f,bit_manipulation,True,6714,8565,False,False,True,True,True,True,False
89dfa4c2,bit_manipulation,True,7004,8871,False,False,True,True,True,True,False
53329505,bit_manipulation,True,6595,8378,False,False,True,True,True,True,False
ced947c8,bit_manipulation,True,7102,9068,False,False,True,True,True,True,False
0440e6ab,bit_manipulation,True,6507,8663,False,False,True,True,True,True,False
e641791f,bit_manipulation,True,6384,8206,False,False,True,True,True,True,False
bcdf9198,bit_manipulation,True,7390,9129,False,False,True,True,True,True,False
b69391b8,equation_transform,True,5598,10144,False,False,True,False,False,False,False
8193e7e0,equation_transform,False,610,1295,False,False,True,False,False,False,False
20cdbdb1,bit_manipulation,True,7025,9089,False,False,True,True,True,True,False
48ae04f6,bit_manipulation,True,7106,9179,False,False,True,True,True,True,False
3595c82c,bit_manipulation,True,6334,8433,False,False,True,True,True,True,False
5bcb572e,equation_transform,False,485,1067,False,False,True,False,False,False,False
8c1529e1,equation_transform,True,5601,10429,False,False,True,False,False,False,False
cdec898a,equation_transform,False,594,1276,False,False,True,False,False,False,False
bca238ee,bit_manipulation,True,6479,8787,False,False,True,True,True,True,False
5dffe751,bit_manipulation,True,6199,7979,False,False,True,True,True,True,False
44398869,equation_transform,True,6406,11185,False,False,True,False,False,False,False
06120e47,bit_manipulation,False,6727,9067,False,False,True,True,True,True,False
1f7407ed,bit_manipulation,True,6903,9216,False,False,True,True,True,True,False
46dd0f22,bit_manipulation,True,6652,8498,False,False,True,True,True,True,False
edf364da,equation_transform,False,488,1068,False,False,True,False,False,False,False
d6e5cd59,bit_manipulation,True,6809,9234,False,False,True,True,True,True,False
339149c9,equation_transform,True,6297,11202,False,False,True,False,False,False,False
e1f3ffbb,bit_manipulation,False,6193,8200,False,False,True,True,True,True,False
4c327b55,bit_manipulation,False,6726,8812,False,False,True,True,True,True,False
0f2dec86,bit_manipulation,True,6105,8383,False,False,True,True,True,True,False
e36a0065,bit_manipulation,True,6669,8498,False,False,True,True,True,True,False
c7844441,equation_transform,True,707,1492,False,False,True,False,False,False,False
21261dc6,equation_transform,True,5915,10799,False,False,True,False,False,False,False
70bc42af,bit_manipulation,True,6745,8582,False,False,True,True,True,True,False
4dbec546,equation_transform,True,5599,10298,False,False,True,False,False,False,False
0c2407ef,bit_manipulation,True,6866,8886,False,False,True,True,True,True,False
939273d7,bit_manipulation,True,6630,8817,False,False,True,True,True,True,False
8082a958,bit_manipulation,True,6851,8673,False,False,True,True,True,True,False
fd48ee2f,bit_manipulation,True,6968,8759,False,False,True,True,True,True,False
4eb990f6,bit_manipulation,True,6733,8531,False,False,True,True,True,True,False
85af23eb,bit_manipulation,True,6418,8693,False,False,True,True,True,True,False
0e009c6d,equation_transform,False,596,1276,False,False,True,False,False,False,False
d2ac699b,bit_manipulation,True,6703,8596,False,False,True,True,True,True,False
b4b73143,equation_transform,False,494,1068,False,False,True,False,False,False,False
3a148f6a,bit_manipulation,True,7280,9381,False,False,True,True,True,True,False
861cb154,equation_transform,False,5900,10886,False,False,True,False,False,False,False
90feb0c5,equation_transform,False,497,1082,False,False,True,False,False,False,False
c541eb82,equation_transform,True,6349,11274,False,False,True,False,False,False,False
b9f1d959,equation_transform,False,695,1491,False,False,True,False,False,False,False
5374b4ba,bit_manipulation,True,6910,8779,False,False,True,True,True,True,False
ca5db1c0,equation_transform,False,480,1061,False,False,False,False,False,False,False
16e73f0e,bit_manipulation,True,7492,9398,False,False,True,True,True,True,False
87007054,bit_manipulation,True,6843,8802,False,False,True,True,True,True,False
b8aa3072,bit_manipulation,False,6317,8381,False,False,True,True,True,True,False
9f1ff166,equation_transform,False,592,1280,False,False,True,False,False,False,False
82ae858c,bit_manipulation,False,7204,9640,False,False,True,True,True,True,False
1282c5c5,bit_manipulation,True,6562,8652,False,False,True,True,True,True,False
432b1110,equation_transform,False,619,1314,False,False,True,False,False,False,False
f333b67f,equation_transform,True,5432,10047,False,False,True,False,False,False,False
f7d26b8d,equation_transform,False,712,1508,False,False,True,False,False,False,False
5ba26f21,bit_manipulation,False,6451,9046,False,False,True,True,True,True,False
a00fe76a,bit_manipulation,True,6644,8446,False,False,True,True,True,True,False
8e56a42e,equation_transform,True,475,1011,False,False,True,False,False,False,False
0e3962f6,bit_manipulation,True,6877,8754,False,False,True,True,True,True,False
20f0fac9,equation_transform,False,6372,11452,False,False,True,False,False,False,False
26e48e98,equation_transform,False,715,1505,False,False,True,False,False,False,False
0290f51a,bit_manipulation,True,6908,9136,False,False,True,True,True,True,False
c30a782a,bit_manipulation,True,7200,9159,False,False,True,True,True,True,False
3d24aef4,bit_manipulation,True,6536,8343,False,False,True,True,True,True,False
5501c054,equation_transform,False,701,1488,False,False,True,False,False,False,False
ea6d926a,equation_transform,False,5901,10744,False,False,True,False,False,False,False
