adapter_prediction,answer,examples,family,id,reason,source_id,source_rule_class,split,status
47,-47,3,equation_transform,v439_v435e_hard_negative_10fdae00,no_unique_certified_rule,10fdae00,equation_numeric_operator_to_number,train,abstain
>``\`,>|>,5,equation_transform,v439_v435e_hard_negative_1153ce4a,no_unique_certified_rule,1153ce4a,equation_symbolic_sequence,train,abstain
:!&@,@',4,equation_transform,v439_v435e_hard_negative_11e77bf9,no_unique_certified_rule,11e77bf9,equation_symbolic_short,train,abstain
3,4447,5,equation_transform,v439_v435e_hard_negative_124db55f,no_unique_certified_rule,124db55f,equation_numeric_operator_to_number,train,abstain
#'@],]@>[,4,equation_transform,v439_v435e_hard_negative_12734c90,no_unique_certified_rule,12734c90,equation_symbolic_sequence,train,abstain
%<#(,<%#<,3,equation_transform,v439_v435e_hard_negative_1342687b,no_unique_certified_rule,1342687b,equation_symbolic_sequence,train,abstain
@}}%,//%',5,equation_transform,v439_v435e_hard_negative_141a881e,no_unique_certified_rule,141a881e,equation_symbolic_sequence,train,abstain
'/>[,-$',3,equation_transform,v439_v435e_hard_negative_14d4d68e,no_unique_certified_rule,14d4d68e,equation_symbolic_sequence,train,abstain
{??[,[[,5,equation_transform,v439_v435e_hard_negative_1520013c,no_unique_certified_rule,1520013c,equation_symbolic_short,train,abstain
|$$|,!)>,3,equation_transform,v439_v435e_hard_negative_1545b8f1,no_unique_certified_rule,1545b8f1,equation_symbolic_sequence,train,abstain
#'{',{[#,4,equation_transform,v439_v435e_hard_negative_156e8c2c,no_unique_certified_rule,156e8c2c,equation_symbolic_sequence,train,abstain
*35,35,3,equation_transform,v439_v435e_hard_negative_157228d7,no_unique_certified_rule,157228d7,equation_numeric_operator_to_number,train,abstain
<$}&,}@<[,3,equation_transform,v439_v435e_hard_negative_15950a46,no_unique_certified_rule,15950a46,equation_symbolic_sequence,train,abstain
?><<,?!,4,equation_transform,v439_v435e_hard_negative_162ff61a,no_unique_certified_rule,162ff61a,equation_symbolic_short,train,abstain
1,10,3,equation_transform,v439_v435e_hard_negative_16699d43,no_unique_certified_rule,16699d43,equation_numeric_operator_to_number,train,abstain
[|/`,"""[``",5,equation_transform,v439_v435e_hard_negative_16cf827a,no_unique_certified_rule,16cf827a,equation_symbolic_sequence,train,abstain
!?&!,"""^",4,equation_transform,v439_v435e_hard_negative_16ddcf94,no_unique_certified_rule,16ddcf94,equation_symbolic_short,train,abstain
>?#[,/>,3,equation_transform,v439_v435e_hard_negative_177f0c22,no_unique_certified_rule,177f0c22,equation_symbolic_short,train,abstain
"}""]!",$:,4,equation_transform,v439_v435e_hard_negative_17d40290,no_unique_certified_rule,17d40290,equation_symbolic_short,train,abstain
:&@&,?|:|,4,equation_transform,v439_v435e_hard_negative_17d62f7a,no_unique_certified_rule,17d62f7a,equation_symbolic_sequence,train,abstain
^<#`,"))""",5,equation_transform,v439_v435e_hard_negative_17fe003b,no_unique_certified_rule,17fe003b,equation_symbolic_sequence,train,abstain
|)[),]/,5,equation_transform,v439_v435e_hard_negative_180ddd62,no_unique_certified_rule,180ddd62,equation_symbolic_short,train,abstain
"^""<>","#$""/",5,equation_transform,v439_v435e_hard_negative_18a4d39d,no_unique_certified_rule,18a4d39d,equation_symbolic_sequence,train,abstain
&,@&`{,3,equation_transform,v439_v435e_hard_negative_18bce168,no_unique_certified_rule,18bce168,equation_symbolic_sequence,train,abstain
}??$,!>,5,equation_transform,v439_v435e_hard_negative_191ac967,no_unique_certified_rule,191ac967,equation_symbolic_short,train,abstain
>|%{,}>[[,5,equation_transform,v439_v435e_hard_negative_193c21d5,no_unique_certified_rule,193c21d5,equation_symbolic_sequence,train,abstain
%^#@,@@@,4,equation_transform,v439_v435e_hard_negative_196ff375,no_unique_certified_rule,196ff375,equation_symbolic_sequence,train,abstain
&/[/,"""!`|",3,equation_transform,v439_v435e_hard_negative_19968602,no_unique_certified_rule,19968602,equation_symbolic_sequence,train,abstain
\+!^,^)],3,equation_transform,v439_v435e_hard_negative_19ab8087,no_unique_certified_rule,19ab8087,equation_symbolic_sequence,train,abstain
?)|$,>?,3,equation_transform,v439_v435e_hard_negative_1a112a8f,no_unique_certified_rule,1a112a8f,equation_symbolic_short,train,abstain
@^@:,-],5,equation_transform,v439_v435e_hard_negative_1a493b13,no_unique_certified_rule,1a493b13,equation_symbolic_short,train,abstain
(|-\|,%,5,equation_transform,v439_v435e_hard_negative_1ab54795,no_unique_certified_rule,1ab54795,equation_symbolic_short,train,abstain
``[`,#'[,5,equation_transform,v439_v435e_hard_negative_1ac66163,no_unique_certified_rule,1ac66163,equation_symbolic_sequence,train,abstain
20,134,3,equation_transform,v439_v435e_hard_negative_1b019515,no_unique_certified_rule,1b019515,equation_numeric_operator_to_number,train,abstain
"""%^/",'?},4,equation_transform,v439_v435e_hard_negative_1c2e9814,no_unique_certified_rule,1c2e9814,equation_symbolic_sequence,train,abstain
79,993,4,equation_transform,v439_v435e_hard_negative_1c4861e6,no_unique_certified_rule,1c4861e6,equation_numeric_operator_to_number,train,abstain
`,[?},4,equation_transform,v439_v435e_hard_negative_1cce5949,no_unique_certified_rule,1cce5949,equation_symbolic_sequence,train,abstain
|[$[,|['{,4,equation_transform,v439_v435e_hard_negative_1d15b7e6,no_unique_certified_rule,1d15b7e6,equation_symbolic_sequence,train,abstain
19,483,4,equation_transform,v439_v435e_hard_negative_1eaf6228,no_unique_certified_rule,1eaf6228,equation_numeric_operator_to_number,train,abstain
#!>\,:{,3,equation_transform,v439_v435e_hard_negative_1f64478c,no_unique_certified_rule,1f64478c,equation_symbolic_short,train,abstain
){\^,\@:],4,equation_transform,v439_v435e_hard_negative_1f7cf3b9,no_unique_certified_rule,1f7cf3b9,equation_symbolic_sequence,train,abstain
|$<$,$!:,4,equation_transform,v439_v435e_hard_negative_1fb37a08,no_unique_certified_rule,1fb37a08,equation_symbolic_sequence,train,abstain
03,171,4,equation_transform,v439_v435e_hard_negative_209d28ca,no_unique_certified_rule,209d28ca,equation_numeric_operator_to_number,train,abstain
@`](,'',5,equation_transform,v439_v435e_hard_negative_20e6b2d1,no_unique_certified_rule,20e6b2d1,equation_symbolic_short,train,abstain
%))!,)//,3,equation_transform,v439_v435e_hard_negative_212e792d,no_unique_certified_rule,212e792d,equation_symbolic_sequence,train,abstain
9,@9,3,equation_transform,v439_v435e_hard_negative_21dff465,no_unique_certified_rule,21dff465,equation_numeric_operator_to_symbolic,train,abstain
]7,7,3,equation_transform,v439_v435e_hard_negative_224efda1,no_unique_certified_rule,224efda1,equation_numeric_operator_to_number,train,abstain
28,4012,4,equation_transform,v439_v435e_hard_negative_228bd26b,no_unique_certified_rule,228bd26b,equation_numeric_operator_to_number,train,abstain
)((#,$]|&,5,equation_transform,v439_v435e_hard_negative_234e5b9e,no_unique_certified_rule,234e5b9e,equation_symbolic_sequence,train,abstain
"""'|",|)},5,equation_transform,v439_v435e_hard_negative_239771fb,no_unique_certified_rule,239771fb,equation_symbolic_sequence,train,abstain
"||"">",>/,5,equation_transform,v439_v435e_hard_negative_23c59364,no_unique_certified_rule,23c59364,equation_symbolic_short,train,abstain
36,03,3,equation_transform,v439_v435e_hard_negative_23f98595,no_unique_certified_rule,23f98595,equation_numeric_operator_to_number,train,abstain
|/||,?)/{,5,equation_transform,v439_v435e_hard_negative_24750c4a,no_unique_certified_rule,24750c4a,equation_symbolic_sequence,train,abstain
)[`/,-/@,4,equation_transform,v439_v435e_hard_negative_252d0997,no_unique_certified_rule,252d0997,equation_symbolic_sequence,train,abstain
>)\|,"[""$",3,equation_transform,v439_v435e_hard_negative_25e89624,no_unique_certified_rule,25e89624,equation_symbolic_sequence,train,abstain
#23,23,3,equation_transform,v439_v435e_hard_negative_25eb7b03,no_unique_certified_rule,25eb7b03,equation_numeric_operator_to_number,train,abstain
10111001,10010101,0,bit_manipulation,v439_v435e_hard_negative_01e09228,not_equation,01e09228,bit_adapter_exact_wrong,validation,abstain
10011001,10111101,0,bit_manipulation,v439_v435e_hard_negative_07d61ec8,not_equation,07d61ec8,bit_adapter_exact_wrong,validation,abstain
17,17/,4,equation_transform,v439_v435e_hard_negative_00d8b3db,no_unique_certified_rule,00d8b3db,equation_numeric_operator_to_symbolic,validation,abstain
{`(&,|@{,5,equation_transform,v439_v435e_hard_negative_012cab1f,no_unique_certified_rule,012cab1f,equation_symbolic_sequence,validation,abstain
:!'/,!',4,equation_transform,v439_v435e_hard_negative_022c4d73,no_unique_certified_rule,022c4d73,equation_symbolic_short,validation,abstain
(@]&,(@(],5,equation_transform,v439_v435e_hard_negative_053b4c86,no_unique_certified_rule,053b4c86,equation_symbolic_sequence,validation,abstain
'&?!,[)),5,equation_transform,v439_v435e_hard_negative_05bd2dab,no_unique_certified_rule,05bd2dab,equation_symbolic_sequence,validation,abstain
"""&($""",%%\,5,equation_transform,v439_v435e_hard_negative_05c36467,no_unique_certified_rule,05c36467,equation_symbolic_sequence,validation,abstain
))(!,@@//,4,equation_transform,v439_v435e_hard_negative_0625f633,no_unique_certified_rule,0625f633,equation_symbolic_sequence,validation,abstain
$^[:,-?:,4,equation_transform,v439_v435e_hard_negative_0a2b9109,no_unique_certified_rule,0a2b9109,equation_symbolic_sequence,validation,abstain
:(@`\,@^,3,equation_transform,v439_v435e_hard_negative_0f01cece,no_unique_certified_rule,0f01cece,equation_symbolic_short,validation,abstain
['<),$$`,5,equation_transform,v439_v435e_hard_negative_108067c3,no_unique_certified_rule,108067c3,equation_symbolic_sequence,validation,abstain
&/',]&'[,5,equation_transform,v439_v435e_hard_negative_11fee43b,no_unique_certified_rule,11fee43b,equation_symbolic_sequence,validation,abstain
:<`,>{{,5,equation_transform,v439_v435e_hard_negative_17093b07,no_unique_certified_rule,17093b07,equation_symbolic_sequence,validation,abstain
^!![,!)(',4,equation_transform,v439_v435e_hard_negative_175fc78a,no_unique_certified_rule,175fc78a,equation_symbolic_sequence,validation,abstain
(!?!,:^:/,5,equation_transform,v439_v435e_hard_negative_1785b35e,no_unique_certified_rule,1785b35e,equation_symbolic_sequence,validation,abstain
"""#[/""",%`&,4,equation_transform,v439_v435e_hard_negative_1a28140b,no_unique_certified_rule,1a28140b,equation_symbolic_sequence,validation,abstain
65,108,5,equation_transform,v439_v435e_hard_negative_1b3beb8f,no_unique_certified_rule,1b3beb8f,equation_numeric_operator_to_number,validation,abstain
03,598,4,equation_transform,v439_v435e_hard_negative_1da822f1,no_unique_certified_rule,1da822f1,equation_numeric_operator_to_number,validation,abstain
'$/&,'&{,3,equation_transform,v439_v435e_hard_negative_21ee162c,no_unique_certified_rule,21ee162c,equation_symbolic_sequence,validation,abstain
??>`,<[{?,3,equation_transform,v439_v435e_hard_negative_223b2899,no_unique_certified_rule,223b2899,equation_symbolic_sequence,validation,abstain
) )#,#[`,4,equation_transform,v439_v435e_hard_negative_226cbdf8,no_unique_certified_rule,226cbdf8,equation_symbolic_sequence,validation,abstain
{]],`>,4,equation_transform,v439_v435e_hard_negative_236a2204,no_unique_certified_rule,236a2204,equation_symbolic_short,validation,abstain
`!/[,/[:`,3,equation_transform,v439_v435e_hard_negative_24b2d8eb,no_unique_certified_rule,24b2d8eb,equation_symbolic_sequence,validation,abstain
