cell_index,cell_type,line_no,flags,text
2,code,58,progress_log,"print('MODEL_NAME =', MODEL_NAME)"
2,code,59,progress_log,"print('MODEL_REVISION =', MODEL_REVISION)"
2,code,60,progress_log,"print('VLLM_SPEC =', VLLM_SPEC)"
2,code,61,progress_log,"print('WEAK_FAMILIES =', WEAK_FAMILIES)"
2,code,62,progress_log,"print('FORCE_REEVAL =', FORCE_REEVAL)"
2,code,63,progress_log,"print('RUN_FULL_FOR_POSITIVE =', RUN_FULL_FOR_POSITIVE)"
2,code,64,progress_log,"print('HASH_WEIGHTS =', HASH_WEIGHTS)"
2,code,65,progress_log,"print('MAX_DISCOVERY_DIRS =', MAX_DISCOVERY_DIRS)"
2,code,66,progress_log,"print('INCLUDE_REJECTED_V206 =', INCLUDE_REJECTED_V206)"
2,code,67,progress_log,"print('RUN_KAGGLE_PUBLIC_DOWNLOAD =', RUN_KAGGLE_PUBLIC_DOWNLOAD)"
2,code,68,progress_log,"print('PUBLIC_DOWNLOAD_MAX_PRIORITY =', PUBLIC_DOWNLOAD_MAX_PRIORITY)"
2,code,69,progress_log,"print('PUBLIC_DOWNLOAD_MAX_CANDIDATES =', PUBLIC_DOWNLOAD_MAX_CANDIDATES)"
2,code,70,progress_log,"print('ALLOW_KAGGLE_SUBMIT =', ALLOW_KAGGLE_SUBMIT)"
2,code,71,,if ALLOW_KAGGLE_SUBMIT:
2,code,72,hard_fail,    raise RuntimeError('This notebook is submit-disabled by design.')
2,code,73,progress_log,print('=== V207B CONFIG END ===')
3,code,1,,# CELL: bridge Colab Secrets into environment variables without printing secret values.
3,code,2,progress_log,print('=== V207B COLAB SECRETS BRIDGE START ===')
3,code,3,,import json
3,code,4,,import os
3,code,5,,import pathlib
3,code,6,,
3,code,7,,def read_colab_secret(name):
3,code,8,,    try:
3,code,9,,        from google.colab import userdata  # type: ignore
3,code,10,,    except Exception:
3,code,11,,        return None
3,code,12,,    try:
3,code,13,colab_secret_read,        value = userdata.get(name)
3,code,14,,    except Exception:
3,code,15,,        return None
3,code,16,,    if value is None:
3,code,17,,        return None
3,code,18,,    value = str(value).strip()
3,code,19,,    return value or None
3,code,20,,
3,code,21,,"def set_env_from_secret(env_name, secret_names):"
3,code,22,,    if os.environ.get(env_name):
3,code,23,progress_log,"        print(env_name, 'already_set=True')"
3,code,24,,        return True
3,code,25,,    for secret_name in secret_names:
3,code,26,,        value = read_colab_secret(secret_name)
3,code,27,progress_log,"        print('colab_secret_available', secret_name, '=', bool(value))"
3,code,28,,        if value:
3,code,29,,            os.environ[env_name] = value
3,code,30,progress_log,"            print(env_name, 'set_from_secret=', secret_name)"
3,code,31,,            return True
3,code,32,progress_log,"    print(env_name, 'set_from_secret=False')"
3,code,33,,    return False
3,code,34,,
3,code,35,,"set_env_from_secret('HF_TOKEN', ['HF_TOKEN', 'HF_KEY'])"
3,code,36,,if os.environ.get('HF_TOKEN'):
3,code,37,,"    os.environ.setdefault('HUGGINGFACE_HUB_TOKEN', os.environ['HF_TOKEN'])"
3,code,38,,"    os.environ.setdefault('HF_KEY', os.environ['HF_TOKEN'])"
3,code,39,progress_log,    print('HF_TOKEN_ready=True')
3,code,40,,else:
3,code,41,progress_log,    print('HF_TOKEN_ready=False')
3,code,42,,
3,code,43,,"set_env_from_secret('KAGGLE_USERNAME', ['KAGGLE_USERNAME'])"
3,code,44,,"set_env_from_secret('KAGGLE_KEY', ['KAGGLE_KEY'])"
3,code,45,,kaggle_dir = pathlib.Path('/root/.kaggle')
3,code,46,,kaggle_json = kaggle_dir / 'kaggle.json'
3,code,47,,if os.environ.get('KAGGLE_USERNAME') and os.environ.get('KAGGLE_KEY'):
3,code,48,,"    kaggle_dir.mkdir(parents=True, exist_ok=True)"
3,code,49,,    if not kaggle_json.exists():
3,code,50,,        kaggle_json.write_text(
3,code,51,,            json.dumps(
3,code,52,,                {
3,code,53,,"                    'username': os.environ['KAGGLE_USERNAME'],"
3,code,54,,"                    'key': os.environ['KAGGLE_KEY'],"
3,code,55,,                }
3,code,56,,"            ),"
3,code,57,,"            encoding='utf-8',"
3,code,58,,        )
3,code,59,progress_log,        print('kaggle_json_created_from_colab_secrets=True')
3,code,60,,    else:
3,code,61,progress_log,        print('kaggle_json_already_exists=True')
3,code,62,,    kaggle_json.chmod(0o600)
3,code,63,,"    os.environ.setdefault('KAGGLE_CONFIG_DIR', str(kaggle_dir))"
3,code,64,progress_log,"    print('KAGGLE_CONFIG_DIR =', os.environ.get('KAGGLE_CONFIG_DIR'))"
3,code,65,progress_log,    print('KAGGLE_CREDENTIALS_READY=True')
3,code,66,,else:
3,code,67,progress_log,    print('KAGGLE_CREDENTIALS_READY=False')
3,code,68,progress_log,print('=== V207B COLAB SECRETS BRIDGE END ===')
4,code,1,,# CELL: helper functions and command logging.
4,code,2,progress_log,print('=== V207B HELPERS START ===')
4,code,3,,import importlib
4,code,4,,import json
4,code,5,,import pathlib
4,code,6,,import subprocess
4,code,7,,import sys
4,code,8,,import time
4,code,9,,
4,code,10,command_runner,"def run_cmd(cmd, cwd=None, env=None, log_path=None, check=True):"
4,code,11,,    cmd = [str(x) for x in cmd]
4,code,12,progress_log,"    print('+', ' '.join(cmd))"
4,code,13,,    log_handle = None
4,code,14,,    if log_path is not None:
4,code,15,,        log_path = pathlib.Path(log_path)
4,code,16,,"        log_path.parent.mkdir(parents=True, exist_ok=True)"
4,code,17,,"        log_handle = log_path.open('w', encoding='utf-8')"
4,code,18,,    proc = subprocess.Popen(
4,code,19,,"        cmd,"
4,code,20,,"        cwd=str(cwd) if cwd else None,"
4,code,21,,"        env=env,"
4,code,22,,"        stdout=subprocess.PIPE,"
4,code,23,,"        stderr=subprocess.STDOUT,"
4,code,24,,"        text=True,"
4,code,25,,"        bufsize=1,"
4,code,26,,    )
4,code,27,,    assert proc.stdout is not None
4,code,28,,    for line in proc.stdout:
4,code,29,progress_log,"        print(line, end='')"
4,code,30,,        if log_handle:
4,code,31,,            log_handle.write(line)
4,code,32,,    rc = proc.wait()
4,code,33,,    if log_handle:
4,code,34,,        log_handle.close()
4,code,35,progress_log,"    print('returncode =', rc)"
4,code,36,,    if check and rc != 0:
4,code,37,hard_fail,        raise RuntimeError(f'Command failed with rc={rc}: {cmd}')
4,code,38,,    return rc
4,code,39,,
4,code,40,,"def ensure_import(import_name, pip_spec=None):"
4,code,41,,    try:
4,code,42,,        mod = importlib.import_module(import_name)
4,code,43,progress_log,"        print(import_name, 'version=', getattr(mod, '__version__', 'unknown'))"
4,code,44,,        return mod
4,code,45,,    except Exception as exc:
4,code,46,progress_log,"        print(import_name, 'missing/import failed:', repr(exc))"
4,code,47,,        if not pip_spec:
4,code,48,,            raise
4,code,49,command_runner,"        run_cmd([sys.executable, '-m', 'pip', 'install', '-q', pip_spec])"
4,code,50,,        mod = importlib.import_module(import_name)
4,code,51,progress_log,"        print(import_name, 'version=', getattr(mod, '__version__', 'unknown'))"
4,code,52,,        return mod
4,code,53,,
4,code,54,,def fresh_python_import_check(import_name):
4,code,55,,    code = (
4,code,56,,"        ""import importlib, torch; """
4,code,57,,"        f""m=importlib.import_module('{import_name}'); """
4,code,58,progress_log,"        ""print('fresh_python_import_ok', m.__name__, getattr(m, '__version__', 'unknown')); """
4,code,59,progress_log,"        ""print('fresh_python_torch', torch.__version__, getattr(torch.version, 'cuda', 'unknown'))"""
4,code,60,,    )
4,code,61,command_runner,"    run_cmd([sys.executable, '-c', code])"
4,code,62,,
4,code,63,,"def sha256_file(path, enabled=True):"
4,code,64,,    path = pathlib.Path(path)
4,code,65,,    if not enabled:
4,code,66,,        return ''
4,code,67,,    h = hashlib.sha256()
4,code,68,,    with path.open('rb') as handle:
4,code,69,,"        for chunk in iter(lambda: handle.read(1024 * 1024), b''):"
4,code,70,,            h.update(chunk)
4,code,71,,    return h.hexdigest()
4,code,72,,
4,code,73,,def safe_label(text):
4,code,74,,"    text = str(text).strip().replace('\\', '/')"
4,code,75,,"    text = re.sub(r'[^A-Za-z0-9_.-]+', '_', text)"
4,code,76,,"    text = re.sub(r'_+', '_', text).strip('_.-')"
4,code,77,,    return text[-120:] or 'candidate'
4,code,78,,
4,code,79,progress_log,"print('python =', sys.version)"
4,code,80,progress_log,print('=== V207B HELPERS END ===')
5,code,1,,# CELL: install dependencies and validate GPU/vLLM import path.
5,code,2,progress_log,print('=== V207B DEPENDENCY CHECK START ===')
5,code,3,,"ensure_import('pandas', 'pandas')"
5,code,4,,"ensure_import('huggingface_hub', 'huggingface_hub')"
5,code,5,,"ensure_import('transformers', 'transformers')"
5,code,6,,"ensure_import('peft', 'peft')"
5,code,7,,"ensure_import('safetensors', 'safetensors')"
5,code,8,command_runner,"run_cmd([sys.executable, '-m', 'pip', 'install', '-q', 'kaggle==2.0.2'])"
5,code,9,,KAGGLE_EXE = shutil.which('kaggle')
5,code,10,,"KAGGLE_CMD_PREFIX = [KAGGLE_EXE] if KAGGLE_EXE else [sys.executable, '-m', 'kaggle.cli']"
5,code,11,progress_log,"print('KAGGLE_EXE =', KAGGLE_EXE)"
5,code,12,progress_log,"print('KAGGLE_CMD_PREFIX =', KAGGLE_CMD_PREFIX)"
5,code,13,command_runner,run_cmd(KAGGLE_CMD_PREFIX + ['--version'])
5,code,14,,torch = ensure_import('torch')
5,code,15,progress_log,"print('torch_cuda_available =', torch.cuda.is_available())"
5,code,16,progress_log,"print('torch_cuda_device_count =', torch.cuda.device_count() if torch.cuda.is_available() else 0)"
5,code,17,,if torch.cuda.is_available():
5,code,18,progress_log,"    print('torch_cuda_device_name =', torch.cuda.get_device_name(0))"
5,code,19,progress_log,"    print('torch_cuda_version =', getattr(torch.version, 'cuda', 'unknown'))"
5,code,20,progress_log,"print('Installing pinned vLLM runtime for subprocess evaluation:', VLLM_SPEC)"
5,code,21,command_runner,run_cmd([
5,code,22,,"    sys.executable,"
5,code,23,,"    '-m',"
5,code,24,,"    'pip',"
5,code,25,,"    'install',"
5,code,26,,"    '-q',"
5,code,27,,"    '--extra-index-url',"
5,code,28,,"    'https://download.pytorch.org/whl/cu128',"
5,code,29,,"    VLLM_SPEC,"
5,code,30,,])
5,code,31,,fresh_python_import_check('vllm')
5,code,32,progress_log,print('=== V207B DEPENDENCY CHECK END ===')
6,code,1,,# CELL: create local execution workspace for embedded scripts.
6,code,2,progress_log,print('=== V207B WORKSPACE SETUP START ===')
6,code,3,,"ROOT.mkdir(parents=True, exist_ok=True)"
6,code,4,,"(ROOT / 'scripts').mkdir(parents=True, exist_ok=True)"
6,code,5,,"(ROOT / 'src').mkdir(parents=True, exist_ok=True)"
6,code,6,progress_log,"print('ROOT =', ROOT, 'exists=', ROOT.exists())"
6,code,7,progress_log,"print('scripts_dir =', ROOT / 'scripts', 'exists=', (ROOT / 'scripts').exists())"
6,code,8,progress_log,"print('src_dir =', ROOT / 'src', 'exists=', (ROOT / 'src').exists())"
6,code,9,progress_log,print('=== V207B WORKSPACE SETUP END ===')
7,code,1,,# CELL: install/repair V207B metric scripts inside the local workspace.
7,code,2,progress_log,print('=== V207B SCRIPT BOOTSTRAP START ===')
7,code,3,,"import json, pathlib, py_compile"
7,code,4,,ROOT = pathlib.Path('/content/kg1')
