candidate_name,candidate_path,id,family,answer,stored_prediction,label_free_prediction,v274_prediction,label_free_correct,v274_correct,v274_rule,v274_applied
v290_checkpoint6_baseline_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,d1bd7478,equation_transform,30,3,3,30,False,True,colon_absdiff_restore_trailing_zero,True
v290_checkpoint6_baseline_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v290_checkpoint6_baseline_predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
v346_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
v346_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
v346_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,d1bd7478,equation_transform,30,3,3,30,False,True,colon_absdiff_restore_trailing_zero,True
v346_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v347_v346_failure_audit\input\v346_checkpoint2_predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,d1bd7478,equation_transform,30,3,3,30,False,True,colon_absdiff_restore_trailing_zero,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v368_hf_a100_v367_bit_ternary_launch\eval_checkpoint1\predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
v405_integrated_solver_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v405_integrated_solver_projection\20260514T_v405_integrated_projection\v405_integrated_solver_predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
v405_integrated_solver_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v405_integrated_solver_projection\20260514T_v405_integrated_projection\v405_integrated_solver_predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
v405_integrated_solver_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v405_integrated_solver_projection\20260514T_v405_integrated_projection\v405_integrated_solver_predictions.csv,d1bd7478,equation_transform,30,3,3,30,False,True,colon_absdiff_restore_trailing_zero,True
v405_integrated_solver_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v405_integrated_solver_projection\20260514T_v405_integrated_projection\v405_integrated_solver_predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
v341_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
v341_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
v341_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,d1bd7478,equation_transform,30,3,3,30,False,True,colon_absdiff_restore_trailing_zero,True
v341_checkpoint2_predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v342_acc_first_diagnostic\v341_checkpoint2_predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,7688e06e,equation_transform,-55,55,55,-55,False,True,minus_signed_opposite_sign_guarded,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,274def88,equation_transform,92,-92,-92,92,False,True,minus_signed_opposite_sign_guarded,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,d1bd7478,equation_transform,30,3,3,30,False,True,colon_absdiff_restore_trailing_zero,True
predictions,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v352_hf_a100_v351_bit_transfer_launch\eval_v352_checkpoint2\predictions.csv,c5b058d6,equation_transform,134,35,35,134,False,True,add_direct_over_model_add_variant,True
