topic_id,url,status,title,author,comment_count,weighted_score,keyword_groups_json,action_hits,actionable_notes,cache_source_path,error
688360,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/688360,cache,"[update] Read CPMP's reply. [original] Do not distill models that do not allow distillation (e.g. gemini, gpt5)",cnumber,28,148,"{""bit"": 0, ""data"": 8, ""equation"": 0, ""solver_verifier"": 4, ""submission"": 7, ""training"": 33}",dataset,dataset_source_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\688360.json,
683866,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/683866,cache,,,6,146,"{""bit"": 28, ""data"": 0, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 0, ""training"": 2}",,,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\683866.json,
687798,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/687798,cache,Rescore After Metric Update,ryanholbrook,20,140,"{""bit"": 6, ""data"": 5, ""equation"": 5, ""solver_verifier"": 4, ""submission"": 38, ""training"": 7}",,rule_taxonomy_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\687798.json,
689877,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/689877,cache,,,3,131,"{""bit"": 2, ""data"": 1, ""equation"": 13, ""solver_verifier"": 11, ""submission"": 0, ""training"": 0}",dataset,dataset_source_signal;rule_taxonomy_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\689877.json,
683573,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/683573,cache,,,3,130,"{""bit"": 7, ""data"": 7, ""equation"": 10, ""solver_verifier"": 2, ""submission"": 10, ""training"": 1}",dataset,dataset_source_signal;rule_taxonomy_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\683573.json,
697139,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/697139,cache,,,4,129,"{""bit"": 0, ""data"": 17, ""equation"": 1, ""solver_verifier"": 2, ""submission"": 10, ""training"": 14}",cryptarithm;huikang;solver,equation_symbolic_cryptarithm_signal;solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\697139.json,
696059,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/696059,cache,,,13,115,"{""bit"": 0, ""data"": 3, ""equation"": 10, ""solver_verifier"": 3, ""submission"": 6, ""training"": 7}",cryptarithm;dataset,dataset_source_signal;equation_symbolic_cryptarithm_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\696059.json,
692950,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/692950,cache,,,8,112,"{""bit"": 0, ""data"": 2, ""equation"": 3, ""solver_verifier"": 0, ""submission"": 7, ""training"": 22}",cryptarithm;tong,equation_symbolic_cryptarithm_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\692950.json,
686444,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/686444,cache,,,5,109,"{""bit"": 0, ""data"": 3, ""equation"": 0, ""solver_verifier"": 4, ""submission"": 8, ""training"": 23}",github,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\686444.json,
686185,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/686185,cache,,,5,104,"{""bit"": 1, ""data"": 3, ""equation"": 8, ""solver_verifier"": 5, ""submission"": 1, ""training"": 4}",dataset;solver,dataset_source_signal;rule_taxonomy_signal;solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\686185.json,
692879,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/692879,cache,,,8,103,"{""bit"": 0, ""data"": 0, ""equation"": 2, ""solver_verifier"": 0, ""submission"": 17, ""training"": 22}",cryptarithm,equation_symbolic_cryptarithm_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\692879.json,
686069,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/686069,cache,,,7,100,"{""bit"": 3, ""data"": 2, ""equation"": 1, ""solver_verifier"": 0, ""submission"": 2, ""training"": 18}",dataset;symbol_transform,dataset_source_signal;equation_numeric_operator_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\686069.json,
683067,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/683067,cache,RTX PRO 6000 Blackwell — CUDA kernel incompatibility status + GPU time spent debugging,donaldgalliano,25,98,"{""bit"": 0, ""data"": 18, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 7, ""training"": 15}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\683067.json,
686865,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/686865,cache,,,4,96,"{""bit"": 0, ""data"": 3, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 2, ""training"": 26}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\686865.json,
684283,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684283,cache,"Mainstream LLM Performance Comparison：Gemini-3.1-Pro delivers the best performance, while DeepSeek-V3.2 is also highly impressive.",jiazhuang,21,94,"{""bit"": 2, ""data"": 2, ""equation"": 5, ""solver_verifier"": 2, ""submission"": 4, ""training"": 11}",dataset,dataset_source_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\684283.json,
684432,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684432,cache,,,7,89,"{""bit"": 3, ""data"": 0, ""equation"": 8, ""solver_verifier"": 5, ""submission"": 1, ""training"": 1}",huikang,rule_taxonomy_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684432.json,
688120,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/688120,cache,,,2,88,"{""bit"": 0, ""data"": 1, ""equation"": 4, ""solver_verifier"": 1, ""submission"": 2, ""training"": 20}",,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\688120.json,
681793,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/681793,cache,,,7,86,"{""bit"": 1, ""data"": 1, ""equation"": 5, ""solver_verifier"": 4, ""submission"": 5, ""training"": 11}",,rule_taxonomy_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\681793.json,
684212,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684212,cache,Visualize the problems and completions from the base model,huikang,25,81,"{""bit"": 0, ""data"": 10, ""equation"": 3, ""solver_verifier"": 0, ""submission"": 3, ""training"": 1}",dataset;github;huikang;tong,dataset_source_signal;equation_numeric_operator_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\684212.json,
694859,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/694859,cache,,,2,80,"{""bit"": 1, ""data"": 7, ""equation"": 1, ""solver_verifier"": 0, ""submission"": 7, ""training"": 13}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\694859.json,
686419,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/686419,cache,,,11,77,"{""bit"": 1, ""data"": 4, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 12, ""training"": 14}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\686419.json,
693270,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/693270,cache,,,9,74,"{""bit"": 2, ""data"": 3, ""equation"": 1, ""solver_verifier"": 0, ""submission"": 6, ""training"": 9}",cryptarithm;dataset,dataset_source_signal;equation_symbolic_cryptarithm_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\693270.json,
693251,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/693251,cache,"[Discussion] Concerns about copied notebooks and misleading submissions in the Notebooks section , Heavy Plagiarism",tahaalam2009,1,71,"{""bit"": 0, ""data"": 22, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 8, ""training"": 3}",huikang,,artifacts\v328_kaggle_discussion_140_audit\raw_topics\693251.json,
690161,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/690161,cache,Why GRPO is Painfully Slow on Nemotron (and the Fix),komilparmar,1,69,"{""bit"": 0, ""data"": 8, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 0, ""training"": 11}",dataset;huggingface,dataset_source_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\690161.json,
681714,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/681714,cache,How to get started + Competition's Official Discord,ashleyoldacre,8,67,"{""bit"": 0, ""data"": 9, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 18, ""training"": 7}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\681714.json,
694446,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/694446,cache,,,3,63,"{""bit"": 0, ""data"": 6, ""equation"": 0, ""solver_verifier"": 3, ""submission"": 1, ""training"": 6}",dataset;solver,dataset_source_signal;rule_taxonomy_signal;solver_verifier_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\694446.json,
682167,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/682167,cache,,,4,61,"{""bit"": 0, ""data"": 2, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 0, ""training"": 19}",,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\682167.json,
696993,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/696993,cache,,,2,61,"{""bit"": 0, ""data"": 1, ""equation"": 0, ""solver_verifier"": 2, ""submission"": 4, ""training"": 9}",huikang;solver,solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\696993.json,
683401,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/683401,cache,,,5,59,"{""bit"": 0, ""data"": 5, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 3, ""training"": 12}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\683401.json,
685710,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/685710,cache,,,8,54,"{""bit"": 1, ""data"": 4, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 1, ""training"": 10}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\685710.json,
691125,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/691125,cache,,,3,54,"{""bit"": 1, ""data"": 0, ""equation"": 0, ""solver_verifier"": 6, ""submission"": 9, ""training"": 2}",tong,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\691125.json,
682355,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/682355,cache,,,4,51,"{""bit"": 0, ""data"": 0, ""equation"": 0, ""solver_verifier"": 1, ""submission"": 4, ""training"": 11}",solver,solver_verifier_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\682355.json,
692092,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/692092,cache,,,3,50,"{""bit"": 0, ""data"": 7, ""equation"": 0, ""solver_verifier"": 1, ""submission"": 1, ""training"": 7}",dataset,dataset_source_signal;rule_taxonomy_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\692092.json,
684654,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684654,cache,,,8,49,"{""bit"": 0, ""data"": 16, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 1, ""training"": 2}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684654.json,
686036,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/686036,cache,,,17,48,"{""bit"": 0, ""data"": 6, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 2, ""training"": 8}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\686036.json,
684508,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684508,cache,,,6,45,"{""bit"": 0, ""data"": 2, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 1, ""training"": 10}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684508.json,
684251,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684251,cache,,,3,45,"{""bit"": 0, ""data"": 1, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 1, ""training"": 14}",,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684251.json,
698277,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/698277,cache,,,2,44,"{""bit"": 0, ""data"": 2, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 0, ""training"": 10}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\698277.json,
689840,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/689840,cache,,,6,43,"{""bit"": 2, ""data"": 0, ""equation"": 4, ""solver_verifier"": 0, ""submission"": 1, ""training"": 4}",,equation_numeric_operator_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\689840.json,
698857,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/698857,cache,,,2,43,"{""bit"": 0, ""data"": 1, ""equation"": 0, ""solver_verifier"": 1, ""submission"": 0, ""training"": 9}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\698857.json,
687740,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/687740,cache,,,4,42,"{""bit"": 0, ""data"": 0, ""equation"": 0, ""solver_verifier"": 5, ""submission"": 19, ""training"": 1}",,,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\687740.json,
685434,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/685434,cache,,,2,42,"{""bit"": 0, ""data"": 5, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 4, ""training"": 6}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\685434.json,
690689,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/690689,cache,,,15,41,"{""bit"": 0, ""data"": 11, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 9, ""training"": 0}",tong,,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\690689.json,
684244,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684244,cache,,,3,39,"{""bit"": 0, ""data"": 5, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 1, ""training"": 6}",dataset,dataset_source_signal;training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684244.json,
687547,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/687547,cache,,,4,38,"{""bit"": 0, ""data"": 1, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 5, ""training"": 7}",github,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\687547.json,
684515,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684515,cache,,,4,38,"{""bit"": 0, ""data"": 3, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 0, ""training"": 4}",dataset;github,dataset_source_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684515.json,
698106,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/698106,cache,Metric Update,ryanholbrook,14,36,"{""bit"": 0, ""data"": 4, ""equation"": 0, ""solver_verifier"": 1, ""submission"": 18, ""training"": 2}",,training_transfer_signal,artifacts\v328_kaggle_discussion_140_audit\raw_topics\698106.json,
683394,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/683394,cache,,,7,35,"{""bit"": 0, ""data"": 0, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 2, ""training"": 11}",,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\683394.json,
684385,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684385,cache,,,4,33,"{""bit"": 0, ""data"": 9, ""equation"": 0, ""solver_verifier"": 1, ""submission"": 1, ""training"": 0}",dataset,dataset_source_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684385.json,
684641,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/684641,cache,,,2,33,"{""bit"": 0, ""data"": 4, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 12, ""training"": 1}",dataset,dataset_source_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\684641.json,
687101,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/687101,cache,,,4,32,"{""bit"": 0, ""data"": 5, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 0, ""training"": 4}",dataset,dataset_source_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\687101.json,
682877,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/682877,cache,,,3,29,"{""bit"": 0, ""data"": 5, ""equation"": 0, ""solver_verifier"": 0, ""submission"": 1, ""training"": 6}",,training_transfer_signal,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\682877.json,
688277,https://www.kaggle.com/competitions/nvidia-nemotron-model-reasoning-challenge/discussion/688277,cache,,,3,29,"{""bit"": 3, ""data"": 2, ""equation"": 2, ""solver_verifier"": 0, ""submission"": 0, ""training"": 0}",,,artifacts\v332_kaggle_discussion_resume_audit\20260513T_batch01\raw_topics\688277.json,
