id,family,baseline_prediction,postprocessed_prediction,postprocessor_applied,postprocessor_rule,postprocessor_proof,baseline_correct,postprocessed_correct,gain,loss,wrong_on_baseline_miss
f9a33aa1,equation_transform,@($/,@($/,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
1abaffca,bit_manipulation,01011000,01011000,False,not_attempted,non-equation row,False,False,False,False,False
9f2fae58,equation_transform,7272,7272,False,operator_not_guarded,query_op='$',True,True,False,False,False
f9799a68,equation_transform,:^?\,:^?\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
c24074a8,equation_transform,]]]%,]]]%,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
bc7618a7,bit_manipulation,00001100,00001100,False,not_attempted,non-equation row,True,True,False,False,False
893ffb06,equation_transform,@``:,@``:,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
cf4c04c0,equation_transform,@|#|,@|#|,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
8e411cc7,equation_transform,$&&,$&&,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
892d73b5,bit_manipulation,00010101,00010101,False,not_attempted,non-equation row,True,True,False,False,False
41e6cbfc,equation_transform,9318,9318,False,add_no_unique_direct_variant,direct_add=[]; baseline=9318,True,True,False,False,False
dea42835,equation_transform,['[/,['[/,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
48c25e0e,equation_transform,32,32,False,query_operator_unseen,query_op='&' not present in examples,False,False,False,False,False
e6d2a064,bit_manipulation,11100010,11100010,False,not_attempted,non-equation row,False,False,False,False,False
a1d2bb0c,bit_manipulation,00100010,00100010,False,not_attempted,non-equation row,True,True,False,False,False
4e4fb429,bit_manipulation,10111110,10111110,False,not_attempted,non-equation row,True,True,False,False,False
7ef4d5d6,equation_transform,>42,>42,False,operator_not_guarded,query_op='>',True,True,False,False,False
3ee36e0a,equation_transform,-51,-51,False,minus_model_not_opposite_sign,candidate=-51; baseline=-51,True,True,False,False,False
39c237c7,equation_transform,{]``,{]``,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
963e85bb,equation_transform,76,76,False,operator_not_guarded,query_op='$',True,True,False,False,False
a98d4d53,equation_transform,!$$[,!$$[,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
0e70c867,bit_manipulation,01001100,01001100,False,not_attempted,non-equation row,False,False,False,False,False
59733f94,equation_transform,$/>/,$/>/,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b1bc3731,equation_transform,63,63,False,operator_not_guarded,"query_op='""'",True,True,False,False,False
54b895c1,bit_manipulation,10111011,10111011,False,not_attempted,non-equation row,True,True,False,False,False
ed24e7af,bit_manipulation,00001001,00001001,False,not_attempted,non-equation row,True,True,False,False,False
3cd80c64,bit_manipulation,01100100,01100100,False,not_attempted,non-equation row,True,True,False,False,False
a1523a63,equation_transform,87,87,False,operator_not_guarded,query_op='%',True,True,False,False,False
f2b23d11,bit_manipulation,10000000,10000000,False,not_attempted,non-equation row,True,True,False,False,False
5cbe919f,bit_manipulation,00000000,00000000,False,not_attempted,non-equation row,True,True,False,False,False
3383d4ec,equation_transform,66,66,False,minus_signed_ambiguous,"signed_predictions=['-33', '66']",True,True,False,False,False
9dae880f,equation_transform,:<`\,:<`\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b43d9cd5,bit_manipulation,11100100,11100100,False,not_attempted,non-equation row,True,True,False,False,False
64890e18,bit_manipulation,00001100,00001100,False,not_attempted,non-equation row,True,True,False,False,False
d6187157,bit_manipulation,01001000,01001000,False,not_attempted,non-equation row,True,True,False,False,False
de91def4,bit_manipulation,10000111,10000111,False,not_attempted,non-equation row,True,True,False,False,False
2af7134e,equation_transform,20,20,False,add_no_unique_direct_variant,direct_add=[]; baseline=20,True,True,False,False,False
ae6be599,equation_transform,$?]$,$?]$,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b26d8818,equation_transform,5983,5983,False,operator_not_guarded,query_op=']',True,True,False,False,False
8494aad3,equation_transform,"])<""","])<""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
8df3daad,equation_transform,34,34,False,query_operator_unseen,query_op='|' not present in examples,True,True,False,False,False
791056ce,equation_transform,4922,4922,False,operator_not_guarded,query_op='{',True,True,False,False,False
29e458d6,bit_manipulation,00010010,00010010,False,not_attempted,non-equation row,True,True,False,False,False
3c12aeb9,equation_transform,321,321,False,operator_not_guarded,query_op='$',True,True,False,False,False
69aa57b3,equation_transform,4472,4472,False,add_no_unique_direct_variant,direct_add=[]; baseline=4472,True,True,False,False,False
e3890bf7,equation_transform,(^@{,(^@{,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d204b9cc,equation_transform,231,231,False,add_no_unique_direct_variant,direct_add=[]; baseline=231,True,True,False,False,False
7a79ac09,bit_manipulation,11111111,11111111,False,not_attempted,non-equation row,True,True,False,False,False
d29e19a4,equation_transform,|''>,|''>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b06625c4,equation_transform,"""$ $]""","""$ $]""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
84030b0b,equation_transform,24,24,False,add_no_unique_direct_variant,direct_add=[]; baseline=24,True,True,False,False,False
3a67aa26,bit_manipulation,00101110,00101110,False,not_attempted,non-equation row,True,True,False,False,False
710cf035,bit_manipulation,10000011,10000011,False,not_attempted,non-equation row,True,True,False,False,False
52be4988,equation_transform,&&&`,&&&`,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b8722d19,bit_manipulation,11110100,11110100,False,not_attempted,non-equation row,False,False,False,False,False
99d6a3b5,equation_transform,(<)),(<)),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
2d3547af,equation_transform,\$\\,\$\\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
8c9fcc6b,bit_manipulation,11110111,11110111,False,not_attempted,non-equation row,True,True,False,False,False
28b0ff48,equation_transform,|^^^,|^^^,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
3fa49035,equation_transform,696,696,False,operator_not_guarded,query_op='>',True,True,False,False,False
61557701,equation_transform,'{),'{),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
8c0f9291,bit_manipulation,00001111,00001111,False,not_attempted,non-equation row,True,True,False,False,False
d6e6f8b5,bit_manipulation,11100001,11100001,False,not_attempted,non-equation row,True,True,False,False,False
3a90fdf6,bit_manipulation,10100000,10100000,False,not_attempted,non-equation row,True,True,False,False,False
56343b77,equation_transform,711,711,False,add_no_unique_direct_variant,direct_add=[]; baseline=711,True,True,False,False,False
08df5363,bit_manipulation,01011100,01011100,False,not_attempted,non-equation row,True,True,False,False,False
d50746e7,bit_manipulation,01000010,01000010,False,not_attempted,non-equation row,True,True,False,False,False
2facfaa4,bit_manipulation,00111110,00111110,False,not_attempted,non-equation row,True,True,False,False,False
7ac90433,equation_transform,-23,-23,False,minus_guard_all_negative_examples,single '-' rule with all negative examples is blocked,True,True,False,False,False
8abcff0f,bit_manipulation,11110111,11110111,False,not_attempted,non-equation row,True,True,False,False,False
02902eb3,equation_transform,!!$>,!!$>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
ddc5aefe,bit_manipulation,00000001,00000001,False,not_attempted,non-equation row,True,True,False,False,False
0d90736f,equation_transform,::)[,::)[,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
294453b5,equation_transform,##!),##!),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
75ecd32c,bit_manipulation,11100011,11100011,False,not_attempted,non-equation row,True,True,False,False,False
12e0ac8c,bit_manipulation,10101001,10101001,False,not_attempted,non-equation row,True,True,False,False,False
386b6d03,equation_transform,18,18,False,query_operator_unseen,"query_op=""'"" not present in examples",False,False,False,False,False
2ead53dc,bit_manipulation,00000101,00000101,False,not_attempted,non-equation row,True,True,False,False,False
57f6878e,equation_transform,|@(!,|@(!,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
05ca617c,bit_manipulation,01011011,01011011,False,not_attempted,non-equation row,False,False,False,False,False
6890870d,bit_manipulation,01110000,01110000,False,not_attempted,non-equation row,True,True,False,False,False
1c566511,bit_manipulation,01010010,01010010,False,not_attempted,non-equation row,True,True,False,False,False
bc83b0a1,equation_transform,(/&{,(/&{,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
a361a1b7,equation_transform,46,46,False,query_operator_unseen,query_op=':' not present in examples,False,False,False,False,False
d911e8e1,equation_transform,@}<',@}<',False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
4353cd0b,bit_manipulation,00100001,00100001,False,not_attempted,non-equation row,True,True,False,False,False
7688e06e,equation_transform,55,-55,True,minus_signed_opposite_sign_guarded,candidate=-55; baseline=55,False,True,True,False,False
30ba0cf4,bit_manipulation,01101101,01101101,False,not_attempted,non-equation row,True,True,False,False,False
dbd0e3c9,equation_transform,5631,5631,False,operator_not_guarded,query_op='*',True,True,False,False,False
8fbd2477,bit_manipulation,01011010,01011010,False,not_attempted,non-equation row,True,True,False,False,False
ba61b815,bit_manipulation,00001101,00001101,False,not_attempted,non-equation row,True,True,False,False,False
2e2d60b2,equation_transform,07,07,False,add_no_unique_direct_variant,direct_add=[]; baseline=07,True,True,False,False,False
5f9f0ed7,equation_transform,|!@[,|!@[,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
333d93ec,equation_transform,7,7,False,minus_signed_ambiguous,signed_predictions=[],True,True,False,False,False
74fff108,equation_transform,49,49,False,operator_not_guarded,query_op='^',True,True,False,False,False
c43b5a13,equation_transform,$):$,$):$,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b0206bb7,equation_transform,$){,$){,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
638f93ca,equation_transform,$<]$,$<]$,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
5b9964c7,bit_manipulation,00011011,00011011,False,not_attempted,non-equation row,True,True,False,False,False
a6f7139f,bit_manipulation,11000000,11000000,False,not_attempted,non-equation row,True,True,False,False,False
b2fb65cf,bit_manipulation,11000011,11000011,False,not_attempted,non-equation row,True,True,False,False,False
4bfd095a,equation_transform,@/[@,@/[@,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
7a422e17,equation_transform,"#`""","#`""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
7192535b,bit_manipulation,00001010,00001010,False,not_attempted,non-equation row,False,False,False,False,False
5b2523e6,equation_transform,><\$,><\$,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
dbb611da,bit_manipulation,00000001,00000001,False,not_attempted,non-equation row,True,True,False,False,False
0fe53bac,equation_transform,^?(|,^?(|,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
07ceed47,bit_manipulation,10000101,10000101,False,not_attempted,non-equation row,True,True,False,False,False
274def88,equation_transform,-92,92,True,minus_signed_opposite_sign_guarded,candidate=92; baseline=-92,False,True,True,False,False
7aa4fdf0,bit_manipulation,00000001,00000001,False,not_attempted,non-equation row,True,True,False,False,False
03a3437f,equation_transform,'}>/,'}>/,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
f2014638,bit_manipulation,10011010,10011010,False,not_attempted,non-equation row,True,True,False,False,False
a8ea0e29,bit_manipulation,00000000,00000000,False,not_attempted,non-equation row,True,True,False,False,False
30ac5c8e,equation_transform,@\}?,@\}?,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
3cfc5f9c,bit_manipulation,01110111,01110111,False,not_attempted,non-equation row,True,True,False,False,False
08d8d7e1,equation_transform,88,88,False,add_no_unique_direct_variant,direct_add=[]; baseline=88,True,True,False,False,False
ff121f08,equation_transform,!%<<,!%<<,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
114a7439,bit_manipulation,01110001,01110001,False,not_attempted,non-equation row,True,True,False,False,False
343095d3,bit_manipulation,01010100,01010100,False,not_attempted,non-equation row,True,True,False,False,False
a4dd4cce,bit_manipulation,10110010,10110010,False,not_attempted,non-equation row,True,True,False,False,False
6b11c05f,bit_manipulation,00100010,00100010,False,not_attempted,non-equation row,True,True,False,False,False
42cb233d,equation_transform,881,881,False,add_no_unique_direct_variant,direct_add=[]; baseline=881,True,True,False,False,False
ec8b4875,equation_transform,|@<!,|@<!,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
e3fbc768,equation_transform,%??,%??,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
6cc5dafb,equation_transform,^&>),^&>),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d5a03a2e,equation_transform,""")&&",""")&&",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
eea91b82,bit_manipulation,00101111,00101111,False,not_attempted,non-equation row,True,True,False,False,False
4736daab,bit_manipulation,01000111,01000111,False,not_attempted,non-equation row,True,True,False,False,False
8bebef83,equation_transform,3388,3388,False,operator_not_guarded,query_op='{',True,True,False,False,False
efc2b69d,bit_manipulation,10111100,10111100,False,not_attempted,non-equation row,True,True,False,False,False
a794d193,bit_manipulation,01011101,01011101,False,not_attempted,non-equation row,True,True,False,False,False
0f7ddd75,bit_manipulation,11110110,11110110,False,not_attempted,non-equation row,True,True,False,False,False
27cec7a9,equation_transform,3341,3341,False,colon_no_unique_unreverse,candidate_predictions=[],True,True,False,False,False
a6704625,bit_manipulation,00011111,00011111,False,not_attempted,non-equation row,False,False,False,False,False
d117113e,bit_manipulation,00000000,00000000,False,not_attempted,non-equation row,True,True,False,False,False
4aeed935,equation_transform,1455,1455,False,operator_not_guarded,query_op='*',True,True,False,False,False
6f7a9048,bit_manipulation,00101000,00101000,False,not_attempted,non-equation row,True,True,False,False,False
8740ed31,bit_manipulation,01111000,01111000,False,not_attempted,non-equation row,False,False,False,False,False
fb623471,equation_transform,21,21,False,minus_signed_ambiguous,"signed_predictions=['-12', '-21']",False,False,False,False,False
88b43464,equation_transform,5311,5311,False,add_no_unique_direct_variant,direct_add=[]; baseline=5311,True,True,False,False,False
209c43f0,equation_transform,101,101,False,operator_not_guarded,query_op='^',True,True,False,False,False
8ac52d78,bit_manipulation,00010000,00010000,False,not_attempted,non-equation row,True,True,False,False,False
f507b7f1,bit_manipulation,11011100,11011100,False,not_attempted,non-equation row,False,False,False,False,False
d129b085,equation_transform,!>``,!>``,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
368f20dd,bit_manipulation,10000101,10000101,False,not_attempted,non-equation row,True,True,False,False,False
e582df31,equation_transform,"""']@","""']@",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
a77be9fa,equation_transform,{>$[,{>$[,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
5a19f71a,bit_manipulation,11100010,11100010,False,not_attempted,non-equation row,True,True,False,False,False
78d02fc5,bit_manipulation,11001011,11001011,False,not_attempted,non-equation row,False,False,False,False,False
4166067c,bit_manipulation,01110110,01110110,False,not_attempted,non-equation row,True,True,False,False,False
49fb46e8,bit_manipulation,01001110,01001110,False,not_attempted,non-equation row,True,True,False,False,False
779bb1f3,bit_manipulation,10000001,10000001,False,not_attempted,non-equation row,True,True,False,False,False
e2b02e13,bit_manipulation,01111110,01111110,False,not_attempted,non-equation row,True,True,False,False,False
f8d6abd1,equation_transform,5543,5543,False,colon_no_unique_unreverse,candidate_predictions=[],True,True,False,False,False
21245d76,bit_manipulation,01111111,01111111,False,not_attempted,non-equation row,True,True,False,False,False
4ed6b56f,equation_transform,!:`(,!:`(,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
e0eba119,bit_manipulation,00010010,00010010,False,not_attempted,non-equation row,True,True,False,False,False
55014a7a,bit_manipulation,01010000,01010000,False,not_attempted,non-equation row,True,True,False,False,False
0fe06e8c,bit_manipulation,10010010,10010010,False,not_attempted,non-equation row,True,True,False,False,False
f8fc43d2,bit_manipulation,11100100,11100100,False,not_attempted,non-equation row,True,True,False,False,False
208d7838,equation_transform,[&<>,[&<>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
58c099d2,equation_transform,^!#\,^!#\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d40ce15d,bit_manipulation,00010000,00010000,False,not_attempted,non-equation row,True,True,False,False,False
3cb3fd89,equation_transform,]$$),]$$),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
c711f9dd,bit_manipulation,11000000,11000000,False,not_attempted,non-equation row,True,True,False,False,False
a26065d4,equation_transform,<&<#,<&<#,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
55d834d1,bit_manipulation,10111111,10111111,False,not_attempted,non-equation row,False,False,False,False,False
194695e8,equation_transform,!\{<,!\{<,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
4ef88f92,bit_manipulation,01011111,01011111,False,not_attempted,non-equation row,False,False,False,False,False
5d77eff6,bit_manipulation,00011100,00011100,False,not_attempted,non-equation row,True,True,False,False,False
1a7c8520,bit_manipulation,01100110,01100110,False,not_attempted,non-equation row,False,False,False,False,False
1c671acc,bit_manipulation,11111101,11111101,False,not_attempted,non-equation row,True,True,False,False,False
528ec0d8,equation_transform,39,39,False,query_operator_unseen,query_op='-' not present in examples,False,False,False,False,False
4bb8c6cd,equation_transform,]}\!,]}\!,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
57712d01,equation_transform,$/'{,$/'{,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d98d85c0,equation_transform,(@@?,(@@?,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b62f2e75,bit_manipulation,00111111,00111111,False,not_attempted,non-equation row,True,True,False,False,False
7ed40e8a,equation_transform,180,180,False,operator_not_guarded,query_op='&',True,True,False,False,False
491b8ea5,equation_transform,@|]!,@|]!,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
eb1a62f7,equation_transform,){>),){>),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
0bb591e6,equation_transform,"""$%%""","""$%%""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
c869b4f6,bit_manipulation,10010001,10010001,False,not_attempted,non-equation row,True,True,False,False,False
3c424916,equation_transform,9351,9351,False,operator_not_guarded,query_op='*',True,True,False,False,False
575f9709,bit_manipulation,01111111,01111111,False,not_attempted,non-equation row,True,True,False,False,False
691608b9,bit_manipulation,00101000,00101000,False,not_attempted,non-equation row,True,True,False,False,False
72336119,equation_transform,3316,3316,False,operator_not_guarded,query_op='>',True,True,False,False,False
202af98d,bit_manipulation,11111111,11111111,False,not_attempted,non-equation row,False,False,False,False,False
3ace787f,bit_manipulation,11111111,11111111,False,not_attempted,non-equation row,False,False,False,False,False
9a19fc2d,equation_transform,!&)#,!&)#,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
dc7f150a,bit_manipulation,11001011,11001011,False,not_attempted,non-equation row,True,True,False,False,False
12e947ca,bit_manipulation,00111110,00111110,False,not_attempted,non-equation row,True,True,False,False,False
2a5d4790,bit_manipulation,11111111,11111111,False,not_attempted,non-equation row,True,True,False,False,False
59bee375,bit_manipulation,10010101,10010101,False,not_attempted,non-equation row,True,True,False,False,False
528b694b,equation_transform,>]]),>]]),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d3b20e29,equation_transform,3922,3922,False,add_no_unique_direct_variant,direct_add=[]; baseline=3922,True,True,False,False,False
d1bd7478,equation_transform,03,30,True,colon_absdiff_unreverse_same_len,candidate=30; baseline=03,False,True,True,False,False
21519be7,equation_transform,35,35,False,operator_not_guarded,query_op='@',True,True,False,False,False
fe6d3aa3,bit_manipulation,10100010,10100010,False,not_attempted,non-equation row,True,True,False,False,False
01248b76,bit_manipulation,11000101,11000101,False,not_attempted,non-equation row,True,True,False,False,False
0dfd7674,bit_manipulation,01001110,01001110,False,not_attempted,non-equation row,True,True,False,False,False
7306613b,equation_transform,251,251,False,add_no_unique_direct_variant,direct_add=[]; baseline=251,True,True,False,False,False
8243c91e,bit_manipulation,01000101,01000101,False,not_attempted,non-equation row,True,True,False,False,False
fba40625,equation_transform,{>?#,{>?#,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
9aa8dc92,equation_transform,/#</,/#</,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
ef2fe526,bit_manipulation,01011010,01011010,False,not_attempted,non-equation row,True,True,False,False,False
c5b058d6,equation_transform,35,134,True,add_direct_over_model_add_variant,candidate=134; baseline=35,False,True,True,False,False
b4342b90,equation_transform,66,66,False,operator_not_guarded,query_op='\\',True,True,False,False,False
837a6ae7,equation_transform,"<:{""","<:{""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
9d3e7f1a,bit_manipulation,01101010,01101010,False,not_attempted,non-equation row,True,True,False,False,False
00fdc0be,bit_manipulation,11111111,11111111,False,not_attempted,non-equation row,True,True,False,False,False
3a7dd604,bit_manipulation,01001011,01001011,False,not_attempted,non-equation row,False,False,False,False,False
d0e1010b,equation_transform,|&$|,|&$|,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
3feeabea,bit_manipulation,10010010,10010010,False,not_attempted,non-equation row,True,True,False,False,False
34c563c5,equation_transform,04`,04`,False,operator_not_guarded,query_op='`',True,True,False,False,False
5a0d5d2a,equation_transform,55,55,False,query_operator_unseen,query_op='+' not present in examples,False,False,False,False,False
5a9fcf68,equation_transform,4,4,False,query_operator_unseen,query_op='@' not present in examples,False,False,False,False,False
6e56b39a,equation_transform,&#!,&#!,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
4ada9150,bit_manipulation,01111011,01111011,False,not_attempted,non-equation row,True,True,False,False,False
a5f1991c,equation_transform,!&&&,!&&&,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
455b6b61,bit_manipulation,00111011,00111011,False,not_attempted,non-equation row,True,True,False,False,False
1d08947a,bit_manipulation,10010100,10010100,False,not_attempted,non-equation row,True,True,False,False,False
d26f22c3,bit_manipulation,11101100,11101100,False,not_attempted,non-equation row,True,True,False,False,False
c7aae192,equation_transform,"\""]","\""]",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
a6192d29,bit_manipulation,01111110,01111110,False,not_attempted,non-equation row,False,False,False,False,False
e4cc7639,equation_transform,16,16,False,query_operator_unseen,query_op='*' not present in examples,False,False,False,False,False
eeb60061,bit_manipulation,00000101,00000101,False,not_attempted,non-equation row,True,True,False,False,False
844f826c,equation_transform,`@>`,`@>`,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
048cc279,bit_manipulation,01111000,01111000,False,not_attempted,non-equation row,False,False,False,False,False
20052c2f,bit_manipulation,01100110,01100110,False,not_attempted,non-equation row,True,True,False,False,False
89dfa4c2,bit_manipulation,00111010,00111010,False,not_attempted,non-equation row,True,True,False,False,False
53329505,bit_manipulation,11011111,11011111,False,not_attempted,non-equation row,True,True,False,False,False
ced947c8,bit_manipulation,01001011,01001011,False,not_attempted,non-equation row,True,True,False,False,False
0440e6ab,bit_manipulation,01100000,01100000,False,not_attempted,non-equation row,True,True,False,False,False
e641791f,bit_manipulation,00010001,00010001,False,not_attempted,non-equation row,True,True,False,False,False
bcdf9198,bit_manipulation,11111111,11111111,False,not_attempted,non-equation row,True,True,False,False,False
b69391b8,equation_transform,66,66,False,operator_not_guarded,"query_op=""'""",True,True,False,False,False
8193e7e0,equation_transform,#?&`,#?&`,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
20cdbdb1,bit_manipulation,11100001,11100001,False,not_attempted,non-equation row,True,True,False,False,False
48ae04f6,bit_manipulation,00000010,00000010,False,not_attempted,non-equation row,True,True,False,False,False
3595c82c,bit_manipulation,10011011,10011011,False,not_attempted,non-equation row,True,True,False,False,False
5bcb572e,equation_transform,"""{!","""{!",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
8c1529e1,equation_transform,-52,-52,False,minus_signed_ambiguous,"signed_predictions=['-52', '47']",True,True,False,False,False
cdec898a,equation_transform,>}][?,>}][?,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
bca238ee,bit_manipulation,00000000,00000000,False,not_attempted,non-equation row,True,True,False,False,False
5dffe751,bit_manipulation,01100000,01100000,False,not_attempted,non-equation row,True,True,False,False,False
44398869,equation_transform,5913,5913,False,operator_not_guarded,query_op='^',True,True,False,False,False
06120e47,bit_manipulation,11111110,11111110,False,not_attempted,non-equation row,False,False,False,False,False
1f7407ed,bit_manipulation,00101101,00101101,False,not_attempted,non-equation row,True,True,False,False,False
46dd0f22,bit_manipulation,01010000,01010000,False,not_attempted,non-equation row,True,True,False,False,False
edf364da,equation_transform,::{[,::{[,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
d6e5cd59,bit_manipulation,01101111,01101111,False,not_attempted,non-equation row,True,True,False,False,False
339149c9,equation_transform,3,3,False,minus_signed_ambiguous,signed_predictions=[],True,True,False,False,False
e1f3ffbb,bit_manipulation,11111011,11111011,False,not_attempted,non-equation row,False,False,False,False,False
4c327b55,bit_manipulation,11011110,11011110,False,not_attempted,non-equation row,False,False,False,False,False
0f2dec86,bit_manipulation,10111000,10111000,False,not_attempted,non-equation row,True,True,False,False,False
e36a0065,bit_manipulation,01110110,01110110,False,not_attempted,non-equation row,True,True,False,False,False
c7844441,equation_transform,:/$^,:/$^,False,not_numeric_query,query is not a numeric binary expression,True,True,False,False,False
21261dc6,equation_transform,-25,-25,False,minus_signed_ambiguous,signed_predictions=[],True,True,False,False,False
70bc42af,bit_manipulation,10101010,10101010,False,not_attempted,non-equation row,True,True,False,False,False
4dbec546,equation_transform,611,611,False,add_no_unique_direct_variant,direct_add=[]; baseline=611,True,True,False,False,False
