id,answer,baseline_prediction,query,example_count,status,rule_class,prediction,candidate_correct,incorrect_by_weak_label,verified_by_weak_label,promotable_after_class_gate,proof
b06625c4,^&/,"""$ $]""","""$*$]",4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
52be4988,'!,&&&`,&&+&`,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
99d6a3b5,?()<,(<)),(<%)),4,candidate,symbolic_cryptarithm_v404_mul,?()<,True,False,True,True,"program_count=1;ops={""%"": ""mul""};map={""!"": 7, ""#"": 5, ""("": 6, "")"": 4, ""<"": 0, ""?"": 2, ""["": 9, ""^"": 1, ""`"": 8, ""{"": 3}"
2d3547af,))^),\${,\$&\\,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
28b0ff48,'],|^^^,|^-^^,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
61557701,|&,'{),'{+{),4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
02902eb3,>/,!!$>,!!+$>,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=26; unique_prediction_count=8
0d90736f,:,::)[,::-)[,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
294453b5,&(,##!),##-!),3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
57f6878e,%{{,|@(!,|@<:(,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
d911e8e1,:\:,@}<',@})<',3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
5f9f0ed7,}/!},|!@[,|!*@[,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
c43b5a13,)|,$):$,$)+:$,3,candidate,symbolic_cryptarithm_v404_sub_ba,/<,False,True,False,False,"program_count=11;ops={""+"": ""sub_ba"", ""-"": ""sub_ab""};map={""$"": 5, ""&"": 8, ""("": 0, "")"": 9, ""/"": 1, "":"": 7, ""<"": 6, ""{"": 3, ""|"": 4};ops={""+"": ""sub_ba"", ""-"": ""abs_diff""};map={""$"": 5, ""&"": 8, ""("": 0, "")"": 9, ""/"": 1, "":"": 7, ""<"": 6, ""{"": 3, ""|"": 4}"
b0206bb7,]$!,$){,${*)},5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
638f93ca,@,$]<$,$<-]$,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
4bfd095a,{<<<,@/[@,@/*[@,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
7a422e17,%'!,"#`""","#`@{""",4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
5b2523e6,&&,><\$,><-\$,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
0fe53bac,"(""",^?(|,^?+(|,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
03a3437f,-!,'}>/,'}-/>,3,candidate,symbolic_cryptarithm_v404_abs_diff,:!,False,True,False,False,"program_count=4;ops={""+"": ""concat_ab"", ""-"": ""abs_diff""};map={""!"": 0, ""'"": 1, ""/"": 5, "":"": 7, "">"": 2, ""`"": 9, ""|"": 3, ""}"": 4};ops={""+"": ""concat_ab"", ""-"": ""abs_diff""};map={""!"": 9, ""'"": 1, ""/"": 6, "":"": 4, "">"": 2, ""`"": 8, ""|"": 7, ""}"": 3}"
30ac5c8e,)#?,@\}?,@\+}?,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
ff121f08,#<,!%<<,!%+<<,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
ec8b4875,"|""]",|@<!,|@*<!,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
e3fbc768,'(^),{%??,{%/??,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
6cc5dafb,)(,^&>),^&!>),4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=26; unique_prediction_count=3
d5a03a2e,>>,""")&&",""""")&&",4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
d129b085,##$,!>``,"!>+`""",4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
e582df31,}@,"""']@","""'?]@",3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
a77be9fa,"[""",{>$[,{>|$[,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
4ed6b56f,"(""/""",!:`(,!:*`(,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
208d7838,[:,[&<>,[&-<>,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
58c099d2,-)\,^!#\,^!-#\,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
3cb3fd89,[[&],]$$),]$*$),4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
a26065d4,<',<&<#,<&+<#,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
194695e8,%,!\{<,!\-{<,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=2; unique_prediction_count=0
57712d01,-/<,$/'{,$/-'{,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
d98d85c0,?(&@,(@@?,(@+@?,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=2; unique_prediction_count=0
491b8ea5,)!,@|]!,@|-]!,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=16; unique_prediction_count=0
eb1a62f7,>!>},){>),)}*>),3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
0bb591e6,%?<,"""$%%""","""$+%%",4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
9a19fc2d,#>[,!&)#,!&+)#,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
528b694b,"""'",>]],>]<]),4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
fba40625,'>&,{>?#,{>'?#,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
837a6ae7,<>\>,"<:{""","<{*:""",5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
d0e1010b,!&&},|&$|,|&*$|,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
6e56b39a,-/#,&#!,&#-!],4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
a5f1991c,/|',!&&&,!?/&&,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=3; unique_prediction_count=0
c7aae192,">""(","\""]","\""*}}",2,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=4; unique_prediction_count=0
844f826c,"/""",`@>``,@*>,5,abstain,symbolic_cryptarithm_v404_parse_gate,,False,False,False,False,query_not_len5
8193e7e0,??{`,#?&`,#?*&`,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
5bcb572e,-!#,"""{!""","""{-{!",3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
cdec898a,<?/,>}][?,>}+]?,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
edf364da,$(%,::{[,::*{[,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
0e009c6d,`?\!,@?`?,@?'`?,4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
b4b73143,>\:,>!!/,>!%!/,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
90feb0c5,:<],?>>>,?>'>>,3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=3; unique_prediction_count=0
b9f1d959,:>,"$""\[""","$\+""[",5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
ca5db1c0,^,"\boxed({""'|})","(""-'|",3,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
9f1ff166,[,"""]'/","""]-'/",4,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
432b1110,%[:?,\{<?,\{*<?,4,candidate,symbolic_cryptarithm_v404_concat_ba,<?\{,False,True,False,False,"program_count=13;ops={""*"": ""concat_ba"", ""+"": ""concat_ab""};map={""%"": 5, ""/"": 4, ""<"": 7, ""?"": 6, ""@"": 1, ""["": 3, ""\\"": 0, ""]"": 8, ""{"": 9};ops={""*"": ""concat_ba"", ""+"": ""concat_ab""};map={""%"": 5, ""/"": 4, ""<"": 7, ""?"": 6, ""@"": 0, ""["": 3, ""\\"": 1, ""]"": 8, ""{"": 9}"
f7d26b8d,/@,[}}\,[}-}\,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
26e48e98,){|,"""%]%{""","""])%{",5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=0; unique_prediction_count=0
5501c054,[#>#,!##^,!#$#^,5,abstain,symbolic_cryptarithm_v404_ambiguous,,False,False,False,False,program_count=26; unique_prediction_count=4
