id,family,answer,baseline_prediction,postprocessed_prediction,postprocessor_applied,postprocessor_rule,postprocessor_proof,baseline_correct,postprocessed_correct,gain,loss,truncated
254f9885,text_encryption,the secret teacher sees,the secret teacher sees,the secret teacher sees,False,not_attempted,non-equation row,True,True,False,False,False
ac3ab4d3,text_encryption,rabbit sees the strange treasure,rabbit sees the strange treasure,rabbit sees the strange treasure,False,not_attempted,non-equation row,True,True,False,False,False
9d28a7ca,text_encryption,teacher studies map,teacher studies map,teacher studies map,False,not_attempted,non-equation row,True,True,False,False,False
487f62c4,gravity_constant,97.97,97.97,97.97,False,not_attempted,non-equation row,True,True,False,False,False
3cd80c64,bit_manipulation,01100100,01100100,01100100,False,not_attempted,non-equation row,True,True,False,False,False
a1523a63,equation_transform,87,87,87,False,operator_not_guarded,query_op='%',True,True,False,False,False
4ecacf23,unit_conversion,23.81,23.82,23.82,False,not_attempted,non-equation row,True,True,False,False,False
6bbfc336,text_encryption,the silver princess chases,the silver princess chases,the silver princess chases,False,not_attempted,non-equation row,True,True,False,False,False
f2b23d11,bit_manipulation,10000000,10000000,10000000,False,not_attempted,non-equation row,True,True,False,False,False
560b2396,gravity_constant,68.97,68.96,68.96,False,not_attempted,non-equation row,True,True,False,False,False
5cbe919f,bit_manipulation,00000000,00000000,00000000,False,not_attempted,non-equation row,True,True,False,False,False
3383d4ec,equation_transform,66,66,66,False,minus_signed_ambiguous,"signed_predictions=['-33', '66']",True,True,False,False,False
cacc0b56,gravity_constant,47.92,47.91,47.91,False,not_attempted,non-equation row,True,True,False,False,False
ab3352fa,text_encryption,queen chases the wise key,queen chases the wise key,queen chases the wise key,False,not_attempted,non-equation row,True,True,False,False,False
0af037a5,text_encryption,student studies near valley,student studies near valley,student studies near valley,False,not_attempted,non-equation row,True,True,False,False,False
91adf788,numeral_system,XCIII,XCIII,XCIII,False,not_attempted,non-equation row,True,True,False,False,False
71fc0560,gravity_constant,65.24,65.25,65.25,False,not_attempted,non-equation row,True,True,False,False,False
ff937315,text_encryption,turtle reads potion,turtle reads potion,turtle reads potion,False,not_attempted,non-equation row,True,True,False,False,False
8ee54e57,gravity_constant,46.86,46.86,46.86,False,not_attempted,non-equation row,True,True,False,False,False
48266347,unit_conversion,80.17,80.16,80.16,False,not_attempted,non-equation row,True,True,False,False,False
9dae880f,equation_transform,))[,:<`\,:<`\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b43d9cd5,bit_manipulation,11100100,11100100,11100100,False,not_attempted,non-equation row,True,True,False,False,False
3a02997b,unit_conversion,26.19,26.19,26.19,False,not_attempted,non-equation row,True,True,False,False,False
46a8a0fc,gravity_constant,39.7,39.7,39.7,False,not_attempted,non-equation row,True,True,False,False,False
aac9bfab,text_encryption,the bright student reads,the bright student reads,the bright student reads,False,not_attempted,non-equation row,True,True,False,False,False
5c7d8aed,gravity_constant,29.83,29.83,29.83,False,not_attempted,non-equation row,True,True,False,False,False
cf821623,text_encryption,turtle writes door,turtle writes door,turtle writes door,False,not_attempted,non-equation row,True,True,False,False,False
64890e18,bit_manipulation,00001100,00001100,00001100,False,not_attempted,non-equation row,True,True,False,False,False
e20b6ce3,numeral_system,C,C,C,False,not_attempted,non-equation row,True,True,False,False,False
d6187157,bit_manipulation,01001000,01001000,01001000,False,not_attempted,non-equation row,True,True,False,False,False
a57bcd23,numeral_system,LVII,LVII,LVII,False,not_attempted,non-equation row,True,True,False,False,False
6f6a3ae0,unit_conversion,10.03,10.03,10.03,False,not_attempted,non-equation row,True,True,False,False,False
905184e7,text_encryption,dragon reads message,dragon reads message,dragon reads message,False,not_attempted,non-equation row,True,True,False,False,False
de91def4,bit_manipulation,10000111,10000111,10000111,False,not_attempted,non-equation row,True,True,False,False,False
a642a3a1,text_encryption,the bright hatter draws,the bright hatter draws,the bright hatter draws,False,not_attempted,non-equation row,True,True,False,False,False
2af7134e,equation_transform,20,20,20,False,add_no_unique_direct_variant,direct_add=[]; baseline=20,True,True,False,False,False
fc7d8708,text_encryption,the mysterious mouse creates,the mysterious mouse creates,the mysterious mouse creates,False,not_attempted,non-equation row,True,True,False,False,False
ae6be599,equation_transform,#`,$?]$,$?]$,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
b26d8818,equation_transform,5983,5983,5983,False,operator_not_guarded,query_op=']',True,True,False,False,False
621a9353,text_encryption,teacher imagines the secret secret,teacher imagines the secret secret,teacher imagines the secret secret,False,not_attempted,non-equation row,True,True,False,False,False
882153ed,unit_conversion,25.63,25.63,25.63,False,not_attempted,non-equation row,True,True,False,False,False
8494aad3,equation_transform,"""`#&","])<""","])<""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
898e4973,numeral_system,XXVIII,XXVIII,XXVIII,False,not_attempted,non-equation row,True,True,False,False,False
8df3daad,equation_transform,34,34,34,False,query_operator_unseen,query_op='|' not present in examples,True,True,False,False,False
4f06eee8,unit_conversion,40.34,40.33,40.33,False,not_attempted,non-equation row,True,True,False,False,False
bab19053,gravity_constant,40.61,40.63,40.63,False,not_attempted,non-equation row,True,True,False,False,False
9a9f5fef,text_encryption,wizard sees the golden key,wizard sees the golden key,wizard sees the golden key,False,not_attempted,non-equation row,True,True,False,False,False
a25f86f4,numeral_system,LXXXIV,LXXXIV,LXXXIV,False,not_attempted,non-equation row,True,True,False,False,False
589f4e37,unit_conversion,21.20,21.20,21.20,False,not_attempted,non-equation row,True,True,False,False,False
8be3f8e3,numeral_system,XVIII,XVIII,XVIII,False,not_attempted,non-equation row,True,True,False,False,False
791056ce,equation_transform,4922,4922,4922,False,operator_not_guarded,query_op='{',True,True,False,False,False
eff63b8c,unit_conversion,17.95,17.95,17.95,False,not_attempted,non-equation row,True,True,False,False,False
ee891900,unit_conversion,10.82,10.82,10.82,False,not_attempted,non-equation row,True,True,False,False,False
29e458d6,bit_manipulation,00010010,00010010,00010010,False,not_attempted,non-equation row,True,True,False,False,False
3c12aeb9,equation_transform,321,321,321,False,operator_not_guarded,query_op='$',True,True,False,False,False
8ffacd86,gravity_constant,70.34,70.33,70.33,False,not_attempted,non-equation row,True,True,False,False,False
9372da3d,text_encryption,knight watches the colorful castle,knight watches the colorful castle,knight watches the colorful castle,False,not_attempted,non-equation row,True,True,False,False,False
69aa57b3,equation_transform,4472,4472,4472,False,add_no_unique_direct_variant,direct_add=[]; baseline=4472,True,True,False,False,False
7ee39525,gravity_constant,145.57,145.57,145.57,False,not_attempted,non-equation row,True,True,False,False,False
e3890bf7,equation_transform,{@%],(^@{,(^@{,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
5164f026,text_encryption,teacher chases the mysterious treasure,teacher chases the mysterious treasure,teacher chases the mysterious treasure,False,not_attempted,non-equation row,True,True,False,False,False
d204b9cc,equation_transform,231,231,231,False,add_no_unique_direct_variant,direct_add=[]; baseline=231,True,True,False,False,False
7a79ac09,bit_manipulation,11111111,11111111,11111111,False,not_attempted,non-equation row,True,True,False,False,False
d29e19a4,equation_transform,?|,|''>,|''>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
36c93216,numeral_system,LXXVII,LXXVII,LXXVII,False,not_attempted,non-equation row,True,True,False,False,False
bf7c64dd,numeral_system,XL,XL,XL,False,not_attempted,non-equation row,True,True,False,False,False
215050ec,numeral_system,LIV,LIV,LIV,False,not_attempted,non-equation row,True,True,False,False,False
480997bb,unit_conversion,72.37,72.35,72.35,False,not_attempted,non-equation row,True,True,False,False,False
531f3777,unit_conversion,8.87,8.87,8.87,False,not_attempted,non-equation row,True,True,False,False,False
812ebe7e,unit_conversion,7.12,7.12,7.12,False,not_attempted,non-equation row,True,True,False,False,False
b06625c4,equation_transform,^&/,"""$ $]""","""$ $]""",False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
91059046,unit_conversion,43.86,43.85,43.85,False,not_attempted,non-equation row,True,True,False,False,False
9d6d8b52,numeral_system,LXIII,LXIII,LXIII,False,not_attempted,non-equation row,True,True,False,False,False
84030b0b,equation_transform,24,24,24,False,add_no_unique_direct_variant,direct_add=[]; baseline=24,True,True,False,False,False
3a67aa26,bit_manipulation,00101110,00101110,00101110,False,not_attempted,non-equation row,True,True,False,False,False
e2896720,text_encryption,rabbit discovers mirror,rabbit discovers mirror,rabbit discovers mirror,False,not_attempted,non-equation row,True,True,False,False,False
710cf035,bit_manipulation,10000011,10000011,10000011,False,not_attempted,non-equation row,True,True,False,False,False
3aef986b,unit_conversion,68.55,68.55,68.55,False,not_attempted,non-equation row,True,True,False,False,False
52be4988,equation_transform,'!,&&&`,&&&`,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
63316c38,gravity_constant,168.43,168.44,168.44,False,not_attempted,non-equation row,True,True,False,False,False
d3daee34,unit_conversion,2.74,2.74,2.74,False,not_attempted,non-equation row,True,True,False,False,False
27e7a8dc,numeral_system,X,X,X,False,not_attempted,non-equation row,True,True,False,False,False
27bd81c8,numeral_system,LXXIX,LXXIX,LXXIX,False,not_attempted,non-equation row,True,True,False,False,False
b8722d19,bit_manipulation,00100100,11110100,11110100,False,not_attempted,non-equation row,False,False,False,False,False
c7f785b6,unit_conversion,31.44,31.43,31.43,False,not_attempted,non-equation row,True,True,False,False,False
65f356f9,unit_conversion,50.09,50.09,50.09,False,not_attempted,non-equation row,True,True,False,False,False
5e502d98,unit_conversion,8.31,8.32,8.32,False,not_attempted,non-equation row,True,True,False,False,False
99d6a3b5,equation_transform,?()<,(<)),(<)),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
2d3547af,equation_transform,))^),\$\\,\$\\,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
8c9fcc6b,bit_manipulation,11110111,11110111,11110111,False,not_attempted,non-equation row,True,True,False,False,False
10f1809a,text_encryption,cat draws key,cat draws key,cat draws key,False,not_attempted,non-equation row,True,True,False,False,False
d6b2525a,gravity_constant,63.74,63.73,63.73,False,not_attempted,non-equation row,True,True,False,False,False
28b0ff48,equation_transform,'],|^^^,|^^^,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
25bdf5be,text_encryption,rabbit follows the dark garden,rabbit follows the dark garden,rabbit follows the dark garden,False,not_attempted,non-equation row,True,True,False,False,False
a5047680,text_encryption,the strange rabbit chases,the strange rabbit chases,the strange rabbit chases,False,not_attempted,non-equation row,True,True,False,False,False
44c71228,gravity_constant,146.33,146.32,146.32,False,not_attempted,non-equation row,True,True,False,False,False
54a20616,gravity_constant,4.49,4.49,4.49,False,not_attempted,non-equation row,True,True,False,False,False
861a8c1d,unit_conversion,82.63,82.63,82.63,False,not_attempted,non-equation row,True,True,False,False,False
c2540e41,numeral_system,LXIX,LXIX,LXIX,False,not_attempted,non-equation row,True,True,False,False,False
3fa49035,equation_transform,696,696,696,False,operator_not_guarded,query_op='>',True,True,False,False,False
b0184ec1,unit_conversion,61.57,61.56,61.56,False,not_attempted,non-equation row,True,True,False,False,False
04732729,unit_conversion,22.45,22.45,22.45,False,not_attempted,non-equation row,True,True,False,False,False
a187872d,text_encryption,king reads the strange mirror,king reads the strange mirror,king reads the strange mirror,False,not_attempted,non-equation row,True,True,False,False,False
2fa5e04e,numeral_system,XXV,XXV,XXV,False,not_attempted,non-equation row,True,True,False,False,False
c38256ce,text_encryption,queen discovers the hidden treasure,queen discovers the hidden treasure,queen discovers the hidden treasure,False,not_attempted,non-equation row,True,True,False,False,False
61557701,equation_transform,|&,'{),'{),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
92087c7c,text_encryption,the magical rabbit follows,the magical rabbit follows,the magical rabbit follows,False,not_attempted,non-equation row,True,True,False,False,False
60332605,numeral_system,XXXV,XXXV,XXXV,False,not_attempted,non-equation row,True,True,False,False,False
bb8a739b,gravity_constant,61.81,61.81,61.81,False,not_attempted,non-equation row,True,True,False,False,False
85d800c7,numeral_system,XXXI,XXXI,XXXI,False,not_attempted,non-equation row,True,True,False,False,False
8c0f9291,bit_manipulation,00001111,00001111,00001111,False,not_attempted,non-equation row,True,True,False,False,False
d6e6f8b5,bit_manipulation,11100001,11100001,11100001,False,not_attempted,non-equation row,True,True,False,False,False
955d71c5,text_encryption,hatter discovers the bright door,hatter discovers the bright door,hatter discovers the bright door,False,not_attempted,non-equation row,True,True,False,False,False
3a90fdf6,bit_manipulation,10100000,10100000,10100000,False,not_attempted,non-equation row,True,True,False,False,False
2def3dad,unit_conversion,6.87,6.88,6.88,False,not_attempted,non-equation row,True,True,False,False,False
9b4ecc42,unit_conversion,17.04,17.05,17.05,False,not_attempted,non-equation row,True,True,False,False,False
0bd41b01,numeral_system,LXXXV,LXXXV,LXXXV,False,not_attempted,non-equation row,True,True,False,False,False
7bc77ef3,gravity_constant,143.12,143.15,143.15,False,not_attempted,non-equation row,True,True,False,False,False
56343b77,equation_transform,711,711,711,False,add_no_unique_direct_variant,direct_add=[]; baseline=711,True,True,False,False,False
f639a4f1,unit_conversion,62.70,62.71,62.71,False,not_attempted,non-equation row,True,True,False,False,False
14570aeb,unit_conversion,53.05,53.05,53.05,False,not_attempted,non-equation row,True,True,False,False,False
34390bf1,gravity_constant,29.85,29.85,29.85,False,not_attempted,non-equation row,True,True,False,False,False
6feba18a,unit_conversion,23.20,23.20,23.20,False,not_attempted,non-equation row,True,True,False,False,False
49322650,numeral_system,XVIII,XVIII,XVIII,False,not_attempted,non-equation row,True,True,False,False,False
08df5363,bit_manipulation,01011100,01011100,01011100,False,not_attempted,non-equation row,True,True,False,False,False
43a5b607,numeral_system,V,V,V,False,not_attempted,non-equation row,True,True,False,False,False
a84f60fd,gravity_constant,71.51,71.51,71.51,False,not_attempted,non-equation row,True,True,False,False,False
d50746e7,bit_manipulation,01000010,01000010,01000010,False,not_attempted,non-equation row,True,True,False,False,False
6789bfc2,numeral_system,LXXXVI,LXXXVI,LXXXVI,False,not_attempted,non-equation row,True,True,False,False,False
2facfaa4,bit_manipulation,00111110,00111110,00111110,False,not_attempted,non-equation row,True,True,False,False,False
cbd76ba8,gravity_constant,86.27,86.27,86.27,False,not_attempted,non-equation row,True,True,False,False,False
44a43f6c,unit_conversion,35.17,35.18,35.18,False,not_attempted,non-equation row,True,True,False,False,False
e4fc9ec8,gravity_constant,34.75,34.75,34.75,False,not_attempted,non-equation row,True,True,False,False,False
7ac90433,equation_transform,-23,-23,-23,False,minus_guard_all_negative_examples,single '-' rule with all negative examples is blocked,True,True,False,False,False
8abcff0f,bit_manipulation,11110111,11110111,11110111,False,not_attempted,non-equation row,True,True,False,False,False
02902eb3,equation_transform,>/,!!$>,!!$>,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
ddc5aefe,bit_manipulation,00000001,00000001,00000001,False,not_attempted,non-equation row,True,True,False,False,False
0d90736f,equation_transform,:,::)[,::)[,False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
294453b5,equation_transform,&(,##!),##!),False,not_numeric_query,query is not a numeric binary expression,False,False,False,False,False
