id,family,answer,baseline_public_final,baseline_strict_final_boxed,baseline_public_correct,baseline_strict_correct,candidate_public_correct,candidate_strict_correct,candidate_exact_one_closed_boxed,candidate_truncated
bit_0081,bit_manipulation,bit_answer_0081,bit_answer_0081,bit_answer_0081,True,True,True,True,True,False
bit_0082,bit_manipulation,bit_answer_0082,bit_answer_0082,bit_answer_0082,True,True,True,True,True,False
bit_0083,bit_manipulation,bit_answer_0083,bit_answer_0083,bit_answer_0083,True,True,True,True,True,False
bit_0084,bit_manipulation,bit_answer_0084,bit_answer_0084,bit_answer_0084,True,True,True,True,True,False
bit_0085,bit_manipulation,bit_answer_0085,bit_answer_0085,bit_answer_0085,True,True,True,True,True,False
bit_0086,bit_manipulation,bit_answer_0086,bit_answer_0086,bit_answer_0086,True,True,True,True,True,False
bit_0087,bit_manipulation,bit_answer_0087,bit_answer_0087,bit_answer_0087,True,True,True,True,True,False
bit_0088,bit_manipulation,bit_answer_0088,bit_answer_0088,bit_answer_0088,True,True,True,True,True,False
bit_0089,bit_manipulation,bit_answer_0089,bit_answer_0089,bit_answer_0089,True,True,True,True,True,False
bit_0090,bit_manipulation,bit_answer_0090,bit_answer_0090,bit_answer_0090,True,True,True,True,True,False
bit_0091,bit_manipulation,bit_answer_0091,bit_answer_0091,bit_answer_0091,True,True,True,True,True,False
bit_0092,bit_manipulation,bit_answer_0092,bit_answer_0092,bit_answer_0092,True,True,True,True,True,False
bit_0093,bit_manipulation,bit_answer_0093,bit_answer_0093,bit_answer_0093,True,True,True,True,True,False
bit_0094,bit_manipulation,bit_answer_0094,bit_answer_0094,bit_answer_0094,True,True,True,True,True,False
bit_0095,bit_manipulation,bit_answer_0095,bit_answer_0095,bit_answer_0095,True,True,True,True,True,False
bit_0096,bit_manipulation,bit_answer_0096,bit_answer_0096,bit_answer_0096,True,True,True,True,True,False
bit_0097,bit_manipulation,bit_answer_0097,bit_answer_0097,bit_answer_0097,True,True,True,True,True,False
bit_0098,bit_manipulation,bit_answer_0098,bit_answer_0098,bit_answer_0098,True,True,True,True,True,False
bit_0099,bit_manipulation,bit_answer_0099,bit_answer_0099,bit_answer_0099,True,True,True,True,True,False
bit_0100,bit_manipulation,bit_answer_0100,bit_answer_0100,bit_answer_0100,True,True,True,True,True,False
bit_0101,bit_manipulation,bit_answer_0101,bit_answer_0101,bit_answer_0101,True,True,True,True,True,False
bit_0102,bit_manipulation,bit_answer_0102,bit_answer_0102,bit_answer_0102,True,True,True,True,True,False
bit_0103,bit_manipulation,bit_answer_0103,bit_answer_0103,bit_answer_0103,True,True,True,True,True,False
bit_0104,bit_manipulation,bit_answer_0104,bit_answer_0104,bit_answer_0104,True,True,True,True,True,False
bit_0105,bit_manipulation,bit_answer_0105,bit_answer_0105,bit_answer_0105,True,True,True,True,True,False
bit_0106,bit_manipulation,bit_answer_0106,bit_answer_0106,bit_answer_0106,True,True,True,True,True,False
bit_0107,bit_manipulation,bit_answer_0107,bit_answer_0107,bit_answer_0107,True,True,True,True,True,False
bit_0108,bit_manipulation,bit_answer_0108,bit_answer_0108,bit_answer_0108,True,True,True,True,True,False
bit_0109,bit_manipulation,bit_answer_0109,bit_answer_0109,bit_answer_0109,True,True,True,True,True,False
bit_0110,bit_manipulation,bit_answer_0110,bit_answer_0110,bit_answer_0110,True,True,True,True,True,False
bit_0111,bit_manipulation,bit_answer_0111,bit_answer_0111,bit_answer_0111,True,True,True,True,True,False
bit_0112,bit_manipulation,bit_answer_0112,bit_answer_0112,bit_answer_0112,True,True,True,True,True,False
bit_0113,bit_manipulation,bit_answer_0113,bit_answer_0113,bit_answer_0113,True,True,True,True,True,False
bit_0114,bit_manipulation,bit_answer_0114,bit_answer_0114,bit_answer_0114,True,True,True,True,True,False
bit_0115,bit_manipulation,bit_answer_0115,bit_answer_0115,bit_answer_0115,True,True,True,True,True,False
bit_0116,bit_manipulation,bit_answer_0116,bit_answer_0116,bit_answer_0116,True,True,True,True,True,False
bit_0117,bit_manipulation,bit_answer_0117,bit_answer_0117,bit_answer_0117,True,True,True,True,True,False
bit_0118,bit_manipulation,bit_answer_0118,bit_answer_0118,bit_answer_0118,True,True,True,True,True,False
bit_0119,bit_manipulation,bit_answer_0119,bit_answer_0119,bit_answer_0119,True,True,True,True,True,False
bit_0120,bit_manipulation,bit_answer_0120,bit_answer_0120,bit_answer_0120,True,True,True,True,True,False
bit_0121,bit_manipulation,bit_answer_0121,bit_answer_0121,bit_answer_0121,True,True,True,True,True,False
bit_0122,bit_manipulation,bit_answer_0122,bit_answer_0122,bit_answer_0122,True,True,True,True,True,False
bit_0123,bit_manipulation,bit_answer_0123,bit_answer_0123,bit_answer_0123,True,True,True,True,True,False
bit_0124,bit_manipulation,bit_answer_0124,bit_answer_0124,bit_answer_0124,True,True,True,True,True,False
bit_0125,bit_manipulation,bit_answer_0125,bit_answer_0125,bit_answer_0125,True,True,True,True,True,False
bit_0126,bit_manipulation,bit_answer_0126,bit_answer_0126,bit_answer_0126,True,True,True,True,True,False
bit_0127,bit_manipulation,bit_answer_0127,bit_answer_0127,bit_answer_0127,True,True,True,True,True,False
bit_0128,bit_manipulation,bit_answer_0128,bit_answer_0128,bit_answer_0128,True,True,True,True,True,False
bit_0129,bit_manipulation,bit_answer_0129,bit_answer_0129,bit_answer_0129,True,True,True,True,True,False
bit_0130,bit_manipulation,bit_answer_0130,bit_answer_0130,bit_answer_0130,True,True,True,True,True,False
bit_0131,bit_manipulation,bit_answer_0131,bit_answer_0131,bit_answer_0131,True,True,True,True,True,False
bit_0132,bit_manipulation,bit_answer_0132,bit_answer_0132,bit_answer_0132,True,True,True,True,True,False
bit_0133,bit_manipulation,bit_answer_0133,bit_answer_0133,bit_answer_0133,True,True,True,True,True,False
bit_0134,bit_manipulation,bit_answer_0134,bit_answer_0134,bit_answer_0134,True,True,True,True,True,False
bit_0135,bit_manipulation,bit_answer_0135,wrong_bit_0135,wrong_bit_0135,False,False,False,False,True,False
bit_0136,bit_manipulation,bit_answer_0136,wrong_bit_0136,wrong_bit_0136,False,False,False,False,True,False
bit_0137,bit_manipulation,bit_answer_0137,wrong_bit_0137,wrong_bit_0137,False,False,False,False,True,False
bit_0138,bit_manipulation,bit_answer_0138,wrong_bit_0138,wrong_bit_0138,False,False,False,False,True,False
bit_0139,bit_manipulation,bit_answer_0139,wrong_bit_0139,wrong_bit_0139,False,False,False,False,True,False
bit_0140,bit_manipulation,bit_answer_0140,wrong_bit_0140,wrong_bit_0140,False,False,False,False,True,False
bit_0141,bit_manipulation,bit_answer_0141,wrong_bit_0141,wrong_bit_0141,False,False,False,False,True,False
bit_0142,bit_manipulation,bit_answer_0142,wrong_bit_0142,wrong_bit_0142,False,False,False,False,True,False
bit_0143,bit_manipulation,bit_answer_0143,wrong_bit_0143,wrong_bit_0143,False,False,False,False,True,False
bit_0144,bit_manipulation,bit_answer_0144,wrong_bit_0144,wrong_bit_0144,False,False,False,False,True,False
bit_0145,bit_manipulation,bit_answer_0145,wrong_bit_0145,wrong_bit_0145,False,False,False,False,True,False
bit_0146,bit_manipulation,bit_answer_0146,wrong_bit_0146,wrong_bit_0146,False,False,False,False,True,False
bit_0147,bit_manipulation,bit_answer_0147,wrong_bit_0147,wrong_bit_0147,False,False,False,False,True,False
bit_0148,bit_manipulation,bit_answer_0148,wrong_bit_0148,wrong_bit_0148,False,False,False,False,True,False
bit_0149,bit_manipulation,bit_answer_0149,wrong_bit_0149,wrong_bit_0149,False,False,False,False,True,False
bit_0150,bit_manipulation,bit_answer_0150,wrong_bit_0150,wrong_bit_0150,False,False,False,False,True,False
bit_0151,bit_manipulation,bit_answer_0151,wrong_bit_0151,wrong_bit_0151,False,False,False,False,True,False
bit_0152,bit_manipulation,bit_answer_0152,wrong_bit_0152,wrong_bit_0152,False,False,False,False,True,False
bit_0153,bit_manipulation,bit_answer_0153,wrong_bit_0153,wrong_bit_0153,False,False,False,False,True,False
bit_0154,bit_manipulation,bit_answer_0154,wrong_bit_0154,wrong_bit_0154,False,False,False,False,True,False
bit_0155,bit_manipulation,bit_answer_0155,wrong_bit_0155,wrong_bit_0155,False,False,False,False,True,False
bit_0156,bit_manipulation,bit_answer_0156,wrong_bit_0156,wrong_bit_0156,False,False,False,False,True,False
bit_0157,bit_manipulation,bit_answer_0157,wrong_bit_0157,wrong_bit_0157,False,False,False,False,True,False
bit_0158,bit_manipulation,bit_answer_0158,wrong_bit_0158,wrong_bit_0158,False,False,False,False,True,False
bit_0159,bit_manipulation,bit_answer_0159,wrong_bit_0159,wrong_bit_0159,False,False,False,False,True,False
equation_0000,equation_transform,equation_answer_0000,equation_answer_0000,equation_answer_0000,True,True,True,True,True,False
equation_0001,equation_transform,equation_answer_0001,equation_answer_0001,equation_answer_0001,True,True,True,True,True,False
equation_0002,equation_transform,equation_answer_0002,equation_answer_0002,equation_answer_0002,True,True,True,True,True,False
equation_0003,equation_transform,equation_answer_0003,equation_answer_0003,equation_answer_0003,True,True,True,True,True,False
equation_0004,equation_transform,equation_answer_0004,equation_answer_0004,equation_answer_0004,True,True,True,True,True,False
equation_0005,equation_transform,equation_answer_0005,equation_answer_0005,equation_answer_0005,True,True,True,True,True,False
equation_0006,equation_transform,equation_answer_0006,equation_answer_0006,equation_answer_0006,True,True,True,True,True,False
equation_0007,equation_transform,equation_answer_0007,equation_answer_0007,equation_answer_0007,True,True,True,True,True,False
equation_0008,equation_transform,equation_answer_0008,equation_answer_0008,equation_answer_0008,True,True,True,True,True,False
equation_0009,equation_transform,equation_answer_0009,equation_answer_0009,equation_answer_0009,True,True,True,True,True,False
equation_0010,equation_transform,equation_answer_0010,equation_answer_0010,equation_answer_0010,True,True,True,True,True,False
equation_0011,equation_transform,equation_answer_0011,equation_answer_0011,equation_answer_0011,True,True,True,True,True,False
equation_0012,equation_transform,equation_answer_0012,equation_answer_0012,equation_answer_0012,True,True,True,True,True,False
equation_0013,equation_transform,equation_answer_0013,equation_answer_0013,equation_answer_0013,True,True,True,True,True,False
equation_0014,equation_transform,equation_answer_0014,equation_answer_0014,equation_answer_0014,True,True,True,True,True,False
equation_0015,equation_transform,equation_answer_0015,equation_answer_0015,equation_answer_0015,True,True,True,True,True,False
equation_0016,equation_transform,equation_answer_0016,equation_answer_0016,equation_answer_0016,True,True,True,True,True,False
equation_0017,equation_transform,equation_answer_0017,equation_answer_0017,equation_answer_0017,True,True,True,True,True,False
equation_0018,equation_transform,equation_answer_0018,equation_answer_0018,equation_answer_0018,True,True,True,True,True,False
equation_0019,equation_transform,equation_answer_0019,equation_answer_0019,equation_answer_0019,True,True,True,True,True,False
equation_0020,equation_transform,equation_answer_0020,equation_answer_0020,equation_answer_0020,True,True,True,True,True,False
equation_0021,equation_transform,equation_answer_0021,equation_answer_0021,equation_answer_0021,True,True,True,True,True,False
equation_0022,equation_transform,equation_answer_0022,equation_answer_0022,equation_answer_0022,True,True,True,True,True,False
equation_0023,equation_transform,equation_answer_0023,equation_answer_0023,equation_answer_0023,True,True,True,True,True,False
equation_0024,equation_transform,equation_answer_0024,equation_answer_0024,equation_answer_0024,True,True,True,True,True,False
equation_0025,equation_transform,equation_answer_0025,equation_answer_0025,equation_answer_0025,True,True,True,True,True,False
equation_0026,equation_transform,equation_answer_0026,equation_answer_0026,equation_answer_0026,True,True,True,True,True,False
equation_0027,equation_transform,equation_answer_0027,equation_answer_0027,equation_answer_0027,True,True,True,True,True,False
equation_0028,equation_transform,equation_answer_0028,equation_answer_0028,equation_answer_0028,True,True,True,True,True,False
equation_0029,equation_transform,equation_answer_0029,equation_answer_0029,equation_answer_0029,True,True,True,True,True,False
equation_0030,equation_transform,equation_answer_0030,equation_answer_0030,equation_answer_0030,True,True,True,True,True,False
equation_0031,equation_transform,equation_answer_0031,equation_answer_0031,equation_answer_0031,True,True,True,True,True,False
equation_0032,equation_transform,equation_answer_0032,equation_answer_0032,equation_answer_0032,True,True,True,True,True,False
equation_0033,equation_transform,equation_answer_0033,equation_answer_0033,equation_answer_0033,True,True,True,True,True,False
equation_0034,equation_transform,equation_answer_0034,equation_answer_0034,equation_answer_0034,True,True,True,True,True,False
equation_0035,equation_transform,equation_answer_0035,equation_answer_0035,equation_answer_0035,True,True,True,True,True,False
equation_0036,equation_transform,equation_answer_0036,equation_answer_0036,equation_answer_0036,True,True,True,True,True,False
equation_0037,equation_transform,equation_answer_0037,equation_answer_0037,equation_answer_0037,True,True,True,True,True,False
equation_0038,equation_transform,equation_answer_0038,equation_answer_0038,equation_answer_0038,True,True,True,True,True,False
equation_0039,equation_transform,equation_answer_0039,equation_answer_0039,equation_answer_0039,True,True,True,True,True,False
equation_0040,equation_transform,equation_answer_0040,equation_answer_0040,equation_answer_0040,True,True,True,True,True,False
equation_0041,equation_transform,equation_answer_0041,equation_answer_0041,equation_answer_0041,True,True,True,True,True,False
equation_0042,equation_transform,equation_answer_0042,equation_answer_0042,equation_answer_0042,True,True,True,True,True,False
equation_0043,equation_transform,equation_answer_0043,equation_answer_0043,equation_answer_0043,True,True,True,True,True,False
equation_0044,equation_transform,equation_answer_0044,equation_answer_0044,equation_answer_0044,True,True,True,True,True,False
equation_0045,equation_transform,equation_answer_0045,equation_answer_0045,equation_answer_0045,True,True,True,True,True,False
equation_0046,equation_transform,equation_answer_0046,equation_answer_0046,equation_answer_0046,True,True,True,True,True,False
equation_0047,equation_transform,equation_answer_0047,equation_answer_0047,equation_answer_0047,True,True,True,True,True,False
equation_0048,equation_transform,equation_answer_0048,equation_answer_0048,equation_answer_0048,True,True,True,True,True,False
equation_0049,equation_transform,equation_answer_0049,equation_answer_0049,equation_answer_0049,True,True,True,True,True,False
equation_0050,equation_transform,equation_answer_0050,equation_answer_0050,equation_answer_0050,True,True,True,True,True,False
equation_0051,equation_transform,equation_answer_0051,equation_answer_0051,equation_answer_0051,True,True,True,True,True,False
equation_0052,equation_transform,equation_answer_0052,equation_answer_0052,equation_answer_0052,True,True,True,True,True,False
equation_0053,equation_transform,equation_answer_0053,equation_answer_0053,equation_answer_0053,True,True,True,True,True,False
equation_0054,equation_transform,equation_answer_0054,equation_answer_0054,equation_answer_0054,True,True,True,True,True,False
equation_0055,equation_transform,equation_answer_0055,equation_answer_0055,equation_answer_0055,True,True,True,True,True,False
equation_0056,equation_transform,equation_answer_0056,wrong_equation_0056,wrong_equation_0056,False,False,False,False,True,False
equation_0057,equation_transform,equation_answer_0057,wrong_equation_0057,wrong_equation_0057,False,False,False,False,True,False
equation_0058,equation_transform,equation_answer_0058,wrong_equation_0058,wrong_equation_0058,False,False,False,False,True,False
equation_0059,equation_transform,equation_answer_0059,wrong_equation_0059,wrong_equation_0059,False,False,False,False,True,False
equation_0060,equation_transform,equation_answer_0060,wrong_equation_0060,wrong_equation_0060,False,False,False,False,True,False
equation_0061,equation_transform,equation_answer_0061,wrong_equation_0061,wrong_equation_0061,False,False,False,False,True,False
equation_0062,equation_transform,equation_answer_0062,wrong_equation_0062,wrong_equation_0062,False,False,False,False,True,False
equation_0063,equation_transform,equation_answer_0063,wrong_equation_0063,wrong_equation_0063,False,False,False,False,True,False
equation_0064,equation_transform,equation_answer_0064,wrong_equation_0064,wrong_equation_0064,False,False,False,False,True,False
equation_0065,equation_transform,equation_answer_0065,wrong_equation_0065,wrong_equation_0065,False,False,False,False,True,False
equation_0066,equation_transform,equation_answer_0066,wrong_equation_0066,wrong_equation_0066,False,False,False,False,True,False
equation_0067,equation_transform,equation_answer_0067,wrong_equation_0067,wrong_equation_0067,False,False,False,False,True,False
equation_0068,equation_transform,equation_answer_0068,wrong_equation_0068,wrong_equation_0068,False,False,False,False,True,False
equation_0069,equation_transform,equation_answer_0069,wrong_equation_0069,wrong_equation_0069,False,False,False,False,True,False
equation_0070,equation_transform,equation_answer_0070,wrong_equation_0070,wrong_equation_0070,False,False,False,False,True,False
equation_0071,equation_transform,equation_answer_0071,wrong_equation_0071,wrong_equation_0071,False,False,False,False,True,False
equation_0072,equation_transform,equation_answer_0072,wrong_equation_0072,wrong_equation_0072,False,False,False,False,True,False
equation_0073,equation_transform,equation_answer_0073,wrong_equation_0073,wrong_equation_0073,False,False,False,False,True,False
equation_0074,equation_transform,equation_answer_0074,wrong_equation_0074,wrong_equation_0074,False,False,False,False,True,False
equation_0075,equation_transform,equation_answer_0075,wrong_equation_0075,wrong_equation_0075,False,False,False,False,True,False
equation_0076,equation_transform,equation_answer_0076,wrong_equation_0076,wrong_equation_0076,False,False,False,False,True,False
equation_0077,equation_transform,equation_answer_0077,wrong_equation_0077,wrong_equation_0077,False,False,False,False,True,False
equation_0078,equation_transform,equation_answer_0078,wrong_equation_0078,wrong_equation_0078,False,False,False,False,True,False
equation_0079,equation_transform,equation_answer_0079,wrong_equation_0079,wrong_equation_0079,False,False,False,False,True,False
equation_0080,equation_transform,equation_answer_0080,wrong_equation_0080,wrong_equation_0080,False,False,False,False,True,False
equation_0081,equation_transform,equation_answer_0081,wrong_equation_0081,wrong_equation_0081,False,False,False,False,True,False
equation_0082,equation_transform,equation_answer_0082,wrong_equation_0082,wrong_equation_0082,False,False,False,False,True,False
equation_0083,equation_transform,equation_answer_0083,wrong_equation_0083,wrong_equation_0083,False,False,False,False,True,False
equation_0084,equation_transform,equation_answer_0084,wrong_equation_0084,wrong_equation_0084,False,False,False,False,True,False
equation_0085,equation_transform,equation_answer_0085,wrong_equation_0085,wrong_equation_0085,False,False,False,False,True,False
equation_0086,equation_transform,equation_answer_0086,wrong_equation_0086,wrong_equation_0086,False,False,False,False,True,False
equation_0087,equation_transform,equation_answer_0087,wrong_equation_0087,wrong_equation_0087,False,False,False,False,True,False
equation_0088,equation_transform,equation_answer_0088,wrong_equation_0088,wrong_equation_0088,False,False,False,False,True,False
equation_0089,equation_transform,equation_answer_0089,wrong_equation_0089,wrong_equation_0089,False,False,False,False,True,False
equation_0090,equation_transform,equation_answer_0090,wrong_equation_0090,wrong_equation_0090,False,False,False,False,True,False
equation_0091,equation_transform,equation_answer_0091,wrong_equation_0091,wrong_equation_0091,False,False,False,False,True,False
equation_0092,equation_transform,equation_answer_0092,wrong_equation_0092,wrong_equation_0092,False,False,False,False,True,False
equation_0093,equation_transform,equation_answer_0093,wrong_equation_0093,wrong_equation_0093,False,False,False,False,True,False
equation_0094,equation_transform,equation_answer_0094,wrong_equation_0094,wrong_equation_0094,False,False,False,False,True,False
equation_0095,equation_transform,equation_answer_0095,wrong_equation_0095,wrong_equation_0095,False,False,False,False,True,False
equation_0096,equation_transform,equation_answer_0096,wrong_equation_0096,wrong_equation_0096,False,False,False,False,True,False
equation_0097,equation_transform,equation_answer_0097,wrong_equation_0097,wrong_equation_0097,False,False,False,False,True,False
equation_0098,equation_transform,equation_answer_0098,wrong_equation_0098,wrong_equation_0098,False,False,False,False,True,False
equation_0099,equation_transform,equation_answer_0099,wrong_equation_0099,wrong_equation_0099,False,False,False,False,True,False
equation_0100,equation_transform,equation_answer_0100,wrong_equation_0100,wrong_equation_0100,False,False,False,False,True,False
