ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating,queries,file_count,file_names
damndeepesh/nemotron-cot-labels,Nemotron COT labels,3903114,2026-03-27 02:17:45.647000,9,0,0.23529412,nemotron cot,1,final_Nemotron_training_data.csv
dennisfong/nvidia-nemotron-offline-packages,NVIDIA Nemotron - Offline Packages,9290000121,2026-03-29 14:42:56.567000,610,35,0.375,NVIDIA Nemotron,201,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dgxchen/nemotron-cot-tong,Nemotron-cot-Tong,19297882,2026-04-19 05:25:21.843000,876,5,0.29411766,nemotron cot,2,less_cot.csv;problem_ids_matched.csv
dsrathore11/train-dataset,Reasoning_puzzles_dataset,431549,2026-04-19 13:20:36.507000,0,1,0.3125,nemotron reasoning,1,shuffled_train_data.jsonl
furkankesen/equation-solver-swap-v1,Nemotron Equation Solver Swap V1,905968,2026-04-10 15:32:19.423000,9,0,0.23529412,equation nemotron,5,README.md;preflight.json;preflight.md;summary.json;train.csv
furkankesen/format-contract-v2-adapter,Nemotron Format Contract V2 Adapter,3229551834,2026-04-08 16:39:23.980000,27,0,0.25,nemotron adapter,3,adapter_config.json;adapter_model.safetensors;baseline_manifest.json
gojay001/nvidia-nemotron,Nvidia-Nemotron,264670,2026-04-03 02:43:26.013000,4,1,0.23529412,NVIDIA Nemotron,1,train_cot_600.csv
gopigogineni/nemotron-30b-competition-training-data,Nemotron-30B competition training data,2092348,2026-04-04 23:26:25.340000,7,0,0.5882353,nemotron cot,1,model_outputs.csv
harshmali0403/nvidia-nemotron-model-reasoning-challenge,nvidia-nemotron-model-reasoning-challenge,643187,2026-03-19 09:24:57.037000,3,0,0.23529412,nvidia nemotron model reasoning challenge,2,nvidia-nemotron-model-reasoning-challenge/test.csv;nvidia-nemotron-model-reasoning-challenge/train.csv
itskshivam/nemotron-equation-candidate-critic-v2,Nemotron Equation Candidate Critic v2,2759915,2026-03-24 07:49:01.290000,3,0,0.23529412,equation nemotron,7,README.md;bucket_summary.csv;candidate_pool.csv;equation_candidate_critic_v2_train.csv;heldout_eval_subset.csv;preview.csv;summary.json
itskshivam/nemotron-equation-candidate-critique-router-v1,Nemotron Equation Candidate Critique Router v1,2860712,2026-03-25 06:46:38.347000,3,0,0.23529412,equation nemotron,7,README.md;candidate_pool.csv;equation_candidate_critique_router_v1_train.csv;heldout_eval_judge_subset.csv;judge_topk_candidates.csv;preview.csv;summary.json
itskshivam/nemotron-equation-candidate-distill-v2,Nemotron Equation Candidate Distill v2,103628,2026-03-23 08:07:06.790000,9,0,0.23529412,equation nemotron,11,README.md;bucket_summary.csv;clean_distill_bucket.csv;clean_v1_coverage.csv;critique_repair_bucket.csv;critique_summary.csv;equation_candidate_distill_v2_train.csv;official_balanced_bucket.csv;preview.csv;subtype_coverage.csv;summary.json
itskshivam/nvidia-nemotron-two-adapter,NVIDIA Nemotron Two Adapter,3188654128,2026-03-31 20:24:59.400000,20,0,0.25,NVIDIA Nemotron,5,README.md;submission/submission_adapter/README.md;submission/submission_adapter/adapter_config.json;submission/submission_adapter/adapter_model.safetensors;summary.json
kevpan096/nemotron-reasoning-competition,nemotron-reasoning-competition,7480957,2026-05-05 01:47:02.373000,23,0,0.23529412,nemotron reasoning,2,gemini-3.1-flash-lite-preview_enhanced_sft_dataset.csv;train_split_with_cot.csv
khursani8/nemotron-cot100-adapter,NVIDIA Nemotron CoT-100 Filtered LoRA Adapter,105298861,2026-03-29 06:09:13.303000,24,0,0.125,nemotron cot,6,outputs/models/final_cot_100/README.md;outputs/models/final_cot_100/adapter_config.json;outputs/models/final_cot_100/adapter_model.safetensors;outputs/models/final_cot_100/chat_template.jinja;outputs/models/final_cot_100/tokenizer.json;outputs/models/final_cot_100/tokenizer_config.json
kienngx/nemotron-30b-competition-trainingdata-cot-labels,Nemotron-30B competition trainingdata (CoT+labels),3903114,2026-03-24 01:42:23.850000,1267,48,1,nemotron reasoning|nemotron cot,1,final_Nemotron_training_data.csv
kimberleyduran/nemotron-cot-v2,Nemotron CoT v2,10712241,2026-04-17 22:27:32.243000,3,0,0.23529412,nemotron cot,1,problem_ids_matched.csv
kimberleyduran/nemotron-cot-v55,Nemotron CoT v55 (Ward-Repaired),9856812,2026-05-11 20:42:59.070000,5,0,0.23529412,nemotron cot,1,problem_ids_matched_v55.csv
kishanvavdara/nemotron-reasoning-traj,Nemotron 30B Reasoning Trajectories ,40764029,2026-03-26 06:48:15.617000,377,25,0.7058824,nemotron reasoning|nvidia nemotron model reasoning challenge,1,nemotron_traj.csv
konbu17/bit-manipulation-cot-dataset,Synthetic Bit Manipulation CoT,624941,2026-03-29 14:08:18.890000,76,5,0.47058824,NVIDIA Nemotron|nemotron reasoning|nvidia nemotron model reasoning challenge|bit manipulation nemotron|nemotron cot,4,bit_manipulation_cot_failed.csv;bit_manipulation_cot_success.csv;confidence_analysis.png;error_analysis.png
konbu17/bit-manipulation-synthetic-cot,Synthetic Bit Manipulation CoT,895101,2026-03-29 14:08:22.730000,61,4,0.47058824,NVIDIA Nemotron|nemotron reasoning|nvidia nemotron model reasoning challenge|bit manipulation nemotron|nemotron cot,1,synthetic_bit_manipulation.csv
konbu17/nemotron-bm-et-with-generated-cot,Nemotron BM ET with Generated CoT,1508435,2026-03-28 15:16:06.670000,29,2,0.29411766,nemotron cot,2,train_Bit_Manipulation_with_generated_cot.csv;train_Equation_Transformation_with_generated_cot.csv
konbu17/nemotron-doc2lora-training-data,Nemotron Doc2LoRA Training Data,1567225,2026-03-28 15:16:28.827000,56,5,0.29411766,nemotron cot,6,encryption_new_cot.csv;knowledge_qa.csv;train_Gravitational_Constant_solver.csv;train_Numeral_Conversion_solver.csv;train_Text_Encryption_remember.csv;train_Unit_Conversion_solver.csv
konbu17/nemotron-sft-lora-cot-selection,nemotron-sft-lora-cot-selection,3231393015,2026-04-01 14:30:53.420000,877,13,0.29411766,nemotron cot,3,adapter_config.json;adapter_model.safetensors;train_split_with_cot.csv
leegongman/0-86-adapter,0.86_adapter,3270313975,2026-05-14 00:50:20.613000,2,0,0.0,nemotron adapter,2,kaggle/input/models/kienngx/nemotron-nano-30b-trained/triton/tinker-adapter/1/adapter_config.json;kaggle/input/models/kienngx/nemotron-nano-30b-trained/triton/tinker-adapter/1/adapter_model.safetensors
mauroprotocassina/nemotron-b79-adapter,Nemotron B79 Adapter,102569393,2026-04-06 02:53:59.350000,29,0,0.25,nemotron adapter,4,README.md;adapter_config.json;adapter_model.safetensors;dataset-manifest.json
miguelbeta/nemotron-cot-seed,Nemotron CoT Seed,25305,2026-04-19 19:01:41.933000,6,0,0.25,nemotron cot,3,cot_dataset.jsonl;cot_dataset_v2.jsonl;cot_dataset_v3.jsonl
mohammedtanvir/nemotron-reasoning-traces,Nemotron Reasoning Traces,12824713,2026-04-27 09:50:12.440000,26,0,0.29411766,nemotron reasoning|bit manipulation nemotron,2,train_v14.csv;train_v15_fixed.csv
moussaouallaf/espresso-carbon-footprint,ESPResso - Textile Carbon Footprint Dataset,2650676,2026-03-05 00:12:12.410000,41,1,0.9411765,equation nemotron,74,cleaned_dataset.parquet;model/__init__.py;model/model_a/__init__.py;model/model_a/_internal.py;model/model_a/config.py;model/model_a/evaluation/__init__.py;model/model_a/evaluation/degradation.py;model/model_a/evaluation/meta_learner_eval.py;model/model_a/evaluation/metrics.py;model/model_a/features/__init__.py;model/model_a/features/cross_link/__init__.py;model/model_a/features/cross_link/category_stats.py;model/model_a/features/cross_link/cross_pair_stats.py;model/model_a/features/cross_link/frequency_rarity.py;model/model_a/features/cross_link/lookup_tables.py;model/model_a/features/cross_link/material_processing_signals.py;model/model_a/features/cross_link/region_band_stats.py;model/model_a/features/material_composition.py;model/model_a/features/packaging.py;model/model_a/features/processing.py;model/model_a/features/product_identity.py;model/model_a/features/transport_geography.py;model/model_a/meta_learner/__init__.py;model/model_a/meta_learner/features.py;model/model_a/meta_learner/inference.py;model/model_a/meta_learner/trainer.py;model/model_a/model.py;model/model_a/preprocessing/__init__.py;model/model_a/preprocessing/encoders.py;model/model_a/preprocessing/parsers.py;model/model_a/preprocessing/pipeline.py;model/model_a/training/__init__.py;model/model_a/training/hyperparameter_search.py;model/model_a/training/masking.py;model/model_a/training/orchestrator.py;model/model_a/training/splitting.py;model/model_b/__init__.py;model/model_b/_internal.py;model/model_b/config.py;model/model_b/evaluation/__init__.py;model/model_b/evaluation/reference_accuracy.py;model/model_b/features/__init__.py;model/model_b/features/reference_materials.py;model/model_b/features/reference_packaging.py;model/model_b/features/reference_processing.py;model/model_b/features/reference_transport.py;model/model_b/meta_learner/__init__.py;model/model_b/model.py;model/model_b/preprocessing/__init__.py;model/model_b/preprocessing/pipeline.py
narendrabayutama/nemotron-clinical-reasoning,nemotron-clinical-reasoning,10442794,2026-04-21 19:46:17.993000,0,0,0.25,nemotron reasoning,27,gpu_version/data_pipeline.py;gpu_version/inference_check.py;gpu_version/medqa_dataset/.cache/huggingface/.gitignore;gpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_test.jsonl.lock;gpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_test.jsonl.metadata;gpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_train.jsonl.lock;gpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_train.jsonl.metadata;gpu_version/medqa_dataset/phrases_no_exclude_test.jsonl;gpu_version/medqa_dataset/phrases_no_exclude_train.jsonl;gpu_version/outputs/inference_check.md;gpu_version/reward_functions.py;gpu_version/train_grpo.py;gpu_version/train_grpo_backup_no_cache.py;implementation_plan_v2.md;plan_overview.md;test_oracle.py;tpu_version/data_pipeline.py;tpu_version/inference_check.py;tpu_version/medqa_dataset/.cache/huggingface/.gitignore;tpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_test.jsonl.lock;tpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_test.jsonl.metadata;tpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_train.jsonl.lock;tpu_version/medqa_dataset/.cache/huggingface/download/phrases_no_exclude_train.jsonl.metadata;tpu_version/medqa_dataset/phrases_no_exclude_test.jsonl;tpu_version/medqa_dataset/phrases_no_exclude_train.jsonl;tpu_version/reward_functions.py;tpu_version/train_grpo.py
nctuan/nvidia-nemotron-reasoning-challenge,NVIDIA Nemotron Reasoning Challenge Dataset,643019,2026-04-28 08:50:43.960000,27,0,0.9411765,NVIDIA Nemotron|nemotron reasoning|nvidia nemotron model reasoning challenge|bit manipulation nemotron|nemotron cot|nemotron adapter,2,test.csv;train.csv
nctuan/nvidia-offline-packages-nemotron,NVIDIA Offline Packages - Nemotron,9290000121,2026-04-03 08:10:34.743000,1,0,0.9375,NVIDIA Nemotron,201,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nybbler/nemotron-v5-adapter,Nemotron v5 adapter,3244592520,2026-05-12 11:21:12.757000,10,0,0.25,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
nybbler/nemotron-v6-aux-adapter,Nemotron v6 aux adapter,3248324006,2026-05-13 07:48:53.957000,8,0,0.25,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
penguin069/nemotron-adapter-run,nemotron-adapter-run,1425455568,2026-05-15 07:37:29.160000,10,0,0.3125,nemotron reasoning|nemotron adapter,4,.virtual_documents/__notebook_source__.ipynb;adapter_config.json;adapter_model.safetensors;checkpoint_complete
penguin069/nemotron-adapter-run-peft,nemotron-adapter-run-peft,3286489066,2026-05-13 13:45:09.857000,6,0,0.25,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
rickwujizhang/nemotron-eval-adapter-v41-full,nemotron eval adapter v41 full,3243085674,2026-04-05 14:33:31.093000,18,0,0.25,nemotron adapter,2,adapter_config.json;adapter_model.safetensors
rickwujizhang/nemotron-eval-adapter-v41-split,nemotron eval adapter v41 split,3243084772,2026-04-05 14:19:57.497000,4,0,0.25,nemotron adapter,8,README.md;adapter_config.json;adapter_model.safetensors.part-000;adapter_model.safetensors.part-001;adapter_model.safetensors.part-002;adapter_model.safetensors.part-003;adapter_model.safetensors.part-004;training_metadata.json
ritwikakancharla/nemotron-math-v2-filtered-high,nemotron-math-v2-filtered-high,3696689617,2026-03-22 02:27:15.197000,13,4,0.88235295,nemotron cot,2,README.md;data.parquet
rohitjarali1/nemotron-judge-adapter,nemotron-judge-adapter,459821657,2026-05-04 17:41:59.917000,41,1,0.3125,nemotron adapter,59,__huggingface_repos__.json;accuracy_report.json;checkpoints/checkpoint-2225/README.md;checkpoints/checkpoint-2225/adapter_config.json;checkpoints/checkpoint-2225/adapter_model.safetensors;checkpoints/checkpoint-2225/chat_template.jinja;checkpoints/checkpoint-2225/optimizer.pt;checkpoints/checkpoint-2225/rng_state.pth;checkpoints/checkpoint-2225/scaler.pt;checkpoints/checkpoint-2225/scheduler.pt;checkpoints/checkpoint-2225/special_tokens_map.json;checkpoints/checkpoint-2225/tokenizer.json;checkpoints/checkpoint-2225/tokenizer_config.json;checkpoints/checkpoint-2225/trainer_state.json;checkpoints/checkpoint-2225/training_args.bin;checkpoints/checkpoint-2230/README.md;checkpoints/checkpoint-2230/adapter_config.json;checkpoints/checkpoint-2230/adapter_model.safetensors;checkpoints/checkpoint-2230/chat_template.jinja;checkpoints/checkpoint-2230/optimizer.pt;checkpoints/checkpoint-2230/rng_state.pth;checkpoints/checkpoint-2230/scaler.pt;checkpoints/checkpoint-2230/scheduler.pt;checkpoints/checkpoint-2230/special_tokens_map.json;checkpoints/checkpoint-2230/tokenizer.json;checkpoints/checkpoint-2230/tokenizer_config.json;checkpoints/checkpoint-2230/trainer_state.json;checkpoints/checkpoint-2230/training_args.bin;huggingface_tokenizers_cache/models--unsloth--Llama-3.1-Nemotron-Nano-4B-v1.1-bnb-4bit/.no_exist/bb96e15b9cc496e237ab2cb056cd1b7fd39efb48/added_tokens.json;huggingface_tokenizers_cache/models--unsloth--Llama-3.1-Nemotron-Nano-4B-v1.1-bnb-4bit/.no_exist/bb96e15b9cc496e237ab2cb056cd1b7fd39efb48/tokenizer.model;huggingface_tokenizers_cache/models--unsloth--Llama-3.1-Nemotron-Nano-4B-v1.1-bnb-4bit/blobs/3c1d04911c269b925af977a3151c9704e990e4d0;huggingface_tokenizers_cache/models--unsloth--Llama-3.1-Nemotron-Nano-4B-v1.1-bnb-4bit/blobs/6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b;huggingface_tokenizers_cache/models--unsloth--Llama-3.1-Nemotron-Nano-4B-v1.1-bnb-4bit/blobs/9cdeee1c73262052a076997289217f572fc50b9a;huggingface_tokenizers_cache/models--unsloth--Llama-3.1-Nemotron-Nano-4B-v1.1-bnb-4bit/blobs/f641c60ebc76ac7e395c966ebfc6adc663690580;huggingface_tokenizers_cache/models--unsloth--Llama-3.1-Nemotron-Nano-4B-v1.1-bnb-4bit/refs/main;nemotron-judge-adapter/README.md;nemotron-judge-adapter/adapter_config.json;nemotron-judge-adapter/adapter_model.safetensors;nemotron-judge-adapter/chat_template.jinja;nemotron-judge-adapter/dataset-metadata.json;nemotron-judge-adapter/special_tokens_map.json;nemotron-judge-adapter/tokenizer.json;nemotron-judge-adapter/tokenizer_config.json;training_log.txt;unsloth_compiled_cache/UnslothBCOTrainer.py;unsloth_compiled_cache/UnslothCPOTrainer.py;unsloth_compiled_cache/UnslothDPOTrainer.py;unsloth_compiled_cache/UnslothGKDTrainer.py;unsloth_compiled_cache/UnslothGRPOTrainer.py;unsloth_compiled_cache/UnslothKTOTrainer.py
samvalladares/huikang-nemotron-artifacts,Nemotron Huikang Artifacts,1495393103,2026-04-18 00:43:52.027000,63,0,0.5,nemotron reasoning,201,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
saurabhkumar234/nvidia-nemotrom-compitition-strategu-guide,NVIDIA Nemotron Compitition Strategy Guide,30616,2026-04-17 14:45:33.560000,1,1,0.125,NVIDIA Nemotron,1,NVIDIA_Nemotron_Competition_Strategy.docx
sebastiangil00/nemotron-cot-v2,Nemotron CoT v2,10712241,2026-04-18 15:21:23.223000,2,2,0.23529412,nemotron cot,1,problem_ids_matched.csv
sebmontreal/nvidia-nemotron-model-reasoning-challenge,NVIDIA Nemotron Model Reasoning Challenge,643019,2026-03-19 01:01:42.230000,17,0,0.29411766,nvidia nemotron model reasoning challenge,2,test.csv;train.csv
sohamp13/nemotron-equation-candidate-selection-v2,Nemotron Equation Candidate Selection v2,30681,2026-03-26 18:29:29.360000,3,0,0.23529412,equation nemotron,5,README.md;eval.csv;preview.csv;summary.json;train.csv
swami93/nvidia-nemorton-reasoning-sft-adapter,nvidia-nemotron-reasoning-challenge-sft-adapter,9899498116,2026-04-13 18:28:54.347000,35,0,0.1875,NVIDIA Nemotron|nemotron reasoning|nemotron adapter,201,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
talariar/nemotron,nemotron,643203,2026-03-28 04:55:07.567000,3,0,0.23529412,nemotron reasoning|nvidia nemotron model reasoning challenge,2,nvidia-nemotron-model-reasoning-challenge (1)/test.csv;nvidia-nemotron-model-reasoning-challenge (1)/train.csv
tancute/nvidia-nemotron-offline-packages,NVIDIA Nemotron - Offline Packages,8273,2026-04-03 10:33:37.187000,0,0,0.25,NVIDIA Nemotron,1,nvidia-nemotron-offline-packages
tkm2261/nemotron-exp043-bundle,Nemotron EXP043 Bundle,22482331,2026-05-01 09:48:10.480000,18,1,0.23529412,nemotron cot,13,EXP/EXP043/competition.py;EXP/EXP043/config/child-exp001.yaml;EXP/EXP043/infer.py;EXP/EXP043/losses.py;EXP/EXP043/solver_variants.py;EXP/EXP043/train.py;EXP/EXP043/validation_manifest.csv;execute_train.py;input/augmentations/augmentations.csv;input/nemotron-cot-hybrid/exp043-c001-nemotron-gated-crypta-silver-v1/build_summary.json;input/nemotron-cot-hybrid/exp043-c001-nemotron-gated-crypta-silver-v1/train_cot_full.csv;input/nvidia-nemotron-model-reasoning-challenge/test.csv;requirements.txt
torpidoff/nvidia-nemotron-reasoning-offline-packages,NVIDIA Nemotron Reasoning - offline packages,1011991160,2026-04-06 23:44:23.137000,4,1,0.25,NVIDIA Nemotron|nemotron reasoning,61,accelerate-1.13.0-py3-none-any.whl;aiohappyeyeballs-2.6.1-py3-none-any.whl;aiohttp-3.13.5-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl;aiosignal-1.4.0-py3-none-any.whl;annotated_doc-0.0.4-py3-none-any.whl;anyio-4.13.0-py3-none-any.whl;attrs-26.1.0-py3-none-any.whl;bitsandbytes-0.42.0-py3-none-any.whl;certifi-2026.2.25-py3-none-any.whl;charset_normalizer-3.4.7-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl;click-8.3.2-py3-none-any.whl;datasets-4.0.0-py3-none-any.whl;dill-0.3.8-py3-none-any.whl;filelock-3.25.2-py3-none-any.whl;frozenlist-1.8.0-cp310-cp310-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl;fsspec-2025.3.0-py3-none-any.whl;h11-0.16.0-py3-none-any.whl;hf_xet-1.4.3-cp37-abi3-manylinux2014_x86_64.manylinux_2_17_x86_64.whl;httpcore-1.0.9-py3-none-any.whl;httpx-0.28.1-py3-none-any.whl;huggingface_hub-1.9.0-py3-none-any.whl;idna-3.11-py3-none-any.whl;jinja2-3.1.6-py3-none-any.whl;markdown_it_py-4.0.0-py3-none-any.whl;markupsafe-3.0.3-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl;mdurl-0.1.2-py3-none-any.whl;mpmath-1.3.0-py3-none-any.whl;multidict-6.7.1-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl;multiprocess-0.70.16-py310-none-any.whl;networkx-3.4.2-py3-none-any.whl;numpy-2.2.6-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl;packaging-26.0-py3-none-any.whl;pandas-2.3.2-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl;peft-0.18.1-py3-none-any.whl;propcache-0.4.1-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl;psutil-7.2.2-cp36-abi3-manylinux2010_x86_64.manylinux_2_12_x86_64.manylinux_2_28_x86_64.whl;pyarrow-20.0.0-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl;pygments-2.20.0-py3-none-any.whl;python_dateutil-2.9.0.post0-py2.py3-none-any.whl;pytz-2026.1.post1-py2.py3-none-any.whl;pyyaml-6.0.3-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl;regex-2026.4.4-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.whl;requests-2.33.1-py3-none-any.whl;rich-14.3.3-py3-none-any.whl;safetensors-0.7.0-cp38-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl;scipy-1.15.3-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl;setuptools-82.0.1-py3-none-any.whl;shellingham-1.5.4-py2.py3-none-any.whl;six-1.17.0-py2.py3-none-any.whl;sympy-1.13.1-py3-none-any.whl
uditjain13/nemotron-30b-code-hyper-reasoner-peft,Nemotron-30B Code Hyper-Reasoner PEFT,22011029,2026-04-22 16:23:44.847000,24,1,0.9375,NVIDIA Nemotron|nemotron adapter,7,README.md;adapter_config.json;adapter_model.safetensors;chat_template.jinja;tokenizer.json;tokenizer_config.json;training_state.json
uditjain13/nemotron-30b-math-reasoner-peft,Nemotron-30B Math Reasoner PEFT,22010886,2026-04-22 16:23:03.147000,32,1,0.9375,NVIDIA Nemotron|nemotron adapter,7,README.md;adapter_config.json;adapter_model.safetensors;chat_template.jinja;tokenizer.json;tokenizer_config.json;training_state.json
uditjain13/nemotron-30b-multi-domain-merged-peft,Nemotron-30B Multi-Domain Merged PEFT,30569278,2026-04-22 16:15:05.080000,43,1,0.9375,NVIDIA Nemotron|nemotron reasoning|nemotron adapter,6,README.md;adapter_config.json;adapter_model.safetensors;chat_template.jinja;tokenizer.json;tokenizer_config.json
uditjain13/nemotron-30b-science-expert-peft,Nemotron-30B Science Expert PEFT,22000223,2026-04-22 16:25:05.113000,26,1,0.9375,NVIDIA Nemotron|nemotron adapter,7,README.md;adapter_config.json;adapter_model.safetensors;chat_template.jinja;tokenizer.json;tokenizer_config.json;training_state.json
vsnihal/nvidia-nemotron-model-reasoning-challenge-01,NVIDIA Nemotron Model Reasoning Challenge 01,643019,2026-03-21 04:28:24.990000,6,0,0.23529412,nvidia nemotron model reasoning challenge,2,test.csv;train.csv
williamlu931/vcars-external-data,vcars-external-data,354046861,2026-05-16 05:26:14.867000,0,0,0.29411766,NVIDIA Nemotron,201,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
