dataset,path,row_count,rows,blocking_issue_count,blocking_issue_counts,issue_type_counts,parse_errors,duplicate_ids,duplicate_prompts,duplicate_prompt_answers,prompt_answer_conflicts,missing_required_rows,empty_answer_rows,empty_prompt_rows,raw_output_rows,assistant_answer_mismatch_rows,nonboxed_rows,missing_anti_leak_flags,true_anti_leak_flags,blocked_markers,reference_overlaps,family_counts,source_counts,subcategory_counts,schema_counts,assistant_style_counts,sample_assistant_mismatch_ids,sample_nonboxed_ids,sample_missing_required,hard_fail_codes,status
v439_final_answer_only_pairs_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v439_final_answer_only_pairs\20260515T_v439_final_answer_only\v439_final_answer_only_pairs_train.jsonl,109,109,26,"{""assistant_answer_mismatch"": 26}",{},0,0,0,0,0,0,0,0,0,26,0,{},{},{},{},"{""bit_manipulation"": 11, ""equation_transform"": 98}","{""v439_final_answer_only_pairs"": 109}","{""bit_adapter_exact_wrong"": 11, ""equation_numeric_operator_to_number"": 18, ""equation_numeric_operator_to_symbolic"": 3, ""equation_symbolic_sequence"": 48, ""equation_symbolic_short"": 29}","{""kg1_v439_final_answer_only_pair_v1"": 109}","{""boxed"": 109}",v439_v435e_hard_negative_00c032a8 v439_v435e_hard_negative_017a871e v439_v435e_hard_negative_01b2aa67 v439_v435e_hard_negative_02664ad5 v439_v435e_hard_negative_042f1e53 v439_v435e_hard_negative_0454705a v439_v435e_hard_negative_0a3ee7c7 v439_v435e_hard_negative_0a94b2de v439_v435e_hard_negative_0c8a8a16 v439_v435e_hard_negative_0cf301cf v439_v435e_hard_negative_0d2e94ff v439_v435e_hard_negative_0d542478 v439_v435e_hard_negative_0e375364 v439_v435e_hard_negative_10a94678 v439_v435e_hard_negative_10b71e8a v439_v435e_hard_negative_156e8c2c v439_v435e_hard_negative_15950a46 v439_v435e_hard_negative_18bce168 v439_v435e_hard_negative_193c21d5 v439_v435e_hard_negative_1c2e9814,,,assistant_answer_mismatch,blocked
v439_final_answer_only_pairs_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v439_final_answer_only_pairs\20260515T_v439_final_answer_only\v439_final_answer_only_pairs_val.jsonl,24,24,5,"{""assistant_answer_mismatch"": 5}",{},0,0,0,0,0,0,0,0,0,5,0,{},{},{},{},"{""bit_manipulation"": 2, ""equation_transform"": 22}","{""v439_final_answer_only_pairs"": 24}","{""bit_adapter_exact_wrong"": 2, ""equation_numeric_operator_to_number"": 2, ""equation_numeric_operator_to_symbolic"": 1, ""equation_symbolic_sequence"": 16, ""equation_symbolic_short"": 3}","{""kg1_v439_final_answer_only_pair_v1"": 24}","{""boxed"": 24}",v439_v435e_hard_negative_012cab1f v439_v435e_hard_negative_05c36467 v439_v435e_hard_negative_17093b07 v439_v435e_hard_negative_21ee162c v439_v435e_hard_negative_223b2899,,,assistant_answer_mismatch,blocked
v443_certified_equation_pair_builder_preferences_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v443_certified_equation_pair_builder\20260515T_v443_certified_equation_pair_builder\v443_certified_equation_pair_builder_preferences_train.jsonl,0,0,1,"{""empty_dataset"": 1}",{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},{},{},{},{},{},,,,empty_dataset,blocked
v443_certified_equation_pair_builder_preferences_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v443_certified_equation_pair_builder\20260515T_v443_certified_equation_pair_builder\v443_certified_equation_pair_builder_preferences_val.jsonl,0,0,1,"{""empty_dataset"": 1}",{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},{},{},{},{},{},,,,empty_dataset,blocked
v460_numeric_one_rule_micro_dataset_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v460_numeric_one_rule_micro_dataset\20260515T_v460_cpu_dataset\v460_numeric_one_rule_micro_dataset_train.jsonl,146,146,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 128, ""equation_transform"": 18}","{""v217_bit_replay_guardrail"": 128, ""v460_v459_numeric_one_rule_micro_dataset"": 18}","{""bit_guardrail_replay"": 128, ""v274_guarded_numeric_minus_signed_opposite_sign_guarded"": 18}","{"""": 146}","{""boxed"": 146}",,,,,ok
v460_numeric_one_rule_micro_dataset_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v460_numeric_one_rule_micro_dataset\20260515T_v460_cpu_dataset\v460_numeric_one_rule_micro_dataset_val.jsonl,36,36,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 32, ""equation_transform"": 4}","{""v217_bit_replay_guardrail"": 32, ""v460_v459_numeric_one_rule_micro_dataset"": 4}","{""bit_guardrail_replay"": 32, ""v274_guarded_numeric_minus_signed_opposite_sign_guarded"": 4}","{"""": 36}","{""boxed"": 36}",,,,,ok
v475_equation_bit_replay_mix_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v475_equation_bit_replay_mix\20260516T_v475_equation_bit_replay_mix\v475_equation_bit_replay_mix_train.jsonl,1312,1312,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 512, ""equation_transform"": 800}","{""v475_v217_bit_replay_guardrail"": 512, ""v475_v325_equation_no_loss_distill"": 800}","{""bit_guardrail_replay"": 512, ""equation_numeric_add_direct"": 160, ""equation_numeric_colon_absdiff"": 160, ""equation_numeric_colon_trailing_zero"": 160, ""equation_numeric_minus_direct_negative"": 160, ""equation_numeric_minus_signed"": 160}","{"""": 512, ""kg1_v325_equation_no_loss_distill_v1"": 800}","{""boxed"": 1312}",,,,,ok
v475_equation_bit_replay_mix_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v475_equation_bit_replay_mix\20260516T_v475_equation_bit_replay_mix\v475_equation_bit_replay_mix_val.jsonl,328,328,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 128, ""equation_transform"": 200}","{""v475_v217_bit_replay_guardrail"": 128, ""v475_v325_equation_no_loss_distill"": 200}","{""bit_guardrail_replay"": 128, ""equation_numeric_add_direct"": 40, ""equation_numeric_colon_absdiff"": 40, ""equation_numeric_colon_trailing_zero"": 40, ""equation_numeric_minus_direct_negative"": 40, ""equation_numeric_minus_signed"": 40}","{"""": 128, ""kg1_v325_equation_no_loss_distill_v1"": 200}","{""boxed"": 328}",,,,,ok
v498_numeric_teacher_trace_train,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v498_numeric_teacher_trace_pack\20260516T_v498_numeric_teacher\v498_numeric_teacher_trace_train.jsonl,1712,1712,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 512, ""equation_transform"": 1200}","{""v498_bit_replay_guardrail_from_v475"": 512, ""v498_numeric_teacher_trace_pack"": 1200}","{""bit_guardrail_replay"": 512, ""equation_numeric_add_direct_hard_negative"": 400, ""equation_numeric_colon_trailing_zero_hard_negative"": 400, ""equation_numeric_minus_signed_hard_negative"": 400}","{""kg1_v498_numeric_teacher_trace_pack_v1"": 1712}","{""boxed"": 1712}",,,,,ok
v498_numeric_teacher_trace_val,C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v498_numeric_teacher_trace_pack\20260516T_v498_numeric_teacher\v498_numeric_teacher_trace_val.jsonl,428,428,0,{},{},0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},"{""bit_manipulation"": 128, ""equation_transform"": 300}","{""v498_bit_replay_guardrail_from_v475"": 128, ""v498_numeric_teacher_trace_pack"": 300}","{""bit_guardrail_replay"": 128, ""equation_numeric_add_direct_hard_negative"": 100, ""equation_numeric_colon_trailing_zero_hard_negative"": 100, ""equation_numeric_minus_signed_hard_negative"": 100}","{""kg1_v498_numeric_teacher_trace_pack_v1"": 428}","{""boxed"": 428}",,,,,ok
