id,family,answer,current_prediction,current_correct,subtype,query,query_shape,query_operator,query_operator_same_position_seen_count,query_operator_anywhere_seen,example_count,route_hint
b06625c4,equation_transform,^&/,"""$ $]""",False,equation_symbolic_punct,"""$*$]",PPPPP,*,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
52be4988,equation_transform,'!,&&&`,False,equation_symbolic_punct,&&+&`,PPPPP,+,1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
2d3547af,equation_transform,))^),\${,False,equation_symbolic_punct,\$&\\,PPPPP,&,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
28b0ff48,equation_transform,'],|^^^,False,equation_symbolic_punct,|^-^^,PPPPP,-,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
61557701,equation_transform,|&,'{),False,equation_symbolic_punct,'{+{),PPPPP,+,3,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
02902eb3,equation_transform,>/,!!$>,False,equation_symbolic_punct,!!+$>,PPPPP,+,0,False,3,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
0d90736f,equation_transform,:,::)[,False,equation_symbolic_punct,::-)[,PPPPP,-,1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
294453b5,equation_transform,&(,##!),False,equation_symbolic_punct,##-!),PPPPP,-,2,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
386b6d03,equation_transform,671,18,False,equation_numeric_operator,79'97,DDPDD,',0,False,3,numeric_query_operator_unseen_in_examples_model_prior_required
57f6878e,equation_transform,%{{,|@(!,False,equation_symbolic_punct,|@<:(,PPPPP,<,2,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
a361a1b7,equation_transform,:46,46,False,equation_numeric_operator,53:99,DDPDD,:,0,False,5,numeric_query_operator_unseen_in_examples_model_prior_required
d911e8e1,equation_transform,:\:,@}<',False,equation_symbolic_punct,@})<',PPPPP,),1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
5f9f0ed7,equation_transform,}/!},|!@[,False,equation_symbolic_punct,|!*@[,PPPPP,*,3,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
c43b5a13,equation_transform,)|,$):$,False,equation_symbolic_punct,$)+:$,PPPPP,+,2,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
b0206bb7,equation_transform,]$!,$){,False,equation_symbolic_punct,${*)},PPPPP,*,2,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
638f93ca,equation_transform,@,$]<$,False,equation_symbolic_punct,$<-]$,PPPPP,-,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
4bfd095a,equation_transform,{<<<,@/[@,False,equation_symbolic_punct,@/*[@,PPPPP,*,3,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
7a422e17,equation_transform,%'!,"#`""",False,equation_symbolic_punct,"#`@{""",PPPPP,@,1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
5b2523e6,equation_transform,&&,><\$,False,equation_symbolic_punct,><-\$,PPPPP,-,0,False,4,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
0fe53bac,equation_transform,"(""",^?(|,False,equation_symbolic_punct,^?+(|,PPPPP,+,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
03a3437f,equation_transform,-!,'}>/,False,equation_symbolic_punct,'}-/>,PPPPP,-,2,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
30ac5c8e,equation_transform,)#?,@\}?,False,equation_symbolic_punct,@\+}?,PPPPP,+,1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
ff121f08,equation_transform,#<,!%<<,False,equation_symbolic_punct,!%+<<,PPPPP,+,1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
ec8b4875,equation_transform,"|""]",|@<!,False,equation_symbolic_punct,|@*<!,PPPPP,*,2,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
e3fbc768,equation_transform,'(^),{%??,False,equation_symbolic_punct,{%/??,PPPPP,/,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
6cc5dafb,equation_transform,)(,^&>),False,equation_symbolic_punct,^&!>),PPPPP,!,0,False,4,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
d5a03a2e,equation_transform,>>,""")&&",False,equation_symbolic_punct,""""")&&",PPPPP,),1,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
d129b085,equation_transform,##$,!>``,False,equation_symbolic_punct,"!>+`""",PPPPP,+,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
e582df31,equation_transform,}@,"""']@",False,equation_symbolic_punct,"""'?]@",PPPPP,?,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
a77be9fa,equation_transform,"[""",{>$[,False,equation_symbolic_punct,{>|$[,PPPPP,|,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
4ed6b56f,equation_transform,"(""/""",!:`(,False,equation_symbolic_punct,!:*`(,PPPPP,*,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
208d7838,equation_transform,[:,[&<>,False,equation_symbolic_punct,[&-<>,PPPPP,-,1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
58c099d2,equation_transform,-)\,^!#\,False,equation_symbolic_punct,^!-#\,PPPPP,-,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
3cb3fd89,equation_transform,[[&],]$$),False,equation_symbolic_punct,]$*$),PPPPP,*,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
a26065d4,equation_transform,<',<&<#,False,equation_symbolic_punct,<&+<#,PPPPP,+,3,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
194695e8,equation_transform,%,!\{<,False,equation_symbolic_punct,!\-{<,PPPPP,-,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
57712d01,equation_transform,-/<,$/'{,False,equation_symbolic_punct,$/-'{,PPPPP,-,2,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
d98d85c0,equation_transform,?(&@,(@@?,False,equation_symbolic_punct,(@+@?,PPPPP,+,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
491b8ea5,equation_transform,)!,@|]!,False,equation_symbolic_punct,@|-]!,PPPPP,-,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
eb1a62f7,equation_transform,>!>},){>),False,equation_symbolic_punct,)}*>),PPPPP,*,0,False,3,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
0bb591e6,equation_transform,%?<,"""$%%""",False,equation_symbolic_punct,"""$+%%",PPPPP,+,0,False,4,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
9a19fc2d,equation_transform,#>[,!&)#,False,equation_symbolic_punct,!&+)#,PPPPP,+,3,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
528b694b,equation_transform,"""'",>]],False,equation_symbolic_punct,>]<]),PPPPP,<,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
fba40625,equation_transform,'>&,{>?#,False,equation_symbolic_punct,{>'?#,PPPPP,',2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
837a6ae7,equation_transform,<>\>,"<:{""",False,equation_symbolic_punct,"<{*:""",PPPPP,*,0,False,5,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
d0e1010b,equation_transform,!&&},|&$|,False,equation_symbolic_punct,|&*$|,PPPPP,*,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
5a0d5d2a,equation_transform,341,55,False,equation_numeric_operator,39+94,DDPDD,+,0,False,3,numeric_query_operator_unseen_in_examples_model_prior_required
5a9fcf68,equation_transform,4443,4,False,equation_numeric_operator,24@28,DDPDD,@,0,False,3,numeric_query_operator_unseen_in_examples_model_prior_required
6e56b39a,equation_transform,-/#,&#!,False,equation_symbolic_punct,&#-!],PPPPP,-,4,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
a5f1991c,equation_transform,/|',!&&&,False,equation_symbolic_punct,!?/&&,PPPPP,/,1,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
c7aae192,equation_transform,">""(","\""]",False,equation_symbolic_punct,"\""*}}",PPPPP,*,1,True,2,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
e4cc7639,equation_transform,113,16,False,equation_numeric_operator,48*64,DDPDD,*,0,False,5,numeric_query_operator_unseen_in_examples_model_prior_required
844f826c,equation_transform,"/""",`@>``,False,equation_symbolic_punct,@*>,PPP,>,0,True,5,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
8193e7e0,equation_transform,??{`,#?&`,False,equation_symbolic_punct,#?*&`,PPPPP,*,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
5bcb572e,equation_transform,-!#,"""{!""",False,equation_symbolic_punct,"""{-{!",PPPPP,-,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
cdec898a,equation_transform,<?/,>}][?,False,equation_symbolic_punct,>}+]?,PPPPP,+,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
edf364da,equation_transform,$(%,::{[,False,equation_symbolic_punct,::*{[,PPPPP,*,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
0e009c6d,equation_transform,`?\!,@?`?,False,equation_symbolic_punct,@?'`?,PPPPP,',2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
b4b73143,equation_transform,>\:,>!!/,False,equation_symbolic_punct,>!%!/,PPPPP,%,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
861cb154,equation_transform,2271,10,False,equation_numeric_operator,14!24,DDPDD,!,0,False,3,numeric_query_operator_unseen_in_examples_model_prior_required
90feb0c5,equation_transform,:<],?>>>,False,equation_symbolic_punct,?>'>>,PPPPP,',1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
b9f1d959,equation_transform,:>,"$""\[""",False,equation_symbolic_punct,"$\+""[",PPPPP,+,3,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
ca5db1c0,equation_transform,^,"\boxed({""'|})",False,equation_symbolic_punct,"(""-'|",PPPPP,-,1,True,3,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
9f1ff166,equation_transform,[,"""]'/",False,equation_symbolic_punct,"""]-'/",PPPPP,-,2,True,4,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
432b1110,equation_transform,%[:?,\{<?,False,equation_symbolic_punct,\{*<?,PPPPP,*,0,False,4,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
f7d26b8d,equation_transform,/@,[}}\,False,equation_symbolic_punct,[}-}\,PPPPP,-,2,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
20f0fac9,equation_transform,2976,65,False,equation_numeric_operator,31%96,DDPDD,%,0,False,4,numeric_query_operator_unseen_in_examples_model_prior_required
26e48e98,equation_transform,){|,"""%]%{""",False,equation_symbolic_punct,"""])%{",PPPPP,),2,True,5,symbolic_query_operator_seen_but_same_op_dsl_no_unique_candidate
5501c054,equation_transform,[#>#,!##^,False,equation_symbolic_punct,!#$#^,PPPPP,$,0,False,5,symbolic_query_operator_unseen_in_examples_no_label_free_tiebreaker
ea6d926a,equation_transform,87,37,False,equation_numeric_operator,25+62,DDPDD,+,0,False,4,numeric_query_operator_unseen_in_examples_model_prior_required
