id,family,answer,baseline_prediction,tong_prediction,current_solver_prediction,baseline_correct,tong_correct,current_solver_correct,tong_gain_vs_baseline,tong_loss_vs_baseline,current_solver_gain_vs_baseline,current_solver_loss_vs_baseline,tong_trace_sha256,tong_trace_chars,tong_status,current_solver_status,prompt_sha256
0e70c867,bit_manipulation,01000000,01000000,01001000,00100100,True,False,False,False,True,False,True,57fd4f5b45e5ce0817e8a2032f9fbb82de61bc8df05a79ef8c66e4b2312ffb99,8429,ok,ok,a33ee5403185c935c98a3b1741646304c47186ae51f71744a49ac2e5f6daf5b5
54b895c1,bit_manipulation,10111011,10111011,10111011,10011001,True,True,False,False,False,False,True,5f60318ff06c881a0a9099698e3f96581d962f46121dfaf7581857331959b825,8867,ok,ok,fdebdea563d5932c6e087eee4347298afeff3ae74695fe770812df7d451f8e18
ed24e7af,bit_manipulation,00001001,00001001,00001001,00001001,True,True,True,False,False,False,False,052483fdd8229829b7536c4e7b5fc923bcc82c13a6b1401d1cde3e1a83928e05,9156,ok,ok,51954a6ffa0fe5cbb938e30ed206def4a782a9a16d83c4b3d91468e8cd3775f3
3cd80c64,bit_manipulation,01100100,01100100,01100100,01100100,True,True,True,False,False,False,False,f12c7a65dab13d883a872797ff23eceeb4929bcb6bffc17672fcd0c2df97a9c2,8228,ok,ok,71138c4c7aa95242686eb76459336365c43610ad1b180810145b764e748828ac
f2b23d11,bit_manipulation,10000000,10000000,10000000,10000000,True,True,True,False,False,False,False,06e064ca230e35f5cfbc0be8314eab25a541c9d1f29f20105ca93df4cf7a0f0e,8074,ok,ok,4477911ae83379eaf2552c388e6d80609d27a77846d2bca11f3d7067172ae3c3
5cbe919f,bit_manipulation,00000000,00000000,00000000,00000000,True,True,True,False,False,False,False,95c4348c38c059763c89cf39f292632b871daf552158e238182311728f252684,8145,ok,ok,a8472e65d3a08c70bd809a8050d6f21108c4fbcf570f64543ae997bdc59195cb
b43d9cd5,bit_manipulation,11100100,11100100,11100100,11100100,True,True,True,False,False,False,False,30cd1e978f71ffc4765d3b40cc989003ec4c7c1311a4254406460d600c42a3ce,8218,ok,ok,7917c9f88f56c9cfdeb63736841e4eb44b3d34b6640ad1baa523021abc98510c
64890e18,bit_manipulation,00001100,00001100,00001100,00001100,True,True,True,False,False,False,False,1aa42e2d70d7f312aeeb2481dbd37f685fffadad984992d250658d940c2949be,8459,ok,ok,db6a7f8e67d0c1999d474ca46dcff2b47fe20e348d1afc7c4142ca0dd98c337e
d6187157,bit_manipulation,01001000,01001000,01001000,00001000,True,True,False,False,False,False,True,f5950a87c3114e43b7ef486fa810f15c964f5c84c7f2fa4100bc46ef5266f30c,8574,ok,ok,d102a0afa9e910b5cb378412ca5f867a61118bf5db962dcea0d169c9e030ed7f
de91def4,bit_manipulation,10000111,10000111,10000111,10000111,True,True,True,False,False,False,False,e6c3d58c3c397780a1426c099aeffa44f1248ec5b256d5d41ad9906142b9cfec,8577,ok,ok,3a4794c7b61913efd893a04f03d1f3feddacea589bcaa436168ac1248b6b7cd4
29e458d6,bit_manipulation,00010010,00010010,00010010,00010010,True,True,True,False,False,False,False,7b9440158ecda85fcc2d7e5c9ee15005367993c803e1ab98594bb1bd498f6d98,8908,ok,ok,8760b31b952dde01209bfecd49fc2305762ad31d812d260ab533af2a7f0c062a
7a79ac09,bit_manipulation,11111111,11111111,11111111,11111111,True,True,True,False,False,False,False,c38f893aa21a47bd7b2b97a019e3541f15715394c7a575ba9fc9879415a89049,8748,ok,ok,2f9645c3a0f536c6d9d52029772be1e4ac995f6a2ba915aa05d9724fc4b4064f
3a67aa26,bit_manipulation,00101110,00101110,00101110,00101110,True,True,True,False,False,False,False,5f1da7341019cbd450fefcb8ef6b0e8133f25f28bbb2e0ef4c0d4c2e6380ace7,9474,ok,ok,3b4ec17cdac24baddae2638605759d7f0baff493ac2c2ad5b48b6a229d807420
710cf035,bit_manipulation,10000011,10000011,10000011,10000011,True,True,True,False,False,False,False,aa09b0a0d8dc20f8223d48b57b9b6e6f4e1354a53e6c60c477247f05805a6ba2,8825,ok,ok,ca04e8bcff0b18d48068177ac9d3e6bdc502fe12c139127db1bf63cffdc9bbd8
b8722d19,bit_manipulation,00100100,00100100,11110100,11000000,True,False,False,False,True,False,True,aef7a1d0c23f750fbfc934c389dff3021fdd93a837fc38ea14783a81eeb48a27,8575,ok,ok,f1742119b8faac8912d2152d21ade4f8aa9e01feeaa78d6e9d9dff315929172d
8c9fcc6b,bit_manipulation,11110111,11110111,11110111,11110111,True,True,True,False,False,False,False,2465f923b136e63cb075ec589ca14453c8ec79cff4d651ccad801f3f9c28643b,8741,ok,ok,fbe32552dc327be4d6699de9f880060c4952efec59b06275bc51ae0a64795d4e
8c0f9291,bit_manipulation,00001111,00001111,00001111,00000111,True,True,False,False,False,False,True,e513b3f4e80ccee1bc268f88f648922987c99c70774a3dfb06eb0d19da12d339,9274,ok,ok,c4a0889d85e47a6978c1ed28ef7fcf6c96c4bd8eb4b00f0873c27a90ddfef570
d6e6f8b5,bit_manipulation,11100001,11100001,11100001,11100001,True,True,True,False,False,False,False,de5196277e3467d23160472d791c2a5096556bb5e101dbd757a8daf585a12343,9573,ok,ok,66bf0a8597596f9e02382d58ad3b140945ab7132cb81c5aa1b06d6aeab22e5fd
3a90fdf6,bit_manipulation,10100000,10100000,10100000,10100000,True,True,True,False,False,False,False,c114bc17ae9ea84c55b1557c3180301c2ae02ba8dc15c50b05996f126977a17b,8973,ok,ok,ed4d67198a1cbdcddbab836550ba162b92b88f0e55cf7ee5341ba236d951c528
08df5363,bit_manipulation,01011100,01011100,01011100,01011100,True,True,True,False,False,False,False,7bb3f027bcb22eb85b948a8679048e12b281e6a5bfcfc363cf3934231b2d2c49,8512,ok,ok,a1fb2692e103d0bee559dc6a3e7422f3c6bd8d4f41dd4c723bcd7960026345bb
d50746e7,bit_manipulation,01000010,01000010,01000010,01000010,True,True,True,False,False,False,False,3db39a2c8aa0b679f13918c6f193560060e9b6bc9a0a51316c61a8e6f30fd3a9,8348,ok,ok,1e74e6f1a9866f58d22471b56037814c332d32629edba8916b24130a9efcb075
2facfaa4,bit_manipulation,00111110,00111110,00111110,00111110,True,True,True,False,False,False,False,783b8cbf99dfeba1419210149ac73243f252eff69ec8e5cef1fffa73bee57f64,8258,ok,ok,05e30eeee5f0ae65d6c8e51a56402406f8043318a0576e0356bfb8dbbbbd9de2
8abcff0f,bit_manipulation,11110111,11110111,11110111,11110111,True,True,True,False,False,False,False,2f4dcd38b4956e4f8786ee4e1dd36300b7e3b572907d0a47229d524b4f3cff18,9010,ok,ok,e6076a28ad30fcb87e5df3e1eb0351b0a1aca3f4aa6ca9220ba0e796c578b593
ddc5aefe,bit_manipulation,00000001,00000001,00000001,00000001,True,True,True,False,False,False,False,55d631145702c76db79e1834a43893a4481d27f9f54347caf5e02918212bb3ec,8478,ok,ok,38700f355aa7a61ef3dbb80c613821ffb9ed7bb6a6e4ee10698d83399c8913f5
75ecd32c,bit_manipulation,11100011,11100011,11100011,11100011,True,True,True,False,False,False,False,f268f4862f8814a1853c1fe684ee7a83827f5109f8339f184b7cf490024362b8,8766,ok,ok,c66c813e824f68f17efd302737dbb24e2a0475a835101d468da63bdaa17e02a9
12e0ac8c,bit_manipulation,10101001,10101001,10101001,10101000,True,True,False,False,False,False,True,029cefbe5513ba34ac9a4bb3252807071300c73c6d490570075508de2f1bedc8,9483,ok,ok,5f15f91c48fcdaaaa6af5f7ed3ba320aa60c97ab99aa83c87223454d3889e3a3
2ead53dc,bit_manipulation,00000101,00000101,00000101,00000101,True,True,True,False,False,False,False,d742fb6fc0d5a4f7d669be4b72811b5574f5fa0c2965bf0cd5ae5bd9175489fe,8358,ok,ok,f7e9e4af02b93e550a444a1bc135f48c38d25ec6ac40d6ac38a7531c2c2af5a9
05ca617c,bit_manipulation,11011011,11011011,01011011,01011011,True,False,False,False,True,False,True,f6032563d9357a8685d59d28a1058164af02b681f1199095af7415227c86291e,8743,ok,ok,fbf7b585145b3b2b3dae130d3fa0a304ae4e4044ce56572e29bd69af9c13e697
6890870d,bit_manipulation,01110000,01110000,01110000,01110000,True,True,True,False,False,False,False,f8b7ab1da6464c7fcd97b35579b36d27684e4c4fc6b67eb318b2a66596d11049,8656,ok,ok,1107534a853cf8a0a14e68f5b6607632bc6c25c35594d4d344c611eebe4145e8
1c566511,bit_manipulation,01010010,01010010,01010010,01010010,True,True,True,False,False,False,False,d1f9bf2acb9cd5f1a9e41e31ef0d497c7de82eee5dfd923ec3567512504246fa,8736,ok,ok,7a590b9f53c53ab7ecf67e82ba73195c2c02a706e02c6ed8b9ba01fc98f5b2dc
4353cd0b,bit_manipulation,00100001,00100001,00100001,00100001,True,True,True,False,False,False,False,d384f81b751ad350cf47a7c3df58412ffa2dc66e5fcba01d54e614c3a06ccbc1,8237,ok,ok,155036f0bc21a8f010d631d5d5002da03025f476ba16df4c68e48d7fa2874bfd
30ba0cf4,bit_manipulation,01101101,01101101,01101101,01101101,True,True,True,False,False,False,False,bd29c30c651d8f218c81786ca2ba7c7419b8863071ece838d583e3ccbed05132,8206,ok,ok,d4060aefce8aac803fdbd9a10f55a3f69856ff58e116032e5d17f1fa920ed1e6
8fbd2477,bit_manipulation,01011010,01011010,01011010,01011010,True,True,True,False,False,False,False,b8392c5b966fa819934ff1e371c4bafce1041d110b6bfc39ea532a6efe7c7ebd,8601,ok,ok,ae4ae58a542dddc3672a4e57eaa11db53873a9aedcf2114a07b1c1228e25aae5
ba61b815,bit_manipulation,00001101,00001101,00001101,00001101,True,True,True,False,False,False,False,b4f9edd31ab74777d74103cc9d8be2fddd4dfe3bc4f5592b04236fc0e71669e3,8916,ok,ok,e8e30a99f17d8c581a86bbea50e7d126d7c20c563a791b3b23ab59c10acd47f5
5b9964c7,bit_manipulation,00011011,00011011,00011011,00011011,True,True,True,False,False,False,False,40b2ae480bec678e760aa254d177620d950a5d228ff044d29f15bbc784d69f78,8239,ok,ok,499aee80f19d04dedae92c1ed9ad6815b1ebac288e06dc471304d90efc455256
a6f7139f,bit_manipulation,11000000,11000000,11000000,11000000,True,True,True,False,False,False,False,8620ee3046aae525ee9c5a2146b7a89db96681e3a5dc1804d6a9e3c773d9cf48,8847,ok,ok,18302e9e576ba75117f19a17cacd28b53eddfe16fbf3310e0ee0fe0d81cb1333
b2fb65cf,bit_manipulation,11000011,11000011,11000011,11000011,True,True,True,False,False,False,False,c1bde1c7137ad794d96bff1d9b8eb2df095cb03fbc6edc084f67c6d11e9a171e,9298,ok,ok,25cb24a5b7737f32550487dbd7561befb55b1e7682b66095716ee7d350b2b5a6
7192535b,bit_manipulation,00000010,00000010,00001010,00001010,True,False,False,False,True,False,True,f3c38c997a85b85045e019ebdf87526af9ea5c8163f53057c1d7788ae5b558ae,9260,ok,ok,e8eb6e73f440aaa272d0b22710f6761ea9731d11f2d26b5cc6351b7da32b25d8
dbb611da,bit_manipulation,00000001,00000001,00000001,00000001,True,True,True,False,False,False,False,06469759554792ccdafa81d721925a07c37dc1389d43e82bcdb71fc873f3fc24,9229,ok,ok,789edf0679d9b2a10069635f4763a43cd48d51d8c87b9c7eaed0e9b4e9e618f7
07ceed47,bit_manipulation,10000101,10000101,10000101,10000101,True,True,True,False,False,False,False,58b5c01b1b189fc40de652c3f26de50dc4b1b9dd9346ae1eff658a1d79c55124,8667,ok,ok,a10f35683ebe6c34fd9cae015b2a29ab1fc1968ede9e51c1a992789731d339c2
7aa4fdf0,bit_manipulation,00000001,00000001,00000001,00000001,True,True,True,False,False,False,False,fa1c8d49ac44d14d25fd5ead8db15304ea32a51c74dd031243ecdfc2ab191c90,8944,ok,ok,e1772d4be890bcc144ec30ccb295b5795e4154c1dba7006f1da0a6e1bec3fcf2
f2014638,bit_manipulation,10011010,10011010,10011010,10011010,True,True,True,False,False,False,False,df21dfaaa6b6231fef7491eb3dce9531fa13284d16b158c8271bcfdbe86cafe9,8446,ok,ok,48705b82a0252a056e2cb8b66fe8ae75a3c2b0140a0cc8f4803b33d7b8187de1
a8ea0e29,bit_manipulation,00000000,00000000,00000000,00000000,True,True,True,False,False,False,False,350ba6a4bf0d347ffa8460f9b46713ca02105a1ac0bc6cd47582da77176c1de0,8995,ok,ok,994f3fae31f5f2a478f4e8f8a11387618587531407a05d53f0e2fa746c83ecff
3cfc5f9c,bit_manipulation,01110111,01110111,01110111,01110111,True,True,True,False,False,False,False,337915b9aac219cede74771d5fce633f45925d72eaac5752f0d29ad03cfdcf6b,8427,ok,ok,5b39a60acc310ca887868c3d1b10d332c7434d225b9fdea5020b786e3b0ecd54
114a7439,bit_manipulation,01110001,01110001,01110001,01110001,True,True,True,False,False,False,False,ac03c120f6b666789435cb32354fe693aeafd11dc6770b50c0cccb2b18c92e9b,7833,ok,ok,64997c105c4a1835b48ea6fc4029c019c135a165efba42da978e7bb3758d7412
343095d3,bit_manipulation,01010100,01010100,01010100,01010100,True,True,True,False,False,False,False,f230b039f08f53ff044cd24da2d6f1280f5cd5331465e347dca4db4bab88205e,9116,ok,ok,85c681492773c210f805487304d362a4e977d46591754bdee88e67d20b5a4e65
a4dd4cce,bit_manipulation,10110010,10110010,10110010,10110010,True,True,True,False,False,False,False,d0192d09666f34b00a4818c4b317c24aa3378840b2ab9e5d3ea0acb090534ba3,8432,ok,ok,70fe9fecfff048fc0d5a061da7c4c9e5cc0f18a7a04699886c0cc60c33beb7ec
6b11c05f,bit_manipulation,00100010,00100010,00100010,00100010,True,True,True,False,False,False,False,732fd5bc00b72af0269166182f086a6e64a398487ccd688248a7bab09bb3948f,9062,ok,ok,4fd95e6556f965cea4b1b36820456c4e62c27bbd5cff4aefc208c38538723118
eea91b82,bit_manipulation,00101111,00101111,00101111,00101110,True,True,False,False,False,False,True,d4bbbce31e348b3f02af42aa69bfb034d3a6cb99d5bcc87812b3db304b06fad7,9507,ok,ok,02716ad683de46a26a5f11a1024e64c2264fb9cd2d7e319c3e748d4dcfef91e3
4736daab,bit_manipulation,01000111,01000111,01000111,01000111,True,True,True,False,False,False,False,9302878e8901bb087801346e5002ea0e39ec6268acbfb67c081fe2d30f63703b,8517,ok,ok,8a26e7ad21449267bbfdf06aeee6fd60a4ec46c312b96fa6e211f82e441f01d3
efc2b69d,bit_manipulation,10111100,10111100,10111100,10111100,True,True,True,False,False,False,False,8ca2478693b9b480510808e7f8ce4f292e04f36db3dd9ac77d842ec4086d07c5,7938,ok,ok,a26398f18b14a98715ec2941ef9cbe3859ee4bb54ffbf6a8984943228b51a36a
a794d193,bit_manipulation,01011101,01011101,01011101,01011101,True,True,True,False,False,False,False,af11e530e1f0e2f48a36421d0c4ee9c261af38fe619142bbcfd6e19acd429da1,8752,ok,ok,e4967dc062e59b4046e62ee254ee0629ee9625ac0608c74d8fa1905e256bc7eb
0f7ddd75,bit_manipulation,11110110,11110110,11110110,11110110,True,True,True,False,False,False,False,49a2cd43f4f79c0833fa3e0370847d9daff5fbf194cc6f081a821defd315aa8c,9036,ok,ok,3dc868648c0dacef0f554e6ae340a6bc5c6dbded65cbd9c491e9cf7e7670cef0
a6704625,bit_manipulation,00001101,00001101,00011111,00001111,True,False,False,False,True,False,True,7d08058669035379de338342af82c9fdd8d4b9ef8121ef362e24e88e1b8a6dd9,9688,ok,ok,cf1a73c80100961fab333d41e839acf2e5e1bda40d3929d0a7c1bb67e0ee529f
d117113e,bit_manipulation,00000000,00000000,00000000,00000000,True,True,True,False,False,False,False,dd411a68ee2b57ec3ad9163be95d84c5392c8721ff9cf56906fb00d9b01187e3,8558,ok,ok,e07b13fba59298201bbb496a7ddd2a9b793cd3313a36c6492785a165667d4a46
6f7a9048,bit_manipulation,00101000,00101000,00101000,00101000,True,True,True,False,False,False,False,44e07472a1ba222e59e6ac2f486ccbb2b3b0c0323f719cfa175b5bfa2555e347,9409,ok,ok,afd5118d44bae2a1a465da0543cad22454465e1ffed403731401b0d05aa57bb2
8740ed31,bit_manipulation,01101000,01101000,01101000,00001010,True,True,False,False,False,False,True,9a92c4344a00857dffe5fd1be4d9da2182c20a531407d0c105782a09359fcc36,8496,ok,ok,5bb84e83ba8619b5ac9fbde2549bb38c026c208e8b427b2dd8a838fd1c4f6994
8ac52d78,bit_manipulation,00010000,00010000,00010000,00010000,True,True,True,False,False,False,False,bde486d8bdee3fe462e7d4df12eba03103f6368ef64e485da85d262b935d3f07,8335,ok,ok,6ac5bae5a2a25112fd40d3c2f2c14837618215ee2353123bc10d9f5f5ef06b69
f507b7f1,bit_manipulation,11001100,11011100,11011100,11011100,False,False,False,False,False,False,False,af856ddd9e685b2beeb49c9b6c501c565b4d4c2f1036e61b45def1e9520f78d8,8862,ok,ok,aecfd1965fe35978c5354e2a2925cddd5424d5e731f92524145e36ecd186a861
368f20dd,bit_manipulation,10000101,10000101,10000101,10000101,True,True,True,False,False,False,False,c49a8de76b17e0a6fb42df806857af30de0ea222fec5b78146c8e8278e1d991b,8666,ok,ok,09aa6610309b6f839c7a5855e6f7688f8ee1f8a190434cdf8938d531011392ae
5a19f71a,bit_manipulation,11100010,11100010,11100010,11100010,True,True,True,False,False,False,False,579edde4b776d7c21ae34b680ef02e014e92af16b4af09ef2e1db3cac601b487,8244,ok,ok,55ee578aad372067aa16078c6a97fca59a3a5300cfdf177a9b4cf1a451b9d243
78d02fc5,bit_manipulation,11001001,11001001,11001011,11001000,True,False,False,False,True,False,True,8c1ff7e712d66597aedd3838e78fef87a47841283e1daa51bb0be7f2906564cc,9483,ok,ok,a57a99ba385eef38495b46af76bceae2c9a227dfd9a3cec3189eb773d86c4ba6
4166067c,bit_manipulation,01110110,01110110,01110110,01110110,True,True,True,False,False,False,False,5e8dc35a374d3bf4889a04a439cf007fb663b6a4aec57b0c817415e6dee315f0,8332,ok,ok,036ab0eef6b413c7431b159bd816e35afccb665d8eff58a86a9d53441e2bc3a1
49fb46e8,bit_manipulation,01001110,01001110,01001110,01001110,True,True,True,False,False,False,False,200b30b7295da6c27ae4afb79c5583987960454c4485f87e4f7fa6afd316974e,8041,ok,ok,2b27b09d12e72e98d88bc6242a66362f1fea4dd3e690b1df3c3415ec8ee605e1
779bb1f3,bit_manipulation,10000001,10000001,10000001,10000001,True,True,True,False,False,False,False,207bb1345a5d6f25f1e0da4b11e41bda341b400c5fb8ddf754c546f89c804156,8872,ok,ok,0a241f98826675917533fbe62ad9f6fe7dcc8a20f099a01c040d4abf032c868f
e2b02e13,bit_manipulation,01111110,01111110,01111110,01111110,True,True,True,False,False,False,False,e75a05ff37b931559980faed2259d47b8d8d24e24221b11ce6b769ca3ac0d4b1,8752,ok,ok,5e469ccec91ad1b8f7532530e80af5945ee6fc737d0d716beb78f71a5adeb95d
21245d76,bit_manipulation,01111111,01111111,01111111,01110110,True,True,False,False,False,False,True,2b48eb90bb5d22a3e68b5cfa25a9bb9f54695cb424090df63e74fa29138c91c8,8735,ok,ok,aac7c523d255166273c46c74eb4cccb1f33a10888693a6736487598d7c7e5aec
e0eba119,bit_manipulation,00010010,00010010,00010010,00010010,True,True,True,False,False,False,False,cc02aa55c955ac0fa12098ba62856236ce91a772d51b5cc8dc34e807b3058abf,8543,ok,ok,ca670c7818e01dc42287ce093e42cb58fc420910a71504d68afa8fce2b5824e0
55014a7a,bit_manipulation,01010000,01010000,01010000,01010000,True,True,True,False,False,False,False,42920d199cbfa64bd5943913e23600fad62351ef8e18f232028be02ac089d05d,8910,ok,ok,129ed43b7c5719c79fb179d1d8a768ea39d054b84bcffcc624f1f7b37fb95eef
0fe06e8c,bit_manipulation,10010010,10010010,10010010,10010010,True,True,True,False,False,False,False,31f7afaeb96e07aa945117a150b9091083071b9c90fc514bcef115244a43d453,9287,ok,ok,477ef4a7dd3ea0f85067313b7b5eb3451071741051dc067d88a73c3f6c1a6f58
f8fc43d2,bit_manipulation,11100100,11100100,11100100,11100100,True,True,True,False,False,False,False,fe5bc61e0b5ff3800c36f5bbde38fe71f499b2688d24ce724a83ed7b1eacfd3e,8446,ok,ok,4a1889be2cb7dee09407b4d97b945e0cad14ff7cbc2fa35d26125c4cba72488c
d40ce15d,bit_manipulation,00010000,00010000,00010000,00010000,True,True,True,False,False,False,False,680fea18e9cae74e1a12585d4572883b76c26686c189b51e93f614c0c140bed3,8786,ok,ok,c16421dea32f7946553b7b71b3800e022d61eda5018cebfa40bc4b4f5ab80b17
c711f9dd,bit_manipulation,11000000,11000000,11000000,11000000,True,True,True,False,False,False,False,62daebad43825c7786b923cfba37fe428bbae100803afd7e4d5618cb70325e52,8584,ok,ok,6b5deda99d1dc2b311d64c58fd1f6ef6a4698ef40cb9a34e238abc6165bb01ff
55d834d1,bit_manipulation,00111111,00111111,10111111,00111111,True,False,True,False,True,False,False,be205c431095ba02fa6f7b0eb9afe6c4433a1861e23f91df7cd53b4692d194ef,8643,ok,ok,148a431821e8d0db3598d07425b1a745e5690e05d4d8b624efdf32e70495ade5
4ef88f92,bit_manipulation,01010111,01010111,01011111,01010110,True,False,False,False,True,False,True,a37b7fe016ea0416991ec7c35782504ea518047c1cbc2ae76751d0d169fdc4dc,9558,ok,ok,56038216dfc4b760b614396a56e2771e8b3173eae1aebadcac752f89e54f84e9
5d77eff6,bit_manipulation,00011100,00011100,00011100,00011000,True,True,False,False,False,False,True,bf5f60980c65391f117a0b81ea4a1e6c8a6b18c2e3deed58ecc236a6395f86a4,9541,ok,ok,853700eaa46b23d7b532c6bdeb4053d55421f7fc34313783d3464572adfb0ada
1a7c8520,bit_manipulation,01100000,01100000,01100110,00100000,True,False,False,False,True,False,True,192e66c677b311cdb982ad88e49490eec9381840722bd600d2a4914005d59975,8613,ok,ok,acb44f2274d7713e3692a87625458b486c8b501d9118a431b06150cc62fe36e6
1c671acc,bit_manipulation,11111101,11111101,11111101,11111101,True,True,True,False,False,False,False,f43ffc808297e4c417226e5bad95f482f48f304ca096df77aa2b61c9c411d708,8732,ok,ok,59d415257027d3754ecb350f179a0cd16e8da2271f05cb4a2fb19fdf7ad86786
b62f2e75,bit_manipulation,00111111,00111111,00111111,00111111,True,True,True,False,False,False,False,e14c0d6ff5eed0d8763311ea86adec3d9a1bdaca639bf4438e921c94367ad2b8,8205,ok,ok,2015cd87cb4fbd08d94fd9a0a0fadedfc092c99c9f6b2dab5e7b6f3dfad85a3a
c869b4f6,bit_manipulation,10010001,10010001,10010001,10010001,True,True,True,False,False,False,False,4aad3ac7065f313d6ac8b27ce7b373c9f800ed8ce38372e0f17c15215e0da614,8574,ok,ok,0b78c57ddf676f0ec53069742c9f437d879396209b2812c43479dab7598ba81f
575f9709,bit_manipulation,01111111,01111111,01111111,01111111,True,True,True,False,False,False,False,73aec0d13c94b3cde14f38c0e853d83dcd26265c5a58e5061810915eeddf1eff,8615,ok,ok,feae7698427db7a2fb0460140a8f7fcaddaf7168503d0856969b1f586dc6dbdf
691608b9,bit_manipulation,00101000,00101000,00101000,00101000,True,True,True,False,False,False,False,626f233b28777e317dfdc0b3b3ffc276f1be5f97bf99322b65ac39613073ec05,8560,ok,ok,61aba083931c12303446217275dba7de4e00629581dcb75cee8b75dec467e3b1
202af98d,bit_manipulation,11111101,11111101,11111111,01000100,True,False,False,False,True,False,True,ff02f3af5566243e19c15319c728c297cea8361ab57be6ae2c79796c96fef217,9498,ok,ok,042b57f1c51bd6712b59b21c9a67fc381cd9498ff3d87c8dac4eb60022f911e3
