row_no,source_path,id,family,status,accepted,block_reason,prompt_sha256,prompt_normalized_sha256,assistant_sha256,assistant_chars,boxed_count,reference_id_overlap,reference_prompt_sha_overlap,reference_normalized_prompt_overlap,reference_13gram_overlap_count
11,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0047365c,unit_conversion,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,3d1dffe011e54c8646bb2bd673610894273ec73784a7ca34eeb57800812f2a5b,cb2b85c5ace2abe0827287075f2b76a0a1fabb65d3f47e41717c0b21b8a38b62,38fbff030092450f90640b7caa871cd164b3f0c353eb4371147a2fe138a05e20,2506,5,True,False,False,35
12,C:\Users\davis\Downloads\sft_reconstructed.jsonl,004ef7c7,bit_manipulation,rule_found,False,reference_13gram_overlap,68a2828482ef6d24b766ec31129417d7c00aaa0dafd54023752d0f0d2844565b,b980f158209a0a6c42c21a05c8eb2ac3d345a20010e3fc08b12c77245300a1c5,f8a5e833eba9f9d2b4aa184f0c833f43f056e557a426bfe4569de67171810e45,8906,5,False,False,False,3
13,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0059df78,unit_conversion,rule_found,False,non_target_family;reference_13gram_overlap,91a6b3ccc839caaa4712ac653987f696c62ca971ce64bf74398e06f497848e67,96fd826a9296c8b7435f37e4a063dcac80621a37a394ea56d7ff6134da99e0be,35632ef6ee4166c344466a01c53ceaa7c51994be277b06e7f8b7298c4a2b7194,3336,5,False,False,False,2
14,C:\Users\davis\Downloads\sft_reconstructed.jsonl,005ad22a,text_encryption,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,5373d9a04ecf9c6fc29506008af810f97e04e51c8b1128ec89de9f02b7fe872f,6536ed9ca9735e2ae46bb404b5b9e384b8a98ab8fa93534f007043f10059925e,b4bae2851235ebf5019147c07c95b19c8375ded551dfa0b406b07595ff939830,5612,5,True,False,False,60
15,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00600e6e,numeral_system,rule_found,False,non_target_family;reference_13gram_overlap,22f145d8335829a2e864d295c9ffa1e0dcdb39befe257a5a3227f0b45df8df77,1c0aeab8bd24049c7885ab41b73726b7e6213968e51bf0d2fb5a04778e9c006c,99ae0f0d6e369eb7b15b0921a3ed3a26f2725f019c7e5e669499ac4200c68a4f,346,4,False,False,False,4
16,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00619cba,gravity_constant,rule_found,False,non_target_family;reference_13gram_overlap,2e1a4643a1782ccbb10e4dc013ca8f03f6da76255709f3e65b8e14c877017dfd,190ed71e97df51f705eaf38dd39ba74850731030ae7acdb4dad33ebf055ed096,45b078ef35a28ff28d12c5091dd994499efa2b304353b2112d193cbd07251c60,3578,5,False,False,False,2
17,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00662ac2,gravity_constant,rule_found,False,non_target_family;reference_13gram_overlap,2be2734e2fb9ad0d2aa266e2640ccb225c5bf56da29dfbb11be975fde08ec070,5e9328ad52963a4292c3e3cab2d3a829305d0cb1acb267e1771edadd03fd12f5,4f0cf05bdb2e93a23bdbc5935f82c9cffc12a944a03b98e0fa6b4352b0eacc5b,3134,5,False,False,False,13
18,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00674059,text_encryption,rule_found,False,non_target_family,54bdde87897e900fb85747d958794f5264f22cdd466f990e81153b844105b9ee,2318cfd6e2f13faedc4556697396dfe7352e67fffc851cd12e572d682a818429,9994e8112afcf328a28be442f933a4d70f309a11b1964f748e55d42575ce1e25,6775,5,False,False,False,0
19,C:\Users\davis\Downloads\sft_reconstructed.jsonl,006a46d3,unit_conversion,rule_found,False,non_target_family;reference_13gram_overlap,2a4aaafd634853b85c09bcd9080d943355dcab030a9e1b67528dc8f0bdeab5d8,f1c3422c67d08f3e2f6168111385005e9635e0501dc277194d698f74ed586dc1,3b628dd5105dc09785d92c03c461599886bb8ad7d10314903847a5f16489a209,3678,5,False,False,False,2
20,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0073bcbb,gravity_constant,rule_found,False,non_target_family;reference_13gram_overlap,9c736c5d5f84359cbdedafdacebba5a3d1eb214bf69fec27f202cfbd2fd26f23,0336cd0c153ed79fe4dd331382cd1e96a871c52e890e8f25cc7039194122ddd6,961f1b7c418d97e6cd4b546213003ac9018024a4e03d59f04002bcb513db13af,5372,5,False,False,False,2
21,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00754598,bit_manipulation,rule_found,False,reference_13gram_overlap,84bf8ca9670b7396407f36ccd9fdde6fceb3d357cdef73292f6fb3cf0c8cb78b,ae4dc358819a92d4dcfaae178bf82478a7c59e3b61f417c4e7cf397c3b5027d5,2f664e0c991e95b04ea972305d385f5bcd110b9bdf1ae63e3a550a85f6f012ff,8859,5,False,False,False,3
22,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00890aff,bit_manipulation,hypothesis_formed,True,,e0f056418d90591a5541c4d342d8699d7cee0c86d085da4bc8dd7f6c2ff73db5,e44a34e9b3788fe357801c223dc68a6f4ae07263428289207a55ba7a3892e938,59758197d07253143755843b78c3464391f7f3ba4365cd7f252f9434263d05b8,9696,5,False,False,False,0
23,C:\Users\davis\Downloads\sft_reconstructed.jsonl,008b52fd,bit_manipulation,rule_found,True,,b171345d7a632367564c017aa886f52135ff37d0131d57ccb7c02c9060eaf4fc,503064bf5efa0172bba6d4a423b9a6b4c32bac0bd2ceb4126ffce556ffaaa648,ecbbe10b0cb6158f38711271189250f9c4b652ea5ff71f9fe992b4c8479e53d7,9953,5,False,False,False,0
24,C:\Users\davis\Downloads\sft_reconstructed.jsonl,009a74b6,bit_manipulation,rule_found,False,reference_13gram_overlap,d7cbf765f2be54993ff8457ced07b6c6178eceded4cab5d21a0f38247be9d159,8f66881d7ef5f441bece2cd9cf0af9d70f158811ead8e5387b8df85143619050,e036a9059ac79952c56bfb0110e822fd0bb02e4a7e0c775ff2fbf1a30e6d10a9,9645,5,False,False,False,3
25,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00a3fd23,text_encryption,rule_found,False,non_target_family,e64849d5b123e67c8b592b8b0dcd64bf2b48ffeaac9a13cff961e5e085c03bf7,86fe9789482f89a0f46f5f27559b48796fe18c8393251bb682540c2bfd24727e,98389c10099e0018f62433eeeeb773d94413176c7cfdc2c824fb46dc869824f2,5896,5,False,False,False,0
26,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00a77d86,unit_conversion,rule_found,False,non_target_family,686345d6a25d5a04a177b79cc9bc6c80d806b168a056bdfdb6ae707ff4089fa2,79bf14c663c25b6a79dd68b2cda87115ca92d79c694925e1fccdee3f7957df8f,bd5d1bba7b829f807a2b22d1d6a939f258810b6b0d132751b8064e95041cb36e,3144,5,False,False,False,0
27,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00c032a8,equation_transform,rule_unknown,False,status_not_allowed,f1d60a97154f1e0bb2fd426aa5c11ccfc05d80aae0069879fd356e387cd3599b,d2fc3e4d8ec03a5a3a26dbd12b7fdca06ecf47404d3e3d684498e8a34aaa01dc,205be0ce54616f209199a28069ef70ed6c997d71419a546ac5efc85c0d7965f1,1359,5,False,False,False,0
28,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00c8ab45,unit_conversion,rule_found,False,non_target_family;reference_13gram_overlap,6d88dbb85e7560f1cff5de3e7614de292b6b6651cdcf3e3a6b3816f2740317e1,0509edfecdd6236431060d103e3a00fbdc6679a36a9180d65d891e8e41478206,38934817667c58f46c9affc8d737f46fee72e731125f53de180c0a42ec9c05ff,2425,5,False,False,False,2
29,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00d1932c,unit_conversion,rule_found,False,non_target_family;reference_13gram_overlap,a16d955c1684a97206a220d0d81058c59e7681cf611bcb8fa0ecb7432d82ad66,19ddeb117ea20660d288aa367bbc1edaea7fb7dcfa7911a2ebd205ccaaa07aff,3775b6de6f3bf234de2cf9cdecdb383578b80ff2b3cd99c2ca3d4b9ce0e89912,3895,5,False,False,False,2
30,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00d8b3db,equation_transform,hypothesis_formed,True,,c90bc9c869bd05785170e969cab16fce685f3f762da91322c79f929d81ab1315,97b60b5c29e2e47c36c318eb6877ee3a3ca4e9c13591ade6cbf8b89f770a526d,93106aa5f1c9b634175709a58d35457a8e409717b6536cf863b8fb9112acf107,11016,5,False,False,False,0
31,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00d9f682,numeral_system,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,cd1e5306f27146bce074fb767e97340c9621bc9cdda4bdd77d0ad0916a01ae82,0afff0dd551358794566e5af2a308fbd729239d65623c06c4545182260f30f54,02d46e0f0f5615f397223af5558a1644db2bd18a81b0e1b1db9a17570844ab7b,218,4,True,False,False,32
32,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00ec1c63,gravity_constant,rule_found,False,non_target_family;reference_13gram_overlap,4c33797be8c3bc383a8d32652ceb1354ced3578eeb978ccee53590d88a5c795d,31b1c9e6e86bdb94d2d24f981048d06af2abf9973e31708fc72e6bee06648b6f,4cf6993c97ca4926f98b8047cb2d9ae58fb3eb32bcc2e10305345016e0e98fe1,3949,5,False,False,False,2
33,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00ed1836,gravity_constant,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,3a0914fc570412c37f240d5def46939e65d6ff88c61f316faedd2658d4112b8b,85cfad6b3eacc17dc62047ca601eb2d0a97a48794cf6136c62f1564cfc1bcb65,8315281a2796917f86b390b227cca85f8ab775c792121e485419f702d53d8ce5,3975,5,True,False,False,84
34,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00efa37c,text_encryption,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,7a4c32152c9e3f548551e2c8040fe858fea2fffbea0be23c2d40587e4f6cf8b2,4a7d4de10744198df63e9242f2862d3c681bfe03870fb2fb109f6ed10fb43a64,959700d8075a53ed208712de452715a36b6aa7abd468b826b2774cab1614ce76,6436,5,True,False,False,70
35,C:\Users\davis\Downloads\sft_reconstructed.jsonl,00fdc0be,bit_manipulation,rule_found,False,reference_id_overlap;reference_13gram_overlap,47d9befb3c474c47b83c18792e7ba40036716e45045130c5952af7779c56bb6f,a422f8a3851d063bd0db88b6f735ca59db4265526526e4249de019b1ffcf56d3,e3a6a0daccad1eeef7d73ea8df29694cef31901f324290bacf4d821fc4251afa,9057,5,True,False,False,36
36,C:\Users\davis\Downloads\sft_reconstructed.jsonl,010055e2,unit_conversion,rule_found,False,non_target_family;reference_13gram_overlap,090f0929519f359f3dda26fcff349bb77feb8d77c3af1fcfad8fcf43951404fc,5fe73ce3185df53325f622b3a3e5f553a33aa619595dbd66e3df416e45353612,dee242c20ec027cad9d2ecaf1bb1cb43ea09892cc852024c9147eb4bc9c22a2c,3618,5,False,False,False,2
37,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0106eb4a,numeral_system,rule_found,False,non_target_family;reference_13gram_overlap,5514685b27365ca0586db1b704a344968fc02c3f50813c69c2eba06a0161a07f,e63460cc42f984eea443036580b831276aa2aae5a183afc5c056fdcecc56ed5f,33ea1fce5fa0823180db7511af2d3bcfe252e908da040dedc93ea3d91a2d937c,357,4,False,False,False,4
38,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0122d53a,numeral_system,rule_found,False,non_target_family;reference_13gram_overlap,479a0117da40869461d4482ab6b1c38fcfd535fd4f16ef6df318896f733d5b1c,c20cec468083ba81a01a2543053bc9da7581b7f9b2ff0a644fb5496099c18f62,616476e61d8e4d337161bad9b5818baed800b13ea8c5a9a0b3fb36e1798e1f5b,247,4,False,False,False,4
39,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01248b76,bit_manipulation,rule_found,False,reference_id_overlap;reference_13gram_overlap,b704c627661e73933d9fe82ec9885c8dc09f510abc44644c5d136ae8fbdb739f,d99d19d81474e8566e690ac4cdca084c594a568adf594d13e944483f576c5f10,0f92752a9c08dda8375af46683d3cae2c305406114b538240a90237d73e3cff0,8484,5,True,False,False,40
40,C:\Users\davis\Downloads\sft_reconstructed.jsonl,012cab1f,equation_transform,rule_unknown,False,status_not_allowed,079e53554ded84b0312ea403e4e4dd9cceed03ccb6b6d1910158a9adeadbe8c3,f0387fd9a925145f5035e834dc5031b2065d8ab87097832144d0e5741331b261,b3b5eab1d53c2150b3a5808f389ae852886c71750a422de8618e53a48a0c4336,1567,3,False,False,False,0
41,C:\Users\davis\Downloads\sft_reconstructed.jsonl,012fb81b,bit_manipulation,hypothesis_formed,False,reference_13gram_overlap,5ca1bf987404beebfcd866d1cd37bf1142b7a4fd815215b6e164018f4461cd67,63d5334205884ba553944209069d29fe5e8db7cfce961289147a94237e2955eb,340f3fee314d7fdc84d79b7732970e7b9f477922361d9fbbbc8c89eb0c6daf76,9749,5,False,False,False,2
42,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0133bcec,equation_transform,rule_found,True,,6c5029b47b468f7b872be3ecb0ded6dc3de78c8ab51e1956a126fc56ef4ee651,d5b7f7e93f42352abe74e76995a67d722336672d2378d8404ae63f9498045ff9,36cec0a2aecca13e925347d986dda622b558d354e2ee01e22c51d5dd5add0e22,1536,5,False,False,False,0
43,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0140788e,unit_conversion,rule_found,False,non_target_family,7f25cfde760c0bc16af0140a5b1f5c7f19b5ddabf8577251f0e8a90e863cc8b0,323583b70b857e2da08ad1734307a034314f921000c95931cb90a3c08700de7d,75c13d07faeb3059c088fe30f8b34ff7bc51e59a897a2af13d9810bbd238b345,3027,5,False,False,False,0
44,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01466f0b,unit_conversion,rule_found,False,non_target_family,9b9131ce161b65941b225e8378e25bf7722127f77d9a268a6f0a881b7cf8edf5,c1f164c2685e1ca31d9bf73f0d3e591e1c80515c6570c393ff5160af22bb45c5,76d9a4959a7fb827af54a3b1e8beade3b390d82f5ed91207ac7e270de417168c,3850,5,False,False,False,0
45,C:\Users\davis\Downloads\sft_reconstructed.jsonl,014c4f83,unit_conversion,rule_found,False,non_target_family;reference_13gram_overlap,78e1d046592d911cd6952b76704dabe4141d1de98302364562fc56917fbdb174,8ed982ca746965af36c9aa1402794fbdd14821211fca11995824ecca0e65c981,1b2bc54964fabff96fa1d68ec8b3687c76cd37b50c4997da44d38654f222a41b,2609,5,False,False,False,5
46,C:\Users\davis\Downloads\sft_reconstructed.jsonl,014c7478,unit_conversion,rule_found,False,non_target_family,7b7fa208ab741c92fbe6561d73d4abe43230fc20bbeb789941040ea052465b26,192c3d05833c70734a3c1a856519e6b81df4518bc05aecafd80c209488e73204,7b814bf2d73650a18cb3ac7f2df37a86e372206333117e0bb297d4edaee48a6f,2547,5,False,False,False,0
47,C:\Users\davis\Downloads\sft_reconstructed.jsonl,015430cf,numeral_system,rule_found,False,non_target_family;reference_13gram_overlap,5a878c81ccf6ed39a359ee270262f088fa5129a50923b9a2bdd637ce4f395650,0dafb0a1167631413926828db13daa6a9e70fcdf6247b7c8c73e8afd3bd5703c,ad6463215963dec1cade4b59b55f8927bf5c3b69717012e4331e8fc34d22309b,381,4,False,False,False,4
48,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0162e157,numeral_system,rule_found,False,non_target_family;reference_13gram_overlap,7b652fea64fee3020a8f59732ac47601dc7a653a6848c983c532cb22099095c6,b9c6be2e364bff54198f15970b91edcb2174ca557ed201afd442374fee8dce8a,93a454bae9ed0f2724fe09184678d0c77fdf2840b4eadea60c70ea4cd6f6a044,279,4,False,False,False,4
49,C:\Users\davis\Downloads\sft_reconstructed.jsonl,016482c8,unit_conversion,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,82e598426e833ea99ab4768b0a976be60a2efcca19d2d8f49e91248c62d500c4,0e360dcfa78c1fed800497e97a8180a6b308bc130d8612dcba2a084744979e05,02f251a742e7f5db6bd52c861d7b55dcf82f05fc9a9409a53edc314dad5fa720,2950,5,True,False,False,43
50,C:\Users\davis\Downloads\sft_reconstructed.jsonl,016c474c,bit_manipulation,rule_found,True,,db9ef961ec266d75be6186cfac12504680ca73065de5449b388a67c77705c47b,0b7531ab536853b64c0e6f6cfdb0d998fbdb9a071c6658056c216db4288a5996,aeb4a34b788689b52b09378bbdfcc3e7080b112f2838d694edc2e86913c7031b,8833,5,False,False,False,0
51,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01714be2,gravity_constant,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,bce8d2bb42d1eb29b3407bda393f63c043f5691b14f18b7a69db86f8957c29a6,db42901f0d54ab0f5b8dbc7ad5e177253ecd487f8a12e2ec556f41bb6c726363,5ea9b04ec633c5e135974cd43800e32145780e57486670fa5ef57a5fcc6719c1,3306,5,True,False,False,58
52,C:\Users\davis\Downloads\sft_reconstructed.jsonl,017a161b,text_encryption,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,28314a54bf38870912f90f25e61d1b7be15e907cb3742dec9349f943ef7a6676,090a62ea37cac578e2eb617cdd3c76b44f98c2c1899da5e826d1452e5902a45e,3442fcbb488b5387296ef9ffc683992d35d3b5f1be883c676473c5c16c2a6f26,2756,5,True,False,False,39
53,C:\Users\davis\Downloads\sft_reconstructed.jsonl,017a871e,equation_transform,hypothesis_formed,True,,bd50415f580713a9119ad6c831448da0ea51ddb9c8107d1279ed61c2c3f4d891,23c34d5ad5485695c7ddab18498422bde31df29fb26f5a7a7646f075d4aba750,3e0cb3873a6f71e52f37ab978a94247649ce4350f3ad8bf800e2d1aadb817a71,1134,5,False,False,False,0
54,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0184a864,text_encryption,rule_found,False,non_target_family,fac68e863ba64a6e05caabc54cdeb05d39f416669a723c8ad0387acf9f3a0151,2277a9cf1dbc1e5f9f412a89cd7f45ade64be15a432211615131f819d7e51ea5,54b2efc29c3784c163814fc92de7a62122087ebf9b6d4b34da6e0d2b4e1c4d25,7211,5,False,False,False,0
55,C:\Users\davis\Downloads\sft_reconstructed.jsonl,0186fc54,numeral_system,rule_found,False,non_target_family,d1943c226600ccdf93a48a39a549bba8ea21484af9871c5bf008dbf175c37bde,11f7d941e3a7d59bc6e222f049fa61566c0a8029ba5ee261bd7f8996f4cf2278,4c964ba043ae9423ca69530ba203ddc3fc0e8b79c0321faa171ccef87ce59f22,287,4,False,False,False,0
56,C:\Users\davis\Downloads\sft_reconstructed.jsonl,018871ed,numeral_system,rule_found,False,non_target_family,125706c0ed85dc87d29105e77838cae3ad921ed0241542f00952605ae99112f5,9bb4ecfa2f67e31a9aa4a0b564d7ce11b7e7887dc7d64c22b79b7e3824160f68,be312280382a3042d521f1ff4bcea74c24dad41eb77df17f8fe0b07289d10545,322,4,False,False,False,0
57,C:\Users\davis\Downloads\sft_reconstructed.jsonl,018c6f61,text_encryption,rule_found,False,non_target_family,c21d205fb9c4502bf91d256cd8782dd72077c2c56fe547270d7ab95d69cbae5c,201ec2f280cab4f9c4b77ab3e50001827e7711e8e664301eff302ec8524d0539,1e05bc404d2e6dc9989bb59870c4e64ee0389ba9f538120e13baa878f35671f4,6931,5,False,False,False,0
58,C:\Users\davis\Downloads\sft_reconstructed.jsonl,018d465c,numeral_system,rule_found,False,non_target_family;reference_13gram_overlap,a80e8ffa868871242b89ef27362cca628202d68ad09ec9d95a0cbf235d347198,366764b393bfc7e03f2f2002a771c50104afcf335b0af89b7a4108a0c07aaa75,4d211bb2b22721bf4036c5375b24c7a009b1b7fe3d466ffd15e207ae3c1946d0,247,4,False,False,False,4
59,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01a065bb,gravity_constant,rule_found,False,non_target_family;reference_id_overlap;reference_13gram_overlap,cd66e06e148b21423f2d3136233065f9cc966366ea242e8d41699df6f826fea2,e6270ca390774b8419a4142422b66fa5ace772822a2b338acdda6531336bd7f9,729bf06dcc0c192a9c255bcd5680b19a31e5ec66bd64241372964d01ddcfd3c4,3884,5,True,False,False,71
60,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01a44deb,unit_conversion,rule_found,False,non_target_family;reference_13gram_overlap,08fccf2ad11ae7bb77bebe7bfd06186b9990f5008fc107526823f52069bfa8eb,bc7001c16172ce341eb243f815f923b618c563a447290c078fed504df974e2cc,9eb00ff3d6bba4ff31600098091f9af37e75c07db198cf00f1c1ed80bbf1db19,2784,5,False,False,False,2
61,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01b2aa67,equation_transform,rule_unknown,False,status_not_allowed,b5c3eb8c91ac73c4b095a2baee4576e41fb03c362c4f955be0dc3443082e88e5,e5cd3f92c905176b2d518d16285d6001490c5c5635dd96ee0da2d028874625b0,0adfb2f23e46c4d37e392d63fd32e78e1cf7cdf4805fd2d9e9627b399aca389d,1354,5,False,False,False,0
62,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01c5cb71,text_encryption,rule_found,False,non_target_family,a9c3d9f007b0c1a4c1d8837590828e8676f69d3883d59a1b94b1bf775704e209,98cfb1070bbcf42a8c0ed59580ef9ff8b32b4b3f18c7c3ac37e83a74e889645c,17cc1a0467471327b235782e1523b4b169825d16c8b179f2686a96201fcf3ac5,4975,5,False,False,False,0
63,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01cd504a,equation_transform,rule_found,False,reference_13gram_overlap,063d01d3c3ad913e212187d79db81a96bebd47604feda11daf77f63931be9cca,ead9c45ea48d4e657de270324b5dc9a5f627b9ca8c3fe6e823ee3ebc6b2e9751,88e9dd16747268f13f40d4a9051493af75f3971b7c919865de5f3cd5c6c2da80,10235,5,False,False,False,1
64,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01d894fb,bit_manipulation,rule_found,True,,604ce1ec4832c76f372dcf8087dee85ee110768d857f58bc0804c539e0c3c039,5e6ec10a64c03d3793592fcba1435f53627c7a3974702db4ee6e3f8d44e11c1d,cf92c77edeb71c12393b5cc190d0751c0e6603521cb1092e8e1ce63c103232b6,8524,5,False,False,False,0
65,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01d96398,unit_conversion,rule_found,False,non_target_family,30ae59002da48f5df2a47fd00690cd51c55f3ac712ab1bd3ae3d9291f4fe62cd,978064d4a59b35eeb065af2d199f41702334ce3a4cbe46488a52bccd66e421b2,79e098b11ebb1f77f05e4a731f8de87cb7f8564bb8925646b26a7909b8e56303,5341,5,False,False,False,0
66,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01e09228,bit_manipulation,hypothesis_formed,True,,05a810aa41a2fba2fe31b2c96f827b29fa39558f663cc052a097ffa1209998d0,cc3165913021f7b33405867aac2c56efa68145d5f6f54789129db45f2ecd4e62,44db54fce0286812553304d872c4f97a4be3e3a45a1cd9915127c5e1896692b0,9388,5,False,False,False,0
67,C:\Users\davis\Downloads\sft_reconstructed.jsonl,01e395d0,bit_manipulation,rule_found,True,,f3df4f9e86cc151acdad8e62b9c80d982b7115605adca8ba3f7239762f8e0ba9,c5207c8bbc83577bb9a349323cc5d53329a4bbccb1a9130f322697b8a6a8c268,10d4b253bb09b3620671228699a5a7c59f2cc33455f811d7e9a27e61a74d1978,8963,5,False,False,False,0
