uuid,source_dataset,kg1_relevance,status,expected,prediction,proof,question_sha256
22c3ce03-10e4-4c9f-9860-6aa8b4a131e2,count_bits,bit_manipulation,verified_match,16,16,binary popcount,f7565cc01e0aa3d8e307e97531aeb5df0545b7d08de4e1ffd2cfed6d19a612e0
5c4ae605-5aee-4314-80bd-b958736e1908,base_conversion,numeral_or_bit_support,verified_match,643,643,base conversion parser,0f5412b2f0faf0bc33573c3b9fdfbea5f8f307a757a43dff799bc40668b15778
6ff9f45c-b7ae-4d0e-ac4b-b3267ee5e438,cryptarithm,equation_transform,verified_match,"F=1,G=2,I=9,N=3,Q=8,X=6,Z=4","F=1,G=2,I=9,N=3,Q=8,X=6,Z=4",provided mapping verifier,784be1462fc65cd690acae5bbbc95b8fe09cfbe49a7f42640f185e08b767deb6
4e3d9bfc-8a18-4000-8202-77f1fb11fe5d,number_format,numeral_or_bit_support,verified_match,510547350.707,510547350.707,numeric candidate comparison,95e844fc54b2d0bc29975a6db740738f923555ce462bb73d6d00d8d39301a815
0ec608dd-638e-41a2-ab0d-be7e2b790b68,count_bits,bit_manipulation,verified_match,13,13,binary popcount,1f18010eefe43a0c948cebb09fc4932fb13afd0cbce2957e0cab5c74cbc5bd30
f33358b0-3628-42b5-ba6b-4dfe18012ed5,bitwise_arithmetic,bit_manipulation,verified_match,0xcfba8,0xcfba8,safe integer AST,9fe56daa1390544648f39c0ded89be0b413ce4acd623da2380ecfe7d75f0e1cc
d089535a-32cd-4834-b7fa-ae0f2957821e,cryptarithm,equation_transform,verified_match,"I=5,M=8,P=0,S=9,U=6","I=5,M=8,P=0,S=9,U=6",provided mapping verifier,87ac030d2a3b24c7e0c216ad7697ac2e9e7caaeb43aece351ff72a49631c5ee2
79641b57-ed6f-420a-b54a-3da28ce24c6f,simple_equations,equation_transform,verified_match,10,10,linear equation by finite difference,f17ab0b2593ce95c368c0b9633e999ca0f19a68a5da7e3e012155d8a136d7694
757e2ab1-73f5-49bf-9677-96d92ce3def4,bitwise_arithmetic,bit_manipulation,verified_match,0x2c0dbc30,0x2c0dbc30,safe integer AST,e3a3f5a5e2ca2389db7af2eee149b6bc0aa57901b7360b0e31c259d2378f3b2a
1a7fdd97-d40f-4d57-a473-0af1e8950899,count_bits,bit_manipulation,verified_match,17,17,binary popcount,4c10418ad03e37544f4bc59a579a50963a8b46800b3a925db254f4699103c87a
9120a365-f05a-4f84-a3fa-ef83af44750d,cryptarithm,equation_transform,verified_match,"G=1,H=6,I=3,M=0,P=5,R=7,X=4","G=1,H=6,I=3,M=0,P=5,R=7,X=4",provided mapping verifier,bf219c3bc79395022a9c8404c8e63cb4804d02b1f80e47361a2a220f5624e5b6
91aa3b77-e23a-46fb-875a-4d32eecbd1cc,count_bits,bit_manipulation,verified_match,16,16,binary popcount,91cf677cb6e670975dce85b59069c2f81f611770a5a925963b7a4c8e730ed97e
8fbc8505-710c-4f12-8f86-caabfdac5ec8,simple_equations,equation_transform,verified_match,96,96,linear equation by finite difference,18da845f95282593bb536d63340eca2b69c131f1cff8c385bfaa5f2faabca2e2
a75496d0-74fd-487c-a4f6-342dc83051bc,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,5b0f61011c36465201764a44b975a24bfa9ee5f6d99aedb3d091e06e0f001130
2edb1569-b53d-488c-a068-26772a916662,base_conversion,numeral_or_bit_support,verified_match,733,733,base conversion parser,b68fccacf9f052ba0cdd94cd17ff727deeae01b96d5f6c7a4de6a7d518586ea3
a1bf9c5b-8f4d-474f-8471-338c71f60607,base_conversion,numeral_or_bit_support,verified_match,370,370,base conversion parser,ee14e1fd092074dbe96e79e5c85f8bfee470fbd6ec059642087b11b4a1ccfce6
1393cba1-b74a-4026-ad99-852c33ad9a8d,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,77cbb0cd445910436c5bf2dab544e7eb28b2993133b9cbf5357768df3625f75e
1957bbdd-d5a1-4a86-8153-d8ac3b72dee4,simple_equations,equation_transform,verified_match,23,23,linear equation by finite difference,cddd3e0051b28767d73fe5d01dcea5b773c9c1d2ac9ecff159c604e1bbb13b5d
81079c8b-f3b4-4878-8a75-3a030596696d,bitwise_arithmetic,bit_manipulation,verified_match,0xbe98340,0xbe98340,safe integer AST,8c5cf0a7db2d9445b8c646bcd54b3ee0e999c8e124175ad91532ac38c7e2f5da
fe706f1c-936f-4e35-8bc4-1e0cce32bddc,number_format,numeral_or_bit_support,verified_match,722921398.625,722921398.625,numeric candidate comparison,5cb9fb501fdb2ebbecb21624631ee7f9c2d08fea1fe2cb7e612d26231ddd9ebb
c3ebd418-7a63-4921-9d5d-2876025ddca9,base_conversion,numeral_or_bit_support,verified_match,851,851,base conversion parser,db30af58588b3207ca9ccc225e0bce651949546e5615928133afe23d85e69218
ed4f7e3e-0285-4005-a0fc-6f0809bad9bc,cryptarithm,equation_transform,verified_match,"A=4,D=1,L=7,O=6,S=9,W=5,X=0,Y=3","A=4,D=1,L=7,O=6,S=9,W=5,X=0,Y=3",provided mapping verifier,d9116d8ea3b20bcd2ba2a34ad8346797f124bffe36702a9f3c31e8510654bdef
ba6200a6-ba90-41bf-bedc-3ad0026e9aa3,count_bits,bit_manipulation,verified_match,13,13,binary popcount,26df581ad5b6ba8a199e96f3eb3e77293ec4ad532918487fdb5c5caf47801d9d
5ad67090-3422-4eb4-9d37-898ecd0cd198,binary_alternation,bit_manipulation,verified_match,2,2,binary alternation swaps,75f86b533b3f81f34989d3ec637a59d95cf14f5abd09ffc72ce2a4c26ccc0163
c33b81f7-4f38-4034-9d60-355b76a9f936,number_format,numeral_or_bit_support,verified_match,148170457.55600002,148170457.55600002,numeric candidate comparison,a177b23aedf9e7438b83ac8f50f77b4813d7b80f118a1c2575dd22845de0db96
69946502-4043-435d-89a7-77f25ad2acd9,count_bits,bit_manipulation,verified_match,16,16,binary popcount,93306df6a05bcf222d096485a73d5bb199198102065e0a982179fe04ad074491
5eb84970-8f3a-42d4-9b9a-b26b8152662e,polynomial_multiplication,equation_transform,unsupported,-238*y**4 - 221*y**3 - 196*y**2 - 182*y,,no local verifier for source,d0652e7439811c131b865b654eace30e04ea0da514f10a4602ac7ecd381e96b3
df87bb91-6390-4fcd-bb18-815e3617ccaf,polynomial_multiplication,equation_transform,unsupported,-7000*z**5 + 3990*z**4 - 2200*z**3 - 646*z**2 + 1083*z,,no local verifier for source,f5fb200e9543a83745f4b6558cfd6d595ba729d155f32ae4b6ceba99704402e2
1d46e395-fb25-48dd-b87e-db6270f6e7e1,number_format,numeral_or_bit_support,verified_match,172432975.139,172432975.139,numeric candidate comparison,7d33d19bc69a87ae505a716d5b629f5cd2439af135d729853902ad694f9a9469
2b789523-dfe0-459a-b8fc-fbc7d38c0039,bitwise_arithmetic,bit_manipulation,verified_match,-0x4ba5,-0x4ba5,safe integer AST,2a01292dc05fdf308657e15d47309ff89e042a7bec4f06f9613c548950b87c4e
b2c9200a-4f29-460d-a90e-abf72291e580,number_format,numeral_or_bit_support,verified_match,202864710.926,202864710.926,numeric candidate comparison,ece3ec6ad9c41c45f9230ceeb64c25bf28c6497d41c6d0498f17a19c5a662561
66258368-5a53-4a78-a713-f18caa9cbd9f,cryptarithm,equation_transform,verified_match,"D=6,M=9,O=7,P=1,S=3,T=2,V=0,X=5","D=6,M=9,O=7,P=1,S=3,T=2,V=0,X=5",provided mapping verifier,4e2cc2d81c9b144d52a8850e80be8f314e165ea33421929c2fb8d4fe99412673
dc8f029c-02b6-4935-a2d3-6d58b49b09ae,bitwise_arithmetic,bit_manipulation,verified_match,0x66e48,0x66e48,safe integer AST,7391ace1ac96eed68822e7b38ef8a07b037a89eaf6ac6878c29f1dae26e98451
578c94f3-385c-4aa8-b45e-e1df7809a7d8,count_bits,bit_manipulation,verified_match,14,14,binary popcount,bc199e2791254ef2e2b92d421144db1d299244fd5888536499c9e4af7e0814ab
eb11c01b-50c8-4695-9de2-2dabbb2eb3f2,base_conversion,numeral_or_bit_support,verified_match,4113,4113,base conversion parser,43a64ad6d10b56117865779b826e2f4b345c568fc6db0fb76c8db7805c31dff2
e89e302d-c828-4182-8f52-fd984ed76e89,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,2c2615570dd60e1f048711031f78932e756fc221e0ec699f87b0b5194d359b3a
01bde5a2-090f-4306-8e46-f5e2925495ad,base_conversion,numeral_or_bit_support,verified_match,30311,30311,base conversion parser,82260cdc92816afe24abc264bb9648029f8e34625878e94ccb19e87d529c2f10
05ff79fe-8606-4079-8531-f9daa5cd3654,binary_alternation,bit_manipulation,verified_match,4,4,binary alternation swaps,b27eb3485d56fa08930cd4910404e57c90b90d15e40f241828bdc51ccd4c4bce
29f40ab1-59b5-4dd9-bd22-feabf2d68fa3,bitwise_arithmetic,bit_manipulation,verified_match,0x2c1d3d728e0,0x2c1d3d728e0,safe integer AST,c6dfcf0782a122caf5ee90009faa5ffb1076add41b002f8cfe3f098ce1a984ef
03ce6a13-4be2-4ea2-b323-d1de6c6a08be,bitwise_arithmetic,bit_manipulation,verified_match,0x948,0x948,safe integer AST,c0e5c12882bf14851bfd014b035d1e360e4f9576d36904aa36066882db718363
b721db23-ea06-4857-87af-a6beaf9df62f,cryptarithm,equation_transform,verified_match,"C=9,D=8,E=7,F=3,T=1,X=5","C=9,D=8,E=7,F=3,T=1,X=5",provided mapping verifier,e73c0fbfa45136c99c71db5025afa4dd730f251648490b98c68d76009a58912e
98264add-fc61-4a4a-a67e-4c34983f3d94,number_format,numeral_or_bit_support,verified_match,550633205.027,550633205.027000,numeric candidate comparison,ea9dc8c0621b26dfb4e684f091246157ba5a442ec4abbe0d1351841967a294f3
48f660fa-58ba-43e2-a4c0-2d165411ac31,cryptarithm,equation_transform,verified_match,"F=2,J=4,K=0,N=8,Q=7,X=9,Z=6","F=2,J=4,K=0,N=8,Q=7,X=9,Z=6",provided mapping verifier,681e8a522f4a2e93871d7601315ac542996d22520cb910e364301add640714fe
2e8f7e26-cc18-4ed8-809d-4e404ac1de3a,base_conversion,numeral_or_bit_support,verified_match,1012022,1012022,base conversion parser,5da307fbb9d866e56ed6f659bebb87a94c51404defe78d812ee98e052159ca84
629f2662-6303-4b8f-b872-aff551218d99,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,49c9f1a97c5434cca7e455f0cd6ea68e1253dd93296b6f77df90402291a38e82
2ccaf9a0-e2d7-41b8-a0f3-8e7b8b9f6d6f,polynomial_multiplication,equation_transform,unsupported,-9834*y**5 + 10132*y**4 + 15193*y**3 - 6596*y**2 - 5723*y,,no local verifier for source,52b5e09a9b2cf8b60feb994cbde003fffe5f92fa200ad8fc4fdbe0035423d41d
5080d96c-9c78-4a7d-8fe5-3ef6b02614d9,polynomial_multiplication,equation_transform,unsupported,-26880*x**6 - 425040*x**5 - 1473100*x**4 - 158720*x**3 - 506680*x**2 + 174150*x,,no local verifier for source,d143d82bae5c269d7664249915c0571bb88f928b327a7e2a52a184090bfddbb9
435e22ae-48f1-491b-8587-16bcbe4722b2,bitwise_arithmetic,bit_manipulation,verified_match,0x1dbcf665,0x1dbcf665,safe integer AST,845931ae13e4580865218580b3f9a3d5bf0a25c19bbd04826dbd9f19faa2be98
a8f8983d-711b-445d-979e-eae4402a5a7e,bitwise_arithmetic,bit_manipulation,verified_match,0x2d5e2e47d10,0x2d5e2e47d10,safe integer AST,781c14e900db82cf0b26c8ef0a7d0b89abe273033ff4a48c9520511b6e2bd37d
ccd51613-89a2-4b36-a63e-ee041651d3b2,cryptarithm,equation_transform,verified_match,"F=3,G=5,L=1,O=2,R=6,S=8,T=7,W=4,Z=9","F=3,G=5,L=1,O=2,R=6,S=8,T=7,W=4,Z=9",provided mapping verifier,65d074e10491e5a9d773977c8d503cdcd6aff90f9e9cb3e24cf7ea6381bbdf0d
cf277c69-ddff-48ac-81bf-78775b366e45,base_conversion,numeral_or_bit_support,verified_match,125,125,base conversion parser,21dcaccce5b24411d12e97dd12b53aba3aaff88093b6ddd1831a8fa95520a7d6
7633f31d-f7c7-4783-86c6-8909d7b5ef32,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,d42652cff9051bf7b58c462d21a535802752d16841f8d1bf3e23c657bce22a50
89c77a54-8685-4316-9193-867ebe213446,bitwise_arithmetic,bit_manipulation,verified_match,0xe8b,0xe8b,safe integer AST,5267e12640feb71ec4be0f8b0f56faa099e34088a311d0e9af6b1f69c474f942
dffd97ab-c033-489b-a61b-5dd87af90d22,number_format,numeral_or_bit_support,verified_match,700062962.974,700062962.974,numeric candidate comparison,31f2694d6b6dfa6853787d2de2304474cdfd2e9ad2d6655f09db662cca57ba93
46961d32-ced1-4373-ba6a-e8809f574e0c,cryptarithm,equation_transform,verified_match,"C=0,E=8,G=7,I=1,L=2,Q=3,T=5","C=0,E=8,G=7,I=1,L=2,Q=3,T=5",provided mapping verifier,94ff66b77341238b25d17aaa6d6631cb1ed51662d4728b2d51583cbfce1348cf
545800c6-945e-46dc-b9c0-156b8142e8d3,number_format,numeral_or_bit_support,verified_match,625372035.67,625372035.67,numeric candidate comparison,1fd0a5891c9ad748724818a4ac6807fb2bb0e27e4bf82306708188cbac7278d7
ae7562e9-1773-40a4-ae5b-e092e18f81d1,circuit_logic,bit_manipulation,unsupported,0,,no local verifier for source,7cd583528c0ae14d3855fa65a425ca749eeaf70a8a9a38470ac77f2fa3660e48
e4bc9974-6dca-427b-b49a-9dbad1c2a63e,cryptarithm,equation_transform,verified_match,"C=9,L=1,M=5,N=4,S=0,X=6,Y=2,Z=3","C=9,L=1,M=5,N=4,S=0,X=6,Y=2,Z=3",provided mapping verifier,0d87edad03afa38600f456fd8699f02ae2b03436d309c087e3b6ca1326458970
fde2d7e9-4bc9-4adc-8d6d-70fb237f52bd,simple_equations,equation_transform,verified_match,37,37,linear equation by finite difference,353e6df58cc1e6db41c51ef010eebeb05697656e6fa9054bb133584fd35e44ea
fd67e8e8-17ba-4914-b8fa-60b2237c5447,simple_equations,equation_transform,verified_match,37,37,linear equation by finite difference,3bd0756743e5eb4bc712bf2e1fcebd03bd4cbb8583c4a014cc41fa1500a8c337
31bdff47-8036-4020-9092-d6ef2ec61250,base_conversion,numeral_or_bit_support,verified_match,1454,1454,base conversion parser,03a1224c56fe1180564e70507cb7484906787fa37355f4da0a49bc2715867fcb
0c537b6f-5624-43bc-bf0a-61d9ce181deb,count_bits,bit_manipulation,verified_match,11,11,binary popcount,c852b47459b1912269e51b407ae921a8edac3c1c4cdf34bc9e9e54c72888dc17
520367e0-b5d3-4f49-a708-2c957cf66b81,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,603cd38e856661fc21e5bc0c5d230cc66c4a642deb87e2e6b4311064cd4e1393
e4074be2-836e-402e-8356-0be5fb140439,bitwise_arithmetic,bit_manipulation,verified_match,0x99a,0x99a,safe integer AST,6d89fa3ad96bcf63ccabc07e5dcf9d476345d89332f23698e3e0867221248b03
70f2288f-ce6f-4198-924d-73e2fa881b83,number_format,numeral_or_bit_support,verified_match,389460731.051,389460731.051,numeric candidate comparison,b7d73c95e6c8e42868e5a4b2fa0982f7163b995c99e5c5091423d1464108393f
a42a6196-e10f-48d8-88b4-bdfd635e8ce8,circuit_logic,bit_manipulation,unsupported,0,,no local verifier for source,f5aa74919ac5134afd1d4631b00274411c558b3fe600ab3cce958ab74573147f
b0a72305-4b37-4dc7-9c1c-62c73d5b165e,bitwise_arithmetic,bit_manipulation,verified_match,0xcbba,0xcbba,safe integer AST,85e8d093ca31f4adb4253b92c2c094b2f6eb2a5b2a3dbe817304a084d682d39a
5585218b-7049-4b9e-bd9d-05e8a74a5836,bitwise_arithmetic,bit_manipulation,verified_match,0x81951d5c,0x81951d5c,safe integer AST,c500c22d4c4c115d1e9836b406c24f10d83df4861cccaf5136b77b4c2d615741
94a2bd9c-f47c-4256-bccc-5d63b2df798b,polynomial_multiplication,equation_transform,unsupported,-2490*z**5 - 2843*z**4 + 4683*z**3 - 447*z**2 - 4888*z - 581,,no local verifier for source,ac18ea0524388b31ab8340711110dd41cec2e2e7f86274ab682a67428ca69d98
8700caf1-7286-4ad3-998d-0de2deb9cde5,base_conversion,numeral_or_bit_support,verified_match,27a,27a,base conversion parser,d23f5af8a9231071b2dfd7397978ae679abdd6bec53f21aae796d1fd929ed395
bce3c873-4fee-4204-a8fd-f090ba940d35,binary_alternation,bit_manipulation,verified_match,4,4,binary alternation swaps,3ff5114d7e8a5d9b5e29f6030356aafefdfe522a0b7cede7139fb8671108d947
c10203be-75d2-4123-bd03-e3d8be6ed403,number_format,numeral_or_bit_support,verified_match,259613795.192,259613795.192,numeric candidate comparison,c57e6fe2885502ff95f1115c15026c6e662443a98fd36273ade12b34486e0426
a9c16241-90fc-4ac0-9cb2-08e379377267,simple_equations,equation_transform,verified_match,8,8,linear equation by finite difference,e4773413af63b75e7c42d5f539dcf8d5b6c00420966c37ede59817d9832bb656
ec42563c-25e6-4f40-a002-c6c046033a57,polynomial_multiplication,equation_transform,unsupported,-4408*y**6 - 2668*y**5 + 3588*y**4 + 2944*y**3 + 1408*y**2,,no local verifier for source,25be054dc6889093e07f173b0e77eb1cac9e201e733d26950142a26c66fddd96
43c2c984-5d7a-47bc-b922-bef3ee2bf217,simple_equations,equation_transform,verified_match,39,39,linear equation by finite difference,0737f27326b81de4888a1b839c97cb7983f24c7c915fe82fcca6e148d8f06491
c0eea359-f215-479b-86e1-bb0adb3e5dba,bitwise_arithmetic,bit_manipulation,verified_match,0x76a78,0x76a78,safe integer AST,f8ffdfc87195564cd609f2c2df496ade0e2095dc84fd9bd13464f7e2ee2fa91c
c7fbeac0-5e86-4357-8a91-48b7e4d36610,simple_equations,equation_transform,verified_match,12,12,linear equation by finite difference,f43c345ecfadaac4f75db9d9f27c4ac9311bb38a732ccd744fdba707f1a36748
8ade68a7-2a47-459e-b4bd-1c4644fffc0c,count_bits,bit_manipulation,verified_match,13,13,binary popcount,acaf81b268e433793af9b68e028bbc5ec3a720620c329ec232676a307a1ba366
ff4cbe4d-2155-468d-b4e2-044b0a01e351,bitwise_arithmetic,bit_manipulation,verified_match,0xb2bc,0xb2bc,safe integer AST,49ccff252a2ddf181b3f8f1dec4f406b21a5dd528397abfea53e8142f1993225
d599c582-62af-4dfe-9beb-09b4c6799e32,binary_alternation,bit_manipulation,verified_match,7,7,binary alternation swaps,8d88142940907a41b231f09f91360f74a666dba3e07354e23d1003bfcad9a028
b9da8b22-88fb-413d-b137-769625352833,cryptarithm,equation_transform,verified_match,"B=4,E=7,G=1,H=0,P=3,R=8","B=4,E=7,G=1,H=0,P=3,R=8",provided mapping verifier,9269fbfc5f0be8893630a3a84cdc9d1ec4dc578424348844ce696054cf0b6eda
c86101d3-dd89-41fe-893e-10c8cf02ed7f,simple_equations,equation_transform,verified_match,28,28,linear equation by finite difference,8b88061f4bfd8d4d87a9544a878609475d2522e10a8379a2cc15085b8823cbbe
dffcbc63-e398-4aab-8631-ab945d859239,circuit_logic,bit_manipulation,unsupported,0,,no local verifier for source,82cd2474bafe4cf60efe860ad1ff4ff928037a8dcfec616454a0d11038bb5fd5
e7ddcbf4-8ba6-462c-ac67-d2b28cedb38a,polynomial_multiplication,equation_transform,unsupported,6804*z**6 + 4032*z**5 - 7476*z**4 - 4704*z**3,,no local verifier for source,57dbfea43ba2d5b029fa7b3d84af9671c5a3d3f58689fa45854d8fb49361f1fa
02e6258b-2359-408b-bd8c-3badf160b2e2,cryptarithm,equation_transform,verified_match,"A=3,B=1,E=2,G=4,K=0,L=5,R=9","A=3,B=1,E=2,G=4,K=0,L=5,R=9",provided mapping verifier,192dd6964c30a2cc4c4937f23903e22c76459ffd4d5bd03eb420a955f0f0d99c
b45e1fb3-0fdb-416d-811e-334f336e0c39,bitwise_arithmetic,bit_manipulation,verified_match,0xaf5a,0xaf5a,safe integer AST,660ec0cd0037be20cf05b0a6c6e13434605f69d698430b29f0f3a28e6bd98b3b
e878c4b7-613d-445e-ad55-3d629635b762,count_bits,bit_manipulation,verified_match,19,19,binary popcount,8f7a64857d3adf7bd120eaf3cebd948c79694a8e6c8e66bc404aa4949f2b9c52
1c99e455-e6ee-4bdc-895d-8c6a363e2a71,count_bits,bit_manipulation,verified_match,14,14,binary popcount,b59249dce2b29da9dbc186014b0bc9dea497c49f93df8e8f100e144627b403bc
e4945525-2be7-44e5-931a-df3a2aae1173,base_conversion,numeral_or_bit_support,verified_match,1106,1106,base conversion parser,e51c920461d4d1230ca47b33ccafdca36fcbd2ac9b50312433001419902bcc6a
4a06cbff-1399-4895-b829-b9fdc2081030,polynomial_multiplication,equation_transform,unsupported,-10184*y**3 + 8710*y**2 + 670,,no local verifier for source,8146ed041cacdfd241f90fb32ff15464590c83cfbdbe53a5407ed9292a1e4764
3ec17165-21f9-4dfb-a9eb-f1fe79bf6cca,bitwise_arithmetic,bit_manipulation,verified_match,0x8b7a0,0x8b7a0,safe integer AST,40270ac5dc947e967089cf04b8ef8a80e7c8aca8ec70cb2c0c0b1cb4da666ea9
d99c2dd2-a355-403a-86bf-5b3cec3aa8ad,polynomial_multiplication,equation_transform,unsupported,4230*z**5 - 9400*z**4 - 3825*z**3 + 4740*z**2 + 3400,,no local verifier for source,67b94e4d11c2ea5d622d7d2b0b4dd6692a5140104496b7cbff74a00e33576ed4
d7daf2af-0557-41ed-83d6-8d529aa0f7ca,count_bits,bit_manipulation,verified_match,13,13,binary popcount,345e5afeff555d09b3ccef6cb1247313f4912de7f7b5af90d9496061e7ef17e4
a12383d5-01ef-4bd0-97fe-bbf2205e23e1,simple_equations,equation_transform,verified_match,69,69,linear equation by finite difference,8066242f27efe54761329b05f91eb9fe14d60cb7ab77ed92c81fedab37b2848f
977aa206-9217-4816-aa1f-843722879f0c,circuit_logic,bit_manipulation,unsupported,1,,no local verifier for source,2db2918feb1182f78bf8bec2ed83df721fea6ed1e510687c129ff07199626b25
