ref,title,author,last_run_time,total_votes,pull_status,high_value_score,keyword_counts_json,snippet_hits_json,data_sources_json,pull_tail
rauffauzanrambe/lora-adapter-fusion-and-rank-compression-pipeline,LoRA Adapter Fusion and Rank Compression Pipeline ,Ra'uf Fauzan Rambe,2026-05-05 03:34:45.130000,51,pull_failed,0,{},[],[],"[Errno 2] No such file or directory: 'artifacts\\v453_public_kernel_mining\\20260515T_cpu_mining\\_pull_tmp\\011_rauffauzanrambe__lora-adapter-fusion-and-rank-compression-pipeline\\lora-adapter-fusion-and-rank-compression-pipeline.ipynb'
"
ulyanovantonamaranta/nemotron-tinker-adapter-repro,Nemotron Tinker Adapter Repro,Amaranta,2026-05-05 10:55:13.973000,43,ok,0,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 0, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\012_ulyanovantonamaranta__nemotron-tinker-adapter-repro
"
matthewblakeward/steinifrank,SteinIFrank,Matthew Blake Ward,2026-05-14 16:59:15.697000,13,ok,13,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 3, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 10, ""equation_numeric"": 4, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 2, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 4, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""('bit_manipulation', [r'bit', r'xor', r'and\\b', r'or\\b', r'rotate', r'mask', r'binary', r'hexadecimal', r'0x']),"", ""('equation_numeric', [r'equation', r'function', r'f\\(', r'solve for', r'deduce', r'guess', r'sequence', r'pattern']),"", ""return 'equation_numeric'"", ""'bit_manipulation': lambda p, a: bit_negatives(a) + numeric_negatives(a),"", ""'equation_numeric': equation_negatives,"", ""'bit_manipulation': 1.50,"", ""'equation_numeric': 1.35,"", ""print(f'[deps] local resolver attempt: {package} from {d}')"", ""print(f'[deps] OK via local resolver: {import_name}')"", ""target_modules = discover_lora_targets(model)""]","[""\""\"""", ""\""\"""", ""\""\"""", ""\""anhtran10/lo-dataset\"""", ""\""tahaalam2009/nemotron-0-90\"""", ""\""michaelkong537/wheel-linux\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""huikang/nemotron-adapter/Transformers/modal/6\"""", ""\""somisettyjitendra/ssm/PyTorch/default/1\"""", ""\""sanbgi/mamba\"""", ""\""mayukh18/unsloth-sft-full-data-training\"""", ""\""mayukh18/nemotron-packages-download\"""", ""\""severiandev/koboldcpp-notebook\"""", ""\""adityaghai01/nemotron-adapter-via-kaggle-agent-ps-0-66\"""", ""\""\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\013_matthewblakeward__steinifrank
"
eslamelokpy/tinker-adapter,Tinker Adapter ,Eslam Elokpy,2026-05-08 12:59:40.790000,15,ok,0,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 1, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\014_eslamelokpy__tinker-adapter
"
rauffauzanrambe/lora-nvidia-nemotron-models-with-pytorch,LoRA Nvidia Nemotron Models with Pytorch,Ra'uf Fauzan Rambe,2026-05-08 01:11:19.637000,25,ok,8,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 0, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 8, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""* target_modules=[\""q_proj\"", \""k_proj\"", \""v_proj\"", \""o_proj\"", \""gate_proj\"", \""up_proj\"", \""down_proj\""]"", ""* target_modules=\""all-linear\"""", ""* target_modules=[\""in_proj\"", \""x_proj\"", \""dt_proj\"", \""out_proj\""]""]","[""\""kienngx/nemotron-nano-30b-trained/Transformers/600-samples-packing-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/2400-1e-4_lr-all_linear-packingfalse/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-lora-rank32-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/cot-labels-3000samples/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-32/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/9500s-batch1-lr1e-4/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-5e-5/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\015_rauffauzanrambe__lora-nvidia-nemotron-models-with-pytorch
"
meenalsinha/glyphmatics,Glyphmatics ,Meenal Sinha,2026-05-08 18:27:07.443000,16,ok,2,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 4, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 2, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""model_state_shapes, peft_weights, target_modules, profile"", ""A._add_peft_weight(peft_target_key, merged_lora_A, merged_lora_B, peft_weights, target_modules)""]","[""\""\"""", ""\""einherjer/mamba-ssm-and-causal-conv1d-wheels-for-rtx\"""", ""\""michaelkong537/wheel-linux\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\016_meenalsinha__glyphmatics
"
mohamedamr992/0-86-adapter-packaging-workflow,0.86 Adapter Packaging Workflow,Mohamed Amr992,2026-05-09 18:12:26.093000,1,ok,0,"{""0.85"": 0, ""0.86"": 1, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 1, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\017_mohamedamr992__0-86-adapter-packaging-workflow
"
toney02/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,Toney02,2026-05-10 04:29:47.717000,4,ok,0,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\018_toney02__nvidia-nemotron-model-notebook
"
afr1ste/nemotron-0-86-tinker-adapter-guide,Nemotron 0.86 Tinker Adapter Guide,Afr1ste,2026-05-10 18:24:47.407000,11,ok,6,"{""0.85"": 2, ""0.86"": 10, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 1, ""lm_head"": 3, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 3, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""| Sluitel broad adapter with best `lm_head` fill | 0.62 | Structural compatibility alone is not enough |"", ""| Error1249x broad adapter with best `lm_head` fill | 0.59 | Another valid but task-misaligned broad adapter |"", ""For this baseline, the important signs are a broad LoRA target set, rank 32, alpha 32, and root-level adapter files. The target modules include both attention projections and expert/feed-forward projections, plus `lm_hea"", ""'target_modules': config.get('target_modules'),"", ""modules = config.get('target_modules') or []""]","[""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\019_afr1ste__nemotron-0-86-tinker-adapter-guide
"
suryamilenial/end-to-end-finetuning-for-lb-0-83-6e2fa5,End-to-end finetuning for LB 0.83 6e2fa5,Surya milenial,2026-05-11 10:01:40.730000,23,ok,25,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 2, ""huikang"": 8, ""lm_head"": 20, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 3, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""TARGET_MODULES = ["", ""\""lm_head\"","", ""target_modules=TARGET_MODULES,"", ""# ── Manually add lm_head LoRA (Unsloth drops it for MoE) ─────────"", ""_lm_head = _causal_lm.lm_head"", ""if not isinstance(_lm_head, LoraLinear):"", ""target=_lm_head,"", ""target_name=\""lm_head\"","", ""print(\""Manually added LoRA to lm_head\"")"", ""print(\""lm_head already has LoRA\"")""]","[""\""huikang/huikang-nemotron-repository-snapshot\"""", ""\""mayukh18/nemotron-packages\"""", ""\""llkh0a/rtx-wheels\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\020_suryamilenial__end-to-end-finetuning-for-lb-0-83-6e2fa5
"
suryamilenial/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,Surya milenial,2026-05-13 14:25:50.187000,5,ok,2,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 1, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 1, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""config[\""target_modules\""]=[\""q_proj\"",\""v_proj\"",\""k_proj\"",\""o_proj\"",\""experts.mlp.w1\"",\""experts.mlp.w2\"",\""experts.mlp.w3\"",\""shared_expert.w1\"",\""shared_expert.w2\"",\""shared_expert.w3\""]"", ""config[\""modules_to_save\""]=[\""lm_head\"",\""embed_tokens\""]""]","[""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\021_suryamilenial__nvidia-nemotron-model-notebook
"
safar1/lb-score-0-86,[LB] [SCORE] [0.86],Safarbek,2026-05-13 15:35:55.467000,7,ok,0,"{""0.85"": 0, ""0.86"": 1, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 2, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""mayukh18/nemotron-packages\"""", ""\""konbu17/nemotron-sft-lora-cot-selection\"""", ""\""dennisfong/nvidia-nemotron-offline-packages\"""", ""\""rubyducklove/nvidia-cutlass\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/2400-1e-4_lr-all_linear-packingfalse/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/600-samples-packing-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-lora-rank32-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/cot-labels-3000samples/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-32/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/9500s-batch1-lr1e-4/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-/1\"""", ""\""andreasbis/aimo-3-utils\"""", ""\""huikang/nvidia-nemotron-all-linear\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\022_safar1__lb-score-0-86
"
markjcooper/thk-public-fork-2026-05-14-v14-tinker-adapter,THK public fork 2026-05-14 (v14 tinker-adapter),Mark Cooper,2026-05-14 10:37:03.837000,23,ok,8,"{""0.85"": 0, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 0, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 8, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""* target_modules=[\""q_proj\"", \""k_proj\"", \""v_proj\"", \""o_proj\"", \""gate_proj\"", \""up_proj\"", \""down_proj\""]"", ""* target_modules=\""all-linear\"""", ""* target_modules=[\""in_proj\"", \""x_proj\"", \""dt_proj\"", \""out_proj\""]""]","[""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1800s-lora-rank32-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/1e-5-batch-2-workers-8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/grad-accum1-workers8-maxlen-4096-lr1e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/2400-1e-4_lr-all_linear-packingfalse/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/600-samples-packing-false/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/tinker-adapter/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/cot-labels-3000samples/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Triton/batch2-lr1e-workers8/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/1200samples-cot-5e-5/1\"""", ""\""kienngx/nemotron-nano-30b-trained/Transformers/9500s-batch1-lr1e-4/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\023_markjcooper__thk-public-fork-2026-05-14-v14-tinker-adapter
"
huikang/tinker-submission-notebook,Tinker submission notebook,Tong Hui Kang,2026-04-14 07:42:19.977000,467,ok,10,"{""0.85"": 2, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 2, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 4, ""equation_numeric"": 4, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 6, ""lm_head"": 3, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 1, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""trained_adapter_config[\""target_modules\""] = ["", ""\""lm_head\"","", ""# # Skip lm_head (not in reference adapter)"", ""# if \"".lm_head\"" in base:"", ""# bit_manipulation"", ""# equation_numeric_deduce"", ""# equation_numeric_guess""]","[""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""huikang/nemotron-adapter/Transformers/default/26\"""", ""\""huikang/nemotron-adapter/Transformers/default/20\"""", ""\""metric/nvidia-metric-utility-script\"""", ""\""huikang/nvidia-nemotron-all-linear\"""", ""\""ryanholbrook/nvidia-utility-script\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\024_huikang__tinker-submission-notebook
"
jiazhuang/nemotron-local-cv,nemotron local cv,Zhuang Jia,2026-05-14 12:55:31.167000,18,ok,0,"{""0.85"": 2, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 0, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}",[],"[""\""\"""", ""\""jiazhuang/nemotron-val-set-950\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""metric/nvidia-metric-utility-script\"""", ""\""\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\025_jiazhuang__nemotron-local-cv
"
huikang/adapter-validation-notebook,Adapter validation notebook,Tong Hui Kang,2026-04-12 19:06:09.760000,285,ok,3,"{""0.85"": 1, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 1, ""bit_manipulation"": 1, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 2, ""equation_numeric"": 2, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 4, ""lm_head"": 0, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 0, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""return \""bit_manipulation\"""", ""return \""equation_numeric_deduce\"""", ""return \""equation_numeric_guess\""""]","[""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\"""", ""\""metric/nvidia-metric-utility-script\"""", ""\""ryanholbrook/nvidia-utility-script\"""", ""\""huikang/tinker-submission-notebook\"""", ""\""huikang/adapter-validation-notebook\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\026_huikang__adapter-validation-notebook
"
dgxchen/training-with-unsloth-to-achieve-0-85-lb,Training with Unsloth to Achieve 0.85 LB,dz,2026-04-25 02:13:56.293000,350,ok,5,"{""0.85"": 3, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 0, ""huikang"": 1, ""lm_head"": 1, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 4, ""tong"": 7, ""train_curated"": 0, ""verifier"": 0}","[""In this version, training on **\""lm_head\""** in target_modules has been **removed**. At the same time, the microbatch size has been reset to **1**. In my experiments, increasing the microbatch size to 2 reduced training ti"", ""target_modules = ["", ""target_modules=target_modules,""]","[""\""mayukh18/nemotron-packages\"""", ""\""dgxchen/nemotron-cot-tong\"""", ""\""dennisfong/nvidia-nemotron-offline-packages\"""", ""\""rubyducklove/nvidia-cutlass\"""", ""\""dgxchen/trained-adapter\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\027_dgxchen__training-with-unsloth-to-achieve-0-85-lb
"
huikang/end-to-end-finetuning-for-lb-0-85,End-to-end finetuning for LB 0.85,Tong Hui Kang,2026-04-25 04:51:03.970000,299,ok,25,"{""0.85"": 1, ""0.86"": 0, ""0.87"": 0, ""bit manipulation"": 0, ""bit_manipulation"": 0, ""bitsum"": 0, ""bitwise"": 0, ""cryptarithm"": 0, ""equation_numeric"": 0, ""equation_transform"": 0, ""gate_up_proj"": 2, ""huikang"": 9, ""lm_head"": 20, ""postprocessor"": 0, ""reasoning-gym"": 0, ""sft_train"": 0, ""sft_val"": 0, ""solver"": 0, ""stride"": 0, ""symbol_transform"": 0, ""target_modules"": 3, ""tong"": 0, ""train_curated"": 0, ""verifier"": 0}","[""TARGET_MODULES = ["", ""\""lm_head\"","", ""target_modules=TARGET_MODULES,"", ""# ── Manually add lm_head LoRA (Unsloth drops it for MoE) ─────────"", ""_lm_head = _causal_lm.lm_head"", ""if not isinstance(_lm_head, LoraLinear):"", ""target=_lm_head,"", ""target_name=\""lm_head\"","", ""print(\""Manually added LoRA to lm_head\"")"", ""print(\""lm_head already has LoRA\"")""]","[""\""huikang/huikang-nemotron-repository-snapshot\"""", ""\""mayukh18/nemotron-packages\"""", ""\""llkh0a/rtx-wheels\"""", ""\""metric/nemotron-3-nano-30b-a3b-bf16/Transformers/default/1\""""]","Source code and metadata downloaded to artifacts\v453_public_kernel_mining\20260515T_cpu_mining\_pull_tmp\028_huikang__end-to-end-finetuning-for-lb-0-85
"
