id,expected,reference_answer,current_answer,reference_correct,current_correct
6c41978b,10010111,10010111,00100010,True,False
6cface63,10010000,10010110,10010000,False,True
6cfe5536,01000010,01000110,01000010,False,True
6e2311e1,10000000,10000100,10000000,False,True
6e714f65,00000000,00110110,00000000,False,True
751d48a2,00100000,00100000,00100001,True,False
7596e86d,01111110,01111110,00001110,True,False
75cd12f1,00011110,10011110,00011110,False,True
77602e0f,11001101,11001101,11001010,True,False
78db4aa3,11011011,11011011,11011101,True,False
796c8b63,11111101,11111111,11111101,False,True
7973c1b7,11000111,11000111,11000110,True,False
7b4ac17a,11010101,11010101,11010100,True,False
7c6950c4,01000111,01000111,01000001,True,False
7c99ca45,10100000,10100100,10100000,False,True
7e577681,11101011,11101011,10100010,True,False
7f73016f,01010110,01010110,01010010,True,False
81068064,00111001,00111001,00111011,True,False
81522f20,00000010,01110010,00000010,False,True
8171f73c,00000001,00000001,00000010,True,False
8243c91e,01000101,01000101,00000001,True,False
83a70d48,00000100,00000100,00000000,True,False
840050ec,10001010,10001010,00001010,True,False
84b4b07b,10111111,10111111,01001000,True,False
855b5480,01111010,01111010,00111010,True,False
859a3ca8,00111110,00111110,00011011,True,False
8740ed31,01101000,01101000,00001010,True,False
8a89300d,10001001,10001011,10001001,False,True
8c0f9291,00001111,00001111,00000111,True,False
8d90150c,10101000,10101010,10101000,False,True
8e7952cc,00000100,00000100,00000000,True,False
8e99c51c,00000000,00000010,00000000,False,True
8f52b3de,10010001,10010000,10010001,False,True
9124295a,01010101,01010101,01010100,True,False
938b81c2,01111111,01111111,00111111,True,False
939273d7,11100110,11100110,11100010,True,False
97b03b75,11000110,11000110,11000100,True,False
97f45beb,11011111,11011111,10011111,True,False
98e1a8b4,01111110,01111110,01110110,True,False
9adc9406,10110000,10110100,10110000,False,True
9b9b87e3,01110111,01110111,01100010,True,False
9d09171e,01011111,01011111,01010100,True,False
a0847120,10000111,10000111,11000111,True,False
a0ffbfd2,11000111,11000111,11001111,True,False
a521be72,11011111,11011111,11011110,True,False
a60c36ec,11101110,11101110,01101010,True,False
a84ac590,11111110,11111110,10100100,True,False
ab0eee3d,00010111,00010111,00010011,True,False
abb9c33a,01111100,01111100,01101110,True,False
abda193b,11001111,11001111,11001010,True,False
ad7edc85,11010100,11010100,11010110,True,False
ada01a20,10000000,10000010,10000000,False,True
ae566562,11111001,10111001,11111001,False,True
b158ab98,00000001,10000001,00000001,False,True
b3a9b053,10000100,10000100,00000100,True,False
b4229b4a,11111011,10111011,11111011,False,True
b45003a6,00110110,10110110,00110110,False,True
b4549ab9,10110011,10110011,10111000,True,False
b6e4a36d,01011111,01011111,00011111,True,False
b72f6f48,11010111,11010111,10010111,True,False
b79f2b10,00100001,00100011,00100001,False,True
b80795b4,00010000,00010000,00010010,True,False
b8dcc19a,10101001,10101001,10101000,True,False
b8e0c853,10011010,10011010,10011011,True,False
b9e7c7c4,00000000,00000001,00000000,False,True
baf66f84,10111010,10111010,10110000,True,False
bb91177f,00110111,01111111,00110111,False,True
bbf1dba3,11010010,11010010,11010011,True,False
bc19cd14,11010110,11010110,11000110,True,False
bdb72adf,11001000,11001000,11001010,True,False
bdb93228,11111101,11111101,01011101,True,False
bf20f12c,10110110,10110110,10010011,True,False
bfca784f,11011111,11011111,11000001,True,False
c095f799,10011111,10011111,10011110,True,False
c628dd06,10010110,10010110,00010110,True,False
c7be75f8,01000000,01000000,00000000,True,False
ca8d32e6,10001100,10001100,11101100,True,False
cb11a232,11111111,11111111,11010011,True,False
cb239867,10000011,10001011,10000011,False,True
cf447906,10000111,10000111,10000100,True,False
d26f22c3,11101100,11101100,11101000,True,False
d2fc4490,01010110,01010110,00010000,True,False
d408af38,10000011,10000011,10000010,True,False
d6187157,01001000,01001000,00001000,True,False
d7cd3375,01101111,01101111,01001100,True,False
d7dea2ba,00000000,00000100,00000000,False,True
d8e070fa,11111011,11111011,11111010,True,False
d9ce7d0d,00000111,10110111,00000111,False,True
d9da2a54,00011001,01011001,00011001,False,True
daf04fee,11110101,11111111,11110101,False,True
dbb789cc,10101101,10101001,10101101,False,True
dd900b68,11111111,11111111,11111110,True,False
dd9ee40c,11111011,11111011,11111111,True,False
e099a43a,01111110,01111110,01011101,True,False
e0d92248,00000000,00000000,00000001,True,False
e11c9f89,00111011,00111011,00111010,True,False
e24c8980,01111011,01111011,01111001,True,False
e3590284,11111111,11111111,11111110,True,False
e5a5fdef,11001011,01111111,11001011,False,True
e5b3f73b,10111011,10111011,00000001,True,False
e5d0d497,01101101,01101101,01100100,True,False
e5e3c22b,00100000,00100010,00100000,False,True
e612387f,01011001,01011001,00010000,True,False
e80d8872,00000111,00000111,00000110,True,False
e8970401,00011111,01011111,00011111,False,True
e89851b9,01001101,01001101,01001000,True,False
ea2e88ca,00110111,00110111,00110000,True,False
ea3f72ee,11010010,11010010,11010000,True,False
ea5def07,11111111,11111111,11111101,True,False
ea67a727,10100011,10100011,10100000,True,False
eb20ea88,00110000,01110000,00110000,False,True
eb252a80,01110011,01110011,00111111,True,False
ec46d596,10111111,11111111,10111111,False,True
eea91b82,00101111,00101111,00101110,True,False
ef2fe526,01011010,01011011,01011010,False,True
efb39cd2,10011000,00011000,10011000,False,True
f05dc9a6,00001100,00001100,00000100,True,False
f15c5106,00001110,00001110,00001000,True,False
f1c1ed58,01111111,01111111,01101000,True,False
f20bf656,10100000,10100010,10100000,False,True
f3cdeb29,01101110,01101110,01101100,True,False
f417b927,10100011,10100111,10100011,False,True
f62c1fa3,00110110,00110110,10111011,True,False
f8f4c3b4,10001101,10101101,10001101,False,True
fa6f754d,11000000,11111000,11000000,False,True
face5252,11001110,11001110,00001000,True,False
fbdf7656,10100100,10100100,10000000,True,False
