answer,baseline_correct,baseline_prediction,candidate_correct,id,prediction,prediction_sources,status
30,False,3,False,d1bd7478,,[],abstain
35,True,35,False,21519be7,,[],abstain
251,True,251,False,7306613b,,[],abstain
'>&,False,{>?#,False,fba40625,,[],abstain
/#</,True,/#</,False,9aa8dc92,,[],abstain
134,False,35,False,c5b058d6,,[],abstain
66,True,66,False,b4342b90,,[],abstain
<>\>,False,"<:{""",False,837a6ae7,,[],abstain
!&&},False,|&$|,False,d0e1010b,,[],abstain
04`,True,04`,False,34c563c5,,[],abstain
341,False,55,False,5a0d5d2a,,[],abstain
4443,False,4,False,5a9fcf68,,[],abstain
-/#,False,&#!,False,6e56b39a,,[],abstain
/|',False,!&&&,False,a5f1991c,,[],abstain
">""(",False,"\""]",False,c7aae192,,[],abstain
113,False,16,False,e4cc7639,,[],abstain
"/""",False,`@>``,False,844f826c,,[],abstain
66,True,66,False,b69391b8,,[],abstain
??{`,False,#?&`,False,8193e7e0,,[],abstain
-!#,False,"""{!""",False,5bcb572e,,[],abstain
-52,True,-52,False,8c1529e1,,[],abstain
<?/,False,>}][?,False,cdec898a,,[],abstain
5913,True,5913,False,44398869,,[],abstain
$(%,False,::{[,False,edf364da,,[],abstain
3,True,3,False,339149c9,,[],abstain
:/$^,True,:/$^,False,c7844441,,[],abstain
-25,True,-25,False,21261dc6,,[],abstain
611,True,611,False,4dbec546,,[],abstain
`?\!,False,@?`?,False,0e009c6d,,[],abstain
>\:,False,>!!/,False,b4b73143,,[],abstain
2271,False,10,False,861cb154,,[],abstain
:<],False,?>>>,False,90feb0c5,,[],abstain
-01,True,-01,False,c541eb82,,[],abstain
:>,False,"$""\[""",False,b9f1d959,,[],abstain
^,False,"\boxed({""'|})",False,ca5db1c0,,[],abstain
[,False,"""]'/",False,9f1ff166,,[],abstain
%[:?,False,\{<?,False,432b1110,,[],abstain
100,True,100,False,f333b67f,,[],abstain
/@,False,[}}\,False,f7d26b8d,,[],abstain
%/<>,True,%/<>,False,8e56a42e,,[],abstain
2976,False,65,False,20f0fac9,,[],abstain
){|,False,"""%]%{""",False,26e48e98,,[],abstain
[#>#,False,!##^,False,5501c054,,[],abstain
87,False,37,False,ea6d926a,,[],abstain
