id,answer,baseline_prediction,baseline_correct,candidate_prediction,candidate_correct,changed,already_known_v414,status,reason,scope,alphabet_name,support_rows,program_count,program_label
274def88,92,-92,False,,False,False,True,abstain,not_punctuation_len5_query,,,,,
03a3437f,-!,'}>/,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
30ac5c8e,)#?,@\}?,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
08d8d7e1,88,88,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
ff121f08,#<,!%<<,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
42cb233d,881,881,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
ec8b4875,"|""]",|@<!,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
e3fbc768,'(^),{%??,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
6cc5dafb,)(,^&>),False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
d5a03a2e,>>,""")&&",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
8bebef83,3388,3388,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
27cec7a9,3341,3341,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
4aeed935,1455,1455,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
fb623471,-21,21,False,,False,False,True,abstain,not_punctuation_len5_query,,,,,
88b43464,5311,5311,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
209c43f0,101,101,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
d129b085,##$,!>``,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
e582df31,}@,"""']@",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
a77be9fa,"[""",{>$[,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
f8d6abd1,5543,5543,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
4ed6b56f,"(""/""",!:`(,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
208d7838,[:,[&<>,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
58c099d2,-)\,^!#\,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
3cb3fd89,[[&],]$$),False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
a26065d4,<',<&<#,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
194695e8,%,!\{<,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
528ec0d8,-39,39,False,,False,False,True,abstain,not_punctuation_len5_query,,,,,
4bb8c6cd,]}\!,]}\!,True,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
57712d01,-/<,$/'{,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
d98d85c0,?(&@,(@@?,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
7ed40e8a,180,180,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
491b8ea5,)!,@|]!,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
eb1a62f7,>!>},){>),False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
0bb591e6,%?<,"""$%%""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
3c424916,9351,9351,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
72336119,3316,3316,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
9a19fc2d,#>[,!&)#,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
528b694b,"""'",>]],False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
d3b20e29,3922,3922,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
d1bd7478,30,3,False,,False,False,True,abstain,not_punctuation_len5_query,,,,,
21519be7,35,35,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
7306613b,251,251,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
fba40625,'>&,{>?#,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
9aa8dc92,/#</,/#</,True,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
c5b058d6,134,35,False,,False,False,True,abstain,not_punctuation_len5_query,,,,,
b4342b90,66,66,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
837a6ae7,<>\>,"<:{""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
d0e1010b,!&&},|&$|,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
34c563c5,04`,04`,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
5a0d5d2a,341,55,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
5a9fcf68,4443,4,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
6e56b39a,-/#,&#!,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
a5f1991c,/|',!&&&,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
c7aae192,">""(","\""]",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
e4cc7639,113,16,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
844f826c,"/""",`@>``,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
b69391b8,66,66,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
8193e7e0,??{`,#?&`,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
5bcb572e,-!#,"""{!""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
8c1529e1,-52,-52,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
cdec898a,<?/,>}][?,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
44398869,5913,5913,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
edf364da,$(%,::{[,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
339149c9,3,3,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
c7844441,:/$^,:/$^,True,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
21261dc6,-25,-25,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
4dbec546,611,611,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
0e009c6d,`?\!,@?`?,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
b4b73143,>\:,>!!/,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
861cb154,2271,10,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
90feb0c5,:<],?>>>,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
c541eb82,-01,-01,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
b9f1d959,:>,"$""\[""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
ca5db1c0,^,"\boxed({""'|})",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
9f1ff166,[,"""]'/",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
432b1110,%[:?,\{<?,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
f333b67f,100,100,True,,False,False,False,abstain,not_punctuation_len5_query,,,,,
f7d26b8d,/@,[}}\,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
8e56a42e,%/<>,%/<>,True,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
20f0fac9,2976,65,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
26e48e98,){|,"""%]%{""",False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
5501c054,[#>#,!##^,False,,False,False,False,abstain,no_rank_arithmetic_candidate,,,,,
ea6d926a,87,37,False,,False,False,False,abstain,not_punctuation_len5_query,,,,,
