id,family,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,sources,rule_classes
343095d3,bit_manipulation,01010100,01010100,01010100,True,True,False,v403_bit_global_exact,
368f20dd,bit_manipulation,10000101,10000101,10000101,True,True,False,v403_bit_global_exact,
3a90fdf6,bit_manipulation,10100000,10100000,10100000,True,True,False,v403_bit_global_exact,
3cd80c64,bit_manipulation,01100100,01100100,01100100,True,True,False,v403_bit_global_exact,
3cfc5f9c,bit_manipulation,01110111,01110111,01110111,True,True,False,v403_bit_global_exact,
3d24aef4,bit_manipulation,10100101,10100101,10100101,True,True,False,v403_bit_global_exact,
3feeabea,bit_manipulation,10010010,10010010,10010010,True,True,False,v403_bit_global_exact,
4166067c,bit_manipulation,01110110,01110110,01110110,True,True,False,v403_bit_global_exact,
4353cd0b,bit_manipulation,00100001,00100001,00100001,True,True,False,v403_bit_global_exact,
455b6b61,bit_manipulation,00111011,00111011,00111011,True,True,False,v403_bit_global_exact,
4736daab,bit_manipulation,01000111,01000111,01000111,True,True,False,v403_bit_global_exact,
49fb46e8,bit_manipulation,01001110,01001110,01001110,True,True,False,v403_bit_global_exact,
4ada9150,bit_manipulation,01111111,01111011,01111011,False,True,True,v403_bit_global_exact,
4c327b55,bit_manipulation,11011110,11011100,11011100,False,True,True,v403_bit_global_exact,
4e4fb429,bit_manipulation,10111110,10111110,10111110,True,True,False,v403_bit_global_exact,
4eb990f6,bit_manipulation,00000001,00000001,00000001,True,True,False,v403_bit_global_exact,
528ec0d8,equation_transform,39,-39,-39,False,True,True,v324_equation_numeric,v274_guarded_numeric_minus_direct_negative_restore_sign
53329505,bit_manipulation,11011111,11011111,11011111,True,True,False,v403_bit_global_exact,
5374b4ba,bit_manipulation,10101100,10101100,10101100,True,True,False,v403_bit_global_exact,
55014a7a,bit_manipulation,01010000,01010000,01010000,True,True,False,v403_bit_global_exact,
575f9709,bit_manipulation,01111111,01111111,01111111,True,True,False,v403_bit_global_exact,
5a19f71a,bit_manipulation,11100010,11100010,11100010,True,True,False,v403_bit_global_exact,
5b9964c7,bit_manipulation,00011011,00011011,00011011,True,True,False,v403_bit_global_exact,
5cbe919f,bit_manipulation,00000000,00000000,00000000,True,True,False,v403_bit_global_exact,
5dffe751,bit_manipulation,01100000,01100000,01100000,True,True,False,v403_bit_global_exact,
64890e18,bit_manipulation,00001100,00001100,00001100,True,True,False,v403_bit_global_exact,
6890870d,bit_manipulation,01110000,01110000,01110000,True,True,False,v403_bit_global_exact,
691608b9,bit_manipulation,00101000,00101000,00101000,True,True,False,v403_bit_global_exact,
6b11c05f,bit_manipulation,00100010,00100010,00100010,True,True,False,v403_bit_global_exact,
6f7a9048,bit_manipulation,00101000,00101000,00101000,True,True,False,v403_bit_global_exact,
70bc42af,bit_manipulation,10101010,10101010,10101010,True,True,False,v403_bit_global_exact,
710cf035,bit_manipulation,10000011,10000011,10000011,True,True,False,v403_bit_global_exact,
75ecd32c,bit_manipulation,11100011,11100011,11100011,True,True,False,v403_bit_global_exact,
7688e06e,equation_transform,55,-55,-55,False,True,True,v324_equation_numeric,v274_guarded_numeric_minus_signed_opposite_sign_guarded
779bb1f3,bit_manipulation,10000001,10000001,10000001,True,True,False,v403_bit_global_exact,
7a79ac09,bit_manipulation,11111111,11111111,11111111,True,True,False,v403_bit_global_exact,
7aa4fdf0,bit_manipulation,00000001,00000001,00000001,True,True,False,v403_bit_global_exact,
7e5b8c12,bit_manipulation,10110000,10110000,10110000,True,True,False,v403_bit_global_exact,
8082a958,bit_manipulation,00000000,00000000,00000000,True,True,False,v403_bit_global_exact,
839e7350,bit_manipulation,00111011,00111011,00111011,True,True,False,v403_bit_global_exact,
85af23eb,bit_manipulation,00001111,00001111,00001111,True,True,False,v403_bit_global_exact,
87007054,bit_manipulation,10111111,10111111,10111111,True,True,False,v403_bit_global_exact,
892d73b5,bit_manipulation,00010101,00010101,00010101,True,True,False,v403_bit_global_exact,
89dfa4c2,bit_manipulation,00111010,00111010,00111010,True,True,False,v403_bit_global_exact,
8abcff0f,bit_manipulation,11110111,11110111,11110111,True,True,False,v403_bit_global_exact,
8ac52d78,bit_manipulation,00010000,00010000,00010000,True,True,False,v403_bit_global_exact,
8c9fcc6b,bit_manipulation,11110111,11110111,11110111,True,True,False,v403_bit_global_exact,
8fbd2477,bit_manipulation,01011010,01011010,01011010,True,True,False,v403_bit_global_exact,
99d6a3b5,equation_transform,(<)),?()<,?()<,False,True,True,v329_symbolic_cryptarithm,symbolic_cryptarithm_single_operator_digits_mul
9d3e7f1a,bit_manipulation,01101010,01101010,01101010,True,True,False,v403_bit_global_exact,
a00fe76a,bit_manipulation,10111011,10111011,10111011,True,True,False,v403_bit_global_exact,
a1d2bb0c,bit_manipulation,00100010,00100010,00100010,True,True,False,v403_bit_global_exact,
a365e304,bit_manipulation,11011011,11011011,11011011,True,True,False,v403_bit_global_exact,
a4dd4cce,bit_manipulation,10110010,10110010,10110010,True,True,False,v403_bit_global_exact,
a6f7139f,bit_manipulation,11000000,11000000,11000000,True,True,False,v403_bit_global_exact,
a794d193,bit_manipulation,01011101,01011101,01011101,True,True,False,v403_bit_global_exact,
a8ea0e29,bit_manipulation,00000000,00000000,00000000,True,True,False,v403_bit_global_exact,
ab71eaa0,bit_manipulation,00010010,00010010,00010010,True,True,False,v403_bit_global_exact,
b2fb65cf,bit_manipulation,11000011,11000011,11000011,True,True,False,v403_bit_global_exact,
b43d9cd5,bit_manipulation,11100100,11100100,11100100,True,True,False,v403_bit_global_exact,
b62f2e75,bit_manipulation,00111111,00111111,00111111,True,True,False,v403_bit_global_exact,
ba61b815,bit_manipulation,00001101,00001101,00001101,True,True,False,v403_bit_global_exact,
bc7618a7,bit_manipulation,00001100,00001100,00001100,True,True,False,v403_bit_global_exact,
bcdf9198,bit_manipulation,11111111,11111111,11111111,True,True,False,v403_bit_global_exact,
bfee75d5,bit_manipulation,01000010,01000010,01000010,True,True,False,v403_bit_global_exact,
c30a782a,bit_manipulation,01000110,01000110,01000110,True,True,False,v403_bit_global_exact,
c5b058d6,equation_transform,35,134,134,False,True,True,v324_equation_numeric,v274_guarded_numeric_add_direct_over_model_add_variant
c7077b21,bit_manipulation,00010110,00010110,00010110,True,True,False,v403_bit_global_exact,
c711f9dd,bit_manipulation,11000000,11000000,11000000,True,True,False,v403_bit_global_exact,
c869b4f6,bit_manipulation,10010001,10010001,10010001,True,True,False,v403_bit_global_exact,
ced947c8,bit_manipulation,01001011,01001011,01001011,True,True,False,v403_bit_global_exact,
d117113e,bit_manipulation,00000000,00000000,00000000,True,True,False,v403_bit_global_exact,
d1bd7478,equation_transform,3,30,30,False,True,True,v324_equation_numeric,v274_guarded_numeric_colon_absdiff_restore_trailing_zero
d2ac699b,bit_manipulation,10001011,10001011,10001011,True,True,False,v403_bit_global_exact,
d40ce15d,bit_manipulation,00010000,00010000,00010000,True,True,False,v403_bit_global_exact,
d6e5cd59,bit_manipulation,01101111,01101111,01101111,True,True,False,v403_bit_global_exact,
d6e6f8b5,bit_manipulation,11100001,11100001,11100001,True,True,False,v403_bit_global_exact,
dc7f150a,bit_manipulation,11001011,11001011,11001011,True,True,False,v403_bit_global_exact,
de91def4,bit_manipulation,10000111,10000111,10000111,True,True,False,v403_bit_global_exact,
e0eba119,bit_manipulation,00010010,00010010,00010010,True,True,False,v403_bit_global_exact,
e2b02e13,bit_manipulation,01111110,01111110,01111110,True,True,False,v403_bit_global_exact,
e36a0065,bit_manipulation,01110110,01110110,01110110,True,True,False,v403_bit_global_exact,
e641791f,bit_manipulation,00010001,00010001,00010001,True,True,False,v403_bit_global_exact,
ed24e7af,bit_manipulation,00001001,00001001,00001001,True,True,False,v403_bit_global_exact,
eeb60061,bit_manipulation,00000101,00000101,00000101,True,True,False,v403_bit_global_exact,
ef2fe526,bit_manipulation,01011010,01011010,01011010,True,True,False,v403_bit_global_exact,
efc2b69d,bit_manipulation,10111100,10111100,10111100,True,True,False,v403_bit_global_exact,
f2014638,bit_manipulation,10011010,10011010,10011010,True,True,False,v403_bit_global_exact,
f2b23d11,bit_manipulation,10000000,10000000,10000000,True,True,False,v403_bit_global_exact,
f3971b9a,bit_manipulation,00011001,00011001,00011001,True,True,False,v403_bit_global_exact,
f8fc43d2,bit_manipulation,11100100,11100100,11100100,True,True,False,v403_bit_global_exact,
fb5a7b9e,bit_manipulation,11111010,11111010,11111010,True,True,False,v403_bit_global_exact,
fb623471,equation_transform,21,-21,-21,False,True,True,v324_equation_numeric,v274_guarded_numeric_minus_direct_negative_restore_sign
fd48ee2f,bit_manipulation,10110100,10110100,10110100,True,True,False,v403_bit_global_exact,
fe6d3aa3,bit_manipulation,10100010,10100010,10100010,True,True,False,v403_bit_global_exact,
