id,family,candidate_source,rule_class,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,rejection_reason,candidate_count,conflict_count,proof
a6192d29,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_2,01111110,00000000,00001000,False,False,False,reject_rule_class_no_gain,1,0,Per-bit analysis for 00110000:
048cc279,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,01111000,10100000,01010000,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11101010:
06120e47,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,11111110,11110001,11110010,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 01110011:
1f7407ed,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,00101101,00101100,00101101,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 01110010:
939273d7,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,11100110,11100010,11100110,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 01001111:
3a148f6a,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,00100111,00100110,00100111,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 10001111:
82ae858c,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_4,11111101,11100001,11001101,False,False,False,reject_rule_class_no_gain,1,0,Per-bit analysis for 00110111:
1282c5c5,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_6,00001110,00001000,00001110,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 01101110:
5ba26f21,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_4,01111110,00000000,01011100,False,False,False,reject_rule_class_no_gain,1,0,Per-bit analysis for 11101001:
5501c054,equation_transform,v355_equation_conflict_recheck,symbolic_cryptarithm_multi_operator_digits_mul,!##^,[#>#,[#>#,False,True,False,reject_conflicting_predictions_still_ambiguous,4,3,"ops={""$"": ""mul"", ""{"": ""sub_ab"", ""}"": ""add""}; map={""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}; ops={""$"": ""mul"", ""{"": ""abs_diff"", ""}"": ""add""}; map={""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}"
6cc5dafb,equation_transform,v355_equation_conflict_recheck,symbolic_cryptarithm_multi_operator_digits_add,^&>),)(,)(,False,True,False,reject_conflicting_predictions_still_ambiguous,4,3,"ops={""!"": ""add"", ""-"": ""sub_ba"", ""\\"": ""mul""}; map={""\"""": 1, ""#"": 3, ""%"": 0, ""&"": 9, ""'"": 5, ""("": 6, "")"": 7, "">"": 2, ""]"": 8, ""^"": 4}; ops={""!"": ""add"", ""-"": ""abs_diff"", ""\\"": ""mul""}; map={""\"""": 1, ""#"": 3, ""%"": 0, ""&"": 9, ""'"": 5, ""("": 6, "")"": 7, "">"": 2, ""]"": 8, ""^"": 4}"
