id,answer,baseline_prediction,answer_class,prompt_hint,audit_status,audit_reason,candidate_prediction
a77be9fa,"[""",{>$[,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
4ed6b56f,"(""/""",!:`(,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
208d7838,[:,[&<>,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
58c099d2,-)\,^!#\,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
3cb3fd89,[[&],]$$),punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
a26065d4,<',<&<#,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
194695e8,%,!\{<,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
57712d01,-/<,$/'{,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
d98d85c0,?(&@,(@@?,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
491b8ea5,)!,@|]!,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
eb1a62f7,>!>},){>),punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
0bb591e6,%?<,"""$%%""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
9a19fc2d,#>[,!&)#,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
528b694b,"""'",>]],punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
fba40625,'>&,{>?#,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
837a6ae7,<>\>,"<:{""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
d0e1010b,!&&},|&$|,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
5a0d5d2a,341,55,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
5a9fcf68,4443,4,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
6e56b39a,-/#,&#!,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
a5f1991c,/|',!&&&,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
c7aae192,">""(","\""]",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
e4cc7639,113,16,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
844f826c,"/""",`@>``,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
8193e7e0,??{`,#?&`,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
5bcb572e,-!#,"""{!""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
cdec898a,<?/,>}][?,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
edf364da,$(%,::{[,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
0e009c6d,`?\!,@?`?,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
b4b73143,>\:,>!!/,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
861cb154,2271,10,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
90feb0c5,:<],?>>>,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
b9f1d959,:>,"$""\[""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
ca5db1c0,^,"\boxed({""'|})",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
9f1ff166,[,"""]'/",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
432b1110,%[:?,\{<?,punct_only,symbolic_punctuation_prompt,candidate,v412_vsa_ranked_unique_prediction,\{<?
f7d26b8d,/@,[}}\,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
20f0fac9,2976,65,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
26e48e98,){|,"""%]%{""",punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
5501c054,[#>#,!##^,punct_only,symbolic_punctuation_prompt,abstain,no_consistent_vsa_program,
ea6d926a,87,37,numeric_unsigned,numeric_operator_prompt,abstain,no_consistent_vsa_program,
