id,family,answer,converted_rows,converted_best_base_loss,converted_best_len,converted_best_correct,full_has_trace,full_len,full_correct,dataset_generated_cot_correct,dataset_generated_cot_len,trajectory_generated_answer_correct,trajectory_correctness
491b8ea5,equation_transform,)!,1,1.547024579115317,849,True,True,849,True,True,821,False,false
eb1a62f7,equation_transform,>!>},1,1.6032985340465198,840,True,True,840,True,True,810,False,false
0bb591e6,equation_transform,%?<,1,1.3867291001013091,951,True,True,951,True,True,922,False,false
9a19fc2d,equation_transform,#>[,1,1.139282984763199,1098,True,True,1098,True,True,1069,False,false
528b694b,equation_transform,"""'",1,1.257414545009604,975,True,True,975,True,True,947,False,false
fba40625,equation_transform,'>&,1,1.2602859566745148,1000,True,True,1000,True,True,971,False,false
837a6ae7,equation_transform,<>\>,1,1.1218426612115675,1110,True,True,1110,True,True,1080,False,false
d0e1010b,equation_transform,!&&},1,1.246291069135274,987,True,True,987,True,True,957,False,false
5a0d5d2a,equation_transform,341,1,0.2764315853322597,10981,True,True,10981,True,True,10952,False,false
5a9fcf68,equation_transform,4443,1,0.2681407022537407,11464,True,True,11464,True,True,11434,False,false
6e56b39a,equation_transform,-/#,1,1.2214044534935142,975,True,True,975,True,True,946,False,false
a5f1991c,equation_transform,/|',1,1.127887663294057,1203,True,True,1203,True,True,1174,False,false
c7aae192,equation_transform,">""(",1,1.5658415421195653,832,True,True,832,True,True,803,False,false
e4cc7639,equation_transform,113,1,0.2536076082090286,11357,True,True,11357,True,True,11328,False,false
844f826c,equation_transform,"/""",1,1.1240338168611368,1185,True,True,1185,True,True,1157,False,false
8193e7e0,equation_transform,??{`,1,1.3911412614115168,1008,True,True,1008,True,True,978,False,false
5bcb572e,equation_transform,-!#,1,1.5676867570244957,836,True,True,836,True,True,807,False,false
cdec898a,equation_transform,<?/,1,1.2675978803404286,963,True,True,963,True,True,934,False,false
edf364da,equation_transform,$(%,1,1.4954609667134082,836,True,True,836,True,True,807,False,false
0e009c6d,equation_transform,`?\!,1,1.273739776248887,975,True,True,975,True,True,945,False,false
b4b73143,equation_transform,>\:,1,1.46235678474448,836,True,True,836,True,True,807,False,false
861cb154,equation_transform,2271,1,0.2837248412125397,11115,True,True,11115,True,True,11085,False,false
90feb0c5,equation_transform,:<],1,1.5299973958333333,886,True,True,886,True,True,857,False,false
b9f1d959,equation_transform,:>,1,1.106530160140208,1098,True,True,1098,True,True,1070,False,false
ca5db1c0,equation_transform,^,1,1.5536555800327034,824,True,True,824,True,True,797,False,false
9f1ff166,equation_transform,[,1,1.3088843304177988,963,True,True,963,True,True,936,False,false
432b1110,equation_transform,%[:?,1,1.1314234153511598,1079,True,True,1079,True,True,1049,False,false
f7d26b8d,equation_transform,/@,1,1.067739013671875,1114,True,True,1114,True,True,1086,False,false
20f0fac9,equation_transform,2976,1,0.2566182727046977,11623,True,True,11623,True,True,11593,False,false
26e48e98,equation_transform,){|,1,1.031363525390625,1114,True,True,1114,True,True,1085,False,false
5501c054,equation_transform,[#>#,1,1.1696784787061738,1106,True,True,1106,True,True,1076,False,false
ea6d926a,equation_transform,87,1,0.2844252635121101,10892,True,True,10892,True,True,10864,False,false
