id,answer,baseline_prediction,baseline_correct,status,reason,same_operator_examples,candidate_predictions,candidate_count,correct_candidate_present,label_free_prediction,label_free_correct,accepted,conflict,proof
8df3daad,34,34,True,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
791056ce,4922,4922,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
3c12aeb9,321,321,True,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
69aa57b3,4472,4472,True,ambiguous,multiple_operator_local_predictions,1,4472|472|4724,3,True,,False,False,False,
e3890bf7,{@%],(^@{,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
d204b9cc,231,231,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
d29e19a4,?|,|''>,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
b06625c4,^&/,"""$ $]""",False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
84030b0b,24,24,True,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
52be4988,'!,&&&`,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
99d6a3b5,?()<,(<)),False,abstain,no_matching_string_multiset_transform,4,,0,False,,False,False,False,
2d3547af,))^),\${,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
28b0ff48,'],|^^^,False,ambiguous,multiple_operator_local_predictions,1,|^,2,False,,False,False,False,difference_rl
3fa49035,696,696,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
61557701,|&,'{),False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
56343b77,711,711,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
7ac90433,-23,-23,True,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
02902eb3,>/,!!$>,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
0d90736f,:,::)[,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
294453b5,&(,##!),False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
386b6d03,671,18,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
57f6878e,%{{,|@(!,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
bc83b0a1,(/&{,(/&{,True,candidate,operator_local_string_multiset_transform,3,(/&{,1,True,(/&{,True,False,False,concat_lr|concat_lr_prefix4
a361a1b7,:46,46,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
d911e8e1,:\:,@}<',False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
7688e06e,-55,55,False,abstain,no_matching_string_multiset_transform,5,,0,False,,False,False,False,
dbd0e3c9,5631,5631,True,candidate,operator_local_string_multiset_transform,2,5631,1,True,5631,True,False,False,concat_lr|concat_lr_prefix4|symmetric_difference_lr|symmetric_difference_lr_prefix4
2e2d60b2,07,07,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
5f9f0ed7,}/!},|!@[,False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
333d93ec,7,7,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
74fff108,49,49,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
c43b5a13,)|,$):$,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
b0206bb7,]$!,$){,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
638f93ca,@,$]<$,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
4bfd095a,{<<<,@/[@,False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
7a422e17,%'!,"#`""",False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
5b2523e6,&&,><\$,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
0fe53bac,"(""",^?(|,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
274def88,92,-92,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
03a3437f,-!,'}>/,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
30ac5c8e,)#?,@\}?,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
08d8d7e1,88,88,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
ff121f08,#<,!%<<,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
42cb233d,881,881,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
ec8b4875,"|""]",|@<!,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
e3fbc768,'(^),{%??,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
6cc5dafb,)(,^&>),False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
d5a03a2e,>>,""")&&",False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
8bebef83,3388,3388,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
27cec7a9,3341,3341,True,candidate,operator_local_string_multiset_transform,2,3341,1,True,3341,True,False,False,concat_lr|concat_lr_prefix4
4aeed935,1455,1455,True,candidate,operator_local_string_multiset_transform,1,1455,1,True,1455,True,False,False,concat_rl|concat_rl_prefix4
fb623471,-21,21,False,ambiguous,multiple_operator_local_predictions,1,2|29,2,False,,False,False,False,
88b43464,5311,5311,True,ambiguous,multiple_operator_local_predictions,1,531|5311|5315,3,True,,False,False,False,
209c43f0,101,101,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
d129b085,##$,!>``,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
e582df31,}@,"""']@",False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
a77be9fa,"[""",{>$[,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
f8d6abd1,5543,5543,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
4ed6b56f,"(""/""",!:`(,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
208d7838,[:,[&<>,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
58c099d2,-)\,^!#\,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
3cb3fd89,[[&],]$$),False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
a26065d4,<',<&<#,False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
194695e8,%,!\{<,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
528ec0d8,-39,39,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
4bb8c6cd,]}\!,]}\!,True,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
57712d01,-/<,$/'{,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
d98d85c0,?(&@,(@@?,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
7ed40e8a,180,180,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
491b8ea5,)!,@|]!,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
eb1a62f7,>!>},){>),False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
0bb591e6,%?<,"""$%%""",False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
3c424916,9351,9351,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
72336119,3316,3316,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
9a19fc2d,#>[,!&)#,False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
528b694b,"""'",>]],False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
d3b20e29,3922,3922,True,ambiguous,multiple_operator_local_predictions,2,3922|3923,2,True,,False,False,False,
d1bd7478,30,3,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
21519be7,35,35,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
7306613b,251,251,True,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
fba40625,'>&,{>?#,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
9aa8dc92,/#</,/#</,True,candidate,operator_local_string_multiset_transform,2,/#</,1,True,/#</,True,False,False,concat_lr|concat_lr_prefix4|union_lr_prefix4
c5b058d6,134,35,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
b4342b90,66,66,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
837a6ae7,<>\>,"<:{""",False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
d0e1010b,!&&},|&$|,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
34c563c5,04`,04`,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
5a0d5d2a,341,55,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
5a9fcf68,4443,4,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
6e56b39a,-/#,&#!,False,abstain,no_matching_string_multiset_transform,4,,0,False,,False,False,False,
a5f1991c,/|',!&&&,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
c7aae192,">""(","\""]",False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
e4cc7639,113,16,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
844f826c,"/""",`@>``,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
b69391b8,66,66,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
8193e7e0,??{`,#?&`,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
5bcb572e,-!#,"""{!""",False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
8c1529e1,-52,-52,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
cdec898a,<?/,>}][?,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
44398869,5913,5913,True,abstain,no_matching_string_multiset_transform,4,,0,False,,False,False,False,
edf364da,$(%,::{[,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
339149c9,3,3,True,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
c7844441,:/$^,:/$^,True,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
21261dc6,-25,-25,True,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
4dbec546,611,611,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
0e009c6d,`?\!,@?`?,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
b4b73143,>\:,>!!/,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
861cb154,2271,10,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
90feb0c5,:<],?>>>,False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
c541eb82,-01,-01,True,abstain,no_matching_string_multiset_transform,4,,0,False,,False,False,False,
b9f1d959,:>,"$""\[""",False,abstain,no_matching_string_multiset_transform,3,,0,False,,False,False,False,
ca5db1c0,^,"\boxed({""'|})",False,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
9f1ff166,[,"""]'/",False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
432b1110,%[:?,\{<?,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
f333b67f,100,100,True,abstain,no_matching_string_multiset_transform,1,,0,False,,False,False,False,
f7d26b8d,/@,[}}\,False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
8e56a42e,%/<>,%/<>,True,candidate,operator_local_string_multiset_transform,1,%/<>,1,True,%/<>,True,False,False,concat_lr|concat_lr_prefix4|symmetric_difference_lr|symmetric_difference_lr_prefix4|union_lr|union_lr_prefix4
20f0fac9,2976,65,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
26e48e98,){|,"""%]%{""",False,abstain,no_matching_string_multiset_transform,2,,0,False,,False,False,False,
5501c054,[#>#,!##^,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
ea6d926a,87,37,False,abstain,no_same_operator_examples,0,,0,False,,False,False,False,
