path,dataset,split,status,rows,nonboxed_rows,include,priority,reason
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v439_final_answer_only_pairs\20260515T_v439_final_answer_only\v439_final_answer_only_pairs_train.jsonl,v439_final_answer_only_pairs_train,train,blocked,109,0,False,999,excluded: V509 integrity status is blocked
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v439_final_answer_only_pairs\20260515T_v439_final_answer_only\v439_final_answer_only_pairs_val.jsonl,v439_final_answer_only_pairs_val,val,blocked,24,0,False,999,excluded: V509 integrity status is blocked
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v443_certified_equation_pair_builder\20260515T_v443_certified_equation_pair_builder\v443_certified_equation_pair_builder_preferences_train.jsonl,v443_certified_equation_pair_builder_preferences_train,train,blocked,0,0,False,999,excluded: V509 integrity status is blocked
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v443_certified_equation_pair_builder\20260515T_v443_certified_equation_pair_builder\v443_certified_equation_pair_builder_preferences_val.jsonl,v443_certified_equation_pair_builder_preferences_val,val,blocked,0,0,False,999,excluded: V509 integrity status is blocked
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v460_numeric_one_rule_micro_dataset\20260515T_v460_cpu_dataset\v460_numeric_one_rule_micro_dataset_train.jsonl,v460_numeric_one_rule_micro_dataset_train,train,ok,146,0,True,30,included: small clean numeric sign-guard micro dataset
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v460_numeric_one_rule_micro_dataset\20260515T_v460_cpu_dataset\v460_numeric_one_rule_micro_dataset_val.jsonl,v460_numeric_one_rule_micro_dataset_val,val,ok,36,0,True,30,included: small clean numeric sign-guard micro dataset
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v475_equation_bit_replay_mix\20260516T_v475_equation_bit_replay_mix\v475_equation_bit_replay_mix_train.jsonl,v475_equation_bit_replay_mix_train,train,ok,1312,0,True,20,included: clean CPU-gated equation/bit replay mix with boxed final answers
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v475_equation_bit_replay_mix\20260516T_v475_equation_bit_replay_mix\v475_equation_bit_replay_mix_val.jsonl,v475_equation_bit_replay_mix_val,val,ok,328,0,True,20,included: clean CPU-gated equation/bit replay mix with boxed final answers
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v498_numeric_teacher_trace_pack\20260516T_v498_numeric_teacher\v498_numeric_teacher_trace_train.jsonl,v498_numeric_teacher_trace_train,train,ok,1712,0,True,10,included: latest clean numeric hard-negative trace pack plus bit replay guardrail
C:\Users\davis\Workspace\KG1 -NVIDIA\artifacts\v284_official_gate_worktree\artifacts\v498_numeric_teacher_trace_pack\20260516T_v498_numeric_teacher\v498_numeric_teacher_trace_val.jsonl,v498_numeric_teacher_trace_val,val,ok,428,0,True,10,included: latest clean numeric hard-negative trace pack plus bit replay guardrail
