id,answer,filtered_trace_rows,best_base_loss,best_cot_correct,best_cot_len,solver_present,solver_answer,solver_metric_correct,solver_category,solver_ops
a98d4d53,-),1,1.5706685384114583,True,829,True,-),True,mixed_concat,"{""-"": ""neg_absdiff"", ""*"": ""mul"", ""+"": ""concat_fwd""}"
59733f94,/,1,1.1142457263304455,True,1103,True,/,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul""}"
9dae880f,))[,1,1.1497107475034651,True,1081,True,))[,True,little_endian,"{"">"": ""mul"", ""}"": ""add"", ""\"""": ""absdiff""}"
ae6be599,#`,1,1.5128734150870902,True,829,True,#`,True,mixed_concat,"{""-"": ""rsub_signed"", ""+"": ""add"", ""*"": ""concat_fwd""}"
8494aad3,"""`#&",1,1.2666758435837766,True,1007,True,"""`#&",True,mixed_concat,"{""*"": ""mul_p1"", ""+"": ""concat_fwd""}"
e3890bf7,{@%],1,1.435038590631565,True,814,True,{@%],True,little_endian,"{""}"": ""add"", ""*"": ""mul""}"
d29e19a4,?|,1,1.262165194945716,True,943,True,?|,True,arithmetic,"{""]"": ""sub_signed"", ""$"": ""add_p1"", ""+"": ""mul""}"
b06625c4,^&/,1,1.2520126999850478,True,934,True,,False,,
52be4988,'!,1,1.0321756168287628,True,1070,True,'!,True,arithmetic,"{""-"": ""sub_signed"", ""+"": ""add"", ""*"": ""mul_m1""}"
2d3547af,))^),1,1.2849871407727542,True,949,True,))^),True,arithmetic,"{""("": ""sub_signed"", ""`"": ""add"", ""&"": ""mul_m1""}"
28b0ff48,'],1,1.6949513007468842,True,809,True,'],True,arithmetic,"{""-"": ""absdiff"", ""+"": ""add_m1"", ""*"": ""mul_p1""}"
61557701,|&,1,1.3198867281853865,True,935,True,|&,True,arithmetic,"{""-"": ""sub_signed"", ""+"": ""add_m1""}"
02902eb3,>/,1,1.4511617894186253,True,808,True,>/,True,arithmetic,"{""*"": ""mul"", ""-"": ""absdiff"", ""+"": ""add_m1""}"
0d90736f,:,1,1.1268710558157993,True,1095,True,,False,,
294453b5,&(,1,1.3976845561594202,True,796,True,&(,True,arithmetic,"{""-"": ""mod"", ""*"": ""mul_m1""}"
386b6d03,671,1,0.2794580261251279,True,10859,False,,,,
57f6878e,%{{,1,1.0854953734342716,True,1069,True,%{{,True,little_endian,"{""<"": ""add"", ""&"": ""absdiff""}"
a361a1b7,:46,1,0.2558923957996279,False,11123,False,,,,
d911e8e1,:\:,1,1.5058878928507835,True,807,True,:\:,True,arithmetic,"{""$"": ""sub_signed"", "")"": ""add"", ""("": ""mul_p1""}"
5f9f0ed7,}/!},1,1.104726993336397,True,1096,True,}/!},True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul_p1"", ""+"": ""add""}"
c43b5a13,)|,1,1.4537491571335566,True,792,True,)|,True,arithmetic,"{""+"": ""add"", ""-"": ""absdiff""}"
b0206bb7,]$!,1,1.087155528277515,True,1089,True,]$!,True,little_endian,"{""-"": ""neg_absdiff"", ""*"": ""mul"", ""+"": ""add""}"
638f93ca,@,1,1.2232568359375,True,944,True,@,True,arithmetic,"{""*"": ""mul_p1"", ""-"": ""absdiff""}"
4bfd095a,{<<<,1,1.2302200245745305,True,953,True,{<<<,True,arithmetic,"{""-"": ""rsub_signed"", ""*"": ""mul_p1""}"
7a422e17,%'!,1,1.2821589408160972,True,938,True,%'!,True,little_endian,"{""-"": ""sub_signed"", ""@"": ""mul"", ""+"": ""add""}"
5b2523e6,&&,1,1.2607850451157687,True,935,True,&&,True,arithmetic,"{""+"": ""add_m1"", ""*"": ""mul_m1"", ""-"": ""absdiff""}"
0fe53bac,"(""",1,1.208706657577552,True,931,True,"(""",True,little_endian,"{""-"": ""sub_signed"", ""+"": ""add""}"
03a3437f,-!,1,1.6412137385468308,True,821,True,-!,True,mixed_concat,"{""-"": ""sub_signed"", ""+"": ""concat_fwd""}"
30ac5c8e,)#?,1,1.0439873113502072,True,1097,True,)#?,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}"
ff121f08,#<,1,1.085608472804985,True,1082,True,#<,True,arithmetic,"{""+"": ""sub_signed"", ""("": ""mul"", ""\\"": ""add_p1""}"
ec8b4875,"|""]",1,1.4337447684151785,True,811,True,"|""]",True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul""}"
e3fbc768,'(^),1,1.5018771480028283,True,798,True,'(^),True,arithmetic,"{""/"": ""mul"", ""`"": ""mod""}"
6cc5dafb,)(,1,1.2574496474562649,True,939,True,)(,True,arithmetic,"{""-"": ""absdiff"", ""\\"": ""mul"", ""!"": ""add""}"
d5a03a2e,>>,1,1.2157612772821222,True,931,True,>>,True,arithmetic,"{"")"": ""absdiff"", ""`"": ""add"", ""+"": ""mul_p1""}"
d129b085,##$,1,1.1526344476744186,True,950,True,##$,True,little_endian,"{""+"": ""add_p1"", ""*"": ""mul""}"
e582df31,}@,1,1.5498775809151786,True,804,True,}@,True,arithmetic,"{""?"": ""sub_signed"", ""["": ""mul"", ""!"": ""add_m1""}"
a77be9fa,"[""",1,1.4260820157266076,True,800,True,"[""",True,arithmetic,"{""|"": ""absdiff"", ""&"": ""add"", ""!"": ""mul_p1""}"
4ed6b56f,"(""/""",1,1.3779042922576832,True,953,True,"(""/""",True,arithmetic,"{""*"": ""mul_p1"", ""+"": ""add_p1"", ""-"": ""absdiff""}"
208d7838,[:,1,1.0444207960559475,True,1082,True,[:,True,little_endian,"{""+"": ""add"", ""*"": ""mul_m1"", ""-"": ""absdiff""}"
58c099d2,-)\,1,1.583835335664971,True,799,True,-)\,True,arithmetic,"{""-"": ""sub_signed"", ""+"": ""add_m1""}"
3cb3fd89,[[&],1,1.290446105814758,True,953,True,[[&],True,arithmetic,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}"
a26065d4,<',1,1.1262911379459701,True,1084,True,<',True,little_endian,"{""+"": ""absdiff_m2"", ""-"": ""gcd""}"
194695e8,%,1,1.4677984461743374,True,805,True,,False,,
57712d01,-/<,1,1.1523935974494017,True,1081,True,-/<,True,arithmetic,"{""-"": ""neg_absdiff"", ""+"": ""add_m1"", ""*"": ""mul""}"
d98d85c0,?(&@,1,1.6270958221520082,True,827,True,?(&@,True,arithmetic,"{""-"": ""absdiff"", ""+"": ""mul""}"
491b8ea5,)!,1,1.547024579115317,True,821,True,)!,True,mixed_concat,"{""-"": ""absdiff"", ""+"": ""absdiff"", ""*"": ""concat_fwd""}"
eb1a62f7,>!>},1,1.6032985340465198,True,810,True,>!>},True,little_endian,"{""-"": ""rsub_signed"", ""+"": ""add"", ""*"": ""mul""}"
0bb591e6,%?<,1,1.3867291001013091,True,922,True,%?<,True,little_endian,"{""-"": ""absdiff"", ""+"": ""add""}"
9a19fc2d,#>[,1,1.1392829847631987,True,1069,True,#>[,True,little_endian,"{""+"": ""add_p1"", ""-"": ""absdiff""}"
528b694b,"""'",1,1.257414545009604,True,947,True,"""'",True,little_endian,"{""<"": ""sub_signed"", ""+"": ""mul""}"
fba40625,'>&,1,1.2602859566745148,True,971,True,'>&,True,mixed_concat,"{""'"": ""sub_signed"", ""/"": ""concat_fwd"", ""`"": ""mul""}"
837a6ae7,<>\>,1,1.1218426612115675,True,1080,True,<>\>,True,arithmetic,"{""-"": ""sub_signed"", ""+"": ""add_m1"", ""*"": ""mul_p1""}"
d0e1010b,!&&},1,1.246291069135274,True,957,True,!&&},True,arithmetic,"{""*"": ""mul"", ""+"": ""add_m1""}"
5a0d5d2a,341,1,0.2764315853322597,True,10952,False,,,,
5a9fcf68,4443,1,0.26814070225374076,True,11434,False,,,,
6e56b39a,-/#,1,1.2214044534935142,True,946,True,-/#,True,arithmetic,"{""-"": ""neg_absdiff""}"
a5f1991c,/|',1,1.1278876632940573,True,1174,True,/|',True,mixed_concat,"{""/"": ""sub_signed"", ""\"""": ""concat_fwd"", ""["": ""add""}"
c7aae192,">""(",1,1.5658415421195653,True,803,True,">""(",True,arithmetic,"{""*"": ""mul"", ""+"": ""add_m1"", ""-"": ""absdiff""}"
e4cc7639,113,1,0.25360760820902867,True,11328,False,,,,
844f826c,"/""",1,1.1240338168611368,True,1157,True,"/""",True,mixed_concat,"{""$"": ""concat_fwd"", ""*"": ""absdiff"", ""-"": ""mul""}"
8193e7e0,??{`,1,1.3911412614115168,True,978,True,??{`,True,mixed_concat,"{""*"": ""mul"", ""-"": ""absdiff"", ""+"": ""concat_fwd""}"
5bcb572e,-!#,1,1.5676867570244957,True,807,True,-!#,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}"
cdec898a,<?/,1,1.2675978803404286,True,934,True,<?/,True,little_endian,"{""-"": ""sub_signed"", ""+"": ""add""}"
edf364da,$(%,1,1.4954609667134082,True,807,True,$(%,True,arithmetic,"{""+"": ""add_p1"", ""*"": ""mul""}"
0e009c6d,`?\!,1,1.2737397762488867,True,945,True,`?\!,True,little_endian,"{""'"": ""mul"", ""*"": ""absdiff""}"
b4b73143,>\:,1,1.46235678474448,True,807,True,>\:,True,little_endian,"{""%"": ""mul"", ""*"": ""add""}"
861cb154,2271,1,0.28372484121253977,True,11085,False,,,,
90feb0c5,:<],1,1.5299973958333333,True,857,True,:<],True,mixed_concat,"{""+"": ""concat_fwd"", ""'"": ""add""}"
b9f1d959,:>,1,1.106530160140208,True,1070,True,:>,True,little_endian,"{""-"": ""sub_signed"", ""+"": ""add""}"
ca5db1c0,^,1,1.5536555800327034,True,797,True,^,True,little_endian,"{""-"": ""absdiff"", ""*"": ""mul""}"
9f1ff166,[,1,1.3088843304177988,True,936,True,[,True,little_endian,"{""-"": ""absdiff"", ""*"": ""mul""}"
432b1110,%[:?,1,1.1314234153511598,True,1049,True,%[:?,True,mixed_concat,"{""+"": ""concat_fwd"", ""*"": ""lcm""}"
f7d26b8d,/@,1,1.067739013671875,True,1086,True,/@,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul_m1"", ""+"": ""add""}"
20f0fac9,2976,1,0.2566182727046977,True,11593,False,,,,
26e48e98,){|,1,1.031363525390625,True,1085,True,){|,True,little_endian,"{"")"": ""sub_signed"", ""`"": ""mul"", ""/"": ""add""}"
5501c054,[#>#,1,1.1696784787061738,True,1076,True,[#>#,True,arithmetic,"{""}"": ""add"", ""{"": ""absdiff"", ""$"": ""mul""}"
ea6d926a,87,1,0.28442526351211017,True,10864,False,,,,
