id,answer,solver_answer,official_answer,metric_correct,solver_type,solver_category,conditioned_on_answer,solver_mode,solver_ops,solver_mapping
4ed6b56f,"(""/""","(""/""","(""/""",True,arithmetic,arithmetic,True,standard,"{""*"": ""mul_p1"", ""+"": ""add_p1"", ""-"": ""absdiff""}","{""!"": 4, ""\"""": 0, ""'"": 7, ""("": 1, ""/"": 3, "":"": 9, "">"": 8, ""]"": 5, ""`"": 2, ""}"": 6}"
518deb39,$,$,$,True,arithmetic,arithmetic,True,standard,"{""-"": ""mod"", ""*"": ""mul_m1"", ""+"": ""add""}","{""!"": 7, ""\"""": 8, ""$"": 6, ""'"": 2, ""("": 3, ""<"": 1, "">"": 0, ""\\"": 9, ""^"": 5}"
528b694b,"""'","""'","""'",True,arithmetic,little_endian,True,little_endian,"{""<"": ""sub_signed"", ""+"": ""mul""}","{""\"""": 7, ""$"": 4, ""'"": 3, "")"": 1, "">"": 2, ""@"": 8, ""\\"": 9, ""]"": 5, ""^"": 6, ""{"": 0}"
52be4988,'!,'!,'!,True,arithmetic,arithmetic,True,standard,"{""-"": ""sub_signed"", ""+"": ""add"", ""*"": ""mul_m1""}","{""!"": 6, ""&"": 4, ""'"": 8, ""/"": 1, ""<"": 5, ""?"": 3, ""["": 7, ""\\"": 0, ""`"": 2, ""|"": 9}"
5501c054,[#>#,[#>#,[#>#,True,arithmetic,arithmetic,True,standard,"{""}"": ""add"", ""{"": ""absdiff"", ""$"": ""mul""}","{""!"": 6, ""\"""": 8, ""#"": 7, ""&"": 0, ""'"": 9, "")"": 3, "">"": 5, ""["": 4, ""\\"": 2, ""^"": 1}"
57712d01,-/<,-/<,-/<,True,arithmetic,arithmetic,True,standard,"{""-"": ""neg_absdiff"", ""+"": ""add_m1"", ""*"": ""mul""}","{""!"": 8, ""\"""": 1, ""$"": 9, ""'"": 4, ""("": 0, ""/"": 5, ""<"": 3, ""?"": 6, ""`"": 7, ""{"": 2}"
57f6878e,%{{,%{{,%{{,True,arithmetic,little_endian,True,little_endian,"{""<"": ""add"", ""&"": ""absdiff""}","{""$"": 4, ""%"": 8, ""("": 9, "")"": 7, ""/"": 6, "":"": 5, ""@"": 2, ""^"": 0, ""{"": 1, ""|"": 3}"
58c099d2,-)\,-)\,-)\,True,arithmetic,arithmetic,True,standard,"{""-"": ""sub_signed"", ""+"": ""add_m1""}","{""!"": 0, ""#"": 4, ""&"": 9, "")"": 1, ""\\"": 6, ""]"": 5, ""^"": 3, ""`"": 2, ""|"": 7}"
59733f94,/,/,/,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul""}","{""#"": 7, ""$"": 5, ""/"": 3, "":"": 4, "">"": 2, ""?"": 6, ""["": 1, ""^"": 8, ""{"": 0, ""}"": 9}"
5b2523e6,&&,&&,&&,True,arithmetic,arithmetic,True,standard,"{""+"": ""add_m1"", ""*"": ""mul_m1"", ""-"": ""absdiff""}","{""!"": 3, ""$"": 6, ""&"": 2, ""'"": 1, "")"": 0, "":"": 5, ""<"": 8, "">"": 9, ""?"": 4, ""\\"": 7}"
5bcb572e,-!#,-!#,-!#,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul"", ""+"": ""add_p1""}","{""!"": 4, ""\"""": 7, ""#"": 2, ""("": 9, "")"": 5, ""/"": 0, ""["": 3, ""]"": 8, ""{"": 1}"
5f9f0ed7,}/!},}/!},}/!},True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul_p1"", ""+"": ""add""}","{""!"": 4, ""/"": 7, "">"": 6, ""@"": 0, ""["": 3, ""]"": 2, ""`"": 5, ""|"": 9, ""}"": 1}"
61557701,|&,|&,|&,True,arithmetic,arithmetic,True,standard,"{""-"": ""sub_signed"", ""+"": ""add_m1""}","{""\"""": 5, ""$"": 2, ""&"": 9, ""'"": 3, ""("": 1, "")"": 6, "":"": 8, ""{"": 4, ""|"": 7, ""}"": 0}"
638f93ca,@,@,@,True,arithmetic,arithmetic,True,standard,"{""*"": ""mul_p1"", ""-"": ""absdiff""}","{""#"": 5, ""$"": 4, ""'"": 9, ""/"": 6, ""<"": 2, "">"": 7, ""?"": 1, ""@"": 8, ""]"": 3, ""`"": 0}"
6cc5dafb,)(,)(,)(,True,arithmetic,arithmetic,True,standard,"{""-"": ""absdiff"", ""\\"": ""mul"", ""!"": ""add""}","{""\"""": 1, ""#"": 3, ""%"": 0, ""&"": 9, ""'"": 5, ""("": 6, "")"": 7, "">"": 2, ""]"": 8, ""^"": 4}"
6e56b39a,-/#,-/#,-/#,True,arithmetic,arithmetic,True,standard,"{""-"": ""neg_absdiff""}","{""!"": 9, ""#"": 6, ""%"": 5, ""&"": 7, "")"": 8, ""/"": 1, "">"": 3, ""["": 4, ""]"": 2, ""^"": 0}"
7a422e17,%'!,%'!,%'!,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""@"": ""mul"", ""+"": ""add""}","{""!"": 7, ""\"""": 1, ""#"": 2, ""%"": 6, ""&"": 0, ""'"": 5, "":"": 3, ""`"": 4, ""{"": 8, ""}"": 9}"
8193e7e0,??{`,??{`,??{`,True,arithmetic,mixed_concat,True,standard,"{""*"": ""mul"", ""-"": ""absdiff"", ""+"": ""concat_fwd""}","{""!"": 0, ""#"": 2, ""&"": 5, ""'"": 8, ""/"": 4, ""?"": 1, ""]"": 3, ""`"": 6, ""{"": 7}"
82109e34,-@>,-@>,-@>,True,arithmetic,arithmetic,True,standard,"{""-"": ""rsub_signed"", ""+"": ""add"", ""*"": ""mul_m1""}","{""#"": 2, ""$"": 5, ""'"": 9, ""/"": 7, "":"": 3, "">"": 0, ""?"": 6, ""@"": 1, ""\\"": 4, ""^"": 8}"
837a6ae7,<>\>,<>\>,<>\>,True,arithmetic,arithmetic,True,standard,"{""-"": ""sub_signed"", ""+"": ""add_m1"", ""*"": ""mul_p1""}","{""\"""": 9, ""#"": 3, ""%"": 6, ""&"": 5, "":"": 8, ""<"": 2, "">"": 4, ""@"": 1, ""\\"": 0, ""{"": 7}"
844f826c,"/""","/""","/""",True,arithmetic,mixed_concat,True,standard,"{""$"": ""concat_fwd"", ""*"": ""absdiff"", ""-"": ""mul""}","{""\"""": 7, ""#"": 6, "")"": 8, ""/"": 3, "">"": 1, ""@"": 2, ""]"": 9, ""^"": 4, ""`"": 5}"
8494aad3,"""`#&","""`#&","""`#&",True,arithmetic,mixed_concat,True,standard,"{""*"": ""mul_p1"", ""+"": ""concat_fwd""}","{""!"": 1, ""\"""": 4, ""#"": 6, ""&"": 9, "")"": 2, ""<"": 8, ""@"": 7, ""]"": 5, ""^"": 0, ""`"": 3}"
893ffb06,-@',-@',-@',True,arithmetic,mixed_concat,True,standard,"{""-"": ""sub_signed"", ""+"": ""concat_fwd"", ""*"": ""mul""}","{""!"": 0, ""'"": 9, "")"": 1, "":"": 6, ""@"": 3, ""`"": 7, ""{"": 4, ""|"": 5, ""}"": 2}"
8e411cc7,]]],]]],]]],True,arithmetic,arithmetic,True,standard,"{""!"": ""add"", ""-"": ""mul_m1"", ""#"": ""absdiff""}","{""\"""": 2, ""$"": 7, ""&"": 3, ""("": 6, ""/"": 9, "":"": 4, ""<"": 0, ""]"": 1, ""^"": 5, ""}"": 8}"
90feb0c5,:<],:<],:<],True,arithmetic,mixed_concat,True,standard,"{""+"": ""concat_fwd"", ""'"": ""add""}","{"")"": 6, "":"": 1, ""<"": 3, "">"": 7, ""?"": 4, ""\\"": 8, ""]"": 5, ""`"": 0, ""}"": 2}"
9a19fc2d,#>[,#>[,#>[,True,arithmetic,little_endian,True,little_endian,"{""+"": ""add_p1"", ""-"": ""absdiff""}","{""!"": 6, ""#"": 2, ""&"": 7, ""'"": 8, "")"": 5, ""/"": 3, "">"": 0, ""["": 1, ""{"": 4, ""}"": 9}"
9dae880f,))[,))[,))[,True,arithmetic,little_endian,True,little_endian,"{"">"": ""mul"", ""}"": ""add"", ""\"""": ""absdiff""}","{""#"": 5, ""$"": 0, ""'"": 6, "")"": 2, "":"": 3, ""<"": 4, ""["": 1, ""\\"": 7, ""`"": 9, ""|"": 8}"
9f1ff166,[,[,[,True,arithmetic,little_endian,True,little_endian,"{""-"": ""absdiff"", ""*"": ""mul""}","{""\"""": 1, ""#"": 4, ""'"": 2, ""/"": 6, "">"": 3, ""?"": 8, ""["": 9, ""]"": 7, ""}"": 5}"
a26065d4,<',<',<',True,arithmetic,little_endian,True,little_endian,"{""+"": ""absdiff_m2"", ""-"": ""gcd""}","{""#"": 6, ""$"": 0, ""&"": 4, ""'"": 1, ""<"": 8, ""@"": 3, ""["": 7, ""]"": 2, ""`"": 9, ""|"": 5}"
a5f1991c,/|',/|',/|',True,arithmetic,mixed_concat,True,standard,"{""/"": ""sub_signed"", ""\"""": ""concat_fwd"", ""["": ""add""}","{""!"": 2, ""&"": 5, ""'"": 1, "">"": 6, ""?"": 4, ""@"": 8, ""^"": 7, ""|"": 3, ""}"": 0}"
a77be9fa,"[""","[""","[""",True,arithmetic,arithmetic,True,standard,"{""|"": ""absdiff"", ""&"": ""add"", ""!"": ""mul_p1""}","{""\"""": 9, ""$"": 5, ""("": 8, "":"": 6, "">"": 0, ""["": 1, ""\\"": 2, ""^"": 3, ""{"": 7, ""}"": 4}"
a98d4d53,-),-),-),True,arithmetic,mixed_concat,True,standard,"{""-"": ""neg_absdiff"", ""*"": ""mul"", ""+"": ""concat_fwd""}","{""!"": 8, ""#"": 7, ""$"": 9, "")"": 2, ""/"": 3, "":"": 4, ""["": 1, ""|"": 5}"
ae6be599,#`,#`,#`,True,arithmetic,mixed_concat,True,standard,"{""-"": ""rsub_signed"", ""+"": ""add"", ""*"": ""concat_fwd""}","{""\"""": 0, ""#"": 7, ""$"": 4, ""%"": 1, ""?"": 8, ""\\"": 6, ""]"": 2, ""`"": 3, ""|"": 5}"
b0206bb7,]$!,]$!,]$!,True,arithmetic,little_endian,True,little_endian,"{""-"": ""neg_absdiff"", ""*"": ""mul"", ""+"": ""add""}","{""!"": 9, ""#"": 1, ""$"": 5, ""&"": 6, "")"": 8, ""/"": 4, ""@"": 7, ""]"": 0, ""{"": 2, ""}"": 3}"
b06625c4,^&/,,^&/,False,,,False,,,
b4b73143,>\:,>\:,>\:,True,arithmetic,little_endian,True,little_endian,"{""%"": ""mul"", ""*"": ""add""}","{""!"": 2, ""\"""": 9, ""#"": 1, ""/"": 3, "":"": 6, "">"": 0, ""?"": 5, ""["": 7, ""\\"": 4, ""{"": 8}"
b9f1d959,:>,:>,:>,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""+"": ""add""}","{""\"""": 9, ""$"": 7, ""&"": 0, ""("": 5, "":"": 6, "">"": 4, ""["": 1, ""\\"": 2, ""`"": 3, ""{"": 8}"
c24074a8,&/,&/,&/,True,arithmetic,arithmetic,True,standard,"{""#"": ""sub_signed"", "">"": ""mul_m1"", ""`"": ""add""}","{""%"": 9, ""&"": 7, ""("": 8, "")"": 6, ""/"": 2, ""<"": 0, ""?"": 5, ""]"": 3, ""|"": 4, ""}"": 1}"
c43b5a13,)|,)|,)|,True,arithmetic,arithmetic,True,standard,"{""+"": ""add"", ""-"": ""absdiff""}","{""$"": 4, ""&"": 8, ""("": 0, "")"": 5, ""/"": 6, "":"": 1, ""<"": 3, ""{"": 2, ""|"": 9}"
c7aae192,">""(",">""(",">""(",True,arithmetic,arithmetic,True,standard,"{""*"": ""mul"", ""+"": ""add_m1"", ""-"": ""absdiff""}","{""\"""": 4, ""#"": 9, ""("": 8, "">"": 7, ""\\"": 3, ""`"": 5, ""{"": 1, ""}"": 2}"
ca5db1c0,^,^,^,True,arithmetic,little_endian,True,little_endian,"{""-"": ""absdiff"", ""*"": ""mul""}","{""\"""": 4, ""%"": 9, ""'"": 7, ""("": 5, "")"": 2, ""?"": 0, ""@"": 1, ""^"": 8, ""`"": 6, ""|"": 3}"
cdec898a,<?/,<?/,<?/,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""+"": ""add""}","{""%"": 2, "")"": 5, ""/"": 1, ""<"": 4, "">"": 6, ""?"": 7, ""]"": 8, ""`"": 3, ""}"": 9}"
cf4c04c0,-[,-[,-[,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul""}","{""#"": 3, ""$"": 8, ""'"": 4, ""("": 5, ""/"": 0, "":"": 6, ""@"": 1, ""["": 2, ""{"": 9, ""|"": 7}"
d0e1010b,!&&},!&&},!&&},True,arithmetic,arithmetic,True,standard,"{""*"": ""mul"", ""+"": ""add_m1""}","{""!"": 1, ""#"": 8, ""$"": 6, ""%"": 4, ""&"": 5, ""'"": 9, "">"": 7, ""^"": 3, ""|"": 2, ""}"": 0}"
d129b085,##$,##$,##$,True,arithmetic,little_endian,True,little_endian,"{""+"": ""add_p1"", ""*"": ""mul""}","{""!"": 5, ""\"""": 7, ""#"": 0, ""$"": 1, ""<"": 9, "">"": 2, ""@"": 8, ""\\"": 3, ""]"": 6, ""`"": 4}"
d29e19a4,?|,?|,?|,True,arithmetic,arithmetic,True,standard,"{""]"": ""sub_signed"", ""$"": ""add_p1"", ""+"": ""mul""}","{""#"": 1, ""&"": 6, ""'"": 7, "":"": 3, "">"": 2, ""?"": 8, ""\\"": 9, ""^"": 0, ""|"": 5, ""}"": 4}"
d5a03a2e,>>,>>,>>,True,arithmetic,arithmetic,True,standard,"{"")"": ""absdiff"", ""`"": ""add"", ""+"": ""mul_p1""}","{""!"": 4, ""\"""": 9, ""%"": 7, ""&"": 6, ""/"": 0, "">"": 3, ""?"": 1, ""@"": 8, ""^"": 5, ""{"": 2}"
d911e8e1,:\:,:\:,:\:,True,arithmetic,arithmetic,True,standard,"{""$"": ""sub_signed"", "")"": ""add"", ""("": ""mul_p1""}","{""\"""": 7, ""#"": 2, ""&"": 9, ""'"": 5, "":"": 1, ""<"": 8, "">"": 0, ""@"": 4, ""\\"": 3, ""}"": 6}"
d98d85c0,?(&@,?(&@,?(&@,True,arithmetic,arithmetic,True,standard,"{""-"": ""absdiff"", ""+"": ""mul""}","{""#"": 3, ""&"": 0, ""'"": 2, ""("": 7, "">"": 5, ""?"": 6, ""@"": 8, ""`"": 9, ""|"": 1}"
e3890bf7,{@%],{@%],{@%],True,arithmetic,little_endian,True,little_endian,"{""}"": ""add"", ""*"": ""mul""}","{""#"": 3, ""$"": 5, ""%"": 8, ""&"": 6, ""("": 1, ""?"": 9, ""@"": 4, ""]"": 2, ""^"": 7, ""{"": 0}"
e3bf0c2c,"""`","""`","""`",True,arithmetic,arithmetic,True,standard,"{"")"": ""mul"", ""}"": ""add_m1""}","{""\"""": 6, ""&"": 7, ""'"": 1, ""("": 9, ""/"": 3, ""@"": 5, ""["": 0, ""\\"": 2, ""^"": 4, ""`"": 8}"
e3fbc768,'(^),'(^),'(^),True,arithmetic,arithmetic,True,standard,"{""/"": ""mul"", ""`"": ""mod""}","{""!"": 9, ""%"": 4, ""'"": 6, ""("": 5, "")"": 2, "":"": 3, ""?"": 8, ""["": 0, ""^"": 1, ""{"": 7}"
e582df31,}@,}@,}@,True,arithmetic,arithmetic,True,standard,"{""?"": ""sub_signed"", ""["": ""mul"", ""!"": ""add_m1""}","{""\"""": 9, ""#"": 3, ""'"": 0, ""/"": 8, "":"": 6, ""@"": 5, ""]"": 1, ""^"": 2, ""}"": 7}"
eb1a62f7,>!>},>!>},>!>},True,arithmetic,little_endian,True,little_endian,"{""-"": ""rsub_signed"", ""+"": ""add"", ""*"": ""mul""}","{""!"": 4, ""%"": 6, ""("": 7, "")"": 8, "">"": 0, ""?"": 2, ""@"": 5, ""^"": 9, ""{"": 1, ""}"": 3}"
ec8b4875,"|""]","|""]","|""]",True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul""}","{""!"": 2, ""\"""": 1, ""%"": 9, "":"": 4, ""<"": 7, ""?"": 6, ""@"": 3, ""]"": 8, ""|"": 0}"
edf364da,$(%,$(%,$(%,True,arithmetic,arithmetic,True,standard,"{""+"": ""add_p1"", ""*"": ""mul""}","{""!"": 2, ""$"": 5, ""%"": 4, ""("": 9, "":"": 3, ""?"": 6, ""["": 8, ""]"": 7, ""{"": 1, ""|"": 0}"
f7d26b8d,/@,/@,/@,True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""*"": ""mul_m1"", ""+"": ""add""}","{""$"": 7, ""%"": 6, ""/"": 5, ""@"": 1, ""["": 9, ""\\"": 3, ""]"": 2, ""`"": 8, ""}"": 4}"
f9799a68,&:/?,&:/?,&:/?,True,arithmetic,mixed_concat,True,standard,"{""+"": ""concat_rev"", ""-"": ""absdiff"", ""*"": ""lcm""}","{""$"": 1, ""&"": 0, ""/"": 3, "":"": 4, ""?"": 2, ""["": 9, ""\\"": 7, ""^"": 8, ""`"": 5, ""|"": 6}"
f9a33aa1,/((`,/((`,/((`,True,arithmetic,arithmetic,True,standard,"{""'"": ""neg_absdiff"", ""\\"": ""mul""}","{""#"": 0, ""$"": 7, ""%"": 1, ""&"": 6, ""("": 4, ""/"": 2, ""@"": 3, ""`"": 8, ""}"": 5}"
fba40625,'>&,'>&,'>&,True,arithmetic,mixed_concat,True,standard,"{""'"": ""sub_signed"", ""/"": ""concat_fwd"", ""`"": ""mul""}","{""#"": 6, ""%"": 0, ""&"": 1, "")"": 2, "">"": 5, ""?"": 8, ""]"": 7, ""^"": 4, ""{"": 3}"
fdbdf50c,"-\""","-\""","-\""",True,arithmetic,little_endian,True,little_endian,"{""-"": ""sub_signed"", ""}"": ""add"", ""("": ""mul""}","{""\"""": 2, ""%"": 0, ""'"": 7, "")"": 9, ""<"": 6, ""?"": 8, ""\\"": 3, ""]"": 4, ""^"": 1, ""|"": 5}"
ff121f08,#<,#<,#<,True,arithmetic,arithmetic,True,standard,"{""+"": ""sub_signed"", ""("": ""mul"", ""\\"": ""add_p1""}","{""!"": 3, ""#"": 1, ""%"": 4, ""/"": 5, ""<"": 2, "">"": 9, ""@"": 6, ""["": 0, ""^"": 7, ""`"": 8}"
