ref,score,bit_family,equation_family,bit_ops,equation_ops,solver,training,inference,safety,chars,path
adilshamim8/nvidia-nemotron-model-reasoning-challenge-101,258,1,0,36,0,0,25,21,40,56066,artifacts\v527_kaggle_code_audit\pulled_code\adilshamim8__nvidia-nemotron-model-reasoning-challenge-101
pranavtrivedi02/pranav-sft-grpo,256,13,0,42,3,0,12,5,8,40186,artifacts\v527_kaggle_code_audit\pulled_code\pranavtrivedi02__pranav-sft-grpo
viswasurya/nvidia-nemotron-training,251,3,0,42,0,0,19,7,29,288649,artifacts\v527_kaggle_code_audit\pulled_code\viswasurya__nvidia-nemotron-training
sigmazhong/matbf16-materialize-bf16-factor,243,0,0,45,7,0,0,25,10,37284,artifacts\v527_kaggle_code_audit\pulled_code\sigmazhong__matbf16-materialize-bf16-factor
francisbanda/nemotron-reasoning-solver,240,2,0,51,0,6,0,0,0,11348,artifacts\v527_kaggle_code_audit\pulled_code\francisbanda__nemotron-reasoning-solver
amanatar/notebookc27c750a42,236,9,8,31,2,7,9,0,0,29286,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__notebookc27c750a42
nhatranvan/notebook3b9ba9b7c6,234,0,0,30,7,0,0,0,86,31304,artifacts\v527_kaggle_code_audit\pulled_code\nhatranvan__notebook3b9ba9b7c6
lamnguyenphuong/novamix,233,0,0,57,0,0,0,0,5,187178,artifacts\v527_kaggle_code_audit\pulled_code\lamnguyenphuong__novamix
konbu17/doc-to-lora-knowledge-injection-nemotron-3-nano,219,5,5,29,5,3,16,2,4,25542,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__doc-to-lora-knowledge-injection-nemotron-3-nano
occultainsights/synthetic-data-generation,219,7,6,41,4,0,0,0,0,27039,artifacts\v527_kaggle_code_audit\pulled_code\occultainsights__synthetic-data-generation
camvsfd/notebook-colsmol-mmdocir-page-vrq,218,0,0,54,0,0,0,2,0,45802,artifacts\v527_kaggle_code_audit\pulled_code\camvsfd__notebook-colsmol-mmdocir-page-vrq
dloc19/notebooka8fde9a327,216,0,0,47,1,0,7,6,4,59956,artifacts\v527_kaggle_code_audit\pulled_code\dloc19__notebooka8fde9a327
svanikkolli/nemotron-engine-ensembler,216,0,0,51,0,0,3,0,6,28295,artifacts\v527_kaggle_code_audit\pulled_code\svanikkolli__nemotron-engine-ensembler
mohankrishnathalla/nemotron-6-puzzle-types-decoded-rule-solvers,214,29,15,14,0,4,2,2,0,28306,artifacts\v527_kaggle_code_audit\pulled_code\mohankrishnathalla__nemotron-6-puzzle-types-decoded-rule-solvers
nhatranvan/resnetse-voxceleb1-07-04,213,0,0,47,1,0,8,3,2,50300,artifacts\v527_kaggle_code_audit\pulled_code\nhatranvan__resnetse-voxceleb1-07-04
abky189/notebook17effa02a5,211,3,0,33,0,0,20,0,30,279223,artifacts\v527_kaggle_code_audit\pulled_code\abky189__notebook17effa02a5
aliafzal9323/nemotron-30b-deterministic-solvers-cot-fine-tu,211,6,0,31,0,10,8,0,3,23594,artifacts\v527_kaggle_code_audit\pulled_code\aliafzal9323__nemotron-30b-deterministic-solvers-cot-fine-tu
ahmadzulfiqar001/exploratory-data-analysis-nvidia,210,0,0,43,0,2,11,4,2,40603,artifacts\v527_kaggle_code_audit\pulled_code\ahmadzulfiqar001__exploratory-data-analysis-nvidia
nhatranvan/notebook3b5827228b,209,0,0,46,1,0,8,3,2,54113,artifacts\v527_kaggle_code_audit\pulled_code\nhatranvan__notebook3b5827228b
venkatasivasai0/notebookddb5a45181,207,2,0,33,0,0,20,0,29,275481,artifacts\v527_kaggle_code_audit\pulled_code\venkatasivasai0__notebookddb5a45181
emanuellcs/nvidia-nemotron-sft,204,0,0,36,1,0,21,0,14,29939,artifacts\v527_kaggle_code_audit\pulled_code\emanuellcs__nvidia-nemotron-sft
huikang/tinker-submission-notebook,204,2,4,8,3,7,10,69,18,41305,artifacts\v527_kaggle_code_audit\pulled_code\huikang__tinker-submission-notebook
storm2501/nvidia-nemotron-two,202,3,0,32,8,0,14,0,5,19184,artifacts\v527_kaggle_code_audit\pulled_code\storm2501__nvidia-nemotron-two
manderson240/nemotron-pure-symbolic-solver-v29,201,2,0,35,6,6,0,0,1,48540,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-pure-symbolic-solver-v29
privatepiecerec/submission-qc-5-layer-framework,199,0,0,47,0,0,0,0,11,11628,artifacts\v527_kaggle_code_audit\pulled_code\privatepiecerec__submission-qc-5-layer-framework
ethnwen/nvidia-nemotron-model-v1,195,1,2,8,3,7,10,69,18,29354,artifacts\v527_kaggle_code_audit\pulled_code\ethnwen__nvidia-nemotron-model-v1
thesharifzade/nemotron-azerbaijan,194,3,1,23,0,7,19,4,13,19767,artifacts\v527_kaggle_code_audit\pulled_code\thesharifzade__nemotron-azerbaijan
amanatar/synthetic-nemotron-hard-reasoning,193,11,0,39,0,0,0,0,4,26887,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__synthetic-nemotron-hard-reasoning
adv1102/nvidia-nemotron-submission,191,0,0,24,9,0,27,0,5,44127,artifacts\v527_kaggle_code_audit\pulled_code\adv1102__nvidia-nemotron-submission
warmtea/lb-training,191,1,1,26,2,7,15,1,7,24638,artifacts\v527_kaggle_code_audit\pulled_code\warmtea__lb-training
namthi/train-weight-query-token,190,0,0,34,9,0,0,5,13,40925,artifacts\v527_kaggle_code_audit\pulled_code\namthi__train-weight-query-token
nicbarthelemy1/novel-synthetic-data-method,189,15,10,14,2,9,0,3,2,14562,artifacts\v527_kaggle_code_audit\pulled_code\nicbarthelemy1__novel-synthetic-data-method
cdnghnam/it2022-ecg,188,0,0,35,10,0,1,0,6,44899,artifacts\v527_kaggle_code_audit\pulled_code\cdnghnam__it2022-ecg
konbu17/nemotron-tong-style-cot-sft-updated-v2,188,16,10,14,4,0,10,12,6,26231,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__nemotron-tong-style-cot-sft-updated-v2
kimberleyduran/solver-verified-cryptarithm-cot-v2-dataset,185,4,6,13,19,2,0,0,17,44612,artifacts\v527_kaggle_code_audit\pulled_code\kimberleyduran__solver-verified-cryptarithm-cot-v2-dataset
namthi/notebook-colpali-v1-3-encode-page-level,184,0,0,33,11,0,0,0,8,30004,artifacts\v527_kaggle_code_audit\pulled_code\namthi__notebook-colpali-v1-3-encode-page-level
bloodmoonwq/nemotron-sft-lora-with-cot,179,10,9,15,4,0,20,1,5,24114,artifacts\v527_kaggle_code_audit\pulled_code\bloodmoonwq__nemotron-sft-lora-with-cot
sorajiang/notebooksft,171,9,8,19,4,0,11,1,5,21527,artifacts\v527_kaggle_code_audit\pulled_code\sorajiang__notebooksft
trishanthmellimi/finding-nemo-v3,171,0,0,36,0,0,9,0,9,10535,artifacts\v527_kaggle_code_audit\pulled_code\trishanthmellimi__finding-nemo-v3
impooping/nemotron-sft-reasoning-trajectories-dataset,170,11,11,15,4,0,11,1,5,19462,artifacts\v527_kaggle_code_audit\pulled_code\impooping__nemotron-sft-reasoning-trajectories-dataset
kienngx/nemotron-sft-reasoning-trajectories-dataset,170,11,11,15,4,0,11,1,5,19491,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nemotron-sft-reasoning-trajectories-dataset
tahaalam2009/nemotron-batched-logprob-filter-train,168,3,4,21,3,0,18,13,2,19058,artifacts\v527_kaggle_code_audit\pulled_code\tahaalam2009__nemotron-batched-logprob-filter-train
mirzayasirabdullah07/nvidia-nemotron-model-reasoning-notebook,167,9,7,16,5,0,14,1,6,23058,artifacts\v527_kaggle_code_audit\pulled_code\mirzayasirabdullah07__nvidia-nemotron-model-reasoning-notebook
marcelocruzeta/nemotron-mrc-02-submission-v2,166,3,3,26,0,0,17,0,10,58695,artifacts\v527_kaggle_code_audit\pulled_code\marcelocruzeta__nemotron-mrc-02-submission-v2
tahaalam2009/end-to-end-finetuning-for-lb-0-82-csv-custom,160,2,4,20,2,0,25,0,4,23690,artifacts\v527_kaggle_code_audit\pulled_code\tahaalam2009__end-to-end-finetuning-for-lb-0-82-csv-custom
harsha7754/nvidia-nemotron-prompting-on-base-model,159,8,5,22,2,1,9,0,1,40768,artifacts\v527_kaggle_code_audit\pulled_code\harsha7754__nvidia-nemotron-prompting-on-base-model
hoangvux/nvidia-nemotron-synthetic-data,157,3,1,28,8,0,0,0,1,27152,artifacts\v527_kaggle_code_audit\pulled_code\hoangvux__nvidia-nemotron-synthetic-data
lalit7881/nvidia-reasoning-challenge,157,19,9,11,0,5,1,0,2,25997,artifacts\v527_kaggle_code_audit\pulled_code\lalit7881__nvidia-reasoning-challenge
hammadfarooq470/nemotron-sft-lora-with-cot-selected-data,155,9,8,15,4,0,11,1,5,19013,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nemotron-sft-lora-with-cot-selected-data
konbu17/nemotron-sft-lora-with-cot,155,9,8,15,4,0,11,1,5,19047,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__nemotron-sft-lora-with-cot
martinijean/nemotron-sft-lora-with-cot,155,9,8,15,4,0,11,1,5,20303,artifacts\v527_kaggle_code_audit\pulled_code\martinijean__nemotron-sft-lora-with-cot
prashantmhaske123/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,155,9,8,15,4,0,11,1,5,19077,artifacts\v527_kaggle_code_audit\pulled_code\prashantmhaske123__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
toney02/nemotron-sft-lora-with-cot,155,9,8,15,4,0,11,1,5,19621,artifacts\v527_kaggle_code_audit\pulled_code\toney02__nemotron-sft-lora-with-cot
johnjanson/agi-for-medal-0-87-is-possible,154,0,0,28,1,3,2,17,2,22963,artifacts\v527_kaggle_code_audit\pulled_code\johnjanson__agi-for-medal-0-87-is-possible
krupalpatel07/nvidia-beast-model,154,0,0,28,0,0,14,5,9,17011,artifacts\v527_kaggle_code_audit\pulled_code\krupalpatel07__nvidia-beast-model
quan242/nvidia-nemotron-reasoning-dataset-gen,145,0,1,29,0,5,0,0,1,18910,artifacts\v527_kaggle_code_audit\pulled_code\quan242__nvidia-nemotron-reasoning-dataset-gen
chaitanyajamble/nvidia-nrc,144,0,0,29,1,0,4,6,10,49602,artifacts\v527_kaggle_code_audit\pulled_code\chaitanyajamble__nvidia-nrc
manish756/nvidia-nemotron-notebook,144,1,0,25,4,0,9,2,5,18691,artifacts\v527_kaggle_code_audit\pulled_code\manish756__nvidia-nemotron-notebook
udaken10/automl-finetunng,143,0,0,2,0,25,4,2,0,12543,artifacts\v527_kaggle_code_audit\pulled_code\udaken10__automl-finetunng
minhtri123456/tt-ai-b-i-2,140,0,0,35,0,0,0,0,0,10394,artifacts\v527_kaggle_code_audit\pulled_code\minhtri123456__tt-ai-b-i-2
rn8205/adapter-validation-notebook,140,3,5,6,3,7,0,43,2,18200,artifacts\v527_kaggle_code_audit\pulled_code\rn8205__adapter-validation-notebook
caoruizhe/nemotron-cotsafe,139,1,0,21,4,0,17,0,2,20618,artifacts\v527_kaggle_code_audit\pulled_code\caoruizhe__nemotron-cotsafe
dimaspashaakrilian/nemotron-3-nano-lora-sft-with-verified-cot,139,2,1,16,8,0,14,3,3,20461,artifacts\v527_kaggle_code_audit\pulled_code\dimaspashaakrilian__nemotron-3-nano-lora-sft-with-verified-cot
nicholas33/nb153-nvidia-nemotron,139,0,0,15,7,4,7,2,15,23571,artifacts\v527_kaggle_code_audit\pulled_code\nicholas33__nb153-nvidia-nemotron
hastws/sfttrainer-training,138,2,0,20,3,2,8,8,6,13116,artifacts\v527_kaggle_code_audit\pulled_code\hastws__sfttrainer-training
mohamedamr992/nemotron3-reasoning-pipeline-v1,136,5,3,21,0,0,10,0,8,16504,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__nemotron3-reasoning-pipeline-v1
uyentran10/radiussmotified-gan-test,135,0,0,26,0,0,15,0,1,13267,artifacts\v527_kaggle_code_audit\pulled_code\uyentran10__radiussmotified-gan-test
cdnghnam/it2022-ckhoan,134,0,0,26,6,0,1,0,4,36783,artifacts\v527_kaggle_code_audit\pulled_code\cdnghnam__it2022-ckhoan
huikang/adapter-validation-notebook,134,3,3,6,2,7,0,46,3,15963,artifacts\v527_kaggle_code_audit\pulled_code\huikang__adapter-validation-notebook
tamgujoa/adapter-validation-notebook,134,3,3,6,2,7,0,46,3,15959,artifacts\v527_kaggle_code_audit\pulled_code\tamgujoa__adapter-validation-notebook
torpidoff/full-pipeline-nvidia-nemotron-3-reasoning,132,1,0,21,1,0,15,2,9,22974,artifacts\v527_kaggle_code_audit\pulled_code\torpidoff__full-pipeline-nvidia-nemotron-3-reasoning
nguyenducdung1107/notebook-testing-method-layout,131,0,0,23,4,0,4,0,15,29134,artifacts\v527_kaggle_code_audit\pulled_code\nguyenducdung1107__notebook-testing-method-layout
chaitanyajamble/nvidia-nmrc-1,130,0,0,26,0,0,8,2,8,37367,artifacts\v527_kaggle_code_audit\pulled_code\chaitanyajamble__nvidia-nmrc-1
toney02/nvidia-nemotron-sfttrainer-training,130,0,0,26,0,0,8,0,10,13029,artifacts\v527_kaggle_code_audit\pulled_code\toney02__nvidia-nemotron-sfttrainer-training
huikang/end-to-end-finetuning-for-lb-0-85,129,0,0,12,0,0,33,0,15,30612,artifacts\v527_kaggle_code_audit\pulled_code\huikang__end-to-end-finetuning-for-lb-0-85
kalyankkr/all-6-puzzle-types-decoded-sft-training-data,129,14,6,9,0,0,15,1,2,27166,artifacts\v527_kaggle_code_audit\pulled_code\kalyankkr__all-6-puzzle-types-decoded-sft-training-data
konbu17/cot-generation-for-nemotron-challenge,129,8,1,24,0,0,0,6,0,24585,artifacts\v527_kaggle_code_audit\pulled_code\konbu17__cot-generation-for-nemotron-challenge
leegongman/sft-my-data-balace,129,0,0,12,0,0,33,0,15,30516,artifacts\v527_kaggle_code_audit\pulled_code\leegongman__sft-my-data-balace
panweiw/huikang-end-to-end-public-repro,129,0,0,12,0,0,33,0,15,30612,artifacts\v527_kaggle_code_audit\pulled_code\panweiw__huikang-end-to-end-public-repro
suryamilenial/end-to-end-finetuning-for-lb-0-83-6e2fa5,129,0,0,12,0,0,33,0,15,30617,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__end-to-end-finetuning-for-lb-0-83-6e2fa5
xiaoxizhang2025/try1-fuben,129,0,0,12,0,0,33,0,15,31547,artifacts\v527_kaggle_code_audit\pulled_code\xiaoxizhang2025__try1-fuben
smilyaiiscoolgubby/nvidia-nemotron-training-cot-labels-my-edition,128,0,0,23,1,0,10,0,12,26654,artifacts\v527_kaggle_code_audit\pulled_code\smilyaiiscoolgubby__nvidia-nemotron-training-cot-labels-my-edition
koushikrudra/nvidia-utility-script,127,0,0,29,0,0,3,0,5,25636,artifacts\v527_kaggle_code_audit\pulled_code\koushikrudra__nvidia-utility-script
saivimenthanvlai/nemotron-model-reasoning-challenge,127,2,0,20,0,8,0,0,1,14460,artifacts\v527_kaggle_code_audit\pulled_code\saivimenthanvlai__nemotron-model-reasoning-challenge
johnakwei/nvidia-nemotron-contextbase-v3,126,0,1,25,0,0,7,0,9,13602,artifacts\v527_kaggle_code_audit\pulled_code\johnakwei__nvidia-nemotron-contextbase-v3
torpidoff/cot-nvidia-nemotron-3,126,3,0,25,0,0,1,6,9,18837,artifacts\v527_kaggle_code_audit\pulled_code\torpidoff__cot-nvidia-nemotron-3
phamcuong211/2-03-ph-m-th-c-ng,124,0,0,31,0,0,0,0,0,11434,artifacts\v527_kaggle_code_audit\pulled_code\phamcuong211__2-03-ph-m-th-c-ng
newduck/nvidia-nemotron-soft-balanced-sampling-sft,123,3,1,19,0,0,16,2,1,13053,artifacts\v527_kaggle_code_audit\pulled_code\newduck__nvidia-nemotron-soft-balanced-sampling-sft
yinkaog/run28-051026,123,4,3,15,3,0,7,2,14,27880,artifacts\v527_kaggle_code_audit\pulled_code\yinkaog__run28-051026
kacchanwriting/nemotron-baseline-v2,122,10,9,11,0,0,10,0,1,15151,artifacts\v527_kaggle_code_audit\pulled_code\kacchanwriting__nemotron-baseline-v2
dnglethnh/data-dyn-d1-steps,120,0,0,30,0,0,0,0,0,6809,artifacts\v527_kaggle_code_audit\pulled_code\dnglethnh__data-dyn-d1-steps
leehoangquan006/data-dyn-d1-flat,120,0,0,30,0,0,0,0,0,6808,artifacts\v527_kaggle_code_audit\pulled_code\leehoangquan006__data-dyn-d1-flat
quan242/nvidia-nemotron-training-v2-cot-labels,120,0,0,24,0,0,9,1,5,14062,artifacts\v527_kaggle_code_audit\pulled_code\quan242__nvidia-nemotron-training-v2-cot-labels
thunvng/data-dyn-d1-prose,120,0,0,30,0,0,0,0,0,6809,artifacts\v527_kaggle_code_audit\pulled_code\thunvng__data-dyn-d1-prose
damndeepesh/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,119,1,5,15,3,0,12,0,5,18316,artifacts\v527_kaggle_code_audit\pulled_code\damndeepesh__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
ohhhlgm/unsloth-to-achieve-0-85-lb-use-dora-and-adapter,119,0,0,18,2,0,18,1,2,17931,artifacts\v527_kaggle_code_audit\pulled_code\ohhhlgm__unsloth-to-achieve-0-85-lb-use-dora-and-adapter
amanatar/nemotron-3-nano-blackwell-optimized-reasoning,116,0,0,20,5,0,7,0,2,13135,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nemotron-3-nano-blackwell-optimized-reasoning
camvsfd/fork-of-notebook-ex-colpali-layout-5510c9,116,0,0,21,8,0,0,0,0,27212,artifacts\v527_kaggle_code_audit\pulled_code\camvsfd__fork-of-notebook-ex-colpali-layout-5510c9
mohankrishnathalla/nvidia-nemotron-model-reasoning-challenge,116,3,1,13,0,6,9,1,3,14189,artifacts\v527_kaggle_code_audit\pulled_code\mohankrishnathalla__nvidia-nemotron-model-reasoning-challenge
anhtran10/sasmotified-gan-test,115,0,0,21,0,0,15,0,1,13890,artifacts\v527_kaggle_code_audit\pulled_code\anhtran10__sasmotified-gan-test
dgxchen/training-with-unsloth-to-achieve-0-85-lb,113,0,0,18,2,0,15,1,2,17646,artifacts\v527_kaggle_code_audit\pulled_code\dgxchen__training-with-unsloth-to-achieve-0-85-lb
dickjun/nemotron-public085-pretrained-control-v1,113,0,0,18,2,0,15,1,2,17687,artifacts\v527_kaggle_code_audit\pulled_code\dickjun__nemotron-public085-pretrained-control-v1
xduan7/nemotron-bit-verifier-append-memcheck,113,3,1,6,3,4,0,29,16,10531,artifacts\v527_kaggle_code_audit\pulled_code\xduan7__nemotron-bit-verifier-append-memcheck
