ref,score,bit_family,equation_family,bit_ops,solver,training,inference,chars,path
sarcasmos/nvidia-nemotron-model-reasoning-challenge,78,9,0,17,0,0,0,40391,artifacts\v527_kaggle_code_audit\pulled_code\sarcasmos__nvidia-nemotron-model-reasoning-challenge
rn8205/adapter-validation-notebook,77,3,5,6,0,0,35,18200,artifacts\v527_kaggle_code_audit\pulled_code\rn8205__adapter-validation-notebook
hastws/sfttrainer-training,76,2,0,19,0,5,8,13116,artifacts\v527_kaggle_code_audit\pulled_code\hastws__sfttrainer-training
huikang/adapter-validation-notebook,74,3,3,6,0,0,38,15963,artifacts\v527_kaggle_code_audit\pulled_code\huikang__adapter-validation-notebook
comistrymo/nvidia-nemotron-training-cot-labels,70,0,0,21,0,7,0,11944,artifacts\v527_kaggle_code_audit\pulled_code\comistrymo__nvidia-nemotron-training-cot-labels
newduck/nvidia-nemotron-soft-balanced-sampling-sft,69,3,1,15,0,12,0,13053,artifacts\v527_kaggle_code_audit\pulled_code\newduck__nvidia-nemotron-soft-balanced-sampling-sft
javihm77/nvidia-nemotron-sfttrainer-training-jh,67,3,3,14,0,6,1,13064,artifacts\v527_kaggle_code_audit\pulled_code\javihm77__nvidia-nemotron-sfttrainer-training-jh
kimberleyduran/solver-verified-cryptarithm-cot-v2-dataset,67,4,6,9,2,0,0,44612,artifacts\v527_kaggle_code_audit\pulled_code\kimberleyduran__solver-verified-cryptarithm-cot-v2-dataset
damndeepesh/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,66,1,5,13,0,9,0,18316,artifacts\v527_kaggle_code_audit\pulled_code\damndeepesh__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
huikang/end-to-end-finetuning-for-lb-0-85,66,0,0,11,0,33,0,30612,artifacts\v527_kaggle_code_audit\pulled_code\huikang__end-to-end-finetuning-for-lb-0-85
impooping/generate-cots-labels,66,1,0,21,0,0,0,6491,artifacts\v527_kaggle_code_audit\pulled_code\impooping__generate-cots-labels
koushikrudra/nvidia-9500-step-training,66,0,0,19,0,9,0,19813,artifacts\v527_kaggle_code_audit\pulled_code\koushikrudra__nvidia-9500-step-training
leegongman/sft-my-data-balace,66,0,0,11,0,33,0,30516,artifacts\v527_kaggle_code_audit\pulled_code\leegongman__sft-my-data-balace
suryamilenial/end-to-end-finetuning-for-lb-0-83-6e2fa5,66,0,0,11,0,33,0,30617,artifacts\v527_kaggle_code_audit\pulled_code\suryamilenial__end-to-end-finetuning-for-lb-0-83-6e2fa5
amanatar/nemotron-3-nano-blackwell-optimized-reasoning,65,0,0,20,0,5,0,13135,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nemotron-3-nano-blackwell-optimized-reasoning
waterjoe/fork-of-nvidia-nemotron-sft-grpo-trainer,65,2,1,16,0,7,1,16176,artifacts\v527_kaggle_code_audit\pulled_code\waterjoe__fork-of-nvidia-nemotron-sft-grpo-trainer
mah20050/nvidia-nemotron-the-wonderland-nsa,64,2,0,13,0,12,7,40749,artifacts\v527_kaggle_code_audit\pulled_code\mah20050__nvidia-nemotron-the-wonderland-nsa
dgxchen/training-with-unsloth-to-achieve-0-85-lb,63,0,0,17,0,11,1,17646,artifacts\v527_kaggle_code_audit\pulled_code\dgxchen__training-with-unsloth-to-achieve-0-85-lb
manderson240/nemotron-pure-symbolic-solver-v28,63,1,0,10,6,0,0,18036,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-pure-symbolic-solver-v28
jal313/nvidia-nemotron-training-cot-labels-70ddae,61,0,0,18,0,7,0,10814,artifacts\v527_kaggle_code_audit\pulled_code\jal313__nvidia-nemotron-training-cot-labels-70ddae
kienngx/nvidia-nemotron-training-copy-run-instantly,61,0,0,18,0,7,0,10364,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nvidia-nemotron-training-copy-run-instantly
konstantinboyko/01-04-training-with-unsloth-batch-2-epoch-2,59,0,0,16,0,10,1,16640,artifacts\v527_kaggle_code_audit\pulled_code\konstantinboyko__01-04-training-with-unsloth-batch-2-epoch-2
kienngx/nvidia-nemotron-training-cot-labels,58,0,0,17,0,7,0,10511,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nvidia-nemotron-training-cot-labels
rezaazami/0-64-nvidia-nemotron-training,58,0,0,17,0,7,0,10507,artifacts\v527_kaggle_code_audit\pulled_code\rezaazami__0-64-nvidia-nemotron-training
cmirani/nemotron-lora-fine-tuning-pipeline,57,1,0,15,0,9,0,14654,artifacts\v527_kaggle_code_audit\pulled_code\cmirani__nemotron-lora-fine-tuning-pipeline
hammadfarooq470/nvidia-nemotron-reasoning,57,0,0,14,0,5,10,16155,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-reasoning
sakhawathossen/nemotron-reasoning-boost-hf-qlora-trainer,57,0,0,16,0,7,2,16010,artifacts\v527_kaggle_code_audit\pulled_code\sakhawathossen__nemotron-reasoning-boost-hf-qlora-trainer
rauffauzanrambe/nvidia-next-gen-reasoning-ai-for-deep-learning,56,0,0,16,0,8,0,15825,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-next-gen-reasoning-ai-for-deep-learning
hlly34/nemotron-baseline-evaluation,54,0,0,5,0,0,39,16317,artifacts\v527_kaggle_code_audit\pulled_code\hlly34__nemotron-baseline-evaluation
yashanathaniel/nvidia-nemotron-training,53,0,0,16,0,5,0,14004,artifacts\v527_kaggle_code_audit\pulled_code\yashanathaniel__nvidia-nemotron-training
amanatar/nvidia-nemotron-sfttrainer-training,51,0,0,15,0,6,0,14605,artifacts\v527_kaggle_code_audit\pulled_code\amanatar__nvidia-nemotron-sfttrainer-training
manderson240/nemotron-symbolic-solver-v36-fixed,50,2,0,3,7,0,0,8738,artifacts\v527_kaggle_code_audit\pulled_code\manderson240__nemotron-symbolic-solver-v36-fixed
mayukh18/unsloth-sft-full-data-training,50,0,0,10,0,9,11,14389,artifacts\v527_kaggle_code_audit\pulled_code\mayukh18__unsloth-sft-full-data-training
mohamedamr992/easy-loading-of-nemotron-3,50,0,0,16,0,2,0,8982,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__easy-loading-of-nemotron-3
nhtdngtrn/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,49,1,1,12,0,7,0,14283,artifacts\v527_kaggle_code_audit\pulled_code\nhtdngtrn__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
krupalpatel07/nemotron-model-1,47,0,0,13,0,5,3,7323,artifacts\v527_kaggle_code_audit\pulled_code\krupalpatel07__nemotron-model-1
pauldumontunc/lora-training,47,0,0,13,0,8,0,11922,artifacts\v527_kaggle_code_audit\pulled_code\pauldumontunc__lora-training
manhha25022005/nemotron-sft-lora-with-cot-v2-prep-now-plz-wait,46,1,1,11,0,7,0,13663,artifacts\v527_kaggle_code_audit\pulled_code\manhha25022005__nemotron-sft-lora-with-cot-v2-prep-now-plz-wait
include4eto/nvidia-nemotron-training,45,0,0,13,0,6,0,10057,artifacts\v527_kaggle_code_audit\pulled_code\include4eto__nvidia-nemotron-training
optiminist/equation-eda-operator-operation-84-solve-rate,45,0,6,9,0,0,0,19671,artifacts\v527_kaggle_code_audit\pulled_code\optiminist__equation-eda-operator-operation-84-solve-rate
kodatirevanth/7-prompts-tested-which-one-wins,44,2,0,8,1,0,9,21430,artifacts\v527_kaggle_code_audit\pulled_code\kodatirevanth__7-prompts-tested-which-one-wins
dennisfong/nvidia-nemotron-sfttrainer-training,42,0,0,12,0,6,0,7126,artifacts\v527_kaggle_code_audit\pulled_code\dennisfong__nvidia-nemotron-sfttrainer-training
waterjoe/nvidia-nemotron-mask-loss,42,0,0,12,0,6,0,7527,artifacts\v527_kaggle_code_audit\pulled_code\waterjoe__nvidia-nemotron-mask-loss
johnnyhyland/nvidia-nemotron-training,41,0,0,12,0,5,0,7705,artifacts\v527_kaggle_code_audit\pulled_code\johnnyhyland__nvidia-nemotron-training
uraniumdistilled/nvidia-nemotron-grpo-training,39,0,0,9,0,0,12,17354,artifacts\v527_kaggle_code_audit\pulled_code\uraniumdistilled__nvidia-nemotron-grpo-training
hiroshige1/start,35,0,0,10,0,5,0,6523,artifacts\v527_kaggle_code_audit\pulled_code\hiroshige1__start
mirzayasirabdullah07/nvidia-nemotron-model-notebook,35,0,0,9,0,8,0,13393,artifacts\v527_kaggle_code_audit\pulled_code\mirzayasirabdullah07__nvidia-nemotron-model-notebook
trnhquangminh140/nvidia-nemotron-model-reasoning-trinh-quang-minh,34,2,0,6,0,6,4,11872,artifacts\v527_kaggle_code_audit\pulled_code\trnhquangminh140__nvidia-nemotron-model-reasoning-trinh-quang-minh
bbobwayne/nemotron-lora32-r1-tier-1-heuristic-baseline,33,0,0,11,0,0,0,31985,artifacts\v527_kaggle_code_audit\pulled_code\bbobwayne__nemotron-lora32-r1-tier-1-heuristic-baseline
sluitel/dsoc-baseline-submission,31,2,0,0,5,0,0,5395,artifacts\v527_kaggle_code_audit\pulled_code\sluitel__dsoc-baseline-submission
nadiakhalid/nvidia-nemotron-model-reasoning,30,2,0,6,1,1,0,15473,artifacts\v527_kaggle_code_audit\pulled_code\nadiakhalid__nvidia-nemotron-model-reasoning
privatepiecerec/nemotron-reasoning-task-family-tour,30,6,1,3,0,0,0,7789,artifacts\v527_kaggle_code_audit\pulled_code\privatepiecerec__nemotron-reasoning-task-family-tour
rauffauzanrambe/lora-nvidia-nemotron-models-with-pytorch,30,0,0,6,0,12,0,7972,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-nvidia-nemotron-models-with-pytorch
jiazhuang/nemotron-mainstream-llm-performance-comparison,29,0,0,2,2,0,13,9654,artifacts\v527_kaggle_code_audit\pulled_code\jiazhuang__nemotron-mainstream-llm-performance-comparison
sakshatpatil25/nvidia-nemotron-submission-demo,28,0,0,7,0,7,0,9554,artifacts\v527_kaggle_code_audit\pulled_code\sakshatpatil25__nvidia-nemotron-submission-demo
afr1ste/nemotron-0-86-tinker-adapter-guide,27,0,0,7,0,6,0,9535,artifacts\v527_kaggle_code_audit\pulled_code\afr1ste__nemotron-0-86-tinker-adapter-guide
revatidharmadhikari/revati-experiments-nvidia-nemotron-submission,27,0,0,5,0,12,0,13665,artifacts\v527_kaggle_code_audit\pulled_code\revatidharmadhikari__revati-experiments-nvidia-nemotron-submission
vohuutridung/3930-sft-summarization-models,26,0,0,5,0,11,0,8496,artifacts\v527_kaggle_code_audit\pulled_code\vohuutridung__3930-sft-summarization-models
jek1wantaufik/nvidia-nemotron-model-reasoning-challenge,25,0,0,7,0,4,0,6214,artifacts\v527_kaggle_code_audit\pulled_code\jek1wantaufik__nvidia-nemotron-model-reasoning-challenge
ritikroshan4857/nvidia-nemotron-model-reasoning-challenge,25,0,0,7,0,4,0,6214,artifacts\v527_kaggle_code_audit\pulled_code\ritikroshan4857__nvidia-nemotron-model-reasoning-challenge
hammadfarooq470/geometry-of-intelligence-svd-lora-art-compression,22,0,0,6,0,4,0,6223,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__geometry-of-intelligence-svd-lora-art-compression
rauffauzanrambe/nvidia-nemotron-trained-meachine-learning,22,0,0,4,0,10,0,4156,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-nemotron-trained-meachine-learning
rauffauzanrambe/lora-autonomous-cot-engine,21,0,0,7,0,0,0,6216,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-autonomous-cot-engine
sanjaysuthraye96/exploratory-data-analysis-nvidia-nemotron,21,3,2,2,0,0,0,6522,artifacts\v527_kaggle_code_audit\pulled_code\sanjaysuthraye96__exploratory-data-analysis-nvidia-nemotron
esaaak/nemotron-3-nano-30b-starter-lora-fine-tuning,20,0,0,4,0,7,1,10490,artifacts\v527_kaggle_code_audit\pulled_code\esaaak__nemotron-3-nano-30b-starter-lora-fine-tuning
mpwolke/alice-in-nvidia-wonderland,17,0,0,5,0,0,2,6137,artifacts\v527_kaggle_code_audit\pulled_code\mpwolke__alice-in-nvidia-wonderland
alexxxsem/nemotron-simple-offline-working-demo,16,0,0,3,0,7,0,4578,artifacts\v527_kaggle_code_audit\pulled_code\alexxxsem__nemotron-simple-offline-working-demo
drchenb/nvidia-nemotron-trained-models-submission,16,0,0,0,0,16,0,6766,artifacts\v527_kaggle_code_audit\pulled_code\drchenb__nvidia-nemotron-trained-models-submission
mebbbbbbius/nvidia-nemotron-submission-demo,16,1,0,4,0,1,0,15173,artifacts\v527_kaggle_code_audit\pulled_code\mebbbbbbius__nvidia-nemotron-submission-demo
hammadfarooq470/nvidia-nemotron-trained-models-submission,12,0,0,0,0,12,0,2455,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-trained-models-submission
kienngx/nvidia-nemotron-trained-models-submission,12,0,0,0,0,12,0,4172,artifacts\v527_kaggle_code_audit\pulled_code\kienngx__nvidia-nemotron-trained-models-submission
markjcooper/thk-public-fork-2026-05-14-v10-kienngx,12,0,0,0,0,12,0,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v10-kienngx
markjcooper/thk-public-fork-2026-05-14-v14-tinker-adapter,12,0,0,0,0,12,0,4172,artifacts\v527_kaggle_code_audit\pulled_code\markjcooper__thk-public-fork-2026-05-14-v14-tinker-adapter
ulyanovantonamaranta/nemotron-9500-adapter-repro,12,0,0,4,0,0,0,1836,artifacts\v527_kaggle_code_audit\pulled_code\ulyanovantonamaranta__nemotron-9500-adapter-repro
ulyanovantonamaranta/nemotron-tinker-adapter-repro,12,0,0,4,0,0,0,1522,artifacts\v527_kaggle_code_audit\pulled_code\ulyanovantonamaranta__nemotron-tinker-adapter-repro
rauffauzanrambe/lora-adapter-fusion-and-rank-compression-pipeline,11,0,0,3,0,2,0,6715,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__lora-adapter-fusion-and-rank-compression-pipeline
rdn2k00/cot-preprocessing,10,0,0,3,0,0,1,6349,artifacts\v527_kaggle_code_audit\pulled_code\rdn2k00__cot-preprocessing
hammadfarooq470/nvidia-nemotron-model-reasoning-0-68,9,0,0,3,0,0,0,3638,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__nvidia-nemotron-model-reasoning-0-68
jek1wantaufik/nvidia-nemotron-model-reasoning-0-68,9,0,0,3,0,0,0,3700,artifacts\v527_kaggle_code_audit\pulled_code\jek1wantaufik__nvidia-nemotron-model-reasoning-0-68
rauffauzanrambe/nvidia-advanced-ai-training-analytics-system,9,0,0,3,0,0,0,11911,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-advanced-ai-training-analytics-system
ringustheimp/tinker-w-svd-rank-16,9,0,0,2,0,3,0,3692,artifacts\v527_kaggle_code_audit\pulled_code\ringustheimp__tinker-w-svd-rank-16
asalhi/tinker-adapter-to-ready-to-submit-adapter,8,0,0,2,0,2,0,3484,artifacts\v527_kaggle_code_audit\pulled_code\asalhi__tinker-adapter-to-ready-to-submit-adapter
hammadfarooq470/think-twice-self-correcting-reasoning,8,0,0,2,0,2,0,3691,artifacts\v527_kaggle_code_audit\pulled_code\hammadfarooq470__think-twice-self-correcting-reasoning
michaelkong537/tinker-adapter-solved-some-internet-issues,8,0,0,2,0,2,0,3762,artifacts\v527_kaggle_code_audit\pulled_code\michaelkong537__tinker-adapter-solved-some-internet-issues
rdn2k00/nemotron-qlora,8,0,0,0,0,8,0,2387,artifacts\v527_kaggle_code_audit\pulled_code\rdn2k00__nemotron-qlora
evgendvorkin/nemotron-3-nano-lora-adapter-submission,7,2,0,0,0,1,0,6948,artifacts\v527_kaggle_code_audit\pulled_code\evgendvorkin__nemotron-3-nano-lora-adapter-submission
citerne/from-local-dev-rtx-6000-kaggle-cli-guide,6,0,0,2,0,0,0,13019,artifacts\v527_kaggle_code_audit\pulled_code\citerne__from-local-dev-rtx-6000-kaggle-cli-guide
edyvision/nvidia-nemotron-submission-demo-w-blackwell-patch,6,0,0,0,0,6,0,7093,artifacts\v527_kaggle_code_audit\pulled_code\edyvision__nvidia-nemotron-submission-demo-w-blackwell-patch
krupalpatel07/advanced-nemotron-model-2,6,0,0,1,0,2,1,4790,artifacts\v527_kaggle_code_audit\pulled_code\krupalpatel07__advanced-nemotron-model-2
cryptdragon/nemotron-30b-deterministic-solvers-cot-fine-tu,5,0,0,0,0,5,0,2287,artifacts\v527_kaggle_code_audit\pulled_code\cryptdragon__nemotron-30b-deterministic-solvers-cot-fine-tu
dhruvb2028/tinker-adapter-ready-to-submit-adapter,5,0,0,1,0,2,0,3893,artifacts\v527_kaggle_code_audit\pulled_code\dhruvb2028__tinker-adapter-ready-to-submit-adapter
raunakdey07/nemotron-tinker-adapter,5,0,0,1,0,2,0,3515,artifacts\v527_kaggle_code_audit\pulled_code\raunakdey07__nemotron-tinker-adapter
ryanholbrook/nvidia-nemotron-submission-demo,5,0,0,0,0,5,0,1589,artifacts\v527_kaggle_code_audit\pulled_code\ryanholbrook__nvidia-nemotron-submission-demo
anhhkhoi/nvidia-nemotron-submission-demo,4,0,0,1,0,0,1,3874,artifacts\v527_kaggle_code_audit\pulled_code\anhhkhoi__nvidia-nemotron-submission-demo
rohansan1/nemotron-reasoning-lora-solution-writeup,4,0,0,1,0,0,1,8877,artifacts\v527_kaggle_code_audit\pulled_code\rohansan1__nemotron-reasoning-lora-solution-writeup
bbobwayne/nemotron-tier-1-lora-baseline,3,0,0,1,0,0,0,3689,artifacts\v527_kaggle_code_audit\pulled_code\bbobwayne__nemotron-tier-1-lora-baseline
huikang/nvidia-nemotron-all-linear,3,0,0,0,0,3,0,1411,artifacts\v527_kaggle_code_audit\pulled_code\huikang__nvidia-nemotron-all-linear
rahulchauhan016/nemotron-lora-reasoning-pipeline,3,0,0,0,0,3,0,6080,artifacts\v527_kaggle_code_audit\pulled_code\rahulchauhan016__nemotron-lora-reasoning-pipeline
croftadams/nemotron-working-submission-test,1,0,0,0,0,1,0,2403,artifacts\v527_kaggle_code_audit\pulled_code\croftadams__nemotron-working-submission-test
denislu/nvidia-nemotron-model-reasoning-challenge,1,0,0,0,0,1,0,1688,artifacts\v527_kaggle_code_audit\pulled_code\denislu__nvidia-nemotron-model-reasoning-challenge
eslamelokpy/tinker-adapter,0,0,0,0,0,0,0,686,artifacts\v527_kaggle_code_audit\pulled_code\eslamelokpy__tinker-adapter
jek1wantaufik/nemotron-lora-adapter,0,0,0,0,0,0,0,584,artifacts\v527_kaggle_code_audit\pulled_code\jek1wantaufik__nemotron-lora-adapter
jiazhuang/nemotron-distillation-from-llm,0,0,0,0,0,0,0,1551,artifacts\v527_kaggle_code_audit\pulled_code\jiazhuang__nemotron-distillation-from-llm
johnnyhyland/offline-packages-trl,0,0,0,0,0,0,0,113,artifacts\v527_kaggle_code_audit\pulled_code\johnnyhyland__offline-packages-trl
konstantinboyko/nnmrc-2026-whl-unsloth-01-01-d168,0,0,0,0,0,0,0,450,artifacts\v527_kaggle_code_audit\pulled_code\konstantinboyko__nnmrc-2026-whl-unsloth-01-01-d168
mohamedamr992/0-86-adapter-packaging-workflow,0,0,0,0,0,0,0,1049,artifacts\v527_kaggle_code_audit\pulled_code\mohamedamr992__0-86-adapter-packaging-workflow
rauffauzanrambe/nvidia-advances-pytorch-rnn-training-pipeline,0,0,0,0,0,0,0,8032,artifacts\v527_kaggle_code_audit\pulled_code\rauffauzanrambe__nvidia-advances-pytorch-rnn-training-pipeline
ravi20076/nemotron2026-public-submission-v1,0,0,0,0,0,0,0,986,artifacts\v527_kaggle_code_audit\pulled_code\ravi20076__nemotron2026-public-submission-v1
rohanrk1813/nvidia-comp,0,0,0,0,0,0,0,1567,artifacts\v527_kaggle_code_audit\pulled_code\rohanrk1813__nvidia-comp
safar1/lb-score-0-86,0,0,0,0,0,0,0,1567,artifacts\v527_kaggle_code_audit\pulled_code\safar1__lb-score-0-86
