ref,title,author,lastRunTime,totalVotes,kernel_type,seen_sort,seen_page
kienngx/nemotron-sft-reasoning-trajectories-dataset,Nemotron SFT (Reasoning Trajectories Dataset),Ngô Xuân Kiên,2026-04-08 08:41:20.727000,106,notebook,voteCount,1
newduck/nvidia-nemotron-soft-balanced-sampling-sft,NVIDIA Nemotron - Soft-Balanced Sampling + SFT,newduck,2026-03-28 13:10:32.897000,99,notebook,voteCount,1
hiroshige1/start,start,hiros,2026-03-19 00:00:51.757000,98,notebook,voteCount,1
mirzayasirabdullah07/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,Mirza Yasir Abdullah Baig,2026-05-12 20:10:29.707000,96,notebook,voteCount,1
konbu17/nemotron-tong-style-cot-sft-updated-v2,Nemotron Tong-Style CoT SFT (updated v2),konbu17,2026-04-19 02:06:34.357000,92,notebook,voteCount,1
rohanrk1813/nvidia-comp,NVIDIA_COMP,Rohanrk1813,2026-05-06 08:53:38.767000,85,notebook,voteCount,1
comistrymo/nvidia-nemotron-training-cot-labels,NVIDIA Nemotron Training (CoT + Labels),ComistryMo,2026-04-02 02:28:27.800000,84,notebook,voteCount,1
konstantinboyko/01-04-training-with-unsloth-batch-2-epoch-2,01-04 Training with Unsloth batch=2 epoch=2,AI-Cat,2026-04-17 16:03:33.053000,81,notebook,voteCount,1
sarcasmos/nvidia-nemotron-model-reasoning-challenge, NVIDIA Nemotron Model Reasoning Challenge,Sheikh Abdul Rehman,2026-03-29 19:21:36.467000,80,notebook,voteCount,1
kalyankkr/all-6-puzzle-types-decoded-sft-training-data,All 6 Puzzle Types Decoded + SFT Training Data,Kalyan,2026-03-19 05:39:25.180000,79,notebook,voteCount,1
amanatar/nemotron-ultimate-sft-grpo-v3,nemotron-ultimate-sft-grpo-v3,Aman Atar,2026-04-08 21:42:01.277000,78,notebook,voteCount,1
mohankrishnathalla/nemotron-6-puzzle-types-decoded-rule-solvers,Nemotron: 6 Puzzle Types Decoded + Rule Solvers,Mohan Krishna Thalla,2026-03-21 08:14:33.190000,69,notebook,voteCount,1
amanatar/nemotron-3-nano-blackwell-optimized-reasoning,Nemotron-3-Nano: Blackwell-Optimized Reasoning ,Aman Atar,2026-03-26 08:15:23.487000,67,notebook,voteCount,1
emanuellcs/nvidia-nemotron-sft,NVIDIA Nemotron | SFT,Emanuel Lázaro,2026-04-06 17:53:15.510000,66,notebook,voteCount,1
hammadfarooq470/think-twice-self-correcting-reasoning,Think Twice: Self-Correcting Reasoning,Hammad Farooq,2026-05-06 09:47:43.647000,63,notebook,voteCount,1
hlly34/nemotron-baseline-evaluation,Nemotron Baseline Evaluation,i_love_huyen_tran,2026-03-21 05:33:38.133000,63,notebook,voteCount,1
jiazhuang/nemotron-mainstream-llm-performance-comparison,Nemotron Mainstream LLM Performance Comparison ,Zhuang Jia,2026-03-24 10:09:00.090000,61,notebook,voteCount,1
hastws/sfttrainer-training,SFTTrainer training,Birtley Doru (DB),2026-03-21 01:50:48.827000,60,notebook,voteCount,1
torpidoff/full-pipeline-nvidia-nemotron-3-reasoning,🏆 Full Pipeline NVIDIA Nemotron-3 Reasoning,David khaldi,2026-04-13 23:57:11.143000,57,notebook,voteCount,1
rauffauzanrambe/lora-adapter-fusion-and-rank-compression-pipeline,LoRA Adapter Fusion and Rank Compression Pipeline ,Ra'uf Fauzan Rambe,2026-05-05 03:34:45.130000,54,notebook,voteCount,1
alexxxsem/nemotron-simple-offline-working-demo,Nemotron Simple Offline Working Demo,AlexxxSem,2026-04-05 15:54:14.460000,53,notebook,voteCount,1
matthewblakeward/glyphmatics-d4c-cipher-98substitution,GlyphMatics●D4C°Cipher#98Substitution ,Matthew Blake Ward,2026-05-17 00:13:45.153000,51,notebook,voteCount,1
rn8205/adapter-validation-notebook,Adapter validation notebook,rn8205,2026-05-16 18:12:53.377000,46,notebook,voteCount,1
esaaak/nemotron-3-nano-30b-starter-lora-fine-tuning,Nemotron-3-Nano-30B: Starter LoRA Fine-Tuning 🚀,Ilya Gerasimov,2026-03-17 20:56:10.340000,44,notebook,voteCount,1
ulyanovantonamaranta/nemotron-tinker-adapter-repro,Nemotron Tinker Adapter Repro,Amaranta,2026-05-05 10:55:13.973000,43,script,voteCount,1
teasue05/tinker-submission-notebook,Tinker submission notebook,BNBU_23DS_SuHongSheng,2026-05-10 04:33:35.993000,41,notebook,voteCount,1
konbu17/bit-manipulation-solver-cot-generator,bit-manipulation-solver-cot-generator,konbu17,2026-03-29 14:38:16.273000,39,notebook,voteCount,1
waterjoe/nvidia-nemotron-mask-loss,NVIDIA Nemotron - Mask Loss,water joe,2026-03-26 13:55:38.370000,39,notebook,voteCount,1
impooping/generate-cots-labels,Generate CoTs + Labels,I'mPooping,2026-03-27 08:41:37.987000,39,notebook,voteCount,1
edyvision/nvidia-nemotron-submission-demo-w-blackwell-patch,NVIDIA Nemotron Submission Demo w/ Blackwell Patch,Eidan Rosado,2026-03-20 23:17:49.323000,39,notebook,voteCount,1
jek1wantaufik/nvidia-nemotron-model-reasoning-0-68,NVIDIA Nemotron Model Reasoning 0.68,Jeki Wan Taufik,2026-03-28 00:32:17.037000,38,notebook,voteCount,1
occultainsights/synthetic-data-generation,Synthetic Data Generation,Priyan Chandrapala,2026-03-27 17:42:06.047000,37,notebook,voteCount,1
kimberleyduran/solver-verified-cryptarithm-cot-v2-dataset,Solver-Verified Cryptarithm CoT (v2 dataset),Kimberley Duran,2026-05-04 21:38:44.803000,34,notebook,voteCount,1
pearpn25/bit-cot-85-1364-sample,bit cot 85% ~~ 1364 sample,Nam Lê Phương,2026-04-20 10:39:50.997000,34,notebook,voteCount,1
mpwolke/alice-in-nvidia-wonderland,Alice in Nvidia Wonderland,Marília Prata,2026-03-17 12:58:44.123000,34,notebook,voteCount,1
sakhawathossen/nemotron-reasoning-boost-hf-qlora-trainer,Nemotron Reasoning Boost - HF QLoRA Trainer,Sakhawat Hossen,2026-04-07 14:14:08.590000,33,notebook,voteCount,1
suryamilenial/end-to-end-finetuning-for-lb-0-83-6e2fa5,End-to-end finetuning for LB 0.83 6e2fa5,Surya milenial,2026-05-11 10:01:40.730000,32,notebook,voteCount,1
konbu17/doc-to-lora-knowledge-injection-nemotron-3-nano,Doc-to-LoRA Knowledge Injection Nemotron-3-Nano,konbu17,2026-03-29 20:12:27.710000,32,notebook,voteCount,1
adilshamim8/nvidia-nemotron-model-reasoning-challenge-101,NVIDIA Nemotron Model Reasoning Challenge 101,Adil Shamim,2026-05-09 03:13:53.840000,31,notebook,voteCount,1
sanjaysuthraye96/exploratory-data-analysis-nvidia-nemotron,Exploratory Data Analysis - NVIDIA Nemotron,Sanjay Suthraye,2026-03-21 17:50:52.213000,31,notebook,voteCount,1
markjcooper/thk-public-fork-2026-05-14-v14-tinker-adapter,THK public fork 2026-05-14 (v14 tinker-adapter),Mark Cooper,2026-05-14 10:37:03.837000,28,notebook,voteCount,1
pauldumontunc/lora-training,LoRa Training,Paul Dumont UNC,2026-04-21 03:04:40.347000,28,notebook,voteCount,1
mah20050/nvidia-nemotron-the-wonderland-nsa,NVIDIA-Nemotron: The Wonderland NSA 🔥,Mahmoud saad Elgharib,2026-03-26 21:55:44.060000,27,notebook,voteCount,1
citerne/from-local-dev-rtx-6000-kaggle-cli-guide,From Local Dev → RTX 6000 (Kaggle CLI Guide),Keanan,2026-05-06 20:25:45.537000,27,notebook,voteCount,1
rauffauzanrambe/lora-nvidia-nemotron-models-with-pytorch,LoRA Nvidia Nemotron Models with Pytorch,Ra'uf Fauzan Rambe,2026-05-08 01:11:19.637000,26,notebook,voteCount,1
warmtea/lb-training,LB Training ,warmtea,2026-05-01 21:51:20.857000,26,notebook,voteCount,1
kodatirevanth/7-prompts-tested-which-one-wins,7 Prompts tested which one wins,Revanth Kodati,2026-03-21 21:58:46.047000,26,notebook,voteCount,1
kacchanwriting/nemotron-baseline-v2,Nemotron Baseline v2,Ikki Katsuyama,2026-03-17 13:38:36.937000,26,notebook,voteCount,1
tahaalam2009/end-to-end-finetuning-for-lb-0-82-csv-custom,End-to-end finetuning for LB 0.82 (CSV CUSTOM),Taha,2026-05-05 12:15:19.627000,25,notebook,voteCount,1
jiazhuang/nemotron-distillation-from-llm,nemotron distillation from llm,Zhuang Jia,2026-04-16 01:26:03.190000,25,notebook,voteCount,1
optiminist/equation-eda-operator-operation-84-solve-rate,Equation EDA: Operator-Operation 84% Solve Rate,Haruto Nishioka,2026-04-13 00:13:48.040000,25,notebook,voteCount,1
konbu17/cot-generation-for-nemotron-challenge,CoT generation for Nemotron challenge,konbu17,2026-04-08 04:39:59.810000,25,notebook,voteCount,1
evgendvorkin/nemotron-3-nano-lora-adapter-submission,Nemotron-3 Nano: LoRA Adapter Submission,Дворкин Евгений Владимирович,2026-05-12 17:44:00.690000,25,notebook,voteCount,1
johnjanson/agi-for-medal-0-87-is-possible,"💗AGI FOR MEDAL, 0.87 IS POSSIBLE? 💨",bogdan janson,2026-04-15 17:21:25.837000,22,notebook,voteCount,1
storm2501/nvidia-nemotron-two,NVIDIA Nemotron two,VTH,2026-03-31 02:08:34.980000,22,notebook,voteCount,1
rauffauzanrambe/nvidia-next-gen-reasoning-ai-for-deep-learning,NVIDIA Next-Gen Reasoning AI for Deep Learning,Ra'uf Fauzan Rambe,2026-03-17 05:51:13.367000,22,notebook,voteCount,1
hoangvux/nvidia-nemotron-synthetic-data,NVIDIA Nemotron — Synthetic Data ,Vu Tran Hoang,2026-04-09 09:35:15.743000,21,notebook,voteCount,1
huikang/nvidia-nemotron-all-linear,NVIDIA Nemotron - all-linear,Tong Hui Kang,2026-03-22 14:27:00.667000,21,notebook,voteCount,1
rauffauzanrambe/lora-autonomous-cot-engine,LoRA + Autonomous CoT Engine,Ra'uf Fauzan Rambe,2026-05-02 03:09:31.183000,20,notebook,voteCount,1
mohamedamr992/easy-loading-of-nemotron-3,Easy_Loading_of_Nemotron_3,Mohamed Amr992,2026-03-27 20:39:38.303000,20,notebook,voteCount,1
krupalpatel07/advanced-nemotron-model-2,Advanced Nemotron Model_2,Krupal Patel,2026-03-23 05:04:25.963000,20,notebook,voteCount,1
krupalpatel07/nemotron-model-1,Nemotron Model_1,Krupal Patel,2026-03-24 06:08:50.693000,19,notebook,voteCount,1
kacchanwriting/nemotron-eda-v1,Nemotron EDA v1,Ikki Katsuyama,2026-03-17 14:23:53.867000,19,notebook,voteCount,1
jiazhuang/nemotron-local-cv,nemotron local cv,Zhuang Jia,2026-05-14 12:55:31.167000,18,notebook,voteCount,1
bloodymonday/eda-problem-families,EDA Problem Families,Shoto,2026-03-19 00:09:54.230000,18,notebook,voteCount,1
meenalsinha/glyphmatics,Glyphmatics ,Meenal Sinha,2026-05-08 18:27:07.443000,17,notebook,voteCount,1
nadiakhalid/nvidia-nemotron-model-reasoning,NVIDIA Nemotron Model Reasoning,Nadia khalid,2026-04-17 06:24:26.630000,17,notebook,voteCount,1
haradibots/nemotron-3-nano-30b-a3,nemotron-3-nano-30b-a3,Haradi Bots,2026-03-18 13:23:21.177000,17,notebook,voteCount,1
hammadfarooq470/geometry-of-intelligence-svd-lora-art-compression,"Geometry of Intelligence: SVD,LoRA&Art Compression",Hammad Farooq,2026-05-05 13:25:10.583000,16,notebook,voteCount,1
kushpatel7391/packages,Packages,kush patel,2026-03-19 19:07:10.683000,16,notebook,voteCount,1
eslamelokpy/tinker-adapter,Tinker Adapter ,Eslam Elokpy,2026-05-08 12:59:40.790000,15,notebook,voteCount,1
svanikkolli/nemotron-engine-ensembler,Nemotron Engine Ensembler,Svanik Kolli,2026-05-10 15:30:44.063000,15,notebook,voteCount,1
zzys0316/full-pipeline-nvidia-nemotron-3-reasoning,🏆 Full Pipeline NVIDIA Nemotron-3 Reasoning,zzys0316,2026-04-22 12:32:38.700000,15,notebook,voteCount,1
javierrodrguez97/first-easy-approach-3-h,First Easy Approach - 3 h,Javier_Rodríguez97,2026-05-15 12:32:29.327000,14,notebook,voteCount,1
matthewblakeward/steinifrank,SteinIFrank,Matthew Blake Ward,2026-05-14 16:59:15.697000,14,notebook,voteCount,1
pjt222/nemotron-cot-review,nemotron-cot-review,Philipp Thoss,2026-04-08 14:02:32.413000,14,notebook,voteCount,1
impooping/nemotron-sft-reasoning-trajectories-dataset,Nemotron SFT (Reasoning Trajectories Dataset),I'mPooping,2026-04-09 03:21:31.400000,14,notebook,voteCount,1
haradibots/nvidia-nemotron,NVIDIA Nemotron,Haradi Bots,2026-03-18 08:59:56.177000,14,notebook,voteCount,1
rauffauzanrambe/nvidia-transformer-cnn-gr-smart-reinforcement,NVIDIA Transformer CNN + GR Smart + Reinforcement ,Ra'uf Fauzan Rambe,2026-05-11 02:08:30.047000,14,notebook,voteCount,1
afr1ste/nemotron-0-86-tinker-adapter-guide,Nemotron 0.86 Tinker Adapter Guide,Afr1ste,2026-05-10 18:24:47.407000,13,notebook,voteCount,1
ringustheimp/tinker-w-svd-rank-16,Tinker w/ SVD & Rank 16,ringusTheImp,2026-04-24 23:23:41.060000,13,notebook,voteCount,1
banwait13/nemotron-on-steroids,Nemotron on Steroids,Banwait_13,2026-05-15 15:15:35.777000,13,notebook,voteCount,1
yashanathaniel/nvidia-nemotron-training,NVIDIA Nemotron - training,Yaserntx',2026-03-19 11:37:10.607000,13,notebook,voteCount,1
drchenb/nvidia-nemotron-trained-models-submission,Nvidia Nemotron Trained Models Submission,kara,2026-05-02 16:28:20.437000,12,notebook,voteCount,2
aliafzal9323/nemotron-30b-deterministic-solvers-cot-fine-tu,Nemotron 30B | Deterministic Solvers + CoT Fine-Tu,Ali Afzal,2026-04-03 08:29:19.350000,12,notebook,voteCount,2
chaitanyajamble/notebook6f0ca37f68,notebook6f0ca37f68,Chaitanya Jamble,2026-03-23 10:38:32.723000,12,notebook,voteCount,2
ravi20076/nemotron2026-public-submission-v1,Nemotron2026|Public|Submission|V1,Ravi Ramakrishnan,2026-03-21 05:03:56.523000,12,notebook,voteCount,2
namthi/notebook-colsmol-500m-data-enhanced,[Notebook] ColSmol 500M + data_enhanced,Nam Thái,2026-04-01 17:58:12.593000,12,notebook,voteCount,2
rauffauzanrambe/nvidia-advances-pytorch-rnn-training-pipeline,NVIDIA Advances PYTORCH + RNN TRAINING PIPELINE,Ra'uf Fauzan Rambe,2026-05-13 07:25:10.810000,11,notebook,voteCount,2
cdnghnam/it2022-ckhoan,it2022|ckhoan,Đức Dũng Hà Nam,2026-05-06 14:05:58.717000,11,notebook,voteCount,2
sorajiang/notebooksft,notebookSFT,Sora Jiang,2026-04-11 12:46:01.707000,11,notebook,voteCount,2
cdnghnam/colsmol-testing-free-train-with-rtx6000,COLSMOL testing free train WITH RTX6000,Đức Dũng Hà Nam,2026-04-03 03:04:34.973000,11,notebook,voteCount,2
lalit7881/nvidia-reasoning-challenge,NVIDIA Reasoning Challenge,Lalit sonawane,2026-03-25 12:35:00.020000,11,notebook,voteCount,2
tomwwwww/20260317,20260317,Tom W2025,2026-03-18 06:17:00.830000,11,notebook,voteCount,2
ringustheimp/nemo-finetune,Nemo FineTune,ringusTheImp,2026-04-25 16:18:52.883000,10,notebook,voteCount,2
codingyodha/ml-fano-gan-implementation,ML_Fano_GAN implementation,ACE,2026-04-21 04:49:13.403000,10,notebook,voteCount,2
rahulchauhan016/nemotron-lora-reasoning-pipeline,Nemotron LoRA Reasoning Pipeline,RAHUL CHAUHAN,2026-03-22 06:37:23.123000,10,notebook,voteCount,2
uraniumdistilled/nvidia-nemotron-grpo-training,NVIDIA Nemotron grpo training,uranium_distilled,2026-05-01 15:46:59.937000,9,notebook,voteCount,2
jeffreypikeai/nemotron-supervised-tuning,Nemotron: Supervised Tuning,Jeffrey Pike,2026-05-16 20:45:13.297000,9,notebook,voteCount,2
jal313/nvidia-nemotron-training-cot-labels-70ddae,NVIDIA Nemotron Training (CoT + Labels) 70ddae,Jal313,2026-04-06 16:42:41.507000,9,notebook,voteCount,2
kirillklem/full-eda-pca-clusters-question-families-hard,FULL EDA: PCA CLUSTERS + QUESTION FAMILIES + HARD,KirillKlem,2026-03-30 18:22:58.517000,9,notebook,voteCount,2
trnhquangminh140/nvidia-nemotron-model-reasoning-trinh-quang-minh,NVIDIA Nemotron Model Reasoning_Trinh Quang Minh,Trịnh Quang Minh,2026-03-22 09:59:34.410000,9,notebook,voteCount,2
kodatirevanth/the-eda-nobody-did-yet,The-eda-nobody-did-yet,Revanth Kodati,2026-03-29 17:49:05.603000,9,notebook,voteCount,2
tbmdemi/pretrain-bench-pcc,pretrain-bench-pcc,Trịnh Bình Minh,2026-05-13 05:36:43.643000,8,notebook,voteCount,2
annabee12/stage2-battery-vanilla-3b-synth,stage2-battery-vanilla-3b-synth,anna _bee,2026-05-13 02:22:12.453000,8,notebook,voteCount,2
chongnh/stage2-battery-vanilla-3b-baseline,stage2-battery-vanilla-3b-baseline,Đức Hoàng Đình,2026-05-13 02:22:12.647000,8,notebook,voteCount,2
sigmazhong/matbf16-materialize-bf16-factor,matbf16_materialize_bf16_factor,Sigma Zhong,2026-05-03 00:34:08.883000,8,notebook,voteCount,2
kaziaishikuzzaman/end-to-end-finetuning-for-nemotron,End-to-end finetuning for Nemotron,Kazi Aishikuzzaman,2026-05-02 21:08:09.047000,8,notebook,voteCount,2
apachikoff/nvidia-constraint-ai-comp,NVIDIA_CONSTRAINT_AI_COMP,Данил Долгов,2026-04-23 07:41:05.277000,8,notebook,voteCount,2
torpidoff/cot-nvidia-nemotron-3,🏆 COT-NVIDIA Nemotron-3,David khaldi,2026-04-19 22:21:34.737000,8,notebook,voteCount,2
varianceofx/synthetic-dataset-generator-27k,synthetic-dataset-generator-27k,varianceofx,2026-03-29 09:18:54.583000,8,notebook,voteCount,2
gerwynng/eda-by-claude-opus-4-6-1m-context,EDA by Claude Opus 4.6 (1M context),Gerwyn,2026-03-19 14:32:10.573000,8,notebook,voteCount,2
luciankucera/ground-breaking-discovery-must-watch,Ground breaking discovery [MUST WATCH],lucian kucera,2026-03-18 20:21:08.833000,8,notebook,voteCount,2
johnnyhyland/offline-packages-trl,offline packages - trl,Johnny Hyland,2026-03-23 16:27:11.477000,8,notebook,voteCount,2
safar1/lb-score-0-86,[LB] [SCORE] [0.86],Safarbek,2026-05-13 15:35:55.467000,7,notebook,voteCount,2
suryamilenial/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,Surya milenial,2026-05-13 14:25:50.187000,7,notebook,voteCount,2
dungnguyenhuy/lle-pcc-reason-seed1,lle-pcc-reason-seed1,Dũng Nguyễn Huy,2026-05-13 05:33:49.410000,7,notebook,voteCount,2
leegongman/sft-my-data-balace,SFT_My_Data_balace,Gongman,2026-05-14 04:47:09.377000,7,notebook,voteCount,2
jek1wantaufik/nemotron-lora-adapter,Nemotron LoRA Adapter,Jeki Wan Taufik,2026-04-22 17:05:04.620000,7,notebook,voteCount,2
tahaalam2009/nemotron-batched-logprob-filter-train,Nemotron Batched Logprob Filter + Train,Taha,2026-04-20 08:48:46.067000,7,notebook,voteCount,2
hammadfarooq470/nemotron-sft-lora-with-cot-selected-data,Nemotron SFT LoRA with CoT-Selected Data,Hammad Farooq,2026-04-02 11:52:25.750000,7,notebook,voteCount,2
linhquangtran/yolo26train-v1,yolo26Train_v1,Linh Quang Tran,2026-03-31 07:22:48.333000,7,notebook,voteCount,2
rauffauzanrambe/nvidia-nemotron-trained-meachine-learning,NVIDIA Nemotron Trained Meachine Learning ,Ra'uf Fauzan Rambe,2026-04-27 06:36:43.310000,7,notebook,voteCount,2
chestergrant/generate-train-validation-set,Generate Train Validation Set,Chester Grant,2026-03-25 11:33:28,7,notebook,voteCount,2
gerwynng/competition-metric-verify-method-bug,Competition Metric -- Verify Method Bug,Gerwyn,2026-03-22 15:29:20.793000,7,notebook,voteCount,2
maulikgajera/nemotron-vs-alice-s-wonderland-who-reasons-bett,Nemotron vs Alice's Wonderland - Who Reasons Bett ,COLD,2026-05-04 09:39:11.107000,7,notebook,voteCount,2
namthi/train-weight-query-token,Train weight query token,Nam Thái,2026-03-31 18:50:21.913000,7,notebook,voteCount,2
chaitanyajamble/nvidia-nmrc-1,Nvidia-NMRC-!/1,Chaitanya Jamble,2026-05-10 17:18:42.517000,6,notebook,voteCount,2
ththunyhunh/lab-al-b-i-1,LAB AL BÀI 1,Thị Thu Ny Huỳnh,2026-05-05 12:11:59.780000,6,notebook,voteCount,2
raunakdey07/nemotron-tinker-adapter,Nemotron Tinker Adapter,Raunak Dey,2026-05-02 11:37:23.533000,6,notebook,voteCount,2
bbobwayne/nemotron-tier-1-lora-baseline,Nemotron Tier-1 LoRA Baseline,bbobWayne,2026-05-10 21:27:31.657000,6,notebook,voteCount,2
bbobwayne/nemotron-lora32-r1-tier-1-heuristic-baseline,Nemotron LoRA32 R1 · Tier-1 Heuristic Baseline,bbobWayne,2026-05-04 01:47:52.923000,6,notebook,voteCount,2
nhatlong1103/haunet-gpu-rtx,HAUNET - GPU RTX,NhatLong1103,2026-04-23 12:54:14.560000,6,notebook,voteCount,2
rdn2k00/cot-preprocessing,"CoT, Preprocessing",rdn2k00,2026-05-15 19:19:59.737000,6,notebook,voteCount,2
amanatar/notebookc27c750a42,notebookc27c750a42,Aman Atar,2026-04-09 07:45:03.923000,6,notebook,voteCount,2
camvsfd/notebook-methodology-colsmol500-layout,[notebook] METHODOLOGY COLSMOL500 LAYOUT,cóa má,2026-04-06 07:28:19.707000,6,notebook,voteCount,2
hammadfarooq470/nvidia-nemotron-model-reasoning-0-68,NVIDIA Nemotron Model Reasoning 0.68,Hammad Farooq,2026-04-02 14:18:17.637000,6,notebook,voteCount,2
denislu/nvidia-nemotron-model-reasoning-challenge,NVIDIA Nemotron Model Reasoning Challenge,Chang Lu,2026-05-15 10:57:11.447000,6,notebook,voteCount,2
nguyenducdung1107/colsmol-training-with-rtx6000,COLSMOL TRAINING WITH RTX6000,NGUYEN DUC DUNG 1107,2026-04-04 08:34:18.823000,6,notebook,voteCount,2
amanatar/synthetic-nemotron-hard-reasoning,synthetic_nemotron_hard_reasoning,Aman Atar,2026-03-29 17:38:45.610000,6,notebook,voteCount,2
ishitabahamnia/nvedia,Nvedia,ishita bahamnia,2026-03-22 01:43:17.387000,6,notebook,voteCount,2
nikitagajbhiye30/nvidia-00,NVIDIA 00,Nikita,2026-03-19 16:21:02.733000,6,notebook,voteCount,2
ththunyhunh/b-i-2-al,BÀI_2_AL,Thị Thu Ny Huỳnh,2026-05-13 02:24:51.407000,5,notebook,voteCount,2
toney02/nvidia-nemotron-model-notebook,NVIDIA Nemotron Model Notebook,Toney02,2026-05-10 04:29:47.717000,5,notebook,voteCount,2
renukaprasadpatwari/nvidia-nemotron-challenge,Nvidia Nemotron Challenge,Renuka Prasad Patwari,2026-05-11 17:38:04.520000,5,notebook,voteCount,2
phamcuong211/2-03-ph-m-th-c-ng,2-03-Phạm Thế Cường,Phạm Cường,2026-05-13 02:25:51.563000,5,notebook,voteCount,2
croftadams/nemotron-working-submission-test,Nemotron Working Submission Test,Croft Adams,2026-05-01 13:52:32.300000,5,notebook,voteCount,2
hngliththu/cdsmote-final-test1,CDSMOTE_Final_Test1,Hương Lại Thị Thu,2026-04-23 01:01:06.420000,5,notebook,voteCount,2
rdn2k00/nemotron-qlora,"Nemotron, QLoRA",rdn2k00,2026-05-16 17:43:14.143000,5,notebook,voteCount,2
habanwer/nemotron-atlas,Nemotron ATLAS,Shehab Anwer,2026-04-27 09:00:10.017000,5,notebook,voteCount,2
camvsfd/notebook-ex-colsmol500-layout, [notebook-ex] Colsmol500 layout,cóa má,2026-04-18 09:15:16.677000,5,notebook,voteCount,2
hammadfarooq470/nvidia-nemotron-trained-models-submission,Nvidia Nemotron Trained Models Submission,Hammad Farooq,2026-04-15 16:49:39.710000,5,notebook,voteCount,2
krupalpatel07/nvidia-beast-model,NVidia Beast Model ,Krupal Patel,2026-04-02 05:14:19.327000,5,notebook,voteCount,2
koushikrudra/nvidia-9500-step-training,NVIDIA 9500 STEP Training,Koushik Rudra,2026-03-22 02:50:38,5,notebook,voteCount,2
anhhkhoi/nvidia-nemotron-submission-demo,NVIDIA Nemotron Submission Demo,MightyK,2026-04-29 04:32:20.720000,5,notebook,voteCount,2
ahmadzulfiqar001/exploratory-data-analysis-nvidia,Exploratory Data Analysis - NVIDIA,Ahmad Zulfiqar,2026-03-18 22:52:46.577000,5,notebook,voteCount,2
tbmdemi/lle-lle-vanilla-3b-synth,lle-lle-vanilla-3b-synth,Trịnh Bình Minh,2026-05-13 02:22:14.913000,4,notebook,voteCount,2
tuantc2306/lle-lle-vanilla-3b-baseline,lle-lle-vanilla-3b-baseline,TuanTc2306,2026-05-13 02:22:12.927000,4,notebook,voteCount,2
